FIPS,State,County,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,% Fair or Poor Health,95% CI - Low,95% CI - High,Z-Score,Average Number of Physically Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Average Number of Mentally Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Unreliable,% Low Birthweight,95% CI - Low,95% CI - High,Z-Score,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low,95% CI - High,Z-Score,% Adults with Obesity,95% CI - Low,95% CI - High,Z-Score,Food Environment Index,Z-Score,% Physically Inactive,95% CI - Low,95% CI - High,Z-Score,% With Access to Exercise Opportunities,Z-Score,% Excessive Drinking,95% CI - Low,95% CI - High,Z-Score,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low,95% CI - High,Z-Score,# Chlamydia Cases,Chlamydia Rate,Z-Score,Teen Birth Rate,95% CI - Low,95% CI - High,Z-Score,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Z-Score,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score,# Dentists,Dentist Rate,Dentist Ratio,Z-Score,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score,Preventable Hospitalization Rate,Z-Score,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Z-Score,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),Cohort Size,High School Graduation Rate,Z-Score,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Z-Score,# Unemployed,Labor Force,% Unemployed,Z-Score,% Children in Poverty,95% CI - Low,95% CI - High,Z-Score,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score,# Single-Parent Households,# Households,% Single-Parent Households,95% CI - Low,95% CI - High,Z-Score,# Associations,Social Association Rate,Z-Score,Annual Average Violent Crimes,Violent Crime Rate,Z-Score,# Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,Z-Score,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score,Presence of Water Violation,Z-Score,% Severe Housing Problems,95% CI - Low,95% CI - High,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score,% Drive Alone to Work,95% CI - Low,95% CI - High,Z-Score,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low,95% CI - High,Z-Score
06000,California,,347916,5260,5235,5285,,,,,,,,,,,,,,,,,17,16,18,,3.5,3.3,3.7,,3.5,3.3,3.7,,,7,7,7,,,,,,,,,,,,,,,,,11,10,12,,24,,,,8.9,,18,,,,93,,19,18,20,,5266,17773,30,29,30,,218785,553.4,,19,19,20,,,,,,,,,,,,,,,,,2740078,8,8,8,,31343,79,1261:1,,33456,85,1182:1,,139738,353,283:1,,3598,,,,,,,36,,,,,,,41,,,,,,,429276,83,,7207217,11089177,65,65,65,,815409,19398212,4.2,,17,17,18,,,,,,,147074,27973,5.3,,2801098,8999228,31,31,31,,23246,5.9,,164253,421,,98492,50,50,50,,,,,,,,,,,,,,,,,9.5,,,,27,27,27,,,,,,,,,,,74,74,74,,,,,,,,,,,,,,,,,17904213,41,41,41,
06001,California,Alameda,12714,4409,4297,4520,-1.07,7676,5483,10452,2681,2515,2848,10019,9527,10511,4194,3970,4419,4151,3964,4338,12,12,13,-1.06,3.0,2.9,3.1,-1.70,3.2,3.1,3.3,-2.02,,7,7,7,0.84,8,5,11,8,8,8,11,10,11,6,6,7,6,5,6,10,10,10,-1.36,19,17,22,-1.42,8.3,-0.63,15,13,16,-1.19,100,-1.12,20,19,20,0.04,110,426,26,23,28,-0.60,9200,553.2,0.71,11,11,12,-1.12,11,6,19,2,2,3,20,18,21,22,21,23,4,3,4,82298,6,5,6,-1.19,1832,110,908:1,-1.27,1557,93,1070:1,-0.77,10241,614,163:1,-1.42,3298,-0.13,6761,2187,6184,3285,3021,37,-0.04,28,37,33,34,41,44,-0.60,39,50,28,38,47,17496,87,-0.40,390205,516424,76,,,-1.42,25446,848215,3.0,-0.84,10,8,11,-1.19,22,6,30,18,4,183864,35306,5.2,0.69,87761,341805,26,25,26,-0.98,1077,6.5,-0.16,10242,629,1.39,3457,42,41,43,-1.02,82,52,123,21,19,22,88,82,94,31,29,34,53,50,56,10.4,0.09,No,-1.14,24,23,24,18,17,18,7,7,7,1,1,1,0.22,61,61,62,-1.46,65,60,71,68,67,68,68,66,70,69,68,70,68,68,69,767292,46,46,47,1.22
06003,California,Alpine,,,,,0.00,,,,,,,,,,,,,,,,16,16,17,0.08,4.2,4.1,4.3,1.03,4.4,4.3,4.5,1.23,,,,,0.00,,,,,,,,,,,,,,,,14,14,15,1.36,23,15,35,-0.78,6.9,1.24,21,11,33,-0.11,100,-1.14,20,19,20,-0.13,4,15,27,13,41,-0.52,9,803.6,2.09,,,,0.00,,,,,,,,,,,,,,,,65,8,6,9,-0.16,0,0,1120:0,2.16,0,0,1101:0,2.87,5,454,220:1,-0.53,2480,-1.09,,,,,,32,1.17,,,,,,21,2.34,14,,,,25,,,0.00,123,231,53,38,68,0.68,25,547,4.6,-0.25,35,23,46,2.29,,,,,,125393,29900,4.2,-0.98,103,239,43,24,63,2.08,0,0.0,2.62,5,442,0.15,12,217,112,380,3.00,,,,,,,,,,,,,,,,5.6,-1.56,No,-1.14,23,13,33,21,8,34,3,0,9,0,0,6,0.10,66,50,82,-0.91,,,,,,,,,,,,,,,,356,35,15,55,0.23
06005,California,Amador,529,6364,5346,7382,-0.09,,,,,,,,,,5584,3613,8243,6660,5428,7893,13,13,14,-0.86,3.4,3.3,3.6,-0.69,3.7,3.6,3.9,-0.55,,7,6,8,0.26,,,,,,,,,,8,5,11,7,5,8,11,10,11,-0.73,30,22,39,0.40,8.2,-0.50,25,17,34,0.64,76,0.36,21,20,22,0.85,15,52,29,22,36,-0.32,66,170.9,-1.41,18,15,22,-0.39,,,,,,,,,,23,15,34,17,13,21,1532,6,5,7,-0.95,26,67,1486:1,0.06,29,74,1358:1,0.00,90,229,438:1,0.72,3115,-0.35,11049,,,,3113,45,-1.97,,35,,42,46,46,-0.85,50,56,36,42,47,356,88,-0.56,4921,8073,61,54,67,-0.05,589,14706,4.0,-0.46,14,10,18,-0.63,,,,18,11,110741,26061,4.2,-0.89,1566,5674,28,20,35,-0.64,30,7.8,-0.72,87,237,-1.23,185,98,84,112,0.56,,,,,,,,,,62,35,100,108,91,124,8.9,-0.43,No,-1.14,19,16,22,17,14,20,2,1,3,1,1,2,-0.88,81,77,84,0.86,,,,,,,,,,79,70,89,79,75,82,12863,41,36,47,0.78
06007,California,Butte,3263,7784,7375,8194,0.63,10116,6920,14281,6242,4703,8125,8523,6089,11605,5237,4428,6046,8283,7780,8786,17,17,18,0.35,4.2,4.1,4.4,1.08,4.4,4.2,4.5,1.06,,6,6,6,-0.76,5,3,8,7,5,8,11,8,14,6,6,7,6,5,6,14,13,14,0.97,27,22,33,-0.04,7.0,1.10,22,18,27,0.21,84,-0.16,20,19,21,0.25,63,168,38,34,41,0.47,1209,527.3,0.56,18,17,19,-0.44,39,28,52,16,12,20,34,25,44,20,18,23,16,14,17,13164,7,6,8,-0.39,141,61,1626:1,0.24,165,71,1402:1,0.09,1492,645,155:1,-1.59,4656,1.45,8707,1876,5924,4198,4644,42,-1.24,32,30,37,39,42,39,0.04,33,33,25,37,40,2441,85,-0.19,36390,52758,69,66,72,-0.80,5093,102712,5.0,-0.10,20,15,25,0.25,35,27,39,27,16,103590,18583,5.6,1.29,14633,45148,32,29,35,0.20,178,7.8,-0.71,734,327,-0.63,1117,98,92,104,0.57,105,66,159,23,13,39,62,36,101,53,43,65,114,107,121,8.9,-0.43,Yes,0.86,23,21,24,20,19,21,3,2,3,1,1,2,-0.03,75,74,77,0.21,72,64,80,77,69,85,59,43,76,74,71,77,76,75,78,92011,24,22,26,-0.78
06009,California,Calaveras,727,7346,6311,8380,0.41,,,,,,,,,,,,,,,,12,12,13,-1.08,3.4,3.3,3.6,-0.68,3.9,3.8,4.1,-0.07,,6,5,7,-1.14,,,,,,,,,,5,3,8,6,5,7,11,11,11,-0.66,31,22,40,0.54,8.2,-0.50,31,22,42,1.78,60,1.32,20,19,21,0.23,25,62,40,34,46,0.73,76,166.4,-1.44,14,11,16,-0.87,,,,,,,,,,12,7,18,14,11,18,2427,7,6,8,-0.30,20,44,2284:1,0.80,22,48,2073:1,0.99,75,164,608:1,1.07,3050,-0.42,,,4821,2234,3069,42,-1.24,29,26,,38,42,40,-0.09,29,43,30,37,40,478,90,-0.68,4610,8141,57,50,64,0.36,845,21351,4.0,-0.48,18,12,23,-0.11,76,,,24,15,121160,26121,4.6,-0.25,2932,7655,38,29,48,1.24,39,8.5,-1.05,146,327,-0.62,214,95,82,107,0.47,,,,,,,,,,60,34,97,102,88,116,9.0,-0.39,No,-1.14,20,17,23,18,15,21,2,1,3,1,0,1,-0.64,76,73,78,0.25,,,,,,,,,,77,71,84,66,63,70,16701,60,53,68,2.48
06011,California,Colusa,228,6556,5343,7770,0.01,,,,,,,,,,4864,3610,6412,8039,5544,10535,19,19,20,0.91,4.0,3.8,4.1,0.57,4.0,3.8,4.2,0.17,,6,5,7,-0.38,,,,,,,,,,6,5,8,6,4,9,12,12,13,0.07,41,29,53,2.31,8.2,-0.50,28,19,39,1.19,75,0.42,20,19,21,0.19,5,39,13,6,22,-1.79,49,224.7,-1.11,30,25,34,0.86,,,,,,,,,,33,27,39,19,12,28,1970,11,9,12,1.67,7,32,3115:1,1.16,10,46,2163:1,1.07,38,176,569:1,1.01,3534,0.14,,11625,,2471,3898,32,1.17,,,,25,36,43,-0.47,26,57,44,42,44,366,89,-0.64,2651,5401,49,43,55,1.07,1418,10969,12.9,2.90,14,10,18,-0.58,17,,,21,18,101347,24028,4.2,-0.94,1748,5882,30,22,37,-0.27,11,5.0,0.45,43,201,-1.47,83,77,61,95,-0.03,,,,,,,,,,50,34,71,115,84,153,8.7,-0.49,Yes,0.86,18,15,22,10,8,13,8,6,11,1,0,1,-1.11,77,73,81,0.41,,,,,,,,,,74,69,80,83,81,85,9403,33,28,37,-0.01
06013,California,Contra Costa,9400,4624,4481,4766,-0.96,9018,6040,12952,2913,2634,3192,9145,8521,9769,3937,3686,4189,4559,4340,4778,12,12,13,-1.09,3.1,3.0,3.2,-1.54,3.6,3.5,3.7,-0.85,,7,7,7,0.29,8,5,12,8,8,9,11,10,12,6,6,6,5,5,6,10,10,10,-1.24,24,21,27,-0.61,8.5,-0.90,16,14,18,-0.89,97,-0.95,20,19,20,-0.16,109,341,32,29,35,-0.04,5731,499.5,0.41,11,11,12,-1.12,16,9,25,3,2,3,18,17,20,21,20,22,4,4,5,57232,6,5,6,-1.12,1183,103,970:1,-1.05,1000,87,1150:1,-0.52,3898,339,295:1,0.11,3379,-0.04,5832,2220,5164,3461,3329,41,-1.00,23,36,34,34,44,45,-0.73,30,45,28,35,49,14286,88,-0.50,211257,295476,71,,,-1.04,17792,564570,3.2,-0.79,9,8,11,-1.27,4,6,23,18,5,184303,38923,4.7,-0.09,66921,259000,26,25,27,-0.95,645,5.6,0.20,3773,336,-0.57,2606,46,44,48,-0.91,69,39,114,23,20,26,77,70,85,34,31,37,54,51,57,11.6,0.50,Yes,0.86,21,20,22,17,16,17,5,4,5,1,1,1,-0.44,68,67,68,-0.72,75,66,84,71,69,73,73,70,75,71,70,73,75,74,76,532887,51,50,52,1.64
06015,California,Del Norte,511,8955,7764,10146,1.22,22530,15603,31484,,,,,,,,,,9171,7659,10683,18,17,18,0.42,4.3,4.1,4.4,1.24,4.4,4.2,4.6,1.17,,6,5,6,-1.44,7,4,10,,,,,,,5,3,7,5,4,6,15,15,16,1.75,34,23,47,1.23,6.4,1.91,25,16,36,0.66,89,-0.46,20,19,21,0.04,8,47,17,10,25,-1.41,100,364.0,-0.34,42,37,48,2.25,57,39,80,49,28,79,,,,39,29,52,40,33,47,1247,6,5,7,-0.93,17,62,1616:1,0.23,26,93,1070:1,-0.77,113,406,246:1,-0.27,2869,-0.63,,,,,,28,2.13,18,35,,24,29,36,0.43,30,21,,36,37,368,81,0.14,3290,7529,44,38,49,1.58,549,9961,5.5,0.10,27,18,35,1.16,40,85,,32,19,86087,16967,5.1,0.47,2020,5904,34,27,42,0.52,11,4.0,0.90,167,609,1.26,142,103,86,120,0.72,193,120,296,,,,,,,,,,125,102,148,8.5,-0.56,No,-1.14,22,19,26,18,15,22,4,3,5,1,0,2,-0.15,74,71,76,0.03,63,58,67,,,,,,,77,68,86,76,73,80,8474,10,7,13,-2.04
06017,California,El Dorado,1968,5165,4766,5563,-0.69,,,,,,,,,,4064,3156,4973,5503,5026,5980,12,12,12,-1.16,3.4,3.3,3.6,-0.73,3.8,3.7,4.0,-0.32,,7,6,7,-0.04,10,4,15,9,7,11,,,,8,7,9,6,6,7,11,11,12,-0.50,23,18,28,-0.87,8.2,-0.50,18,14,23,-0.53,90,-0.50,22,22,23,1.64,36,126,29,24,33,-0.35,450,238.1,-1.04,10,9,11,-1.27,29,15,49,,,,,,,19,16,22,8,7,9,8134,5,5,6,-1.41,154,81,1227:1,-0.38,146,77,1306:1,-0.11,632,331,302:1,0.15,3277,-0.16,5970,2293,7661,3280,3231,42,-1.24,22,44,27,35,43,45,-0.73,42,42,39,41,45,2172,89,-0.64,27904,39305,71,68,74,-0.99,3270,91589,3.6,-0.63,9,6,12,-1.30,22,0,27,13,9,156727,32169,4.9,0.14,7848,37506,21,18,24,-1.82,112,5.9,0.07,399,218,-1.36,681,73,68,78,-0.14,,,,29,16,49,,,,34,25,47,82,76,89,9.3,-0.29,No,-1.14,19,18,20,17,16,18,2,2,3,1,0,1,-1.00,77,75,78,0.38,,,,78,73,82,79,65,92,74,69,79,73,71,75,81390,39,37,42,0.60
