FIPS,State,County,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,% Fair or Poor Health,95% CI - Low,95% CI - High,Z-Score,Average Number of Physically Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Average Number of Mentally Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Unreliable,% Low Birthweight,95% CI - Low,95% CI - High,Z-Score,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low,95% CI - High,Z-Score,% Adults with Obesity,95% CI - Low,95% CI - High,Z-Score,Food Environment Index,Z-Score,% Physically Inactive,95% CI - Low,95% CI - High,Z-Score,% With Access to Exercise Opportunities,Z-Score,% Excessive Drinking,95% CI - Low,95% CI - High,Z-Score,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low,95% CI - High,Z-Score,# Chlamydia Cases,Chlamydia Rate,Z-Score,Teen Birth Rate,95% CI - Low,95% CI - High,Z-Score,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Z-Score,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score,# Dentists,Dentist Rate,Dentist Ratio,Z-Score,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score,Preventable Hospitalization Rate,Z-Score,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Z-Score,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),Cohort Size,High School Graduation Rate,Z-Score,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Z-Score,# Unemployed,Labor Force,% Unemployed,Z-Score,% Children in Poverty,95% CI - Low,95% CI - High,Z-Score,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score,# Single-Parent Households,# Households,% Single-Parent Households,95% CI - Low,95% CI - High,Z-Score,# Associations,Social Association Rate,Z-Score,Annual Average Violent Crimes,Violent Crime Rate,Z-Score,# Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,Z-Score,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score,Presence of Water Violation,Z-Score,% Severe Housing Problems,95% CI - Low,95% CI - High,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score,% Drive Alone to Work,95% CI - Low,95% CI - High,Z-Score,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low,95% CI - High,Z-Score
45000,South Carolina,,75507,8738,8643,8832,,,,,,,,,,,,,,,,,18,17,19,,3.9,3.7,4.1,,4.5,4.2,4.8,,,10,9,10,,,,,,,,,,,,,,,,,19,18,20,,33,,,,6.3,,26,,,,68,,17,16,18,,1605,4848,33,32,34,,32235,641.6,,27,27,27,,,,,,,,,,,,,,,,,528726,13,13,14,,3354,67,1498:1,,2811,55,1809:1,,8919,175,570:1,,4499,,,,,,,46,,,,,,,48,,,,,,,54196,84,,782313,1252738,62,62,63,,79555,2323214,3.4,,22,21,23,,,,,,,101046,21229,4.8,,419704,1085108,39,38,39,,5866,11.7,,24474,500,,21061,85,84,86,,,,,,,,,,,,,,,,,10.2,,,,15,14,15,,,,,,,,,,,82,82,83,,,,,,,,,,,,,,,,,2215014,35,34,35,
45001,South Carolina,Abbeville,430,9533,8038,11029,-0.31,,,,,,,12073,8718,15428,,,,8535,6960,10109,20,19,21,-0.02,4.3,4.1,4.4,0.32,4.8,4.6,5.0,0.81,,9,8,11,-0.81,,,,,,,16,13,19,,,,6,5,8,17,17,18,-0.34,37,31,43,0.08,7.8,-0.92,29,24,34,-0.14,59,-0.10,16,15,16,0.18,8,27,30,19,40,-0.38,160,647.2,-0.21,28,24,33,-0.54,,,,,,,42,33,53,,,,24,19,29,2408,13,11,15,-0.26,14,57,1766:1,-0.27,3,12,8180:1,1.25,15,61,1636:1,0.86,2020,-2.46,,,2708,,1824,47,-0.45,,,47,,47,29,1.53,,,28,,29,227,88,-0.69,2736,5209,53,46,60,0.11,400,10058,4.0,0.00,31,24,37,0.23,,,62,38,23,75000,14370,5.2,0.42,1903,5127,37,30,44,-0.82,29,11.7,-0.03,79,341,-0.92,110,89,72,105,0.00,,,,,,,74,48,108,,,,96,77,119,10.4,0.49,No,-0.45,14,11,17,14,11,17,0,0,1,0,0,1,-0.02,79,76,83,-1.12,,,,,,,72,62,82,,,,79,73,84,9420,45,38,51,0.76
45003,South Carolina,Aiken,2756,9304,8754,9854,-0.42,,,,,,,11053,9908,12199,4032,2700,5790,9193,8508,9879,18,17,18,-0.63,3.9,3.7,4.0,-0.73,4.3,4.1,4.4,-0.90,,9,9,10,-0.75,,,,11,6,15,15,14,16,7,6,9,7,7,8,15,15,15,-1.49,36,33,39,-0.13,7.7,-0.78,27,25,29,-0.56,68,-0.57,17,17,18,0.77,47,150,31,27,36,-0.20,912,542.3,-0.66,30,29,32,-0.33,,,,,,,35,32,39,43,35,52,27,25,29,18031,13,12,15,0.01,56,33,3003:1,0.65,69,41,2455:1,-0.06,247,146,686:1,-0.30,4932,-0.02,,,6470,997,4564,48,-0.69,,30,44,39,49,51,-1.00,,58,36,44,53,1582,90,-1.20,22505,40555,55,52,59,-0.19,2474,73944,3.3,-0.67,23,17,28,-0.67,,30,41,33,16,98879,21261,4.7,-0.42,14450,36335,40,36,43,-0.53,168,10.0,0.55,755,453,-0.30,785,94,87,101,0.42,,,,,,,68,57,79,23,12,42,111,103,120,11.3,2.65,No,-0.45,13,12,14,11,10,12,2,1,2,1,1,1,-0.63,84,82,85,0.16,,,,76,68,85,83,79,86,77,73,82,85,82,87,70317,36,33,38,-0.29
45005,South Carolina,Allendale,211,12227,9527,14926,0.90,,,,,,,,,,,,,,,,27,26,28,1.87,4.8,4.6,4.9,1.60,4.9,4.7,5.1,1.24,,12,9,15,0.95,,,,,,,,,,,,,,,,22,21,23,1.99,40,31,49,0.80,5.1,2.76,41,31,51,2.15,61,-0.21,13,12,13,-1.23,5,17,29,16,43,-0.40,133,1477.4,3.00,54,43,66,2.14,,,,,,,,,,,,,,,,718,12,10,14,-0.83,7,78,1286:1,-1.11,4,45,2226:1,-0.25,10,112,890:1,0.16,5330,0.32,,,6010,,4801,43,0.53,,,44,,43,24,2.10,,,21,,25,91,84,0.23,792,2240,35,27,44,1.86,159,2740,5.8,1.93,52,35,68,2.59,,,,,,65184,10582,6.2,1.83,1158,1750,66,49,84,2.38,5,5.6,2.02,38,482,-0.14,35,76,53,106,-1.03,,,,,,,,,,,,,,,,10.2,0.01,No,-0.45,18,13,23,16,10,23,2,0,4,2,0,3,1.50,82,75,89,-0.31,,,,,,,83,75,92,,,,94,86,100,2752,34,24,43,-0.56
45007,South Carolina,Anderson,3300,9126,8646,9606,-0.50,,,,,,,10048,8883,11213,,,,9253,8694,9811,16,16,17,-1.05,4.1,3.9,4.2,-0.23,4.6,4.5,4.8,0.24,,9,9,10,-0.79,,,,10,6,13,16,15,18,5,3,7,8,7,8,18,17,18,-0.24,34,31,37,-0.51,7.5,-0.51,27,25,29,-0.56,52,0.27,16,16,17,0.34,66,222,30,26,33,-0.37,1118,562.5,-0.57,33,32,35,-0.04,,,,,,,44,40,49,28,21,37,31,29,33,21486,13,12,15,-0.03,132,66,1506:1,-0.66,87,43,2304:1,-0.18,328,164,611:1,-0.55,5855,0.76,,,7850,3519,5668,54,-2.16,,30,56,45,54,52,-1.11,,55,39,48,53,2369,88,-0.70,28388,46882,61,58,64,-0.70,2917,89580,3.3,-0.76,21,17,25,-0.84,,,37,41,16,95701,20305,4.7,-0.33,15351,44700,34,31,37,-1.13,259,13.0,-0.46,1167,600,0.51,923,94,88,100,0.41,,,,,,,67,54,79,39,21,65,103,96,110,11.0,1.93,No,-0.45,13,12,14,11,10,12,2,1,2,1,1,1,-0.64,85,84,87,0.69,,,,,,,81,78,85,80,72,88,86,84,88,86361,31,29,32,-0.91
45009,South Carolina,Bamberg,326,12927,10581,15274,1.22,,,,,,,14902,11658,18145,,,,10487,7263,13712,23,22,23,0.76,4.3,4.2,4.5,0.41,4.8,4.6,5.0,0.91,,11,9,13,0.28,,,,,,,15,12,18,,,,4,2,7,18,17,18,-0.10,37,30,45,0.19,5.6,2.08,36,28,44,1.14,7,2.54,13,13,14,-1.02,9,20,45,34,55,1.25,124,862.2,0.72,21,17,26,-1.33,,,,,,,18,14,23,,,,29,20,42,1396,13,11,15,-0.12,5,35,2876:1,0.59,8,56,1784:1,-0.76,6,42,2379:1,1.12,4602,-0.29,,,4396,,4636,45,0.04,,,48,,43,25,1.99,,,19,,29,169,82,0.51,1750,2946,59,48,71,-0.58,325,4990,6.5,2.67,39,27,51,1.17,,,55,63,21,72286,15005,4.8,-0.17,1571,2858,55,42,68,1.14,26,18.1,-2.13,63,419,-0.49,66,90,70,115,0.12,,,,,,,85,60,117,,,,106,70,153,10.2,0.01,No,-0.45,16,11,21,13,8,18,3,1,6,2,0,3,0.80,83,78,88,-0.08,,,,,,,82,74,90,,,,81,73,90,5303,39,30,48,0.12
45011,South Carolina,Barnwell,449,12315,10543,14087,0.94,,,,,,,14312,11585,17038,,,,11726,9130,14321,22,21,23,0.59,4.5,4.4,4.7,1.03,4.7,4.5,4.9,0.54,,11,10,12,0.27,,,,,,,15,13,17,,,,6,5,8,20,19,20,0.80,39,34,45,0.57,7.0,0.17,35,29,40,0.89,56,0.08,15,15,16,-0.20,15,25,60,52,67,2.84,174,815.2,0.52,41,35,46,0.75,,,,,,,47,38,55,,,,34,27,42,2175,13,11,14,-0.40,4,19,5336:1,1.23,5,24,4222:1,0.72,33,156,640:1,-0.45,4562,-0.33,,,4571,,4560,42,0.78,,,40,,43,35,0.84,,,28,31,38,253,86,-0.36,2543,4647,55,46,63,-0.11,399,8343,4.8,0.85,34,23,44,0.55,,,56,44,34,80610,13259,6.1,1.71,2941,5151,57,48,67,1.38,32,15.0,-1.11,160,730,1.23,94,87,71,107,-0.11,,,,,,,79,56,109,,,,100,76,130,10.4,0.49,No,-0.45,15,11,19,13,10,17,3,1,5,0,0,1,0.25,88,85,91,1.59,,,,,,,84,78,91,,,,90,74,100,8043,39,33,45,0.13
45013,South Carolina,Beaufort,1940,5856,5418,6294,-1.97,,,,,,,11514,10183,12844,1847,1263,2607,5005,4487,5524,12,12,13,-2.11,3.3,3.2,3.4,-2.27,3.8,3.6,3.9,-2.66,,8,8,9,-1.40,,,,10,7,14,14,13,16,6,5,7,6,6,7,13,12,13,-2.50,24,21,26,-2.89,7.9,-1.06,17,15,19,-2.42,83,-1.31,20,20,21,2.12,36,118,31,26,35,-0.29,828,443.2,-1.09,25,23,27,-0.89,,,,,,,34,30,38,38,33,43,16,15,18,20295,15,14,17,1.03,131,70,1426:1,-0.81,205,109,921:1,-3.16,286,152,660:1,-0.38,4187,-0.64,,,7784,4073,3606,50,-1.18,,43,37,43,51,52,-1.11,,48,28,44,55,1422,84,0.11,25075,39347,64,60,67,-1.02,2435,75517,3.2,-0.80,20,16,25,-0.98,32,,39,26,9,119881,28747,4.2,-1.14,12076,35057,34,31,38,-1.12,165,8.8,0.93,696,389,-0.66,621,68,63,73,-1.68,,,,,,,90,76,104,21,13,31,71,64,78,10.1,-0.23,No,-0.45,17,16,18,15,14,16,2,2,3,1,1,2,1.15,77,75,79,-1.75,,,,54,38,70,78,75,81,60,54,67,78,77,80,79029,29,27,31,-1.10
45015,South Carolina,Berkeley,2616,7504,7097,7911,-1.23,,,,,,,8579,7709,9450,4681,3546,6065,7536,7022,8049,17,16,17,-0.94,3.8,3.6,3.9,-1.00,4.3,4.2,4.5,-0.75,,8,8,9,-1.30,,,,8,6,11,15,14,16,5,4,6,7,6,7,16,15,16,-1.10,35,32,38,-0.31,7.8,-0.92,25,23,28,-0.90,79,-1.12,19,18,19,1.45,61,178,34,31,38,0.11,952,436.8,-1.12,24,23,26,-1.00,,,,11,6,20,23,20,25,39,33,46,23,21,25,21727,12,11,13,-0.86,68,31,3205:1,0.73,61,28,3624:1,0.54,239,108,925:1,0.21,3907,-0.88,,,3402,3366,4095,48,-0.69,,44,51,49,47,47,-0.54,,47,38,45,50,2173,83,0.24,38145,58190,66,63,68,-1.21,3069,101127,3.0,-1.00,18,15,22,-1.19,3,17,27,29,12,107550,27960,3.8,-1.62,16266,50266,32,29,35,-1.35,144,6.6,1.67,687,338,-0.94,797,76,71,81,-1.04,,,,,,,68,58,78,31,19,48,86,79,92,9.9,-0.71,No,-0.45,14,13,15,13,12,14,2,1,2,1,0,1,-0.04,82,81,84,-0.21,,,,69,57,80,82,81,84,68,61,74,80,78,82,99513,46,43,48,0.91
45017,South Carolina,Calhoun,273,11045,8660,13430,0.37,,,,,,,12669,8917,16421,,,,10838,7333,14344,19,19,20,-0.17,3.9,3.8,4.1,-0.55,4.4,4.2,4.5,-0.53,,10,8,12,-0.21,,,,,,,13,10,16,,,,8,6,10,16,16,17,-0.80,39,31,46,0.50,7.9,-1.06,35,28,42,1.04,5,2.63,15,14,15,-0.26,12,47,26,18,34,-0.81,78,530.5,-0.71,25,19,31,-0.95,,,,,,,30,22,40,,,,17,11,26,1429,13,11,14,-0.43,3,20,4901:1,1.16,5,34,2904:1,0.23,3,21,4840:1,1.41,4793,-0.13,,,4568,,4671,39,1.51,,,37,,41,30,1.41,,,23,,34,101,90,-1.23,1722,3190,54,45,63,-0.03,283,6665,4.2,0.28,28,20,36,-0.08,,,21,48,18,89772,14598,6.1,1.81,1046,2882,36,24,49,-0.92,19,12.9,-0.42,46,313,-1.08,69,94,73,119,0.40,,,,,,,75,48,113,,,,113,82,151,10.2,0.01,No,-0.45,17,12,21,14,10,19,2,0,3,1,0,2,0.94,88,84,91,1.36,,,,,,,89,79,100,,,,83,76,89,6329,46,38,54,0.93
