FIPS,State,County,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,% Fair or Poor Health,95% CI - Low,95% CI - High,Z-Score,Average Number of Physically Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Average Number of Mentally Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Unreliable,% Low Birthweight,95% CI - Low,95% CI - High,Z-Score,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low,95% CI - High,Z-Score,% Adults with Obesity,95% CI - Low,95% CI - High,Z-Score,Food Environment Index,Z-Score,% Physically Inactive,95% CI - Low,95% CI - High,Z-Score,% With Access to Exercise Opportunities,Z-Score,% Excessive Drinking,95% CI - Low,95% CI - High,Z-Score,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low,95% CI - High,Z-Score,# Chlamydia Cases,Chlamydia Rate,Z-Score,Teen Birth Rate,95% CI - Low,95% CI - High,Z-Score,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Z-Score,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score,# Dentists,Dentist Rate,Dentist Ratio,Z-Score,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score,Preventable Hospitalization Rate,Z-Score,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Z-Score,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),Cohort Size,High School Graduation Rate,Z-Score,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Z-Score,# Unemployed,Labor Force,% Unemployed,Z-Score,% Children in Poverty,95% CI - Low,95% CI - High,Z-Score,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score,# Single-Parent Households,# Households,% Single-Parent Households,95% CI - Low,95% CI - High,Z-Score,# Associations,Social Association Rate,Z-Score,Annual Average Violent Crimes,Violent Crime Rate,Z-Score,# Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,Z-Score,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score,Presence of Water Violation,Z-Score,% Severe Housing Problems,95% CI - Low,95% CI - High,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score,% Drive Alone to Work,95% CI - Low,95% CI - High,Z-Score,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low,95% CI - High,Z-Score
01000,Alabama,,81791,9943,9841,10045,,,,,,,,,,,,,,,,,22,21,23,,4.9,4.6,5.2,,4.9,4.6,5.3,,,10,10,10,,,,,,,,,,,,,,,,,21,20,22,,36,,,,5.8,,30,,,,61,,14,13,15,,1284,4654,28,27,28,,29935,614.1,,31,31,31,,,,,,,,,,,,,,,,,438049,11,11,11,,3160,65,1543:1,,2355,48,2076:1,,4948,101,988:1,,5805,,,,,,,40,,,,,,,41,,,,,,,54917,89,,744300,1232042,60,60,61,,86493,2198844,3.9,,24,23,25,,,,,,,99688,18948,5.3,,406913,1089671,37,37,38,,6031,12.4,,23307,480,,20015,82,81,83,,,,,,,,,,,,,,,,,11.0,,,,14,14,15,,,,,,,,,,,86,86,86,,,,,,,,,,,,,,,,,2051445,34,34,35,
01001,Alabama,Autauga,791,8129,7283,8974,-1.50,,,,,,,10201,8124,12279,,,,7886,6924,8848,21,20,21,-0.72,4.7,4.6,4.9,-0.50,4.7,4.5,4.8,-1.06,,9,8,9,-0.96,,,,,,,14,11,16,,,,7,6,8,18,17,19,-0.92,33,28,40,-0.97,7.2,-0.27,35,29,41,0.67,69,-1.15,15,14,16,0.89,15,56,27,20,34,-0.29,226,407.2,-0.60,25,23,28,-1.22,,,,,,,31,25,39,,,,24,21,27,4093,9,8,10,-1.80,25,45,2220:1,0.02,18,32,3089:1,-0.05,13,23,4277:1,0.59,7108,0.58,,,8464,,6877,41,-0.60,,,36,36,42,41,-0.44,,46,30,29,43,660,90,-0.19,8953,14438,62,56,68,-1.05,942,25957,3.6,-0.75,19,14,24,-0.98,,7,46,,18,110026,21019,5.2,-0.09,3495,13318,26,21,32,-1.06,67,12.1,-0.29,149,272,-0.63,190,69,59,78,-1.24,,,,,,,42,27,64,,,,77,65,89,11.7,0.98,No,-0.42,15,12,17,13,10,15,1,1,2,1,0,2,0.28,87,85,88,0.32,,,,,,,82,76,89,,,,84,80,89,24428,40,36,43,0.20
01003,Alabama,Baldwin,2967,7354,6919,7790,-1.91,,,,,,,9891,8389,11392,3570,2373,5160,7436,6940,7931,18,17,18,-1.55,4.2,4.1,4.4,-1.70,4.3,4.1,4.5,-2.26,,8,8,9,-1.09,,,,11,7,15,15,13,17,5,4,7,8,7,8,17,17,18,-1.21,31,28,34,-1.50,8.0,-0.87,27,24,29,-1.18,74,-1.37,18,17,19,2.66,48,156,31,27,35,0.10,691,325.0,-0.90,28,26,30,-0.90,,,,,,,33,29,38,46,37,55,26,25,28,19119,11,10,13,-0.24,155,73,1372:1,-1.26,108,50,2019:1,-1.07,210,96,1038:1,-0.50,4041,-1.30,,8863,6135,,3975,43,-1.05,36,45,36,32,44,44,-0.98,50,46,30,40,45,2207,86,0.49,32812,48703,67,64,71,-1.61,3393,93849,3.6,-0.76,14,9,18,-1.52,12,,27,26,11,111447,25227,4.4,-0.95,10963,45415,24,21,27,-1.22,217,10.2,0.32,408,204,-1.00,755,72,67,78,-1.00,,,,,,,42,30,57,,,,80,74,86,10.3,-1.28,No,-0.42,14,12,15,12,11,14,1,1,2,0,0,1,-0.08,84,83,86,-0.58,,,,,,,87,83,91,68,56,81,83,81,85,91420,42,39,44,0.43
01005,Alabama,Barbour,472,10254,8782,11725,-0.36,,,,,,,12422,10131,14713,,,,8140,6329,9951,30,29,30,1.42,5.4,5.3,5.6,1.09,5.2,5.0,5.4,0.75,,11,10,13,0.38,,,,,,,15,13,18,,,,7,5,9,22,21,23,0.97,42,35,49,1.00,5.6,0.92,24,18,30,-1.85,53,-0.38,13,12,13,-0.42,12,30,40,31,49,1.00,181,716.3,0.50,41,35,47,0.66,,,,,,,43,35,50,55,28,96,37,29,47,2136,12,10,14,0.30,8,32,3159:1,0.63,9,36,2765:1,-0.27,2,8,12441:1,0.82,6209,0.03,,,5733,,6608,45,-1.51,,,45,,46,37,0.27,,,31,,40,312,81,1.43,2363,6779,35,30,39,1.80,433,8373,5.2,0.58,44,33,55,1.45,,,65,69,17,76557,13475,5.7,0.38,3073,5429,57,50,63,1.17,19,7.5,1.19,106,414,0.12,91,70,57,86,-1.13,,,,,,,72,53,96,,,,68,49,92,11.5,0.66,No,-0.42,15,12,17,13,11,16,2,1,2,1,0,1,0.25,83,81,86,-0.95,,,,,,,81,76,87,,,,87,85,90,8538,32,27,37,-0.62
01007,Alabama,Bibb,471,11978,10344,13611,0.56,,,,,,,13085,9431,17687,,,,12241,10344,14139,19,19,20,-1.08,4.6,4.4,4.8,-0.85,4.6,4.4,4.7,-1.41,,10,9,12,-0.17,,,,,,,17,13,21,,,,9,7,10,19,18,20,-0.42,38,30,46,0.04,7.8,-0.72,34,26,42,0.40,16,1.39,16,15,16,1.22,8,29,28,18,38,-0.21,77,339.7,-0.84,42,36,48,0.76,,,,,,,22,13,35,,,,46,39,54,1727,10,9,12,-0.91,11,49,2061:1,-0.14,5,22,4480:1,0.55,5,22,4480:1,0.60,5961,-0.12,,,3536,,6163,40,-0.37,,,34,,42,38,0.09,,,27,,39,271,84,0.98,2635,5970,44,36,52,0.82,344,8661,4.0,-0.45,28,19,36,-0.14,,,20,11,21,87957,20134,4.4,-1.00,1322,4608,29,17,40,-0.88,19,8.4,0.91,20,89,-1.60,122,108,89,127,1.20,,,,,,,93,59,139,,,,117,95,143,11.2,0.18,No,-0.42,10,7,14,10,6,14,0,0,1,1,0,2,-1.07,85,80,90,-0.33,,,,,,,,,,,,,,,,7946,50,42,58,1.33
01009,Alabama,Blount,1085,11335,10289,12381,0.22,,,,,,,,,,,,,,,,22,21,23,-0.51,4.9,4.7,5.1,-0.23,4.9,4.7,5.1,-0.25,,8,7,8,-1.44,,,,,,,,,,7,5,9,8,7,9,19,19,20,-0.38,34,28,40,-0.85,8.4,-1.17,30,25,35,-0.32,16,1.42,14,14,15,0.42,14,72,19,14,26,-1.00,136,234.4,-1.22,34,30,37,-0.22,,,,,,,42,22,74,32,24,42,34,30,38,6333,13,12,15,0.96,13,22,4463:1,1.05,11,19,5258:1,0.75,9,16,6427:1,0.70,4060,-1.29,,,,,,34,1.00,,,29,18,34,39,-0.09,,,20,30,39,689,93,-0.85,7438,13939,53,48,59,-0.14,878,25006,3.5,-0.85,18,13,23,-1.11,,,2,50,16,91702,20699,4.4,-0.93,3825,13392,29,22,36,-0.89,49,8.4,0.89,279,483,0.48,310,107,95,119,1.14,,,,,,,,,,45,23,79,116,103,129,11.7,0.98,No,-0.42,11,9,12,8,6,9,2,1,3,1,1,2,-1.05,86,84,88,0.18,,,,,,,,,,80,76,84,83,79,86,21148,59,54,64,2.39
01011,Alabama,Bullock,203,11680,9191,14168,0.40,,,,,,,,,,,,,,,,31,30,32,1.77,5.4,5.2,5.6,0.92,4.9,4.7,5.1,-0.26,,16,13,18,2.36,,,,,,,18,15,21,9,4,14,,,,23,22,24,1.41,37,23,52,-0.05,4.3,1.89,25,15,39,-1.60,3,2.06,12,12,13,-0.87,15,25,60,52,67,2.94,89,863.3,1.03,48,39,59,1.51,,,,,,,,,,,,,,,,803,11,10,13,-0.18,3,29,3436:1,0.75,2,20,5069:1,0.71,2,20,5069:1,0.64,6632,0.29,,,6100,,7455,35,0.77,,,35,,37,28,1.87,,,25,,35,121,70,3.00,951,2719,35,23,47,1.78,224,4776,4.7,0.17,68,55,81,3.00,,,,,,69189,9337,7.4,2.20,1602,2142,75,65,84,2.51,8,7.8,1.11,33,311,-0.43,56,107,81,139,1.13,,,,,,,113,81,153,,,,113,60,193,11.2,0.18,No,-0.42,18,12,24,15,10,21,0,0,1,3,0,6,1.40,79,75,83,-2.69,,,,,,,76,66,85,,,,74,58,89,3940,46,31,61,0.91
01013,Alabama,Butler,423,14360,12281,16439,1.83,,,,,,,16246,13148,19343,,,,13002,10077,15928,28,27,29,1.01,5.4,5.2,5.6,1.02,5.3,5.2,5.5,1.28,,13,11,14,0.95,,,,,,,15,13,17,,,,10,8,12,22,21,22,0.86,43,35,51,1.37,6.6,0.17,40,32,47,1.75,49,-0.16,12,11,12,-1.01,14,51,27,20,35,-0.22,151,761.7,0.66,38,32,44,0.30,,,,,,,37,29,45,,,,41,32,51,1759,11,10,13,-0.33,5,25,3965:1,0.93,6,30,3280:1,0.06,10,51,1968:1,0.18,9203,1.87,,,9610,,9249,42,-0.83,,,43,,42,35,0.62,,,29,,38,239,82,1.39,2011,4825,42,35,48,1.08,427,8914,4.8,0.26,36,25,47,0.70,,,45,,18,80036,14757,5.4,0.11,2390,4534,53,44,61,0.89,18,9.1,0.69,117,582,1.01,100,100,80,120,0.70,,,,,,,94,68,127,,,,110,84,143,10.6,-0.79,Yes,2.37,13,11,16,12,9,14,2,1,3,0,0,1,-0.21,84,80,88,-0.77,,,,,,,82,76,89,,,,88,85,91,7769,32,27,38,-0.61
01015,Alabama,Calhoun,2373,12079,11352,12806,0.61,,,,,,,11372,9878,12866,,,,12661,11783,13538,23,23,24,-0.17,4.9,4.7,5.0,-0.18,4.8,4.6,5.0,-0.51,,9,9,10,-0.70,,,,,,,14,12,15,6,4,8,8,7,8,21,20,21,0.30,39,35,42,0.25,6.9,-0.05,32,28,35,-0.01,48,-0.12,14,13,14,0.18,18,96,19,14,24,-1.07,751,654.6,0.28,34,31,36,-0.22,,,,,,,35,31,40,38,27,51,33,30,36,11021,12,10,13,0.11,73,64,1572:1,-0.84,67,59,1706:1,-1.61,132,116,866:1,-0.78,6581,0.26,,,9098,2252,6305,32,1.45,,28,34,28,32,38,0.09,,55,28,29,39,1402,92,-0.64,17099,28862,59,55,63,-0.76,2139,45972,4.7,0.14,27,20,33,-0.27,,14,53,23,16,90822,18078,5.0,-0.31,10009,24903,40,36,44,-0.03,166,14.5,-1.06,871,756,1.93,515,90,82,97,0.05,,,,,,,72,58,88,,,,99,89,108,11.8,1.14,No,-0.42,14,12,15,12,11,13,2,1,2,1,0,1,-0.02,85,83,87,-0.37,,,,,,,86,82,90,87,76,98,87,85,89,47147,31,29,34,-0.73
01017,Alabama,Chambers,654,11113,9761,12464,0.10,,,,,,,9588,7692,11483,,,,12349,10369,14328,24,23,25,0.04,4.9,4.8,5.1,-0.04,4.9,4.7,5.0,-0.32,,12,11,13,0.73,,,,,,,17,15,19,,,,9,7,10,19,19,20,-0.29,40,33,48,0.62,6.4,0.32,30,23,37,-0.37,62,-0.80,13,12,13,-0.48,10,35,29,20,38,-0.11,206,611.0,0.12,45,40,51,1.21,,,,,,,48,41,56,,,,43,36,50,3208,12,10,14,0.12,14,42,2408:1,0.18,6,18,5603:1,0.82,2,6,16808:1,0.85,5622,-0.33,,,6523,,5250,38,0.08,,,36,,39,42,-0.62,,,30,,46,327,86,0.52,3714,7664,48,43,54,0.37,597,15276,3.9,-0.51,31,21,41,0.14,,,32,70,12,80754,17019,4.7,-0.60,3237,6953,47,39,54,0.43,60,17.8,-2.14,181,529,0.73,138,81,68,95,-0.44,,,,,,,49,34,69,,,,109,88,130,11.4,0.50,No,-0.42,16,13,19,12,10,15,4,3,5,1,0,2,0.69,85,83,88,-0.19,,,,,,,87,82,92,,,,86,80,92,14396,32,28,36,-0.67
