FIPS,State,Borough,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,% Fair or Poor Health,95% CI - Low,95% CI - High,Z-Score,Average Number of Physically Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Average Number of Mentally Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Unreliable,% Low Birthweight,95% CI - Low,95% CI - High,Z-Score,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low,95% CI - High,Z-Score,% Adults with Obesity,95% CI - Low,95% CI - High,Z-Score,Food Environment Index,Z-Score,% Physically Inactive,95% CI - Low,95% CI - High,Z-Score,% With Access to Exercise Opportunities,Z-Score,% Excessive Drinking,95% CI - Low,95% CI - High,Z-Score,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low,95% CI - High,Z-Score,# Chlamydia Cases,Chlamydia Rate,Z-Score,Teen Birth Rate,95% CI - Low,95% CI - High,Z-Score,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Z-Score,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score,# Dentists,Dentist Rate,Dentist Ratio,Z-Score,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score,Preventable Hospitalization Rate,Z-Score,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Z-Score,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),Cohort Size,High School Graduation Rate,Z-Score,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Z-Score,# Unemployed,Labor Force,% Unemployed,Z-Score,% Children in Poverty,95% CI - Low,95% CI - High,Z-Score,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score,# Single-Parent Households,# Households,% Single-Parent Households,95% CI - Low,95% CI - High,Z-Score,# Associations,Social Association Rate,Z-Score,Annual Average Violent Crimes,Violent Crime Rate,Z-Score,# Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,Z-Score,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score,Presence of Water Violation,Z-Score,% Severe Housing Problems,95% CI - Low,95% CI - High,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score,% Drive Alone to Work,95% CI - Low,95% CI - High,Z-Score,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low,95% CI - High,Z-Score
02000,Alaska,,8336,8049,7815,8282,,,,,,,,,,,,,,,,,18,16,21,,4.0,3.5,4.6,,3.9,3.3,4.5,,,6,6,6,,,,,,,,,,,,,,,,,21,18,24,,33,,,,6.3,,20,,,,100,,21,19,24,,145,381,38,36,41,,5934,802.1,,27,26,28,,,,,,,,,,,,,,,,,94727,15,14,16,,673,91,1099:1,,737,100,1001:1,,3191,433,231:1,,2904,,,,,,,35,,,,,,,35,,,,,,,9847,79,,137348,211198,65,64,66,,23510,356886,6.6,,15,13,16,,,,,,,140179,34114,4.1,,54574,184114,30,28,31,,840,11.4,,5325,720,,3444,93,90,96,,,,,,,,,,,,,,,,,,,,,21,20,21,,,,,,,,,,,69,68,70,,,,,,,,,,,,,,,,,358627,16,15,17,
02013,Alaska,Aleutians East,,,,,,,,,,,,,,,,,,,,,17,16,17,,3.4,3.3,3.5,,2.8,2.7,2.9,,,,,,,,,,,,,,,,,,,,,,17,16,17,,51,40,62,,5.3,,30,21,41,,100,,17,16,17,,,,,,,,13,385.8,,,,,,,,,,,,,,,,,,,,,857,28,24,32,,,,,,1,28,3515:1,,3,85,1172:1,,,,,,,,,,,,,,,,,,,,,,,18,89,,490,999,49,42,56,,69,2321,3.0,,13,8,17,,19,80,,27,,121429,28625,4.2,,244,482,51,42,59,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,13,10,15,8,5,12,3,0,5,2,0,4,,26,21,31,,52,47,57,7,4,10,,,,6,0,12,40,32,48,2365,0,0,8,
02016,Alaska,Aleutians West,,,,,0.00,,,,,,,,,,,,,,,,15,15,16,-0.34,3.0,2.9,3.1,-0.99,2.5,2.4,2.6,-1.57,x,8,,,1.90,,,,,,,,,,,,,,,,15,15,16,-0.88,44,37,52,1.67,7.6,-0.68,30,23,38,1.43,100,0.00,19,19,20,-1.13,4,4,100,,,1.73,16,277.6,-0.73,,,,0.00,,,,,,,,,,,,,,,,1051,20,17,23,0.47,2,35,2882:1,0.98,6,105,954:1,-0.70,7,122,818:1,0.66,,0.00,,,,,,,0.00,,,,,,,0.00,,,,,,32,91,-1.35,979,1852,53,47,59,0.18,128,3615,3.5,-1.40,8,5,11,-0.99,18,7,,14,12,143818,47720,3.0,-1.80,301,918,33,27,39,-0.17,0,0.0,1.12,13,295,-0.37,12,42,22,73,-1.36,,,,,,,,,,,,,,,,,0.00,Yes,0.80,19,16,22,6,3,9,11,9,14,3,1,4,-0.62,48,41,54,-0.01,41,37,46,33,27,40,13,9,18,47,37,58,55,49,62,3861,1,0,3,-0.67
02020,Alaska,Anchorage,3203,7680,7328,8032,-0.64,20439,18545,22333,5656,4766,6546,9556,8087,11026,5204,4241,6167,6317,5912,6722,15,15,15,-0.37,3.5,3.4,3.6,-0.51,3.2,3.1,3.3,-0.60,,6,6,7,0.65,8,7,9,7,6,7,9,8,11,6,6,7,5,5,6,15,15,15,-0.90,32,29,34,-0.32,8.0,-0.87,18,16,20,-1.03,100,0.00,21,21,22,0.23,31,114,27,22,32,-0.66,2523,857.1,-0.12,24,23,26,-0.52,36,32,41,37,33,41,28,24,32,29,25,33,15,14,16,32847,13,12,14,-1.60,325,110,906:1,-0.08,363,125,803:1,-1.15,1203,413,242:1,0.12,2794,-0.14,6481,2700,4495,2683,2300,37,-0.75,40,27,34,32,39,38,-0.83,33,44,26,34,39,3579,81,-0.30,63502,89484,71,,,-1.17,8348,151950,5.5,-0.90,12,10,15,-0.62,24,31,27,13,6,152394,39712,3.8,-0.60,21718,72562,30,27,33,-0.42,333,11.3,-0.72,3022,1007,1.81,1252,84,80,89,-0.66,217,192,242,36,28,46,90,73,111,52,40,65,78,72,84,,0.00,Yes,0.80,16,15,17,12,11,13,4,4,5,1,1,1,-0.79,76,75,78,1.34,66,62,70,71,67,75,72,66,77,76,72,80,79,78,81,155065,14,13,15,0.67
02050,Alaska,Bethel,249,14126,12079,16173,0.79,,,,,,,,,,,,,,,,24,23,25,1.13,5.4,5.2,5.6,1.33,4.6,4.4,4.8,1.29,,6,5,7,0.41,,,,,,,,,,,,,,,,30,29,31,1.30,31,26,36,-0.44,2.9,1.50,31,26,37,1.66,100,0.00,22,21,23,0.31,6,10,60,46,71,0.42,588,3252.9,2.41,62,55,68,1.13,,,,,,,,,,,,,,,,3267,20,18,22,0.34,18,100,1004:1,0.07,26,143,701:1,-1.57,403,2212,45:1,-3.00,2625,-0.23,,,,,,16,2.08,,,,,,10,1.60,,,,,,334,62,1.68,1681,4705,36,31,41,1.45,945,7400,12.8,0.97,41,32,50,2.06,36,,,12,1,113920,20083,5.7,2.06,2301,6331,36,32,41,0.14,7,3.9,0.49,,,0.00,158,175,148,203,0.85,188,157,219,,,,,,,,,,116,60,202,,0.00,Yes,0.80,60,57,64,8,6,11,36,33,39,36,34,37,1.93,23,20,27,-1.15,18,14,22,,,,,,,,,,38,26,51,5938,1,0,4,-0.66
02060,Alaska,Bristol Bay,,,,,,,,,,,,,,,,,,,,,15,15,16,,3.7,3.5,3.8,,3.6,3.5,3.8,,,,,,,,,,,,,,,,,,,,,,18,18,19,,42,33,50,,6.9,,29,22,37,,100,,21,20,22,,0,2,0,0,51,,,,,,,,,,,,,,,,,,,,,,,,128,17,15,20,,0,0,867:0,,1,114,877:1,,0,0,877:0,,1567,,,,,,,35,,33,,,,36,32,,26,,,,34,41,85,,138,226,61,52,70,,28,441,6.3,,15,10,21,,,,,,,146167,37636,3.9,,69,194,36,25,46,,0,0.0,,0,0,,10,223,107,409,,,,,,,,,,,,,,,,,,,No,,15,10,21,8,0,17,6,1,11,2,0,5,,59,55,62,,76,56,97,,,,,,,,,,39,28,51,490,3,0,14,
02068,Alaska,Denali,,,,,0.00,,,,,,,,,,,,,,,,13,13,14,-0.62,3.4,3.2,3.5,-0.66,3.3,3.1,3.4,-0.55,,,,,0.00,,,,,,,,,,,,,,,,18,17,18,-0.54,25,19,33,-1.35,6.0,0.06,18,13,24,-0.93,100,0.00,23,22,24,1.14,3,11,27,11,45,-0.66,,,0.00,,,,0.00,,,,,,,,,,,,,,,,248,14,12,16,-1.27,,,,0.00,0,0,2059:0,1.73,,,,0.00,,0.00,,,,,,,0.00,,,,,,,0.00,,,,,,51,65,1.36,406,561,72,56,89,-1.27,85,1088,7.8,-0.30,7,5,10,-1.06,,,,,,127800,40594,3.1,-1.60,37,241,15,5,26,-1.70,0,0.0,1.12,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,0.00,No,-1.20,26,19,33,6,0,12,7,2,11,16,9,23,-0.17,34,11,56,-0.67,,,,,,,,,,,,,,,,1492,26,16,35,1.90
02070,Alaska,Dillingham,65,13106,9523,17594,0.56,,,,,,,,,,,,,,,,23,22,24,0.97,4.8,4.6,5.0,0.78,4.5,4.3,4.7,1.11,,6,5,8,0.84,,,,,,,,,,,,,,,,27,26,28,0.80,36,29,43,0.29,4.8,0.61,24,19,30,0.21,100,0.00,22,21,22,0.31,1,2,50,10,77,0.09,83,1682.9,0.75,46,35,59,0.43,,,,,,,,,,,,,,,,783,17,15,20,-0.31,13,264,379:1,-2.21,7,140,714:1,-1.51,36,720,139:1,-0.46,5919,1.52,,,,,,27,0.60,28,,,,19,26,0.21,25,,,,28,79,67,1.11,627,1285,49,39,58,0.48,166,2027,8.2,-0.21,32,22,41,1.17,27,,,26,15,109896,23571,4.7,0.59,608,1518,40,34,46,0.47,0,0.0,1.12,,,0.00,35,141,98,196,0.28,,,,,,,,,,,,,,,,,0.00,No,-1.20,38,33,42,9,5,12,21,18,25,15,12,18,0.54,36,32,39,-0.57,37,31,42,,,,,,,,,,39,26,52,1980,5,2,7,-0.25
02090,Alaska,Fairbanks North Star,942,7007,6422,7591,-0.79,18049,14876,21221,,,,7320,5070,10229,4390,2868,6433,5884,5262,6506,12,12,12,-0.88,3.0,2.9,3.2,-0.96,3.2,3.1,3.3,-0.64,,6,5,6,0.23,5,4,7,8,6,11,10,7,12,7,5,8,5,5,6,16,15,16,-0.78,30,27,33,-0.60,7.7,-0.73,18,16,20,-0.91,100,0.00,23,22,24,1.06,19,48,40,32,47,-0.25,826,828.5,-0.15,27,24,29,-0.41,37,30,46,19,11,31,26,18,36,27,20,36,24,22,27,11342,13,12,15,-1.46,78,78,1278:1,0.37,135,136,733:1,-1.43,544,550,182:1,-0.14,2113,-0.51,2978,,1767,6748,1982,36,-0.62,44,36,40,24,36,35,-0.57,34,38,33,23,35,1114,74,0.40,22130,30547,72,68,77,-1.28,2675,46101,5.8,-0.82,9,6,12,-0.87,10,1,11,19,8,137048,37297,3.7,-0.84,6773,23894,28,23,34,-0.56,97,9.7,-0.46,,,0.00,412,83,75,91,-0.69,196,156,243,48,23,89,73,46,111,35,19,59,76,67,85,,0.00,No,-1.20,24,21,26,14,12,16,6,4,7,7,5,8,-0.32,75,73,78,1.29,72,63,81,71,59,83,68,61,74,70,61,79,78,75,80,51749,16,14,18,0.88
02100,Alaska,Haines,,,,,0.00,,,,,,,,,,,,,,,,13,12,13,-0.75,3.5,3.3,3.6,-0.55,3.3,3.2,3.5,-0.48,,,,,0.00,,,,,,,,,,,,,,,,16,16,17,-0.74,27,20,35,-1.08,7.6,-0.68,21,15,28,-0.40,100,0.00,21,20,21,-0.24,0,1,0,0,66,-1.56,4,158.4,-0.86,,,,0.00,,,,,,,,,,,,,,,,357,18,15,20,-0.15,7,277,361:1,-2.40,2,81,1237:1,-0.14,6,243,412:1,0.44,695,-1.26,,,,,,40,-1.15,25,,,,43,27,0.12,36,,,,24,23,78,-0.06,441,618,71,50,93,-1.20,104,1092,9.5,0.14,16,11,22,-0.22,28,,,32,20,122238,29793,4.1,-0.22,119,533,22,0,46,-1.09,0,0.0,1.12,4,156,-0.80,,,,,0.00,,,,,,,,,,,,,,,,,0.00,No,-1.20,25,13,37,5,1,9,11,0,21,16,6,27,-0.23,64,50,77,0.74,,,,,,,,,,,,,,,,1277,2,0,7,-0.55
