FIPS,State,County,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,% Fair or Poor Health,95% CI - Low,95% CI - High,Z-Score,Average Number of Physically Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Average Number of Mentally Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Unreliable,% Low Birthweight,95% CI - Low,95% CI - High,Z-Score,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low,95% CI - High,Z-Score,% Adults with Obesity,95% CI - Low,95% CI - High,Z-Score,Food Environment Index,Z-Score,% Physically Inactive,95% CI - Low,95% CI - High,Z-Score,% With Access to Exercise Opportunities,Z-Score,% Excessive Drinking,95% CI - Low,95% CI - High,Z-Score,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low,95% CI - High,Z-Score,# Chlamydia Cases,Chlamydia Rate,Z-Score,Teen Birth Rate,95% CI - Low,95% CI - High,Z-Score,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Z-Score,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score,# Dentists,Dentist Rate,Dentist Ratio,Z-Score,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score,Preventable Hospitalization Rate,Z-Score,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Z-Score,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),Cohort Size,High School Graduation Rate,Z-Score,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Z-Score,# Unemployed,Labor Force,% Unemployed,Z-Score,% Children in Poverty,95% CI - Low,95% CI - High,Z-Score,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score,# Single-Parent Households,# Households,% Single-Parent Households,95% CI - Low,95% CI - High,Z-Score,# Associations,Social Association Rate,Z-Score,Annual Average Violent Crimes,Violent Crime Rate,Z-Score,# Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,Z-Score,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score,Presence of Water Violation,Z-Score,% Severe Housing Problems,95% CI - Low,95% CI - High,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score,% Drive Alone to Work,95% CI - Low,95% CI - High,Z-Score,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low,95% CI - High,Z-Score
04000,Arizona,,80394,7075,7003,7146,,,,,,,,,,,,,,,,,19,18,19,,4.0,3.8,4.2,,4.0,3.9,4.2,,,7,7,7,,,,,,,,,,,,,,,,,16,15,16,,28,,,,6.6,,22,,,,85,,17,16,18,,1177,4630,25,25,26,,39598,564.4,,27,27,28,,,,,,,,,,,,,,,,,685974,12,12,12,,4663,66,1505:1,,4411,62,1626:1,,9564,133,750:1,,3096,,,,,,,41,,,,,,,44,,,,,,,84884,78,,1143921,1801031,64,63,64,,166205,3439758,4.8,,20,20,21,,,,,,,110536,24117,4.6,,574655,1617093,36,35,36,,3974,5.7,,29750,435,,28744,83,82,84,,,,,,,,,,,,,,,,,5.8,,,,18,18,19,,,,,,,,,,,77,76,77,,,,,,,,,,,,,,,,,3008707,36,35,36,
04001,Arizona,Apache,1296,15889,14754,17024,1.79,17990,16604,19376,,,,,,,9299,6274,13276,9862,7529,12194,26,25,27,1.67,5.6,5.4,5.8,2.59,5.3,5.2,5.5,2.06,,7,7,8,-0.09,7,6,7,,,,,,,11,7,14,8,7,10,22,21,22,2.03,34,30,37,0.85,2.0,2.91,27,24,30,0.32,19,2.20,13,12,14,-1.65,53,180,29,26,33,0.13,639,892.4,1.86,37,35,40,0.16,40,37,43,,,,,,,36,27,47,24,19,31,11444,19,17,21,1.92,23,32,3113:1,1.13,47,65,1528:1,-0.81,64,89,1122:1,0.11,5244,2.46,6365,,,2129,2575,20,2.16,17,,,34,25,38,0.00,44,,,24,26,1114,73,1.57,8197,16568,49,46,52,0.82,2080,20665,10.1,1.00,47,42,53,2.13,51,,,38,5,73095,9578,7.6,2.95,9967,19554,51,47,55,1.67,25,3.5,1.19,79,109,-1.16,726,202,187,216,2.15,235,217,254,,,,,,,71,41,115,125,100,155,5.7,-0.61,Yes,0.48,32,30,33,7,6,8,14,13,16,17,16,18,2.51,77,75,80,-0.16,77,75,79,,,,,,,74,58,90,70,64,75,18161,39,36,42,1.25
04003,Arizona,Cochise,1785,7452,6894,8010,-0.54,,,,,,,,,,6192,5379,7005,8533,7665,9401,18,18,18,-0.50,4.2,4.1,4.4,-0.20,4.3,4.2,4.5,-0.09,,8,7,8,0.62,,,,7,4,10,14,11,18,7,7,8,8,7,9,15,15,15,-0.60,30,27,33,-0.04,6.8,-0.36,25,22,28,-0.12,60,0.30,15,14,15,-0.65,31,99,31,26,37,0.28,454,363.9,-0.67,34,32,37,-0.15,,,,,,,17,11,26,45,42,49,25,22,28,9661,10,9,12,-0.89,68,55,1835:1,-0.06,70,55,1811:1,-0.23,153,121,829:1,-0.43,3324,0.09,,3117,5060,3159,3272,37,-0.36,33,42,44,33,38,33,0.89,20,34,24,26,34,1467,88,-1.05,19390,29676,65,62,69,-1.16,2789,49774,5.6,-0.33,23,16,30,-0.38,50,39,8,29,19,93200,19650,4.7,-0.03,9879,27535,36,32,40,-0.48,105,8.4,-1.11,366,333,0.39,568,90,83,97,-0.37,,,,,,,38,19,69,58,48,68,114,103,125,7.5,0.29,Yes,0.48,16,15,18,13,12,14,3,2,4,1,1,2,-0.57,79,77,81,0.12,,,,77,68,86,72,63,82,81,79,83,78,75,80,46139,22,20,24,-0.25
04005,Arizona,Coconino,1508,8705,8117,9292,-0.19,16474,14927,18022,,,,,,,5267,4068,6465,5703,5060,6347,16,16,16,-1.09,4.2,4.1,4.3,-0.28,4.2,4.1,4.4,-0.29,,8,7,8,0.81,6,6,7,13,9,17,14,7,21,10,9,12,9,8,9,16,16,16,-0.20,24,21,27,-1.48,6.1,0.11,17,15,19,-1.48,83,-0.80,17,17,18,0.83,56,247,23,19,26,-0.42,1058,751.5,1.18,19,18,20,-1.76,45,41,49,,,,,,,20,17,23,8,7,10,14874,13,12,15,-0.03,119,85,1183:1,-1.66,108,76,1323:1,-1.38,295,207,484:1,-1.89,2370,-1.08,5351,,,1153,1644,31,0.53,11,23,33,33,35,39,-0.18,24,37,29,39,43,1564,82,0.01,24103,34421,70,66,74,-1.74,4233,77083,5.5,-0.36,17,12,22,-0.94,32,29,4,25,8,110744,21815,5.1,0.31,10662,29140,37,33,40,-0.38,132,9.4,-1.56,498,357,0.55,725,103,96,111,-0.06,195,174,215,,,,,,,61,47,79,74,66,83,5.6,-0.66,Yes,0.48,25,24,27,17,15,18,7,6,8,5,4,5,1.22,69,68,71,-1.88,70,66,74,60,44,75,57,42,73,63,58,69,71,69,74,65014,16,14,17,-0.80
04007,Arizona,Gila,1154,14227,12846,15609,1.33,27395,23203,31588,,,,,,,9535,7211,11858,11036,9423,12648,19,18,19,-0.33,4.5,4.4,4.6,0.36,4.5,4.4,4.6,0.27,,9,8,10,1.78,9,7,10,,,,,,,7,6,9,9,8,11,18,17,18,0.46,31,28,34,0.20,6.2,0.05,27,24,30,0.30,92,-1.20,16,15,16,-0.14,25,117,21,17,26,-0.53,215,401.9,-0.49,51,46,55,1.56,89,77,101,,,,,,,46,38,54,36,30,41,5082,13,12,15,0.09,25,47,2140:1,0.35,30,56,1796:1,-0.26,35,65,1540:1,0.52,3501,0.31,9602,,,5157,2790,34,0.09,13,45,,36,36,38,0.00,17,38,42,34,39,588,75,1.12,4894,9700,50,45,56,0.70,1267,21518,5.9,-0.25,34,26,41,0.73,59,,,40,27,84705,18080,4.7,-0.09,4793,10771,44,38,51,0.75,52,9.7,-1.72,303,574,2.05,415,155,140,170,1.11,215,174,263,,,,,,,106,79,139,157,138,176,5.8,-0.56,No,-1.93,16,14,18,12,10,14,4,3,5,2,1,3,-0.56,80,77,83,0.34,74,66,82,,,,,,,80,74,85,81,76,86,17593,18,14,21,-0.65
04009,Arizona,Graham,465,8635,7587,9682,-0.21,16536,12707,21157,,,,,,,8381,6544,10218,7025,5717,8333,19,18,19,-0.26,4.4,4.2,4.5,0.09,4.2,4.0,4.3,-0.34,,8,7,9,0.73,8,6,10,,,,,,,10,8,11,7,6,8,18,17,18,0.42,35,29,41,1.17,6.3,-0.02,23,19,29,-0.37,56,0.49,17,17,18,0.68,13,36,36,27,45,0.67,186,496.5,-0.04,43,38,47,0.70,70,57,84,,,,,,,51,44,59,28,24,33,2948,10,9,11,-1.03,22,59,1703:1,-0.29,25,66,1523:1,-0.82,16,42,2380:1,0.91,2766,-0.59,8712,,,3283,2078,33,0.24,18,,,36,34,38,0.00,8,,,40,40,527,86,-0.68,5809,10473,55,51,60,0.07,764,14878,5.1,-0.47,24,18,31,-0.21,47,,,31,23,91804,19569,4.7,-0.09,3600,10189,35,29,42,-0.56,18,4.8,0.58,36,109,-1.16,147,78,65,90,-0.64,94,60,142,,,,,,,83,62,109,74,58,93,6.0,-0.46,No,-1.93,17,15,20,10,8,12,7,5,9,2,1,3,-0.38,80,77,82,0.30,64,58,70,,,,,,,84,82,86,82,80,85,12365,16,14,19,-0.76
04011,Arizona,Greenlee,103,7215,5263,9167,-0.61,,,,,,,,,,,,,,,,18,17,18,-0.55,3.7,3.6,3.9,-1.23,3.8,3.6,3.9,-1.17,,7,5,8,-0.72,,,,,,,,,,8,5,11,6,4,8,14,14,15,-0.90,29,21,39,-0.16,5.8,0.32,22,15,31,-0.55,46,0.93,18,17,19,1.18,2,3,67,39,82,3.00,25,264.4,-1.15,40,32,49,0.42,,,,,,,,,,37,27,49,46,32,63,704,9,7,10,-1.48,5,53,1891:1,0.02,2,21,4742:1,1.68,1,11,9483:1,1.44,2571,-0.83,,,,3348,728,30,0.68,,,,32,30,29,1.61,,,,34,27,120,90,-1.37,1507,2685,56,47,65,-0.01,182,4280,4.3,-0.73,12,8,15,-1.51,,,20,9,24,102237,30916,3.3,-1.52,880,2625,34,23,44,-0.82,5,5.3,0.35,4,41,-1.63,31,65,44,93,-0.92,,,,,,,,,,63,35,106,66,37,109,5.7,-0.61,No,-1.93,12,9,16,6,3,9,5,3,8,1,0,3,-1.37,88,85,92,2.17,,,,,,,,,,86,81,91,77,73,82,3795,12,9,16,-1.12
04012,Arizona,La Paz,505,15452,13124,17781,1.67,30584,23103,39716,,,,,,,7196,4983,10056,17009,12800,21219,22,21,23,0.58,4.5,4.4,4.7,0.39,4.5,4.3,4.6,0.28,,6,5,7,-1.52,7,4,10,,,,,,,7,5,9,5,3,7,16,15,16,-0.39,30,22,39,0.06,6.2,0.05,40,31,49,2.51,39,1.27,13,13,13,-1.59,9,86,10,6,16,-1.42,76,368.9,-0.65,51,43,60,1.62,56,39,78,,,,,,,50,39,63,53,39,70,2412,20,17,22,2.11,6,29,3434:1,1.29,9,43,2344:1,0.47,17,81,1241:1,0.25,4251,1.23,7897,,,2817,4023,26,1.27,6,,,13,29,27,1.96,15,,21,21,28,152,84,-0.34,1387,3368,41,33,49,1.86,557,8938,6.2,-0.14,32,22,42,0.54,46,,,38,30,73810,14327,5.2,0.39,1814,3336,54,43,65,2.16,9,4.4,0.78,50,264,-0.09,167,163,138,188,1.28,254,174,359,,,,,,,69,42,108,186,151,220,5.7,-0.61,Yes,0.48,14,11,18,8,5,10,6,4,8,2,1,3,-0.91,73,63,82,-1.23,85,77,93,,,,,,,79,73,84,63,47,79,6385,13,9,16,-1.09
04013,Arizona,Maricopa,43437,6474,6388,6561,-0.81,12924,12054,13794,3653,3337,3969,9540,9117,9962,5699,5558,5840,6277,6158,6396,16,15,16,-1.17,3.6,3.5,3.7,-1.52,3.8,3.7,3.9,-1.21,,7,7,7,-0.21,7,6,7,9,8,9,12,12,13,7,7,7,7,6,7,14,13,14,-1.13,27,26,28,-0.73,7.7,-0.98,20,20,21,-0.88,92,-1.21,18,18,19,1.28,566,2202,26,25,27,-0.18,25336,588.2,0.40,26,26,26,-1.01,48,45,51,7,6,8,32,31,34,40,39,41,12,12,13,436313,12,12,12,-0.37,3030,70,1421:1,-0.90,2947,67,1497:1,-0.88,5950,135,741:1,-0.67,3050,-0.24,5514,2222,4440,3242,2912,42,-1.09,32,37,37,34,43,47,-1.61,38,48,32,38,48,55884,78,0.69,766920,1173229,65,,,-1.16,92307,2229526,4.1,-0.76,18,17,19,-0.85,35,9,29,32,10,121054,27010,4.5,-0.30,352257,1032480,34,33,35,-0.74,2284,5.3,0.34,17044,409,0.91,15936,75,74,76,-0.70,117,106,128,32,28,35,83,78,88,49,47,51,88,86,90,10.6,1.85,Yes,0.48,18,18,18,15,14,15,4,4,5,1,1,1,-0.18,76,76,77,-0.42,69,67,72,73,72,74,75,74,77,74,73,74,79,78,79,1976339,38,37,38,1.10
04015,Arizona,Mohave,4801,10257,9711,10803,0.23,17458,12898,22017,,,,,,,7013,5987,8039,10620,9966,11274,19,18,19,-0.26,4.4,4.3,4.6,0.18,4.8,4.6,4.9,0.84,,7,7,8,-0.19,10,7,13,11,7,15,13,7,18,7,6,8,7,7,8,19,19,20,1.16,32,29,35,0.44,5.8,0.32,32,30,35,1.20,59,0.35,16,16,17,0.13,54,217,25,21,28,-0.24,536,258.7,-1.17,32,30,34,-0.39,39,28,52,,,,31,18,49,32,28,35,32,30,34,18843,13,12,15,0.05,102,49,2031:1,0.22,84,40,2495:1,0.62,149,71,1406:1,0.41,4000,0.93,7561,729,4323,3448,3976,40,-0.80,19,36,43,33,41,38,0.00,25,36,25,33,38,1779,78,0.59,18990,39698,48,45,51,1.03,4934,85442,5.8,-0.28,27,20,34,0.04,44,3,57,27,24,82349,19777,4.2,-0.63,15707,36164,43,39,47,0.60,117,5.6,0.18,445,221,-0.39,1251,121,115,128,0.34,205,151,272,,,,76,38,136,60,48,72,132,124,140,5.1,-0.91,Yes,0.48,17,16,18,13,12,14,4,3,4,1,1,2,-0.43,80,79,81,0.38,73,65,81,69,54,84,,,,77,73,80,81,79,83,69705,18,16,20,-0.63
