FIPS,State,County,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,% Fair or Poor Health,95% CI - Low,95% CI - High,Z-Score,Average Number of Physically Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Average Number of Mentally Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Unreliable,% Low Birthweight,95% CI - Low,95% CI - High,Z-Score,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low,95% CI - High,Z-Score,% Adults with Obesity,95% CI - Low,95% CI - High,Z-Score,Food Environment Index,Z-Score,% Physically Inactive,95% CI - Low,95% CI - High,Z-Score,% With Access to Exercise Opportunities,Z-Score,% Excessive Drinking,95% CI - Low,95% CI - High,Z-Score,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low,95% CI - High,Z-Score,# Chlamydia Cases,Chlamydia Rate,Z-Score,Teen Birth Rate,95% CI - Low,95% CI - High,Z-Score,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Z-Score,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score,# Dentists,Dentist Rate,Dentist Ratio,Z-Score,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score,Preventable Hospitalization Rate,Z-Score,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Z-Score,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),Cohort Size,High School Graduation Rate,Z-Score,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Z-Score,# Unemployed,Labor Force,% Unemployed,Z-Score,% Children in Poverty,95% CI - Low,95% CI - High,Z-Score,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score,# Single-Parent Households,# Households,% Single-Parent Households,95% CI - Low,95% CI - High,Z-Score,# Associations,Social Association Rate,Z-Score,Annual Average Violent Crimes,Violent Crime Rate,Z-Score,# Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,Z-Score,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score,Presence of Water Violation,Z-Score,% Severe Housing Problems,95% CI - Low,95% CI - High,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score,% Drive Alone to Work,95% CI - Low,95% CI - High,Z-Score,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low,95% CI - High,Z-Score
05000,Arkansas,,48017,9449,9324,9575,,,,,,,,,,,,,,,,,23,21,25,,5.1,4.7,5.6,,5.4,4.8,5.9,,,9,9,9,,,,,,,,,,,,,,,,,22,20,25,,34,,,,5.2,,32,,,,64,,16,14,18,,690,2622,26,25,27,,17320,576.5,,38,37,38,,,,,,,,,,,,,,,,,226179,9,9,10,,2000,67,1502:1,,1398,46,2156:1,,6820,226,442:1,,5129,,,,,,,37,,,,,,,45,,,,,,,35433,88,,442445,758003,58,58,59,,50038,1351498,3.7,,24,23,25,,,,,,,92621,19400,4.8,,251428,696561,36,35,37,,3648,12.1,,15352,516,,12245,82,80,83,,,,,,,,,,,,,,,,,10.0,,,,14,14,15,,,,,,,,,,,83,82,83,,,,,,,,,,,,,,,,,1274750,27,26,27,
05001,Arkansas,Arkansas,364,11452,9680,13224,0.43,,,,,,,13148,9626,17537,,,,11288,9184,13391,23,22,24,-0.05,4.8,4.6,5.0,0.09,4.7,4.5,4.9,-0.33,,10,8,11,0.50,,,,,,,18,14,21,,,,7,5,8,20,19,21,-0.17,31,24,39,-1.12,5.5,0.79,38,30,46,0.76,48,0.17,14,13,14,0.00,6,13,46,32,59,2.00,110,612.2,0.34,56,49,64,1.10,,,,,,,68,54,85,,,,51,42,60,1277,9,7,10,-0.27,10,56,1797:1,-0.36,8,45,2221:1,-0.54,19,107,935:1,0.33,6767,0.76,,,5765,,7099,30,0.86,,,35,,30,41,-0.02,,,20,,44,237,82,1.61,2304,4209,55,47,62,-0.33,308,9070,3.4,-1.03,24,16,33,-0.55,,,39,31,18,81740,14722,5.6,1.09,1711,4069,42,33,51,0.47,24,13.4,-0.56,88,473,0.29,92,101,82,124,0.58,,,,,,,102,64,152,,,,104,81,132,10.0,-0.04,No,-1.09,10,7,12,8,6,11,1,0,2,0,0,1,-1.56,82,79,85,0.09,,,,,,,81,72,90,,,,83,80,86,7653,14,11,17,-1.63
05003,Arkansas,Ashley,398,9976,8390,11562,-0.33,,,,,,,13107,9475,16739,,,,9405,7543,11267,24,23,25,0.22,4.8,4.6,5.0,0.08,4.9,4.7,5.1,0.47,,12,10,13,1.42,,,,,,,16,13,19,,,,10,8,12,20,20,21,0.04,43,35,51,1.37,6.0,0.35,47,40,55,2.61,50,0.06,13,12,13,-0.72,6,24,25,14,37,-0.06,94,463.4,-0.17,45,39,51,0.10,,,,,,,50,39,63,33,17,59,44,36,52,1474,9,8,11,-0.12,8,39,2535:1,0.27,8,40,2506:1,-0.20,15,75,1336:1,0.58,7550,1.29,,,10439,,7213,31,0.65,,,32,,32,44,-0.39,,,30,56,46,276,90,-0.16,2353,4408,53,44,62,-0.16,420,7683,5.5,1.48,29,20,38,0.06,,,60,32,14,81208,15749,5.2,0.52,1651,4746,35,28,42,-0.22,28,13.8,-0.69,67,321,-0.32,83,81,64,100,-0.59,,,,,,,73,44,114,,,,89,69,114,9.6,-1.05,Yes,0.90,12,9,15,10,7,13,2,1,3,1,0,1,-0.55,84,79,89,0.62,,,,,,,76,64,87,,,,89,86,91,7575,22,17,26,-0.91
05005,Arkansas,Baxter,797,8750,7622,9878,-0.96,,,,,,,,,,,,,,,,19,18,20,-1.33,4.4,4.2,4.6,-1.03,4.7,4.5,4.9,-0.40,,7,6,8,-1.16,,,,,,,,,,,,,,,,16,16,17,-2.36,34,29,39,-0.47,7.7,-1.13,30,25,35,-0.93,65,-0.72,13,12,14,-0.51,10,40,25,17,34,-0.06,99,239.4,-0.93,36,32,41,-0.63,,,,,,,,,,,,,,,,2383,8,7,10,-0.56,31,75,1334:1,-1.11,22,53,1892:1,-1.07,114,274,365:1,-0.99,4453,-0.79,,,,,,49,-3.04,,,,33,50,47,-0.76,45,50,,34,47,354,86,0.81,4795,7768,62,55,69,-1.19,678,16463,4.1,-0.16,23,16,30,-0.75,,,,35,20,77591,20562,3.8,-1.47,2310,7188,32,25,39,-0.48,40,9.7,0.47,75,182,-0.87,209,101,88,115,0.60,,,,,,,,,,,,,,,,9.7,-0.79,No,-1.09,10,9,12,8,7,10,1,1,2,1,0,1,-1.39,84,80,87,0.54,,,,,,,,,,,,,,,,15889,15,12,19,-1.51
05007,Arkansas,Benton,2590,6154,5819,6490,-2.28,,,,4847,3447,6626,,,,3381,2770,3992,6791,6371,7210,16,16,17,-2.16,3.8,3.7,4.0,-2.73,4.0,3.8,4.1,-3.25,,8,7,8,-0.69,8,5,10,9,8,11,10,7,13,7,7,8,7,7,8,17,16,17,-2.21,29,26,33,-1.39,8.2,-1.57,24,21,27,-2.14,77,-1.34,18,17,18,2.60,28,101,28,23,33,0.21,770,289.1,-0.76,28,27,30,-1.34,33,24,46,24,17,32,17,11,27,40,37,44,24,23,26,24123,10,9,11,0.55,161,60,1654:1,-0.55,112,41,2434:1,-0.28,612,224,445:1,-0.60,3144,-1.67,4909,,1023,2606,3141,44,-2.02,38,26,48,29,45,51,-1.25,53,44,31,34,51,3025,90,-0.21,46370,74932,62,60,64,-1.21,3872,134404,2.9,-1.65,12,9,15,-2.26,43,14,18,21,10,124264,29912,4.2,-0.92,15716,68814,23,21,25,-1.36,228,8.6,0.79,662,275,-0.50,789,61,57,65,-1.74,60,32,102,25,13,41,,,,18,13,25,74,68,79,10.4,0.97,Yes,0.90,11,10,12,8,8,9,3,2,3,1,0,1,-1.01,85,84,86,0.96,79,75,84,77,72,81,88,82,93,79,75,83,86,85,87,124323,21,20,22,-0.95
05009,Arkansas,Boone,617,8901,7806,9996,-0.88,,,,,,,,,,,,,,,,21,20,22,-0.64,4.4,4.3,4.7,-0.93,4.6,4.4,4.9,-0.50,,7,6,8,-1.04,,,,,,,,,,,,,,,,20,19,21,-0.28,34,28,41,-0.33,7.0,-0.52,30,25,36,-0.85,54,-0.14,14,13,15,0.31,6,38,16,8,25,-0.95,135,361.1,-0.52,42,37,47,-0.15,,,,,,,,,,,,,,,,2541,9,7,10,-0.44,28,75,1335:1,-1.11,20,53,1874:1,-1.10,44,117,852:1,0.25,3839,-1.21,,,,,,39,-0.99,,50,,,38,46,-0.63,31,47,,41,46,486,93,-0.68,5122,8624,59,53,66,-0.90,561,15856,3.5,-0.86,22,15,28,-0.96,4,2,,23,22,84500,20876,4.0,-1.08,2246,8220,27,21,34,-0.94,40,10.7,0.19,206,551,0.61,154,83,70,96,-0.50,,,,,,,,,,,,,,,,9.4,-1.55,Yes,0.90,12,10,14,9,7,11,3,1,4,1,0,1,-0.71,81,77,84,-0.37,,,,,,,,,,,,,,,,15750,23,20,27,-0.74
05011,Arkansas,Bradley,215,11117,8748,13485,0.26,,,,,,,16821,11578,23622,,,,8460,5875,11046,28,28,29,1.57,5.2,5.0,5.3,1.24,4.9,4.7,5.0,0.40,,10,8,12,0.43,,,,,,,15,11,19,8,5,12,7,5,9,22,21,22,0.78,46,35,59,2.16,6.5,-0.08,41,29,53,1.28,67,-0.81,13,12,13,-0.80,0,4,0,0,36,-2.49,58,533.9,0.07,43,35,52,-0.05,,,,,,,57,41,78,36,21,57,38,27,51,997,12,10,13,1.17,6,55,1811:1,-0.34,4,37,2724:1,0.02,3,28,3632:1,0.96,7001,0.92,,,8345,,6958,30,0.86,,,27,,30,50,-1.12,,,39,28,52,122,90,-0.14,1225,2632,47,39,54,0.69,196,4362,4.5,0.30,30,19,40,0.20,,,49,52,17,84838,15350,5.5,1.05,1157,2557,45,36,54,0.77,13,12.0,-0.17,29,261,-0.55,50,91,67,120,-0.01,,,,,,,104,60,170,,,,87,57,127,9.8,-0.54,No,-1.09,18,14,22,14,10,19,4,3,6,2,1,2,1.60,81,76,87,-0.17,,,,,,,75,63,87,,,,82,76,88,4124,29,23,35,-0.19
05013,Arkansas,Calhoun,122,12078,8323,15833,0.75,,,,,,,,,,,,,,,,24,23,25,0.21,4.8,4.6,5.0,0.12,4.7,4.6,4.9,-0.10,,8,5,11,-0.35,,,,,,,,,,,,,,,,21,20,21,0.13,29,20,40,-1.37,4.6,1.58,37,27,48,0.54,11,2.10,13,13,14,-0.33,1,6,17,1,43,-0.87,22,419.3,-0.32,29,20,42,-1.24,,,,,,,45,22,80,,,,22,13,37,329,8,7,10,-0.59,2,38,2624:1,0.32,,,,0.00,,,,0.00,4115,-1.02,,,,,,30,0.86,,,41,,28,35,0.71,,,20,,37,48,92,-0.48,605,1137,53,41,66,-0.14,94,2404,3.9,-0.41,21,14,28,-1.01,,,75,21,17,89750,17463,5.1,0.50,471,1037,45,30,61,0.79,7,13.3,-0.56,11,211,-0.76,29,111,74,160,1.16,,,,,,,,,,,,,,,,9.7,-0.79,No,-1.09,12,8,16,11,6,15,1,0,3,0,0,1,-0.66,89,84,94,2.09,,,,,,,92,83,100,,,,92,83,100,2131,32,24,39,0.04
05015,Arkansas,Carroll,500,10665,9123,12207,0.03,,,,,,,,,,,,,,,,22,21,23,-0.39,4.7,4.5,4.9,-0.07,4.5,4.3,4.7,-0.96,,6,5,7,-1.28,,,,,,,,,,4,2,5,7,6,8,18,18,19,-1.15,28,21,34,-1.72,8.1,-1.48,34,27,41,-0.18,52,-0.05,13,13,14,-0.23,19,53,36,29,43,1.00,61,218.3,-1.00,45,39,50,0.10,,,,107,57,184,,,,50,38,63,41,35,47,2719,13,11,15,1.83,16,57,1747:1,-0.42,8,28,3528:1,0.58,22,78,1283:1,0.56,3898,-1.17,,,,3164,3849,38,-0.79,,,,16,39,42,-0.15,,64,,21,43,316,82,1.61,2594,5755,45,38,52,0.87,406,12639,3.2,-1.25,25,17,33,-0.50,,49,78,37,12,75744,19650,3.9,-1.36,1391,6103,23,14,31,-1.37,37,13.2,-0.53,94,337,-0.25,144,103,87,120,0.71,,,,,,,,,,,,,,,,9.4,-1.55,No,-1.09,16,13,19,10,8,13,4,3,6,2,1,4,0.79,82,78,85,-0.04,,,,,,,,,,80,70,90,82,73,91,11534,25,20,29,-0.62
05017,Arkansas,Chicot,230,13048,10425,15671,1.25,,,,,,,14583,10948,18217,,,,12100,8277,17082,30,29,31,2.06,5.2,5.0,5.4,1.23,5.0,4.8,5.2,0.92,,11,9,13,1.08,,,,,,,13,11,16,14,6,21,5,2,7,23,22,24,1.55,39,30,47,0.58,2.9,3.00,36,26,46,0.24,29,1.13,11,10,11,-1.90,3,27,11,3,22,-1.41,82,771.0,0.87,49,39,58,0.44,,,,,,,57,44,71,,,,39,26,58,690,9,7,10,-0.28,11,103,967:1,-2.21,7,67,1491:1,-2.03,62,594,168:1,-3.00,7061,0.96,,,6432,,8365,36,-0.38,,,35,,35,26,1.81,,,15,,33,119,87,0.66,1150,2422,47,38,56,0.57,230,3340,6.9,3.00,44,30,58,2.18,,,50,73,17,73492,11670,6.3,2.16,1285,2456,52,41,63,1.45,9,8.5,0.81,41,367,-0.13,55,101,76,132,0.60,,,,,,,86,55,126,,,,139,94,199,10.0,-0.04,No,-1.09,17,13,22,16,12,20,2,1,4,1,0,2,1.41,81,76,86,-0.26,,,,,,,80,73,86,,,,84,81,87,3570,25,19,31,-0.54
