FIPS,State,County,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,% Fair or Poor Health,95% CI - Low,95% CI - High,Z-Score,Average Number of Physically Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Average Number of Mentally Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Unreliable,% Low Birthweight,95% CI - Low,95% CI - High,Z-Score,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low,95% CI - High,Z-Score,% Adults with Obesity,95% CI - Low,95% CI - High,Z-Score,Food Environment Index,Z-Score,% Physically Inactive,95% CI - Low,95% CI - High,Z-Score,% With Access to Exercise Opportunities,Z-Score,% Excessive Drinking,95% CI - Low,95% CI - High,Z-Score,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low,95% CI - High,Z-Score,# Chlamydia Cases,Chlamydia Rate,Z-Score,Teen Birth Rate,95% CI - Low,95% CI - High,Z-Score,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Z-Score,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score,# Dentists,Dentist Rate,Dentist Ratio,Z-Score,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score,Preventable Hospitalization Rate,Z-Score,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Z-Score,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),Cohort Size,High School Graduation Rate,Z-Score,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Z-Score,# Unemployed,Labor Force,% Unemployed,Z-Score,% Children in Poverty,95% CI - Low,95% CI - High,Z-Score,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score,# Single-Parent Households,# Households,% Single-Parent Households,95% CI - Low,95% CI - High,Z-Score,# Associations,Social Association Rate,Z-Score,Annual Average Violent Crimes,Violent Crime Rate,Z-Score,# Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,Z-Score,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score,Presence of Water Violation,Z-Score,% Severe Housing Problems,95% CI - Low,95% CI - High,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score,% Drive Alone to Work,95% CI - Low,95% CI - High,Z-Score,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low,95% CI - High,Z-Score
08000,Colorado,,52817,5944,5872,6017,,,,,,,,,,,,,,,,,14,14,15,,3.4,3.3,3.6,,3.8,3.6,4.1,,,9,9,9,,,,,,,,,,,,,,,,,15,14,16,,22,,,,8.4,,16,,,,90,,20,19,22,,996,2923,34,33,35,,26995,481.4,,19,19,20,,,,,,,,,,,,,,,,,410250,9,8,9,,4598,82,1219:1,,4535,80,1256:1,,20255,356,281:1,,2833,,,,,,,41,,,,,,,48,,,,,,,65933,81,,1146605,1598434,72,71,72,,101608,3096364,3.3,,12,11,13,,,,,,,132184,30158,4.4,,337593,1248456,27,26,28,,4907,8.8,,17769,326,,21576,78,77,79,,,,,,,,,,,,,,,,,5.1,,,,17,16,17,,,,,,,,,,,75,75,76,,,,,,,,,,,,,,,,,2822072,36,35,36,
08001,Colorado,Adams,4658,6437,6191,6682,-0.22,10365,6941,14886,4111,3166,5056,9085,7550,10621,5675,5309,6040,6750,6388,7112,17,16,17,0.55,3.5,3.4,3.6,-0.01,3.8,3.7,3.9,0.11,,9,9,9,-0.34,11,7,14,10,9,12,14,13,16,9,8,9,8,8,9,16,16,17,1.23,28,26,30,0.52,8.7,-0.76,20,18,22,0.13,93,-0.88,19,18,19,0.24,83,251,33,30,36,0.13,2831,562.6,1.38,27,26,28,0.39,28,17,42,12,9,16,23,19,28,34,33,36,18,17,19,49175,11,10,12,0.14,219,44,2298:1,0.80,314,61,1630:1,-0.08,1714,335,299:1,-0.49,3120,0.21,1815,2763,4162,2772,3154,35,0.28,,25,35,31,38,46,-0.50,32,49,39,39,47,5998,77,0.95,87544,153466,57,56,59,0.49,9369,269911,3.5,0.14,13,10,15,-0.57,21,17,27,21,7,120072,32226,3.7,-0.95,41739,134543,31,29,33,0.54,249,4.9,0.91,1825,372,1.31,1907,77,73,80,-0.64,110,66,172,42,31,56,82,64,103,55,50,59,96,90,101,9.2,2.80,Yes,0.90,18,17,19,14,13,14,5,5,6,1,0,1,0.50,78,78,79,0.75,79,49,100,69,68,71,77,71,83,78,75,80,82,82,83,251973,47,45,48,1.23
08003,Colorado,Alamosa,206,9381,7634,11127,1.02,,,,,,,,,,10876,8238,13514,8689,6121,11258,23,22,24,2.16,4.5,4.4,4.7,2.32,4.4,4.3,4.6,2.24,,10,9,12,0.24,,,,,,,,,,11,9,14,10,7,12,17,17,18,1.81,24,18,31,-0.14,8.2,-0.24,24,18,31,0.87,83,-0.37,17,16,17,-0.67,7,18,39,26,51,0.51,97,586.1,1.52,20,16,23,-0.33,,,,,,,,,,22,17,29,12,8,17,1706,13,11,15,0.91,13,79,1273:1,-0.25,19,114,878:1,-1.70,236,1415,71:1,-3.00,2265,-0.43,,,,2099,2170,32,0.71,,,,32,32,41,-0.01,,,,43,40,160,80,0.61,2426,4021,60,52,68,0.24,352,8447,4.2,0.85,24,16,33,0.79,,,,33,11,77301,14855,5.2,1.59,828,3890,21,13,29,-0.71,17,10.3,0.01,,,0.00,74,90,70,113,-0.19,,,,,,,,,,122,89,162,68,45,98,4.6,-0.65,Yes,0.90,20,14,25,16,11,21,4,2,7,1,0,2,0.84,77,72,82,0.58,,,,,,,,,,73,68,79,76,72,80,6644,12,8,16,-1.15
08005,Colorado,Arapahoe,5228,5338,5132,5544,-0.68,,,,3446,2733,4160,7463,6740,8187,4584,4165,5004,5310,5046,5574,12,11,12,-0.74,3.1,3.0,3.2,-0.92,3.5,3.4,3.6,-0.80,,10,9,10,-0.02,6,4,9,12,11,13,13,12,14,9,8,9,9,8,9,13,13,14,-0.64,22,21,24,-0.47,8.4,-0.45,17,15,18,-0.49,98,-1.14,18,17,18,-0.16,75,205,37,33,40,0.36,3718,578.2,1.47,18,17,19,-0.50,16,9,27,9,7,11,21,19,23,34,32,36,10,9,10,47630,9,8,9,-0.75,538,84,1195:1,-0.40,687,105,948:1,-1.44,2336,359,279:1,-0.60,3069,0.17,2583,2357,5074,3545,2861,47,-1.44,32,39,42,33,48,53,-1.18,52,51,37,39,54,8525,83,0.17,134942,188738,71,70,73,-0.60,11689,362692,3.2,-0.12,10,8,13,-0.84,19,14,19,19,5,138373,34762,4.0,-0.51,42710,151965,28,26,30,0.17,512,8.0,0.40,2082,330,1.00,2122,67,64,70,-0.98,91,52,148,32,24,40,60,52,68,41,36,46,79,75,83,8.1,1.97,No,-1.10,17,16,17,14,13,15,3,3,3,1,0,1,0.11,78,77,78,0.66,74,66,82,72,71,73,73,71,76,78,76,80,82,81,82,335532,41,40,42,0.81
08007,Colorado,Archuleta,154,6069,4435,7703,-0.37,,,,,,,,,,,,,,,,14,13,14,-0.18,3.4,3.3,3.6,-0.09,3.8,3.6,3.9,0.01,,7,6,9,-0.83,,,,,,,,,,6,3,10,8,5,10,13,13,14,-0.51,24,18,31,-0.16,7.8,0.18,13,8,18,-1.25,89,-0.69,16,15,17,-0.91,4,15,27,13,41,-0.29,20,150.2,-1.01,19,14,26,-0.40,,,,,,,,,,29,17,48,17,11,25,1267,13,11,15,0.82,12,90,1110:1,-0.59,6,44,2294:1,0.46,21,153,655:1,0.35,2929,0.06,,,,,,43,-0.86,,,,29,44,32,0.87,,,,26,32,83,84,0.07,1727,2559,67,57,78,-0.30,236,6928,3.4,0.07,21,13,28,0.37,,,,37,8,94253,24031,3.9,-0.61,466,2209,21,13,30,-0.74,16,12.0,-0.29,24,190,-0.03,60,93,71,120,-0.08,,,,,,,,,,,,,,,,4.4,-0.80,Yes,0.90,19,15,23,14,10,18,4,1,7,1,0,2,0.64,74,70,78,0.19,,,,,,,,,,82,73,91,73,68,77,5602,16,12,21,-0.89
08009,Colorado,Baca,,,,,0.00,,,,,,,,,,,,,,,,16,15,16,0.28,3.8,3.6,4.0,0.75,4.1,4.0,4.3,1.28,x,5,,,-1.76,,,,,,,,,,,,,,,,15,15,16,0.52,31,23,40,1.05,7.5,0.49,29,21,37,1.73,81,-0.28,16,15,17,-0.93,1,11,9,0,28,-1.43,4,112.3,-1.23,38,25,56,1.44,,,,,,,,,,,,,,,,408,16,13,18,1.84,3,84,1187:1,-0.42,2,56,1793:1,0.09,1,28,3585:1,0.93,8662,3.00,,,,,,35,0.28,,,,,,22,1.84,,,,32,22,43,91,-0.73,492,749,66,55,76,-0.16,41,2229,1.8,-1.54,29,19,39,1.37,,,,40,25,80548,17686,4.6,0.47,159,721,22,13,31,-0.61,6,16.8,-1.11,4,96,-0.72,29,161,108,232,2.28,,,,,,,,,,,,,,,,5.6,0.10,Yes,0.90,11,8,15,9,5,13,2,0,3,2,0,4,-1.19,79,75,82,0.80,,,,,,,,,,,,,,,,1601,15,10,19,-0.99
08011,Colorado,Bent,106,10020,6384,13656,1.29,,,,,,,,,,,,,,,,20,19,21,1.42,4.1,4.0,4.3,1.39,4.0,3.8,4.1,0.76,,11,7,15,0.42,,,,,,,,,,,,,,,,18,18,19,2.38,30,22,39,0.91,7.2,0.81,24,17,32,0.91,82,-0.29,18,17,18,-0.19,1,5,20,2,48,-0.72,25,421.0,0.56,24,15,36,0.05,,,,,,,,,,,,,,,,313,10,9,12,-0.09,,,,0.00,1,17,5882:1,1.28,5,85,1176:1,0.67,5023,1.63,,,,3676,5190,35,0.28,,,,39,34,35,0.58,,,,41,33,348,82,0.30,572,2043,28,21,35,2.67,64,2017,3.2,-0.17,30,20,40,1.50,,,,31,28,71208,17016,4.2,-0.16,288,894,32,19,45,0.70,0,0.0,1.75,8,133,-0.45,32,110,75,155,0.50,,,,,,,,,,140,74,239,108,64,170,5.4,-0.05,No,-1.10,19,14,25,16,10,22,3,0,6,0,0,2,0.76,79,71,87,0.93,,,,,,,,,,,,,,,,1480,20,12,28,-0.63
08013,Colorado,Boulder,2216,4233,3966,4500,-1.15,,,,,,,,,,4674,3960,5387,4226,3927,4526,12,11,12,-0.76,3.2,3.1,3.3,-0.63,3.3,3.1,3.4,-1.54,,8,8,8,-0.59,15,6,24,9,7,10,10,6,15,9,8,9,8,7,8,11,11,12,-1.83,15,14,17,-1.67,8.3,-0.35,10,8,11,-1.81,96,-1.04,20,20,21,0.75,29,111,26,21,31,-0.32,1281,397.2,0.42,8,7,9,-1.47,,,,,,,,,,30,28,33,3,3,3,18291,7,6,7,-1.38,399,124,808:1,-1.60,335,103,973:1,-1.36,2278,699,143:1,-2.17,2572,-0.20,2658,1178,,2921,2563,47,-1.44,,46,42,39,47,53,-1.18,47,51,44,43,53,4739,89,-0.55,70323,84717,83,81,85,-1.46,5519,193822,2.8,-0.51,7,4,9,-1.26,25,5,12,22,6,160808,31001,5.2,1.56,15970,62209,26,23,28,-0.15,299,9.3,0.18,698,242,0.35,1072,67,63,71,-0.98,,,,23,14,36,,,,34,27,43,76,71,81,7.7,1.67,Yes,0.90,20,19,21,18,17,19,2,2,2,1,1,1,0.87,65,64,66,-1.09,65,50,80,67,64,70,60,51,69,73,69,76,70,69,71,170024,28,27,30,-0.04
08014,Colorado,Broomfield,462,4551,3947,5156,-1.01,,,,,,,,,,4618,3116,6592,4662,3958,5366,10,9,10,-1.25,3.0,2.9,3.2,-1.01,3.4,3.2,3.5,-1.17,,8,8,9,-0.50,,,,13,10,16,,,,9,7,11,8,7,9,12,11,12,-1.64,20,16,24,-0.91,8.6,-0.66,13,10,16,-1.16,99,-1.20,20,19,21,0.71,7,11,64,51,73,2.11,210,307.3,-0.10,9,8,11,-1.34,,,,,,,,,,26,20,33,5,4,7,2855,5,4,5,-2.09,72,105,949:1,-1.05,63,91,1099:1,-0.99,100,144,693:1,0.39,1582,-0.94,,,,757,1579,49,-1.72,,36,46,47,50,58,-1.67,,50,44,50,59,,,0.00,17087,19680,87,83,91,-1.75,1165,39816,2.9,-0.42,5,4,7,-1.45,,3,,11,3,160813,42254,3.8,-0.81,2353,15675,15,12,18,-1.52,43,6.3,0.68,33,51,-1.06,203,61,53,70,-1.17,,,,,,,,,,44,26,70,66,57,76,8.5,2.27,No,-1.10,12,11,14,10,9,12,2,1,3,1,1,2,-0.96,77,75,79,0.55,,,,81,74,89,74,57,91,82,77,86,81,80,82,36290,44,41,47,1.05
08015,Colorado,Chaffee,216,5979,4566,7392,-0.41,,,,,,,,,,,,,,,,13,12,13,-0.45,3.2,3.1,3.4,-0.56,3.7,3.6,3.9,0.00,,9,7,11,-0.17,,,,,,,,,,10,4,16,9,7,11,13,13,14,-0.50,16,12,20,-1.60,8.6,-0.66,17,13,22,-0.39,97,-1.09,19,18,19,0.10,4,19,21,10,35,-0.65,40,203.7,-0.70,15,11,21,-0.77,,,,,,,,,,32,16,58,13,9,18,1364,10,9,12,-0.16,18,92,1091:1,-0.64,12,60,1669:1,-0.04,36,180,556:1,0.23,2715,-0.10,,,,,,37,0.00,,,,48,37,47,-0.59,,,,45,47,162,87,-0.27,2871,4580,63,53,72,0.06,261,9708,2.7,-0.67,14,9,18,-0.45,,,,8,10,103297,23500,4.4,0.20,679,2969,23,13,33,-0.51,31,15.8,-0.93,12,61,-0.98,86,90,72,111,-0.19,,,,,,,,,,,,,,,,4.2,-0.95,No,-1.10,14,11,17,13,9,16,1,0,2,1,0,1,-0.54,70,65,74,-0.48,,,,,,,,,,,,,,,,8487,21,14,27,-0.59
