FIPS,State,County,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,% Fair or Poor Health,95% CI - Low,95% CI - High,Z-Score,Average Number of Physically Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Average Number of Mentally Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Unreliable,% Low Birthweight,95% CI - Low,95% CI - High,Z-Score,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low,95% CI - High,Z-Score,% Adults with Obesity,95% CI - Low,95% CI - High,Z-Score,Food Environment Index,Z-Score,% Physically Inactive,95% CI - Low,95% CI - High,Z-Score,% With Access to Exercise Opportunities,Z-Score,% Excessive Drinking,95% CI - Low,95% CI - High,Z-Score,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low,95% CI - High,Z-Score,# Chlamydia Cases,Chlamydia Rate,Z-Score,Teen Birth Rate,95% CI - Low,95% CI - High,Z-Score,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Z-Score,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score,# Dentists,Dentist Rate,Dentist Ratio,Z-Score,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score,Preventable Hospitalization Rate,Z-Score,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Z-Score,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),Cohort Size,High School Graduation Rate,Z-Score,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Z-Score,# Unemployed,Labor Force,% Unemployed,Z-Score,% Children in Poverty,95% CI - Low,95% CI - High,Z-Score,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score,# Single-Parent Households,# Households,% Single-Parent Households,95% CI - Low,95% CI - High,Z-Score,# Associations,Social Association Rate,Z-Score,Annual Average Violent Crimes,Violent Crime Rate,Z-Score,# Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,Z-Score,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score,Presence of Water Violation,Z-Score,% Severe Housing Problems,95% CI - Low,95% CI - High,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score,% Drive Alone to Work,95% CI - Low,95% CI - High,Z-Score,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low,95% CI - High,Z-Score
12000,Florida,,263456,7260,7216,7303,,,,,,,,,,,,,,,,,17,16,19,,3.7,3.5,4.0,,4.0,3.7,4.2,,,9,9,9,,,,,,,,,,,,,,,,,16,15,17,,27,,,,6.9,,26,,,,89,,17,16,18,,3467,14857,23,23,24,,100018,476.6,,21,21,22,,,,,,,,,,,,,,,,,2615963,16,16,16,,15216,73,1379:1,,12575,59,1694:1,,34247,161,622:1,,5086,,,,,,,43,,,,,,,43,,,,,,,204452,82,,3239393,5159707,63,62,63,,365099,10234772,3.6,,20,19,21,,,,,,,106836,22927,4.7,,1550389,4104351,38,37,38,,14888,7.1,,98111,484,,81356,79,78,79,,,,,,,,,,,,,,,,,8.2,,,,20,20,20,,,,,,,,,,,79,79,79,,,,,,,,,,,,,,,,,9140393,42,41,42,
12001,Florida,Alachua,2811,6824,6442,7205,-0.99,,,,,,,11118,10051,12185,4334,3336,5332,6165,5716,6614,18,17,18,-0.68,4.1,4.0,4.2,-0.55,4.5,4.4,4.6,-0.05,,10,9,10,1.12,,,,9,7,10,16,15,17,7,6,8,7,7,8,16,16,17,-0.94,27,24,30,-0.82,6.6,0.75,24,21,26,-1.20,87,-0.75,19,18,19,0.60,58,219,26,23,30,-0.16,2191,820.8,2.25,13,12,14,-1.51,,,,,,,33,30,35,8,7,10,7,7,8,25800,12,11,13,-1.17,422,158,633:1,-3.94,470,174,574:1,-5.27,1679,622,161:1,-5.67,5058,-0.48,,2013,9423,4466,4212,47,-0.99,,42,48,47,47,46,-1.04,,51,34,42,48,2129,84,-0.37,52251,68588,76,73,79,-1.76,4493,137339,3.3,-0.84,21,16,26,-0.35,2,9,41,15,10,104156,17196,6.1,2.70,16304,46745,35,32,38,-0.29,249,9.3,-0.40,1455,561,0.82,823,63,58,67,-1.44,,,,,,,47,38,55,30,21,41,79,73,85,8.3,-0.08,No,-0.77,20,19,21,19,18,20,2,1,2,1,1,1,0.95,75,74,76,-1.17,,,,63,57,69,77,74,80,73,68,78,78,77,80,121455,24,22,25,-1.38
12003,Florida,Baker,474,10068,8748,11389,0.72,,,,,,,,,,,,,,,,20,19,21,-0.04,4.3,4.1,4.5,-0.14,4.6,4.4,4.8,0.44,,10,8,11,0.80,,,,,,,13,9,17,,,,9,8,10,23,22,23,1.19,38,34,42,1.22,6.7,0.61,33,30,37,0.55,41,1.13,19,19,20,0.90,16,39,41,33,49,1.37,130,459.6,0.17,43,38,49,1.10,,,,,,,47,32,66,,,,44,38,50,2610,12,10,14,-1.14,10,35,2828:1,0.63,11,39,2578:1,0.22,28,99,1013:1,0.17,4966,-0.55,,,5241,,5022,38,0.49,,,50,,38,40,-0.15,,,24,54,41,329,81,-0.02,2945,7189,41,34,48,0.76,402,11869,3.4,-0.66,22,15,29,-0.26,,,7,48,21,108617,24318,4.5,-0.05,1996,6615,30,23,38,-1.04,18,6.4,0.80,128,466,0.33,109,78,64,93,-0.59,,,,,,,51,25,94,,,,86,69,104,8.4,0.01,No,-0.77,12,9,15,9,6,12,3,2,4,0,0,1,-1.30,84,80,87,0.93,,,,,,,,,,,,,,,,10356,50,42,58,1.03
12005,Florida,Bay,3152,9721,9207,10234,0.53,,,,,,,12712,11032,14393,4078,2913,5553,9803,9216,10391,20,19,20,-0.09,4.4,4.3,4.5,0.04,4.8,4.7,5.0,1.04,,8,8,9,-0.28,,,,9,6,12,13,12,14,7,5,8,7,7,8,23,22,23,1.18,29,26,32,-0.38,6.8,0.47,31,28,33,0.06,68,0.04,18,17,18,0.04,35,155,23,19,27,-0.57,820,446.7,0.09,38,36,40,0.61,,,,15,8,25,47,41,53,38,31,45,37,34,39,22229,15,13,16,-0.29,100,54,1836:1,-0.09,96,52,1930:1,-0.31,465,251,398:1,-1.53,5756,0.08,,725,10217,5339,5515,37,0.66,,27,33,30,38,39,0.00,,40,28,37,39,1765,79,0.28,29510,48223,61,58,64,-0.68,3548,89251,4.0,0.30,21,14,27,-0.43,32,12,37,26,16,99959,22754,4.4,-0.18,14321,39040,37,33,40,0.00,158,8.6,-0.11,901,497,0.49,845,93,86,99,0.17,,,,52,28,89,63,49,80,33,20,52,103,95,110,9.8,1.29,No,-0.77,17,16,18,15,14,16,2,1,2,1,0,1,0.07,81,80,83,0.37,,,,81,61,100,76,73,79,72,66,79,83,81,84,82472,30,28,32,-0.82
12007,Florida,Bradford,501,10390,8962,11818,0.89,,,,,,,8129,5595,11416,,,,11531,9750,13312,23,22,23,0.69,5.0,4.8,5.2,1.38,4.9,4.7,5.0,1.18,,11,10,13,2.16,,,,,,,16,13,20,,,,10,8,11,23,22,24,1.26,37,33,41,0.99,7.4,-0.38,33,30,36,0.52,65,0.15,19,18,19,0.56,12,36,33,25,42,0.56,106,392.0,-0.22,46,39,52,1.29,,,,,,,56,41,74,,,,45,38,52,2534,13,12,15,-0.75,8,30,3380:1,0.84,7,25,3962:1,0.76,20,72,1387:1,0.47,7074,1.12,,,7024,,7208,34,1.15,,,38,45,33,33,0.90,,31,21,35,35,226,81,0.10,2888,7655,38,32,43,0.99,371,11304,3.3,-0.83,26,18,34,0.33,,,42,45,27,84756,15811,5.4,1.49,2359,5339,44,33,56,1.19,39,14.4,-2.46,120,454,0.27,146,108,90,125,0.99,,,,,,,75,46,116,,,,121,100,142,8.1,-0.26,No,-0.77,15,12,19,13,10,17,2,1,3,0,0,1,-0.36,86,82,90,1.54,,,,,,,,,,,,,,,,9282,51,44,58,1.13
12009,Florida,Brevard,9617,8820,8521,9120,0.06,,,,3836,2743,4929,10654,9692,11616,5354,4676,6032,9211,8848,9574,18,17,18,-0.69,4.1,4.0,4.3,-0.51,4.5,4.4,4.7,0.13,,8,8,8,-0.53,,,,7,6,9,13,12,14,7,6,7,7,7,7,17,16,17,-0.78,30,27,32,-0.29,7.1,0.04,27,24,29,-0.62,88,-0.79,19,18,19,0.66,91,413,22,20,25,-0.62,2080,353.0,-0.45,19,18,19,-1.03,,,,,,,28,26,31,21,19,23,17,16,18,58273,13,12,14,-0.83,431,73,1367:1,-0.78,349,58,1710:1,-0.58,942,158,634:1,-0.49,4963,-0.55,5479,2423,6620,4860,4851,40,0.16,27,40,41,40,40,40,-0.15,32,40,27,31,41,5556,86,-0.61,81907,122912,67,64,69,-1.07,9746,276558,3.5,-0.44,17,12,21,-0.98,27,15,30,24,14,105740,24194,4.4,-0.22,37593,105513,36,33,38,-0.17,439,7.5,0.36,2807,496,0.49,2959,102,99,106,0.70,,,,36,24,52,71,61,80,49,41,57,115,111,120,7.3,-0.99,Yes,1.29,15,15,16,14,13,15,1,1,2,1,0,1,-0.33,81,81,82,0.35,,,,78,71,85,81,77,86,79,76,82,82,81,82,242260,33,31,34,-0.58
12011,Florida,Broward,19997,6339,6209,6470,-1.24,9050,6061,12997,2963,2501,3424,7429,7169,7689,3786,3603,3969,7843,7593,8093,18,17,18,-0.64,3.9,3.8,4.0,-0.95,4.1,4.0,4.3,-1.13,,10,9,10,0.80,5,2,8,9,9,10,13,13,13,7,7,8,7,7,7,15,14,15,-1.54,25,22,27,-1.20,7.9,-1.09,25,23,27,-0.93,97,-1.14,18,18,18,0.20,149,1105,13,12,15,-1.52,11283,582.8,0.88,15,15,16,-1.32,24,15,34,4,3,5,24,24,25,14,14,15,6,6,7,271480,17,16,18,0.32,1420,73,1363:1,-0.79,1460,75,1336:1,-1.25,3399,174,574:1,-0.67,5286,-0.30,10569,4817,7277,5363,4739,36,0.82,22,30,30,32,38,35,0.60,15,34,20,25,40,19649,81,0.00,345267,513183,67,66,68,-1.12,34919,1036212,3.4,-0.69,17,14,21,-0.87,15,11,28,17,10,116026,24339,4.8,0.47,159454,405579,39,38,41,0.42,1069,5.5,1.14,7570,398,-0.02,6199,65,63,66,-1.31,117,75,172,26,21,31,45,42,47,36,34,38,104,100,107,6.6,-1.63,No,-0.77,25,24,25,22,21,22,4,4,4,1,1,1,2.19,80,80,80,0.02,77,68,86,77,73,80,78,77,79,79,78,79,81,80,82,931338,45,44,45,0.53
12013,Florida,Calhoun,327,10649,8803,12496,1.02,,,,,,,,,,,,,,,,24,24,25,1.15,4.9,4.7,5.0,1.14,4.8,4.6,4.9,0.90,,8,6,10,-0.42,,,,,,,14,7,20,,,,7,5,9,22,22,23,1.07,36,33,40,0.95,7.2,-0.10,41,38,44,1.88,20,1.99,17,17,18,-0.11,3,18,17,6,31,-1.19,77,531.7,0.58,43,35,51,1.04,,,,,,,47,26,80,,,,44,36,54,1542,15,13,17,-0.18,6,41,2414:1,0.40,8,55,1823:1,-0.44,2,14,7294:1,1.12,7492,1.46,,,10617,,7019,34,1.15,,,29,,35,22,2.55,,,21,,22,156,81,-0.02,1483,3888,38,31,46,0.96,209,5082,4.1,0.52,29,19,39,0.79,,,,4,12,82045,17065,4.8,0.54,1155,3074,38,25,50,0.14,12,8.3,0.02,25,174,-1.16,57,79,60,102,-0.57,,,,,,,,,,,,,,,,9.7,1.20,No,-0.77,12,8,15,8,5,11,3,1,5,1,0,2,-1.35,81,75,88,0.37,,,,,,,,,,,,,,,,4630,34,25,43,-0.44
12015,Florida,Charlotte,2932,8115,7482,8748,-0.31,,,,,,,6806,5113,8880,5258,3739,7188,8750,7987,9512,16,15,16,-1.22,4.0,3.9,4.2,-0.77,4.5,4.4,4.7,0.14,,9,8,9,0.06,,,,7,3,10,10,8,13,9,7,11,8,8,9,16,15,16,-1.15,28,25,31,-0.60,7.0,0.19,26,24,29,-0.72,81,-0.47,16,16,17,-0.57,37,126,29,25,34,0.15,317,174.1,-1.48,22,20,24,-0.71,,,,,,,21,15,28,20,15,26,24,21,26,18489,17,15,19,0.38,117,64,1556:1,-0.45,92,50,2011:1,-0.23,209,113,885:1,0.02,4780,-0.70,,1198,5815,5699,4793,54,-2.14,,49,43,49,54,49,-1.49,,45,31,39,50,1158,90,-1.04,14459,26352,55,51,59,-0.23,2845,70953,4.0,0.35,20,15,25,-0.50,,10,26,25,16,93028,22746,4.1,-0.70,7232,21922,33,28,38,-0.59,112,6.2,0.89,343,200,-1.03,628,71,65,76,-0.99,,,,,,,55,37,79,35,22,54,76,69,82,7.7,-0.63,No,-0.77,16,15,17,15,13,16,1,1,2,1,1,2,-0.15,79,77,81,-0.19,,,,,,,75,64,86,74,68,79,77,75,80,59324,32,30,35,-0.61
12017,Florida,Citrus,3257,11763,10973,12554,1.61,,,,,,,8970,6007,12882,8592,6080,11794,12294,11420,13168,18,17,18,-0.65,4.3,4.1,4.4,-0.19,4.9,4.7,5.1,1.34,,8,8,9,-0.30,,,,8,3,12,13,9,17,6,4,9,8,7,9,20,19,20,0.13,29,26,32,-0.34,6.8,0.47,35,32,38,0.80,73,-0.18,15,15,16,-1.23,34,147,23,19,27,-0.51,344,236.2,-1.12,30,28,32,-0.05,,,,,,,25,17,36,28,21,37,31,28,34,14181,15,14,17,-0.11,75,51,1942:1,0.02,45,30,3287:1,0.55,92,62,1608:1,0.58,4771,-0.71,,,5804,6453,4768,45,-0.66,,43,57,40,45,43,-0.59,,49,31,37,43,1125,80,0.21,10590,22755,47,42,51,0.36,2485,47799,5.2,2.28,25,17,32,0.13,,6,4,23,31,77564,18671,4.2,-0.59,8067,21068,38,32,44,0.25,112,7.7,0.27,412,296,-0.53,907,126,118,135,1.98,,,,89,45,160,52,27,91,61,39,90,133,124,142,8.1,-0.26,No,-0.77,15,13,16,13,12,14,2,1,2,1,1,1,-0.53,83,81,85,0.69,,,,,,,88,82,93,76,69,83,82,81,83,44564,33,30,36,-0.56
