FIPS,State,County,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,% Fair or Poor Health,95% CI - Low,95% CI - High,Z-Score,Average Number of Physically Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Average Number of Mentally Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Unreliable,% Low Birthweight,95% CI - Low,95% CI - High,Z-Score,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low,95% CI - High,Z-Score,% Adults with Obesity,95% CI - Low,95% CI - High,Z-Score,Food Environment Index,Z-Score,% Physically Inactive,95% CI - Low,95% CI - High,Z-Score,% With Access to Exercise Opportunities,Z-Score,% Excessive Drinking,95% CI - Low,95% CI - High,Z-Score,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low,95% CI - High,Z-Score,# Chlamydia Cases,Chlamydia Rate,Z-Score,Teen Birth Rate,95% CI - Low,95% CI - High,Z-Score,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Z-Score,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score,# Dentists,Dentist Rate,Dentist Ratio,Z-Score,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score,Preventable Hospitalization Rate,Z-Score,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Z-Score,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),Cohort Size,High School Graduation Rate,Z-Score,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Z-Score,# Unemployed,Labor Force,% Unemployed,Z-Score,% Children in Poverty,95% CI - Low,95% CI - High,Z-Score,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score,# Single-Parent Households,# Households,% Single-Parent Households,95% CI - Low,95% CI - High,Z-Score,# Associations,Social Association Rate,Z-Score,Annual Average Violent Crimes,Violent Crime Rate,Z-Score,# Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,Z-Score,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score,Presence of Water Violation,Z-Score,% Severe Housing Problems,95% CI - Low,95% CI - High,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score,% Drive Alone to Work,95% CI - Low,95% CI - High,Z-Score,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low,95% CI - High,Z-Score
13000,Georgia,,131683,7703,7643,7763,,,,,,,,,,,,,,,,,18,17,19,,3.4,3.2,3.6,,3.9,3.6,4.2,,,10,10,10,,,,,,,,,,,,,,,,,17,16,19,,32,,,,6.0,,28,,,,75,,14,13,16,,1548,7196,22,21,22,,65104,624.2,,26,26,27,,,,,,,,,,,,,,,,,1361978,16,15,16,,6826,65,1528:1,,5368,51,1960:1,,14491,138,726:1,,4930,,,,,,,40,,,,,,,44,,,,,,,130544,83,,1762905,2792335,63,63,64,,201255,5107673,3.9,,21,20,22,,,,,,,112387,22825,4.9,,917713,2478717,37,37,38,,9385,9.0,,39544,388,,33484,65,64,66,,,,,,,,,,,,,,,,,10.9,,,,17,17,17,,,,,,,,,,,79,79,80,,,,,,,,,,,,,,,,,4667378,42,41,42,
13001,Georgia,Appling,329,9669,8028,11310,0.14,,,,,,,11850,7995,16916,,,,9800,7744,11857,22,22,23,0.62,4.2,4.0,4.3,0.71,4.3,4.1,4.5,0.78,,10,8,11,-0.15,,,,,,,15,11,19,8,4,11,8,7,10,20,19,21,0.84,39,28,51,0.74,7.3,-0.19,38,27,49,1.29,20,1.28,14,14,15,-0.31,8,29,28,18,38,0.41,89,480.5,-0.13,59,51,66,1.70,,,,,,,58,43,76,63,43,89,59,49,68,2845,19,17,21,0.99,7,38,2646:1,0.31,3,16,6169:1,0.33,14,76,1322:1,0.03,7237,1.43,,,3852,5725,7349,35,0.97,,,37,,36,31,1.80,,,25,,33,249,89,-0.17,1809,4350,42,35,49,0.76,393,9044,4.3,-0.10,34,24,44,0.58,,,27,48,30,80390,16888,4.8,-0.22,1830,4560,40,29,51,-0.05,22,11.9,-0.84,70,379,0.28,86,93,74,115,0.86,,,,,,,67,35,117,,,,104,80,132,10.6,-0.22,No,-0.47,11,8,14,8,5,11,3,1,5,1,0,1,-1.49,82,77,86,-0.15,,,,,,,73,59,87,,,,86,81,91,7227,27,22,33,-0.81
13003,Georgia,Atkinson,144,10686,8230,13142,0.65,,,,,,,,,,,,,,,,27,26,27,1.72,4.6,4.4,4.7,1.65,4.6,4.4,4.8,1.86,,7,5,9,-1.42,,,,,,,11,6,17,7,4,10,6,4,8,22,21,23,1.55,35,23,49,0.06,7.2,-0.10,34,22,48,0.52,0,2.02,14,13,15,-0.49,3,11,27,11,45,0.39,57,683.3,0.69,70,59,82,2.55,,,,,,,57,35,88,62,45,84,78,61,98,1566,22,20,25,2.23,,,,0.00,1,12,8297:1,0.39,,,,0.00,5718,0.29,,,1190,,6135,36,0.78,,,38,,37,37,0.73,,,22,26,39,113,88,-0.12,675,2183,31,23,38,1.66,154,4358,3.5,-0.98,42,31,53,1.45,,,61,67,34,71500,16398,4.4,-0.65,1017,2264,45,33,56,0.34,4,4.8,1.21,,,0.00,43,104,75,139,1.47,,,,,,,141,67,259,,,,114,75,165,10.4,-0.54,No,-0.47,14,10,17,11,7,15,2,0,4,1,0,2,-0.72,84,84,84,0.29,,,,,,,,,,,,,,,,3135,27,20,34,-0.82
13005,Georgia,Bacon,239,10877,8885,12870,0.74,,,,,,,20556,14060,29019,,,,9525,7425,11624,20,19,21,-0.03,4.1,3.9,4.2,0.48,4.3,4.1,4.5,0.78,,10,8,11,-0.24,,,,,,,13,9,17,9,5,14,8,6,10,19,19,20,0.49,37,23,52,0.50,7.6,-0.43,34,22,47,0.65,61,-0.24,15,14,16,0.12,4,18,22,10,36,-0.05,52,459.4,-0.21,45,37,53,0.67,,,,,,,67,45,95,56,32,92,38,29,48,1785,19,17,22,1.08,7,62,1617:1,-0.55,3,27,3728:1,0.15,1,9,11185:1,0.90,9126,2.84,,,14832,,9068,30,1.94,,,35,,30,33,1.45,,,24,,34,141,94,-1.21,1149,3032,38,31,45,1.07,193,5057,3.8,-0.67,34,23,45,0.53,,,60,69,21,79418,15345,5.2,0.22,1235,2869,43,30,56,0.18,10,8.8,0.04,,,0.00,48,85,63,113,0.40,,,,,,,,,,,,,,,,10.4,-0.54,No,-0.47,10,7,14,8,5,12,2,0,4,0,0,1,-1.73,83,78,89,0.20,,,,,,,,,,,,,,,,4122,24,18,30,-1.07
13007,Georgia,Baker,,,,,0.00,,,,,,,,,,,,,,,,20,20,21,0.06,3.7,3.6,3.9,-0.23,4.0,3.9,4.1,-0.29,,13,8,17,1.37,,,,,,,,,,,,,,,,17,17,17,-0.50,35,19,55,0.13,4.8,1.86,27,15,42,-0.78,6,1.80,13,13,13,-0.90,6,10,60,46,71,3.00,8,250.0,-1.06,27,16,43,-0.62,,,,,,,,,,,,,,,,472,19,17,22,1.00,,,,0.00,0,0,3092:0,0.59,1,32,3092:1,0.60,10012,3.00,,,,,,59,-3.00,,,,,,28,2.34,,,5,,40,18,78,1.88,295,664,44,31,58,0.53,62,1217,5.1,0.72,43,29,58,1.56,,,33,,14,73558,12653,5.8,0.90,218,630,35,18,52,-0.50,0,0.0,2.59,,,0.00,13,82,44,140,0.22,,,,,,,,,,,,,,,,10.8,0.10,No,-0.47,11,6,15,7,2,12,4,1,7,0,0,1,-1.67,87,79,96,0.94,,,,,,,,,,,,,,,,1223,42,29,54,0.38
13009,Georgia,Baldwin,748,10135,8983,11287,0.37,,,,,,,12423,10477,14370,,,,8628,7193,10063,24,23,24,0.92,4.2,4.1,4.4,0.91,4.3,4.1,4.4,0.63,,13,11,14,1.28,,,,,,,17,15,18,,,,8,7,10,20,19,21,0.68,37,26,49,0.45,6.0,0.88,26,17,38,-0.85,64,-0.36,14,14,15,-0.27,7,41,17,10,26,-0.50,319,710.4,0.80,16,14,18,-1.45,,,,,,,28,24,33,,,,9,8,12,5202,16,14,18,-0.24,25,56,1796:1,-0.33,18,40,2490:1,-0.07,62,138,723:1,-0.78,4560,-0.57,,,5969,,4216,39,0.19,,37,32,,40,41,0.02,,32,23,36,47,274,92,-0.84,5689,10257,55,49,62,-0.40,871,17286,5.0,0.66,31,21,42,0.29,,,44,65,22,83276,13672,6.1,1.20,4168,8496,49,41,57,0.67,36,8.0,0.28,316,689,1.71,156,69,58,80,-0.52,,,,,,,56,42,73,,,,82,67,100,11.4,1.07,Yes,2.11,21,17,24,19,16,23,2,1,2,1,0,2,1.46,85,82,89,0.57,,,,,,,92,89,95,,,,86,83,89,16988,24,20,29,-1.06
13011,Georgia,Banks,303,9994,8166,11823,0.30,,,,,,,,,,,,,,,,17,17,18,-0.77,3.7,3.5,3.8,-0.41,4.0,3.8,4.2,-0.34,,8,6,9,-1.20,,,,,,,,,,9,4,14,7,6,9,18,17,18,-0.23,34,24,45,-0.06,8.7,-1.33,36,25,46,0.89,37,0.65,16,16,17,0.73,2,32,6,1,16,-1.44,34,182.5,-1.33,28,22,33,-0.61,,,,,,,,,,,,,,,,2979,19,17,21,1.07,4,21,4659:1,0.89,1,5,18988:1,0.50,,,,0.00,6769,1.08,,,,,,38,0.39,,,,,,47,-1.05,,,,23,48,233,93,-0.91,2161,4526,48,41,55,0.25,297,9538,3.1,-1.44,20,13,26,-0.98,,,,17,15,82232,19310,4.3,-0.76,1109,4257,26,19,33,-1.19,15,8.0,0.27,36,195,-0.58,83,89,71,111,0.66,,,,,,,,,,,,,,,,10.4,-0.54,Yes,2.11,13,10,16,10,8,13,3,1,4,1,0,2,-0.81,81,77,85,-0.25,,,,,,,,,,,,,,,,7684,43,38,48,0.52
13013,Georgia,Barrow,1091,8517,7824,9210,-0.44,,,,,,,9615,7570,11661,4333,2902,6223,9001,8152,9849,17,17,18,-0.82,3.4,3.2,3.5,-1.07,3.8,3.7,4.0,-0.84,,7,7,8,-1.32,,,,6,4,9,12,10,14,5,4,7,7,6,8,17,16,18,-0.51,38,30,48,0.67,8.4,-1.09,29,22,37,-0.38,65,-0.41,17,17,18,1.25,12,62,19,13,26,-0.30,284,359.2,-0.62,25,23,28,-0.77,,,,19,11,31,22,17,29,25,19,33,27,24,30,11691,17,15,19,0.13,17,22,4651:1,0.89,14,17,5772:1,0.31,12,15,6734:1,0.82,5278,-0.04,,,5592,9121,5193,39,0.19,,26,40,31,40,46,-0.87,,44,33,32,48,846,86,0.29,12436,22362,56,52,59,-0.41,1303,39665,3.3,-1.25,15,10,20,-1.46,,20,42,19,13,100186,27029,3.7,-1.35,6810,20373,33,29,38,-0.59,53,6.7,0.66,370,497,0.82,273,71,62,79,-0.41,,,,,,,39,23,62,25,12,45,86,75,96,11.1,0.58,No,-0.47,14,12,15,12,10,13,2,1,3,1,0,1,-0.70,83,81,86,0.19,,,,59,48,70,83,74,91,84,73,96,83,79,87,35070,54,51,57,1.41
13015,Georgia,Bartow,1501,8278,7668,8889,-0.56,,,,,,,9851,7894,11808,,,,8396,7701,9091,17,16,17,-0.93,3.5,3.3,3.7,-0.78,3.8,3.6,4.0,-0.85,,8,7,9,-1.01,,,,,,,12,10,15,7,5,9,8,7,8,19,19,20,0.40,31,25,38,-0.52,7.3,-0.19,32,26,39,0.23,67,-0.47,18,17,18,1.39,21,120,18,13,22,-0.46,488,464.5,-0.19,32,29,34,-0.32,,,,,,,32,26,40,40,32,47,30,28,33,16117,18,16,20,0.53,44,42,2388:1,0.16,35,33,3040:1,0.05,122,115,872:1,-0.47,6686,1.02,,,6677,5111,6772,39,0.19,,32,46,16,39,48,-1.22,,38,38,35,49,1314,88,-0.05,14754,27042,55,50,59,-0.32,1894,50113,3.8,-0.71,17,11,23,-1.23,13,,13,31,15,99554,24058,4.1,-0.89,7905,25383,31,26,36,-0.78,78,7.4,0.45,477,468,0.69,413,79,72,87,0.09,,,,,,,57,39,81,32,17,54,89,80,98,11.2,0.75,No,-0.47,16,13,18,12,10,14,3,2,4,1,1,2,-0.13,82,80,84,-0.11,,,,,,,83,77,90,60,52,69,81,79,83,47037,43,40,46,0.52
13017,Georgia,Ben Hill,330,10150,8473,11827,0.38,,,,,,,9971,7244,12698,,,,10762,8460,13064,24,23,25,1.04,4.3,4.1,4.4,0.98,4.4,4.2,4.5,1.03,,14,12,15,1.77,,,,,,,20,17,23,,,,10,8,12,21,20,21,1.00,40,28,51,0.88,5.6,1.21,39,27,51,1.40,39,0.56,13,13,14,-0.94,3,10,30,13,48,0.62,112,659.0,0.59,56,48,64,1.50,,,,,,,52,41,64,31,15,58,53,42,65,2239,16,14,18,-0.10,8,47,2125:1,-0.02,6,36,2798:1,0.01,6,36,2798:1,0.55,5991,0.50,,,5612,,6307,37,0.58,,,31,,40,37,0.73,,,28,40,40,208,80,1.50,2016,4060,50,40,59,0.09,324,5508,5.9,1.58,41,30,52,1.31,,,76,72,22,65025,13437,4.8,-0.14,2180,4334,50,40,60,0.77,12,7.1,0.55,63,361,0.19,43,50,36,67,-1.60,,,,,,,,,,,,,,,,10.7,-0.06,No,-0.47,20,16,25,20,15,26,1,0,1,1,0,3,1.38,85,81,89,0.47,,,,,,,76,66,85,,,,90,85,95,6265,19,14,24,-1.51
