FIPS,State,County,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,% Fair or Poor Health,95% CI - Low,95% CI - High,Z-Score,Average Number of Physically Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Average Number of Mentally Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Unreliable,% Low Birthweight,95% CI - Low,95% CI - High,Z-Score,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low,95% CI - High,Z-Score,% Adults with Obesity,95% CI - Low,95% CI - High,Z-Score,Food Environment Index,Z-Score,% Physically Inactive,95% CI - Low,95% CI - High,Z-Score,% With Access to Exercise Opportunities,Z-Score,% Excessive Drinking,95% CI - Low,95% CI - High,Z-Score,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low,95% CI - High,Z-Score,# Chlamydia Cases,Chlamydia Rate,Z-Score,Teen Birth Rate,95% CI - Low,95% CI - High,Z-Score,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Z-Score,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score,# Dentists,Dentist Rate,Dentist Ratio,Z-Score,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score,Preventable Hospitalization Rate,Z-Score,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Z-Score,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),Cohort Size,High School Graduation Rate,Z-Score,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Z-Score,# Unemployed,Labor Force,% Unemployed,Z-Score,% Children in Poverty,95% CI - Low,95% CI - High,Z-Score,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score,# Single-Parent Households,# Households,% Single-Parent Households,95% CI - Low,95% CI - High,Z-Score,# Associations,Social Association Rate,Z-Score,Annual Average Violent Crimes,Violent Crime Rate,Z-Score,# Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,Z-Score,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score,Presence of Water Violation,Z-Score,% Severe Housing Problems,95% CI - Low,95% CI - High,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score,% Drive Alone to Work,95% CI - Low,95% CI - High,Z-Score,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low,95% CI - High,Z-Score
16000,Idaho,,18014,6310,6174,6446,,,,,,,,,,,,,,,,,15,13,16,,3.6,3.3,3.9,,3.6,3.3,3.9,,,7,7,7,,,,,,,,,,,,,,,,,14,13,16,,29,,,,7.3,,21,,,,79,,17,15,18,,342,1131,30,29,32,,6200,361.1,,22,22,22,,,,,,,,,,,,,,,,,168400,12,11,12,,1132,66,1517:1,,1142,65,1536:1,,3657,208,480:1,,2652,,,,,,,39,,,,,,,41,,,,,,,22851,81,,277162,429410,65,63,66,,24321,857054,2.8,,14,13,15,,,,,,,101249,23712,4.3,,106354,435388,24,23,26,,1272,7.4,,3672,221,,6320,75,73,77,,,,,,,,,,,,,,,,,7.4,,,,15,15,16,,,,,,,,,,,79,78,79,,,,,,,,,,,,,,,,,757408,23,22,24,
16001,Idaho,Ada,3940,5088,4854,5323,-1.17,,,,3046,2122,4236,5797,4060,8026,4311,3578,5044,5209,4950,5467,11,11,12,-1.93,3.2,3.1,3.3,-2.08,3.5,3.4,3.7,-2.05,,7,6,7,-0.35,8,4,11,8,7,10,8,7,10,7,6,8,6,6,7,12,12,12,-2.23,26,24,28,-1.04,8.1,-0.75,15,13,17,-2.13,89,-1.21,18,17,19,1.21,36,123,29,25,34,-0.05,2050,448.7,1.55,13,12,14,-1.19,23,12,39,8,5,11,33,26,41,23,20,26,11,11,12,33969,9,8,10,-1.57,428,94,1067:1,-1.32,376,80,1250:1,-1.23,1361,290,345:1,-1.92,2677,0.09,1834,1198,9212,2565,2678,46,-1.91,43,46,32,35,47,48,-1.57,44,45,41,40,48,5295,84,0.16,93448,126673,74,71,76,-1.45,6015,244525,2.5,-0.78,10,8,12,-1.61,,11,40,22,10,119044,26584,4.5,0.77,25772,108499,24,22,26,-0.07,362,7.9,-0.78,1005,231,0.76,1405,63,60,66,-0.96,,,,,,,48,28,76,36,27,45,68,64,71,10.6,1.83,Yes,0.86,14,13,15,12,11,13,1,1,2,1,1,2,-0.25,81,80,82,1.01,84,72,96,73,67,78,73,65,81,81,80,82,82,81,82,219112,20,19,22,-0.48
16003,Idaho,Adams,,,,,0.00,,,,,,,,,,,,,,,,15,14,16,-0.16,3.9,3.7,4.1,0.29,4.1,3.9,4.3,0.91,x,8,,,0.98,,,,,,,,,,,,,,,,14,14,15,0.32,31,23,39,0.01,7.6,-0.11,21,14,29,-0.68,33,2.22,14,13,14,-1.16,2,13,15,3,32,-1.12,,,0.00,18,9,31,-0.75,,,,,,,,,,,,,,,,422,14,12,17,0.15,1,24,4147:1,1.07,2,47,2125:1,0.20,3,71,1417:1,0.60,1413,-1.52,,,,,,34,0.23,,,,,,31,0.65,,,,,,27,93,-1.40,353,674,52,39,65,0.47,94,1722,5.5,1.86,24,16,32,1.47,,,,,,83403,22656,3.7,-0.72,249,734,34,20,48,1.20,0,0.0,1.28,5,117,-0.63,30,150,101,214,2.29,,,,,,,,,,,,,,,,6.6,-0.71,No,-1.14,12,8,16,10,6,15,2,0,3,1,0,2,-0.79,71,65,76,-0.94,,,,,,,,,,,,,,,,1490,34,25,44,0.66
16005,Idaho,Bannock,1073,8050,7377,8724,0.57,26839,20045,35196,,,,,,,7164,5118,9755,7549,6847,8250,15,14,15,-0.20,4.0,3.9,4.2,0.72,4.2,4.1,4.4,1.62,,8,7,8,0.75,7,4,9,14,9,20,,,,9,7,11,8,7,8,14,14,15,0.40,32,29,35,0.34,7.4,0.15,21,18,24,-0.78,75,-0.32,16,15,16,0.05,14,50,28,21,36,-0.14,338,396.4,1.11,23,21,25,-0.22,72,55,94,,,,,,,39,31,48,19,17,22,7649,11,9,12,-0.97,64,75,1332:1,-0.68,84,96,1037:1,-1.95,346,397,252:1,-3.16,2883,0.35,2551,,3721,868,2939,35,0.05,25,28,,30,36,43,-0.91,37,41,39,33,43,1075,90,-0.82,15547,23439,66,63,70,-0.78,1139,41686,2.7,-0.54,16,11,20,-0.44,28,37,3,28,17,97130,21589,4.5,0.81,5222,22382,23,20,27,-0.12,55,6.5,-0.40,214,254,1.06,396,93,84,103,0.18,295,210,404,,,,,,,56,34,86,92,82,101,6.7,-0.65,No,-1.14,16,14,17,13,11,14,2,2,3,2,1,2,0.18,77,76,78,0.23,71,60,81,,,,,,,75,70,80,79,78,81,36189,12,11,14,-1.14
16007,Idaho,Bear Lake,67,7516,5107,10668,0.25,,,,,,,,,,,,,,,,14,13,14,-0.88,3.6,3.4,3.8,-0.84,3.8,3.6,4.0,-0.86,,10,7,12,2.57,,,,,,,,,,,,,,,,13,13,14,-0.96,26,19,35,-0.87,7.7,-0.24,20,14,27,-1.01,49,1.24,15,14,16,-0.32,3,6,50,28,67,1.56,10,165.9,-0.82,23,16,31,-0.25,,,,,,,,,,,,,,,,488,10,9,12,-1.12,5,83,1206:1,-0.95,3,50,2017:1,0.09,4,66,1513:1,0.65,2471,-0.17,,,,,,26,1.66,,,,,,23,1.70,,,,,,101,78,1.36,691,1296,53,44,63,0.39,82,2835,2.9,-0.40,14,10,19,-0.68,,,,44,24,93958,22024,4.3,0.37,279,1582,18,10,25,-0.83,0,0.0,1.28,11,176,0.09,25,84,54,123,-0.19,,,,,,,,,,,,,,,,5.4,-1.47,Yes,0.86,11,7,14,9,5,12,2,0,3,1,0,2,-1.13,70,64,76,-1.07,,,,,,,,,,,,,,,,2421,17,13,22,-0.72
16009,Idaho,Benewah,162,9613,7035,12192,1.48,,,,,,,,,,,,,,,,16,15,16,0.13,4.0,3.8,4.1,0.46,4.0,3.8,4.2,0.41,,8,6,9,0.54,9,4,14,,,,,,,,,,8,6,10,15,15,16,1.37,32,25,39,0.32,7.0,0.66,31,24,38,1.57,72,-0.18,15,14,15,-0.63,4,11,36,20,52,0.50,35,381.1,0.98,41,32,52,1.56,80,47,128,,,,,,,,,,34,25,46,1002,14,12,16,0.09,7,76,1312:1,-0.72,9,98,1025:1,-2.00,22,238,419:1,-1.33,3408,1.02,4761,,,,3163,33,0.41,,,,,,27,1.18,28,,,,27,81,83,0.50,762,1735,44,36,52,1.23,186,4021,4.6,1.12,23,15,30,1.18,55,,,48,13,82418,20821,4.0,-0.20,639,2098,30,24,37,0.77,5,5.4,-0.14,22,272,1.28,57,125,95,162,1.35,325,173,556,,,,,,,,,,104,74,141,9.5,1.13,Yes,0.86,15,12,18,10,7,12,5,2,7,1,1,2,0.03,79,74,84,0.60,74,57,91,,,,,,,,,,78,71,85,3331,28,22,34,0.13
16011,Idaho,Bingham,562,8487,7492,9482,0.82,23761,17331,31794,,,,,,,5793,4100,7951,7965,6837,9093,16,16,16,0.36,3.9,3.7,4.0,0.15,4.0,3.8,4.2,0.42,,8,7,8,0.59,10,7,14,,,,,,,7,5,8,8,7,9,14,14,15,0.20,31,27,35,0.17,8.0,-0.62,26,22,30,0.40,45,1.46,14,13,14,-1.03,17,52,33,25,40,0.22,97,211.2,-0.44,29,26,32,0.33,61,45,82,,,,,,,44,36,52,20,17,23,5766,15,13,17,0.28,15,33,3062:1,0.78,21,45,2202:1,0.27,62,134,746:1,-0.13,3267,0.84,3504,,,5252,3137,33,0.41,27,42,,31,33,29,0.91,37,34,,18,29,719,90,-0.82,6905,10655,65,59,71,-0.65,633,23357,2.7,-0.56,16,11,21,-0.35,45,,,24,12,94964,23011,4.1,0.11,3492,14178,25,19,30,0.04,8,1.7,0.83,74,163,-0.07,195,86,74,98,-0.11,112,62,184,,,,,,,54,34,82,92,78,107,7.4,-0.20,Yes,0.86,12,10,15,8,6,10,4,3,5,1,0,2,-0.68,76,73,80,0.11,79,70,88,,,,,,,69,59,80,76,74,78,19329,25,21,29,-0.08
16013,Idaho,Blaine,153,3929,2901,4957,-1.85,,,,,,,,,,,,,,,,14,14,15,-0.56,3.5,3.4,3.7,-1.06,3.6,3.5,3.8,-1.47,,7,6,9,0.43,,,,,,,,,,8,6,10,7,5,9,13,12,13,-1.24,15,11,19,-3.29,8.0,-0.62,15,11,19,-2.20,78,-0.54,17,17,18,0.87,3,8,38,18,56,0.59,57,258.8,-0.04,13,10,17,-1.21,,,,,,,,,,28,20,38,6,4,9,3182,18,16,20,1.15,23,104,958:1,-1.69,20,88,1130:1,-1.60,36,159,628:1,-0.42,2021,-0.74,,,,2260,2093,43,-1.37,,,,32,43,49,-1.70,,53,,37,49,249,86,-0.04,2687,4916,55,45,64,0.27,291,12323,2.4,-0.87,8,5,11,-2.08,,,,41,20,106709,23207,4.6,0.99,1985,5034,39,28,51,1.89,27,12.3,-1.92,38,173,0.06,71,65,51,82,-0.89,,,,,,,,,,,,,,,,6.2,-0.97,Yes,0.86,19,15,23,18,14,21,2,1,3,1,0,1,1.14,75,71,80,-0.07,,,,,,,,,,77,72,82,74,69,79,12246,23,17,29,-0.28
16015,Idaho,Boise,,,,,0.00,,,,,,,,,,,,,,,,13,13,14,-0.96,3.6,3.4,3.7,-0.85,3.8,3.6,4.0,-0.65,x,6,,,-1.15,,,,,,,,,,,,,,,,13,12,14,-1.19,31,23,38,0.04,6.1,1.82,25,19,33,0.26,80,-0.62,15,15,16,-0.25,10,26,38,28,48,0.67,12,164.6,-0.83,10,6,17,-1.47,,,,,,,,,,,,,,,,735,13,11,15,-0.17,2,27,3645:1,0.96,,,,0.00,4,52,1909:1,0.81,2865,0.33,,,,,,42,-1.20,,,,,,33,0.39,,,,,,63,89,-0.69,747,1215,61,47,76,-0.35,141,3329,4.2,0.78,19,13,25,0.43,,,,76,26,106875,24892,4.3,0.43,379,1226,31,20,42,0.82,6,8.2,-0.86,11,164,-0.06,22,61,38,93,-1.03,,,,,,,,,,,,,,,,5.9,-1.16,Yes,0.86,14,10,17,11,7,15,1,0,2,3,1,5,-0.39,71,64,78,-0.87,,,,,,,,,,,,,,,,2810,63,53,74,3.00
16017,Idaho,Bonner,577,6378,5405,7352,-0.42,,,,,,,,,,,,,,,,13,13,14,-0.95,3.8,3.6,4.0,-0.15,3.8,3.6,4.0,-0.49,,6,5,7,-0.78,,,,,,,,,,10,5,15,6,5,7,14,13,14,-0.43,26,22,30,-0.99,7.4,0.15,21,17,25,-0.73,79,-0.59,15,15,16,-0.15,12,45,27,19,35,-0.25,112,257.1,-0.05,23,19,26,-0.25,,,,,,,,,,24,11,43,23,20,26,4377,13,12,15,-0.19,26,60,1675:1,-0.15,23,51,1945:1,0.01,94,210,476:1,-1.01,1863,-0.95,,,,,,34,0.23,,,,47,34,35,0.13,,,,34,35,365,84,0.34,5023,8732,58,52,63,0.01,803,19610,4.1,0.66,18,12,24,0.05,,20,33,16,20,91195,20583,4.4,0.68,2054,8197,25,19,31,0.09,38,8.7,-0.99,69,166,-0.04,171,80,68,92,-0.33,,,,,,,,,,,,,,,,10.0,1.45,Yes,0.86,19,17,22,15,13,17,3,2,4,3,2,5,1.17,75,73,78,-0.12,,,,,,,,,,,,,,,,17241,35,30,40,0.71
