FIPS,State,County,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,% Fair or Poor Health,95% CI - Low,95% CI - High,Z-Score,Average Number of Physically Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Average Number of Mentally Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Unreliable,% Low Birthweight,95% CI - Low,95% CI - High,Z-Score,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low,95% CI - High,Z-Score,% Adults with Obesity,95% CI - Low,95% CI - High,Z-Score,Food Environment Index,Z-Score,% Physically Inactive,95% CI - Low,95% CI - High,Z-Score,% With Access to Exercise Opportunities,Z-Score,% Excessive Drinking,95% CI - Low,95% CI - High,Z-Score,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low,95% CI - High,Z-Score,# Chlamydia Cases,Chlamydia Rate,Z-Score,Teen Birth Rate,95% CI - Low,95% CI - High,Z-Score,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Z-Score,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score,# Dentists,Dentist Rate,Dentist Ratio,Z-Score,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score,Preventable Hospitalization Rate,Z-Score,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Z-Score,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),Cohort Size,High School Graduation Rate,Z-Score,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Z-Score,# Unemployed,Labor Force,% Unemployed,Z-Score,% Children in Poverty,95% CI - Low,95% CI - High,Z-Score,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score,# Single-Parent Households,# Households,% Single-Parent Households,95% CI - Low,95% CI - High,Z-Score,# Associations,Social Association Rate,Z-Score,Annual Average Violent Crimes,Violent Crime Rate,Z-Score,# Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,Z-Score,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score,Presence of Water Violation,Z-Score,% Severe Housing Problems,95% CI - Low,95% CI - High,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score,% Drive Alone to Work,95% CI - Low,95% CI - High,Z-Score,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low,95% CI - High,Z-Score
18000,Indiana,,90977,8306,8226,8385,,,,,,,,,,,,,,,,,20,19,21,,4.2,4.0,4.4,,4.7,4.5,4.9,,,8,8,8,,,,,,,,,,,,,,,,,22,21,23,,33,,,,7.1,,27,,,,75,,18,17,19,,819,4165,20,19,20,,34278,514.2,,27,26,27,,,,,,,,,,,,,,,,,526667,10,9,10,,4413,66,1511:1,,3766,56,1777:1,,10739,160,623:1,,5006,,,,,,,42,,,,,,,49,,,,,,,79738,84,,1052956,1678646,63,62,63,,116142,3381721,3.4,,18,17,18,,,,,,,103675,23723,4.4,,526092,1551970,34,33,34,,8216,12.3,,25472,385,,25592,77,76,78,,,,,,,,,,,,,,,,,11.8,,,,13,13,13,,,,,,,,,,,83,83,83,,,,,,,,,,,,,,,,,3107072,31,31,31,
18001,Indiana,Adams,384,7300,6270,8329,-0.67,,,,,,,,,,,,,,,,19,18,20,0.38,4.4,4.2,4.6,1.12,4.5,4.3,4.8,0.07,,7,7,8,-0.16,,,,,,,,,,,,,,,,20,20,21,0.29,35,28,43,0.22,8.1,-0.13,30,24,37,0.45,60,0.19,16,15,17,-0.80,7,27,26,16,37,0.70,80,225.4,-0.63,27,23,30,-0.26,,,,,,,,,,27,15,47,27,23,30,3438,12,10,13,0.86,13,37,2730:1,0.42,14,39,2545:1,0.03,14,39,2545:1,0.76,3652,-1.07,,,,,,35,1.10,,,,33,35,44,0.48,,,,37,44,390,93,-0.42,4102,7840,52,47,58,0.49,456,17494,2.6,-1.39,22,14,29,0.95,,,94,12,25,88993,23297,3.8,-0.43,1908,10708,18,13,22,-1.91,53,14.9,-0.73,,,0.00,99,56,46,68,-1.30,,,,,,,,,,,,,,,,12.5,1.12,No,-0.42,16,13,19,9,7,11,4,3,6,8,6,9,1.83,74,71,77,-2.08,,,,,,,,,,,,,,,,15227,26,23,30,-0.79
18003,Indiana,Allen,4788,8340,8004,8677,-0.09,,,,6506,5059,7952,14223,12990,15456,5340,4371,6308,7665,7294,8036,18,17,18,-0.23,4.0,3.9,4.2,-0.15,4.5,4.3,4.6,-0.24,,9,8,9,1.24,,,,9,8,11,14,13,15,7,6,8,8,7,8,20,19,20,-0.09,32,30,35,-0.47,7.3,1.34,23,20,25,-1.43,78,-1.00,18,17,18,0.58,61,173,35,31,39,1.68,2238,600.2,1.73,28,27,29,-0.15,,,,32,27,37,47,44,51,41,37,45,21,19,22,30599,10,9,11,0.07,251,67,1486:1,-0.56,243,65,1545:1,-1.38,687,183,546:1,-1.10,5079,0.16,,1586,8938,4424,4784,42,-0.28,,28,40,32,42,48,-0.15,,51,34,39,49,3763,92,-0.16,64251,96187,67,65,69,-1.07,5831,184863,3.2,-0.48,21,18,24,0.82,33,31,48,36,12,99467,23886,4.2,0.34,34002,95016,36,34,38,0.78,424,11.4,0.32,1088,296,0.45,1369,74,70,78,-0.33,,,,36,23,52,99,86,111,39,30,52,75,71,80,12.6,1.28,No,-0.42,12,11,12,10,9,11,2,2,2,1,1,1,0.19,84,83,85,0.16,,,,80,76,84,78,74,81,79,77,82,86,86,87,175734,20,19,21,-1.43
18005,Indiana,Bartholomew,1022,7586,6921,8251,-0.51,,,,,,,,,,,,,,,,16,16,17,-1.03,3.9,3.7,4.1,-0.57,4.1,4.0,4.3,-1.37,,8,7,8,0.08,,,,9,7,11,15,10,20,7,5,9,7,7,8,19,18,19,-0.76,32,27,37,-0.47,7.8,0.42,25,21,30,-0.78,64,-0.09,17,16,18,-0.21,9,83,11,6,17,-0.89,229,279.1,-0.29,33,30,36,0.50,,,,,,,19,9,34,37,27,50,34,31,37,6762,10,9,11,0.14,58,71,1414:1,-0.67,62,75,1335:1,-1.95,124,150,667:1,-0.67,4787,-0.09,,3014,3560,1427,4822,41,-0.08,,38,30,33,41,55,-1.23,,61,46,45,56,911,89,0.39,14707,22054,67,63,71,-1.06,1185,45295,2.6,-1.37,13,9,16,-0.79,,1,2,41,17,111463,26505,4.2,0.43,6187,19491,32,27,37,0.18,85,10.4,0.62,78,96,-0.55,295,72,64,81,-0.41,,,,,,,,,,37,18,69,79,69,88,11.2,-0.97,Yes,2.35,12,10,13,9,7,10,3,2,3,1,1,2,0.17,84,83,85,0.19,,,,90,84,95,83,69,97,66,55,78,86,85,86,39495,19,17,21,-1.52
18007,Indiana,Benton,123,6742,4909,8576,-0.98,,,,,,,,,,,,,,,,19,18,20,0.50,4.3,4.1,4.5,0.77,4.7,4.5,4.9,0.67,,5,4,7,-2.21,,,,,,,,,,,,,,,,21,20,22,0.53,33,24,43,-0.22,8.4,-0.68,31,22,41,0.64,58,0.33,16,16,17,-0.73,0,9,0,0,22,-2.03,33,383.1,0.36,25,19,33,-0.43,,,,,,,,,,,,,,,,795,11,10,13,0.73,,,,0.00,4,46,2163:1,-0.35,2,23,4327:1,0.97,3937,-0.82,,,,,,44,-0.68,,,,,,53,-0.92,,,,27,53,139,94,-0.67,1169,1973,59,51,67,-0.26,147,4574,3.2,-0.39,18,13,23,0.20,,,,14,24,86468,22972,3.8,-0.55,625,2141,29,21,37,-0.21,7,8.1,1.27,,,0.00,33,76,52,107,-0.20,,,,,,,,,,,,,,,,11.0,-1.29,No,-0.42,9,7,12,8,5,10,2,0,3,1,0,2,-0.72,81,77,84,-0.63,,,,,,,,,,,,,,,,3927,49,42,56,1.46
18009,Indiana,Blackford,219,10342,8151,12532,1.03,,,,,,,,,,,,,,,,19,18,19,0.24,4.2,4.0,4.4,0.31,4.7,4.4,4.9,0.48,,8,6,10,0.73,,,,,,,,,,,,,,,,20,19,21,-0.13,34,26,44,0.05,8.3,-0.50,29,21,39,0.14,58,0.33,16,15,17,-1.04,3,7,43,22,61,2.48,28,233.8,-0.58,38,30,46,1.07,,,,,,,,,,,,,,,,797,9,7,10,-0.38,7,58,1711:1,-0.28,2,17,5965:1,1.28,3,25,3977:1,0.95,4751,-0.12,,,,,,35,1.10,,,,,,48,-0.15,,,,,,124,97,-1.21,1442,2624,55,46,64,0.21,206,5341,3.9,0.68,22,16,29,1.06,,,,,,78852,22210,3.6,-1.03,923,2554,36,26,46,0.84,24,20.0,-2.22,6,49,-0.78,65,107,83,136,1.49,,,,,,,,,,,,,,,,11.7,-0.17,No,-0.42,11,8,14,9,6,12,1,0,2,2,0,3,-0.10,86,83,90,0.70,,,,,,,,,,,,,,,,5298,36,30,41,0.12
18011,Indiana,Boone,626,6094,5397,6792,-1.34,,,,,,,,,,,,,,,,14,14,15,-2.02,3.4,3.2,3.6,-2.29,3.9,3.7,4.1,-2.27,,7,6,8,-0.63,,,,8,5,11,11,5,17,,,,7,6,8,16,15,17,-2.17,28,23,33,-1.78,8.9,-1.60,21,17,25,-1.89,77,-0.93,18,17,19,0.87,5,46,11,5,19,-0.89,169,256.5,-0.43,12,10,14,-1.99,,,,,,,,,,,,,,,,3882,7,6,8,-1.15,136,206,484:1,-4.99,30,45,2233:1,-0.27,68,101,985:1,-0.04,3944,-0.82,,,,,,42,-0.28,,31,33,45,42,54,-1.08,,62,31,68,54,790,95,-0.85,12978,16231,80,75,85,-2.50,971,35904,2.7,-1.23,5,4,7,-2.20,,,28,2,6,159582,37447,4.3,0.56,3395,17090,20,16,24,-1.61,77,11.7,0.23,63,187,-0.09,214,66,57,75,-0.75,,,,,,,,,,,,,,,,12.0,0.32,No,-0.42,10,8,12,9,7,10,1,1,2,1,0,1,-0.39,86,84,87,0.49,,,,,,,86,77,96,55,45,65,81,79,84,33026,39,36,42,0.47
18013,Indiana,Brown,249,8072,6050,10094,-0.24,,,,,,,,,,,,,,,,17,16,17,-0.78,4.0,3.8,4.2,-0.31,4.5,4.3,4.7,-0.11,,7,5,8,-1.12,,,,,,,,,,,,,,,,19,18,19,-0.68,31,24,39,-0.78,8.7,-1.24,23,17,30,-1.38,63,-0.01,17,16,17,-0.54,2,17,12,2,27,-0.79,8,53.2,-1.71,16,12,22,-1.49,,,,,,,,,,,,,,,,1198,10,9,12,0.39,5,33,3007:1,0.52,2,13,7617:1,1.49,9,59,1693:1,0.51,3189,-1.47,,,,,,40,0.11,,,,,,47,0.01,,,,,,151,98,-1.47,1913,2945,65,55,75,-0.88,243,7659,3.2,-0.45,16,11,22,-0.08,,,,38,6,109046,26039,4.2,0.39,789,2681,29,19,40,-0.17,15,10.0,0.73,28,187,-0.09,64,85,66,109,0.29,,,,,,,,,,,,,,,,10.8,-1.61,No,-0.42,14,11,18,12,8,15,2,1,3,2,0,3,1.12,85,82,88,0.33,,,,,,,,,,,,,,,,6797,55,47,63,2.02
18015,Indiana,Carroll,226,6706,5278,8134,-1.00,,,,,,,,,,,,,,,,18,18,19,0.16,4.2,4.0,4.4,0.37,4.4,4.2,4.6,-0.40,,7,6,8,-0.68,,,,,,,,,,,,,,,,18,18,19,-0.90,37,29,45,0.89,8.7,-1.24,31,24,38,0.57,52,0.70,17,17,18,0.19,5,19,26,14,39,0.74,87,434.2,0.69,21,17,25,-0.96,,,,,,,,,,,,,,,,1643,10,9,12,0.28,3,15,6680:1,1.11,8,40,2516:1,0.01,14,70,1438:1,0.37,4075,-0.70,,,,,,36,0.90,,,,,,48,-0.15,,,,,,224,93,-0.38,2471,4563,54,48,60,0.29,336,10264,3.3,-0.29,12,8,16,-0.92,,,,29,12,106658,26394,4.0,0.07,994,4441,22,17,27,-1.23,26,13.0,-0.15,,,0.00,63,63,48,81,-0.92,,,,,,,,,,,,,,,,11.6,-0.33,No,-0.42,8,6,9,5,3,7,2,1,3,1,1,2,-1.44,83,80,85,-0.11,,,,,,,,,,,,,,,,9119,47,42,52,1.25
18017,Indiana,Cass,594,9919,8697,11141,0.79,,,,,,,,,,6756,4558,9645,10314,8869,11759,20,20,21,1.09,4.3,4.1,4.5,0.71,4.6,4.4,4.7,0.14,,9,8,9,1.04,,,,9,4,14,21,10,33,7,5,8,9,8,10,21,20,21,0.40,32,26,39,-0.53,8.6,-1.05,27,21,33,-0.37,73,-0.68,16,15,17,-1.05,7,34,21,12,30,0.13,143,376.4,0.32,40,36,45,1.36,,,,,,,,,,60,48,72,35,30,40,4048,13,12,15,1.51,16,42,2375:1,0.24,9,24,4217:1,0.90,89,234,426:1,-1.76,4687,-0.17,,,,,,44,-0.68,,,,35,44,52,-0.77,,,40,32,53,435,91,0.11,4478,9027,50,45,54,0.78,676,18296,3.7,0.41,17,12,22,0.11,,,22,29,20,87805,21899,4.0,0.00,3200,8701,37,30,43,0.93,49,12.9,-0.13,27,70,-0.67,155,81,69,94,0.09,,,,,,,,,,46,24,78,88,73,103,12.0,0.32,No,-0.42,11,9,13,8,7,10,3,2,4,1,0,1,0.03,83,81,85,-0.06,,,,,,,,,,74,62,85,85,83,87,16768,24,21,27,-1.02
