FIPS,State,County,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,% Fair or Poor Health,95% CI - Low,95% CI - High,Z-Score,Average Number of Physically Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Average Number of Mentally Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Unreliable,% Low Birthweight,95% CI - Low,95% CI - High,Z-Score,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low,95% CI - High,Z-Score,% Adults with Obesity,95% CI - Low,95% CI - High,Z-Score,Food Environment Index,Z-Score,% Physically Inactive,95% CI - Low,95% CI - High,Z-Score,% With Access to Exercise Opportunities,Z-Score,% Excessive Drinking,95% CI - Low,95% CI - High,Z-Score,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low,95% CI - High,Z-Score,# Chlamydia Cases,Chlamydia Rate,Z-Score,Teen Birth Rate,95% CI - Low,95% CI - High,Z-Score,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Z-Score,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score,# Dentists,Dentist Rate,Dentist Ratio,Z-Score,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score,Preventable Hospitalization Rate,Z-Score,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Z-Score,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),Cohort Size,High School Graduation Rate,Z-Score,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Z-Score,# Unemployed,Labor Force,% Unemployed,Z-Score,% Children in Poverty,95% CI - Low,95% CI - High,Z-Score,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score,# Single-Parent Households,# Households,% Single-Parent Households,95% CI - Low,95% CI - High,Z-Score,# Associations,Social Association Rate,Z-Score,Annual Average Violent Crimes,Violent Crime Rate,Z-Score,# Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,Z-Score,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score,Presence of Water Violation,Z-Score,% Severe Housing Problems,95% CI - Low,95% CI - High,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score,% Drive Alone to Work,95% CI - Low,95% CI - High,Z-Score,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low,95% CI - High,Z-Score
19000,Iowa,,34968,6244,6145,6344,,,,,,,,,,,,,,,,,14,14,15,,3.3,3.1,3.5,,3.6,3.4,3.8,,,7,7,7,,,,,,,,,,,,,,,,,17,16,18,,33,,,,8.2,,24,,,,83,,22,21,23,,455,1692,27,26,28,,13893,441.6,,19,19,19,,,,,,,,,,,,,,,,,139424,5,5,6,,2293,73,1372:1,,2105,67,1499:1,,4928,156,640:1,,3808,,,,,,,51,,,,,,,53,,,,,,,35485,91,,538869,764550,70,70,71,,42570,1686848,2.5,,14,13,14,,,,,,,108481,25587,4.2,,210252,720537,29,28,30,,4795,15.2,,8804,282,,10562,67,66,69,,,,,,,,,,,,,,,,,9.0,,,,12,12,12,,,,,,,,,,,81,81,81,,,,,,,,,,,,,,,,,1583271,20,20,21,
19001,Iowa,Adair,85,6247,4244,8867,-0.20,,,,,,,,,,,,,,,,14,13,15,0.13,3.2,3.0,3.4,0.01,3.6,3.4,3.8,0.38,,6,4,8,-0.05,,,,,,,,,,,,,,,,16,15,16,-0.22,32,23,42,-0.68,8.7,-0.92,27,19,36,0.22,72,0.28,20,19,21,-0.33,8,16,50,38,61,1.66,19,269.4,-0.10,14,9,22,-0.75,,,,,,,,,,,,,,,,297,5,5,6,-0.31,3,43,2351:1,0.43,4,57,1766:1,-0.22,,,,0.00,1682,-1.72,,,,,,49,0.06,,,,,,54,-0.58,,,,,,45,96,-0.55,926,1515,61,53,69,0.72,98,4116,2.4,-0.29,13,8,18,-0.35,,,,21,11,94522,25029,3.8,-0.65,463,1518,31,20,41,0.55,7,9.9,1.14,8,103,-0.67,38,106,75,145,1.64,,,,,,,,,,,,,,,,8.7,-0.64,No,-0.39,8,5,10,7,4,9,1,0,2,0,0,1,-1.03,79,75,82,-0.32,,,,,,,,,,,,,,,,3522,33,27,38,0.98
19003,Iowa,Adams,,,,,0.00,,,,,,,,,,,,,,,,12,12,13,-0.77,3.1,2.9,3.3,-0.40,3.4,3.2,3.7,-0.58,x,7,4,10,0.79,,,,,,,,,,,,,,,,16,15,16,-0.18,30,22,41,-1.09,8.7,-0.92,25,16,35,-0.31,54,1.95,20,19,21,-0.29,0,3,0,0,42,-1.96,9,244.2,-0.28,24,14,39,0.55,,,,,,,,,,,,,,,,174,6,5,7,0.20,1,27,3686:1,0.97,3,82,1215:1,-1.22,1,27,3645:1,0.81,2062,-1.38,,,,,,55,-0.97,,,,,,45,0.24,,,,,,48,98,-1.14,541,775,70,58,82,-0.40,41,2119,1.9,-1.18,20,13,27,1.38,,,,,,89633,25377,3.5,-1.20,107,778,14,6,21,-1.84,4,10.9,0.97,3,66,-0.95,16,86,49,139,0.56,,,,,,,,,,,,,,,,8.7,-0.64,No,-0.39,7,5,10,7,4,10,0,0,2,0,0,1,-1.26,77,71,83,-0.66,,,,,,,,,,,,,,,,1744,22,17,28,-0.22
19005,Iowa,Allamakee,169,5440,4045,6834,-0.75,,,,,,,,,,,,,,,,15,14,15,0.57,3.2,3.1,3.4,0.37,3.6,3.4,3.8,0.35,,5,4,6,-1.18,,,,,,,,,,6,3,9,5,4,6,16,16,17,0.29,35,28,43,0.22,8.5,-0.55,23,17,30,-0.75,72,0.27,19,18,20,-0.79,6,12,50,36,62,1.66,21,151.3,-0.92,25,19,32,0.72,,,,,,,,,,156,102,228,16,11,22,841,8,7,9,1.42,8,58,1736:1,-0.10,4,29,3458:1,0.85,3,22,4611:1,0.87,2671,-0.83,,,,,,52,-0.45,,,,,,41,0.60,,,,,,158,91,0.55,1774,2775,64,56,72,0.36,226,7366,3.1,1.07,18,12,24,0.86,,,,45,8,98005,21887,4.5,0.92,522,3163,17,10,23,-1.45,21,15.1,0.19,6,39,-1.14,64,92,71,118,0.91,,,,,,,,,,,,,,,,8.9,-0.34,No,-0.39,10,8,12,8,5,10,2,1,3,2,1,2,-0.15,77,74,80,-0.75,,,,,,,,,,,,,,,,6815,30,25,35,0.67
19007,Iowa,Appanoose,202,8090,6136,10044,1.05,,,,,,,,,,,,,,,,16,15,17,1.47,3.5,3.3,3.6,1.37,3.8,3.6,4.0,1.45,,9,7,10,2.55,,,,,,,,,,,,,,,,17,16,18,0.84,37,29,46,0.81,7.8,0.74,41,33,49,3.00,69,0.49,18,17,19,-1.47,6,13,46,32,59,1.38,46,372.4,0.61,31,24,39,1.55,,,,,,,,,,,,,,,,598,6,5,7,0.31,11,89,1123:1,-1.20,3,24,4146:1,1.04,14,113,888:1,-0.18,4379,0.72,,,,,,45,0.76,,,,,,36,1.06,,,,,,133,91,0.59,1871,2619,71,63,80,-0.61,194,5856,3.3,1.56,23,15,30,1.90,,,,14,26,78338,17214,4.6,1.09,729,2710,27,18,36,0.04,12,9.7,1.17,28,219,0.19,52,83,62,109,0.44,,,,,,,,,,,,,,,,9.2,0.12,No,-0.39,13,10,15,11,8,13,2,0,3,1,0,2,0.82,82,79,85,0.47,,,,,,,,,,,,,,,,5442,22,18,26,-0.23
19009,Iowa,Audubon,90,12174,8479,16931,3.00,,,,,,,,,,,,,,,,13,12,14,-0.44,3.2,3.0,3.3,0.00,3.5,3.3,3.7,-0.21,x,5,3,7,-1.37,,,,,,,,,,,,,,,,16,16,17,0.29,30,22,40,-1.04,8.4,-0.37,29,21,39,0.83,65,0.92,19,18,20,-1.18,3,7,43,22,61,1.14,7,125.5,-1.10,19,12,28,-0.13,,,,,,,,,,,,,,,,278,7,6,8,0.53,4,72,1395:1,-0.59,2,36,2753:1,0.57,,,,0.00,1846,-1.57,,,,,,42,1.28,,,,,,35,1.15,,,,,,30,97,-0.83,716,1066,67,57,77,-0.06,76,3116,2.4,-0.18,18,12,24,0.86,,,,,,90690,23875,3.8,-0.60,305,1076,28,18,38,0.25,11,19.7,-0.65,4,70,-0.92,48,169,125,225,3.00,,,,,,,,,,,,,,,,8.7,-0.64,No,-0.39,6,4,8,5,3,7,0,0,2,1,0,1,-1.78,82,79,86,0.62,,,,,,,,,,,,,,,,2872,22,18,27,-0.23
19011,Iowa,Benton,313,6239,5100,7378,-0.21,,,,,,,,,,,,,,,,12,12,13,-0.77,3.0,2.8,3.1,-1.06,3.5,3.3,3.7,-0.12,,6,5,7,-0.19,,,,,,,,,,,,,,,,15,14,16,-0.77,36,29,43,0.37,8.7,-0.92,25,20,31,-0.19,50,2.34,22,21,23,0.91,7,38,18,10,28,-0.62,63,245.7,-0.27,13,11,17,-0.85,,,,,,,,,,,,,,,,1051,5,4,6,-0.63,4,16,6411:1,1.38,6,23,4274:1,1.07,5,19,5128:1,0.90,4164,0.52,,,,,,56,-1.15,,,,,,32,1.42,,,,,,261,92,0.44,3939,5645,70,64,76,-0.39,361,13356,2.7,0.35,9,6,12,-1.29,,,16,24,11,113276,29482,3.8,-0.50,1509,6009,25,19,31,-0.22,37,14.4,0.31,,,0.00,115,90,73,106,0.78,,,,,,,,,,,,,,,,9.9,1.17,Yes,2.56,8,6,10,6,5,8,1,0,2,1,0,2,-0.92,83,81,85,0.75,,,,,,,,,,,,,,,,13162,40,36,43,1.80
19013,Iowa,Black Hawk,1531,7270,6737,7802,0.49,,,,,,,15762,13226,18298,,,,6342,5809,6875,14,14,14,0.19,3.4,3.2,3.5,0.89,3.4,3.3,3.6,-0.48,,7,7,7,0.73,,,,9,6,11,13,11,14,5,3,6,6,5,6,18,18,19,2.05,31,27,34,-0.91,7.1,2.02,24,21,27,-0.55,83,-0.86,24,23,25,2.75,4,44,9,3,17,-1.30,1031,777.2,3.42,17,16,19,-0.34,,,,27,18,41,45,38,51,38,30,47,12,10,13,5610,5,5,6,-0.46,126,95,1053:1,-1.41,94,71,1409:1,-0.78,219,165,605:1,-0.79,3413,-0.16,,,6521,1291,3234,54,-0.80,,45,51,50,55,57,-0.85,,53,44,45,58,1211,89,1.08,22663,32033,71,68,74,-0.52,1909,68953,2.8,0.48,19,15,23,1.02,20,13,44,31,13,101110,23086,4.4,0.70,9666,28539,34,31,37,1.04,160,12.1,0.75,683,511,2.37,420,63,57,69,-0.62,,,,,,,91,69,117,,,,63,57,70,9.4,0.42,No,-0.39,15,14,16,13,12,14,2,1,2,1,1,1,1.72,82,80,83,0.39,,,,72,62,82,75,69,81,69,63,75,84,83,86,68238,9,8,10,-1.84
19015,Iowa,Boone,287,4867,3913,5820,-1.14,,,,,,,,,,,,,,,,14,13,15,0.18,3.2,3.1,3.4,0.36,3.7,3.5,3.9,0.83,,6,5,7,-0.33,,,,,,,,,,,,,,,,16,15,17,0.16,36,29,43,0.42,8.5,-0.55,25,20,31,-0.24,86,-1.07,21,21,22,0.79,6,17,35,22,48,0.60,78,294.5,0.07,17,14,21,-0.39,,,,,,,,,,51,26,92,15,12,19,897,4,3,5,-1.22,13,49,2037:1,0.20,12,46,2196:1,0.21,19,72,1387:1,0.29,4128,0.49,,,,,,50,-0.11,,,,,,59,-1.03,,,,,,298,94,-0.15,4395,6436,68,62,74,-0.20,317,14816,2.1,-0.77,10,6,13,-1.10,,,,1,7,107183,28855,3.7,-0.79,1660,5585,30,22,38,0.44,37,14.0,0.40,74,277,0.62,90,68,55,84,-0.37,,,,,,,,,,,,,,,,9.1,-0.04,No,-0.39,12,10,14,10,7,12,2,1,3,1,0,1,0.62,83,81,85,0.75,,,,,,,,,,,,,,,,13605,28,25,32,0.48
19017,Iowa,Bremer,218,4212,3320,5104,-1.59,,,,,,,,,,,,,,,,12,11,12,-1.25,2.9,2.7,3.0,-1.50,3.4,3.2,3.6,-0.82,,6,5,7,-0.51,,,,,,,,,,,,,,,,14,13,15,-1.50,33,26,41,-0.37,8.9,-1.29,22,16,28,-1.02,82,-0.76,22,21,23,0.94,1,8,13,1,35,-1.05,71,285.0,0.01,5,4,7,-1.95,,,,,,,,,,,,,,,,735,4,3,5,-1.41,13,52,1916:1,0.09,15,60,1663:1,-0.36,34,136,734:1,-0.45,3487,-0.09,,,,,,53,-0.63,,,,,,48,-0.03,,,,,,377,94,-0.20,4356,5483,79,73,86,-1.64,281,13845,2.0,-0.99,6,4,9,-1.90,,,,11,8,117149,29494,4.0,-0.21,997,5331,19,14,24,-1.13,45,18.1,-0.35,94,378,1.37,54,44,33,57,-1.66,,,,,,,,,,,,,,,,9.3,0.27,No,-0.39,9,8,11,9,7,10,1,0,1,0,0,1,-0.42,80,78,82,-0.09,,,,,,,,,,,,,,,,12798,25,22,28,0.11
