FIPS,State,County,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,% Fair or Poor Health,95% CI - Low,95% CI - High,Z-Score,Average Number of Physically Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Average Number of Mentally Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Unreliable,% Low Birthweight,95% CI - Low,95% CI - High,Z-Score,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low,95% CI - High,Z-Score,% Adults with Obesity,95% CI - Low,95% CI - High,Z-Score,Food Environment Index,Z-Score,% Physically Inactive,95% CI - Low,95% CI - High,Z-Score,% With Access to Exercise Opportunities,Z-Score,% Excessive Drinking,95% CI - Low,95% CI - High,Z-Score,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low,95% CI - High,Z-Score,# Chlamydia Cases,Chlamydia Rate,Z-Score,Teen Birth Rate,95% CI - Low,95% CI - High,Z-Score,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Z-Score,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score,# Dentists,Dentist Rate,Dentist Ratio,Z-Score,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score,Preventable Hospitalization Rate,Z-Score,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Z-Score,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),Cohort Size,High School Graduation Rate,Z-Score,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Z-Score,# Unemployed,Labor Force,% Unemployed,Z-Score,% Children in Poverty,95% CI - Low,95% CI - High,Z-Score,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score,# Single-Parent Households,# Households,% Single-Parent Households,95% CI - Low,95% CI - High,Z-Score,# Associations,Social Association Rate,Z-Score,Annual Average Violent Crimes,Violent Crime Rate,Z-Score,# Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,Z-Score,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score,Presence of Water Violation,Z-Score,% Severe Housing Problems,95% CI - Low,95% CI - High,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score,% Drive Alone to Work,95% CI - Low,95% CI - High,Z-Score,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low,95% CI - High,Z-Score
20000,Kansas,,34357,7024,6914,7133,,,,,,,,,,,,,,,,,16,15,17,,3.6,3.4,3.7,,3.7,3.6,3.9,,,7,7,7,,,,,,,,,,,,,,,,,17,17,18,,33,,,,6.8,,25,,,,80,,19,18,19,,445,2034,22,21,23,,13554,465.3,,26,25,26,,,,,,,,,,,,,,,,,243306,10,10,11,,2250,77,1295:1,,1701,58,1712:1,,5747,197,507:1,,4024,,,,,,,45,,,,,,,46,,,,,,,,87,,512609,733611,70,69,71,,49835,1482228,3.4,,15,14,16,,,,,,,110359,25384,4.3,,202126,708637,29,28,29,,3994,13.7,,10592,365,,10825,74,73,76,,,,,,,,,,,,,,,,,8.1,,,,13,13,13,,,,,,,,,,,82,82,82,,,,,,,,,,,,,,,,,1422992,21,21,21,
20001,Kansas,Allen,201,9358,7235,11480,0.63,,,,,,,,,,,,,,,,18,17,18,0.79,3.7,3.5,3.8,0.56,3.9,3.8,4.1,1.20,,6,5,8,-0.54,,,,,,,,,,,,,,,,19,18,19,1.46,38,33,44,0.95,6.3,1.36,31,26,36,0.56,78,-0.87,16,16,17,-0.29,2,14,14,3,31,-0.43,19,151.8,-0.94,28,23,35,0.03,,,,,,,,,,,,,,,,881,9,8,10,-0.80,8,64,1565:1,-0.05,7,56,1778:1,-0.67,15,121,830:1,0.02,5582,0.54,,,,,,34,0.93,,,,,,38,-0.04,,,36,,38,,85,0.77,1652,2708,61,52,70,0.33,254,6313,4.0,1.25,27,20,34,2.31,,,,13,20,79458,18056,4.4,0.60,727,2790,26,18,34,0.05,15,12.0,0.83,37,319,0.65,49,77,57,102,-0.67,,,,,,,,,,,,,,,,9.5,1.13,No,-0.79,9,6,12,7,5,10,2,0,3,1,0,1,-0.60,84,82,86,1.06,,,,,,,,,,,,,,,,5822,14,11,18,-0.71
20003,Kansas,Anderson,125,9205,6505,11905,0.55,,,,,,,,,,,,,,,,17,16,17,0.31,3.7,3.5,3.8,0.51,3.8,3.6,4.0,0.54,,6,4,7,-1.05,,,,,,,,,,,,,,,,17,17,18,0.61,35,29,41,0.20,7.4,0.12,27,22,32,-0.53,55,0.34,16,15,17,-0.41,5,18,28,15,41,0.28,20,255.3,-0.31,26,19,35,-0.19,,,,,,,,,,,,,,,,630,10,9,12,-0.43,3,38,2611:1,0.71,2,25,3939:1,0.57,3,38,2626:1,0.73,3071,-1.01,,,,,,49,-0.87,,,,,,27,1.10,,,,,,,93,-0.61,973,1585,61,48,74,0.29,144,4133,3.5,0.53,17,11,22,-0.11,1,,,27,23,84419,20938,4.0,-0.10,350,2050,17,8,27,-1.07,9,11.5,0.89,18,237,0.06,43,110,79,148,0.53,,,,,,,,,,,,,,,,9.2,0.86,No,-0.79,12,7,17,10,5,15,1,0,2,1,0,3,0.31,73,68,79,-1.34,,,,,,,,,,,,,,,,3453,35,28,43,1.31
20005,Kansas,Atchison,243,8403,6819,9988,0.16,,,,,,,,,,,,,,,,17,17,18,0.63,4.0,3.8,4.1,1.69,3.9,3.7,4.1,1.04,,7,5,8,-0.18,,,,,,,14,7,21,,,,6,5,7,17,16,17,0.38,43,38,49,2.22,7.2,0.35,33,28,38,1.10,74,-0.67,18,17,19,0.55,3,17,18,6,32,-0.26,49,300.0,-0.03,22,18,26,-0.62,,,,,,,39,20,70,,,,21,17,25,922,7,6,9,-1.29,9,55,1815:1,0.21,10,62,1619:1,-0.89,23,142,704:1,-0.16,5497,0.49,,,2107,,5395,43,-0.15,,,40,,43,27,1.10,,,20,,28,,85,0.74,2276,3294,69,59,79,-0.50,323,6985,4.6,2.06,18,12,24,0.28,,,2,34,17,94711,19733,4.8,1.37,758,3742,20,12,28,-0.67,24,14.7,0.53,48,288,0.43,69,84,66,107,-0.41,,,,,,,,,,,,,,,,9.7,1.30,No,-0.79,12,9,16,10,7,14,1,0,2,1,0,2,0.44,75,72,78,-0.97,,,,,,,,,,,,,,,,7626,22,17,26,-0.02
20007,Kansas,Barber,,,,,0.00,,,,,,,,,,,,,,,,16,15,17,-0.08,3.7,3.5,3.9,0.60,3.8,3.7,4.0,0.77,,6,4,8,-0.72,,,,,,,,,,,,,,,,17,16,17,0.30,28,22,34,-1.74,7.9,-0.44,27,22,34,-0.40,55,0.32,16,15,17,-0.56,1,5,20,2,48,-0.13,10,218.1,-0.53,38,26,53,0.97,,,,,,,,,,,,,,,,492,14,12,16,0.58,2,44,2293:1,0.55,,,,0.00,1,22,4472:1,0.86,4831,0.08,,,,,,37,0.57,,,,,,24,1.41,,,,,,,82,1.21,566,989,57,47,68,0.71,62,2396,2.6,-0.66,20,13,26,0.66,81,,,95,13,94259,17740,5.3,2.35,308,1087,28,15,42,0.34,13,28.3,-0.98,13,297,0.49,23,98,62,147,0.09,,,,,,,,,,,,,,,,7.8,-0.37,No,-0.79,10,7,13,9,5,12,1,0,3,0,0,1,-0.37,81,76,87,0.42,,,,,,,,,,,,,,,,2144,23,17,30,0.15
20009,Kansas,Barton,335,7475,6259,8690,-0.30,,,,,,,,,,,,,,,,17,17,18,0.64,3.7,3.6,3.9,0.67,3.8,3.6,3.9,0.43,,7,6,8,-0.10,,,,,,,,,,8,6,11,6,5,7,17,17,18,0.68,39,35,44,1.14,7.5,0.01,28,24,32,-0.31,75,-0.68,17,16,17,-0.10,3,19,16,5,30,-0.35,103,389.0,0.51,34,29,38,0.57,,,,,,,,,,58,46,72,27,22,32,2707,13,11,15,0.29,14,53,1891:1,0.27,13,50,2009:1,-0.41,59,226,443:1,-0.88,4460,-0.15,,,,,,41,0.09,,,,39,41,31,0.69,,,41,37,31,,84,0.85,3620,6256,58,53,63,0.65,443,13413,3.3,0.29,19,13,25,0.42,23,,,38,21,94858,21662,4.4,0.56,2502,6299,40,30,49,1.77,54,20.4,-0.10,100,364,0.98,101,75,61,90,-0.74,,,,,,,,,,,,,,,,7.9,-0.28,No,-0.79,12,10,14,8,6,10,2,1,3,3,1,4,0.28,84,80,88,1.05,,,,,,,,,,73,62,85,85,82,89,13272,11,9,14,-1.00
20011,Kansas,Bourbon,235,8591,6882,10300,0.25,,,,,,,,,,,,,,,,19,18,19,1.19,4.0,3.8,4.1,1.66,4.1,3.9,4.3,2.00,,7,6,9,0.54,,,,,,,27,14,40,,,,7,5,8,19,18,20,1.54,35,30,40,0.07,7.1,0.46,32,27,36,0.77,43,0.92,15,14,16,-1.11,0,5,0,0,32,-1.19,48,325.3,0.12,43,36,50,1.51,,,,,,,,,,,,,,,,1192,10,9,12,-0.45,8,54,1844:1,0.23,4,27,3663:1,0.49,8,55,1832:1,0.59,4004,-0.43,,,,,,45,-0.39,,,36,,46,47,-0.97,,,38,,47,,87,0.41,1934,3144,62,53,70,0.27,298,7120,4.2,1.47,23,15,30,1.28,,,52,65,18,84755,18394,4.6,1.00,1022,3774,27,19,35,0.18,21,14.2,0.58,77,522,2.13,50,68,50,90,-1.02,,,,,,,,,,,,,,,,9.5,1.13,No,-0.79,13,9,16,9,6,13,2,1,4,2,0,3,0.48,76,73,80,-0.71,,,,,,,,,,,,,,,,6292,21,16,25,-0.10
20013,Kansas,Brown,175,9985,7520,12451,0.93,,,,,,,,,,,,,,,,17,16,17,0.32,3.5,3.4,3.7,0.11,3.9,3.7,4.0,0.82,,5,4,7,-1.27,,,,,,,,,,,,,,,,17,17,18,0.57,37,31,43,0.57,7.9,-0.44,33,28,39,1.29,56,0.25,17,16,18,0.08,4,19,21,10,35,-0.08,24,248.9,-0.34,40,31,49,1.14,57,32,94,,,,,,,,,,34,25,44,806,11,9,12,-0.40,10,104,964:1,-1.24,4,42,2400:1,-0.09,33,344,291:1,-1.88,2321,-1.48,,,,,,38,0.45,,,,,,26,1.21,36,,,,25,,85,0.75,1264,2024,62,54,71,0.18,163,5353,3.0,-0.05,20,13,26,0.61,53,,,54,21,88434,24367,3.6,-0.88,943,2456,38,28,49,1.60,23,23.9,-0.48,21,213,-0.12,41,85,61,115,-0.41,,,,,,,,,,,,,,,,9.4,1.04,Yes,1.26,9,7,11,7,5,9,1,0,3,1,0,1,-0.60,81,77,85,0.42,90,76,100,,,,,,,,,,81,77,85,4442,20,17,24,-0.14
20015,Kansas,Butler,883,7385,6641,8129,-0.34,,,,,,,,,,,,,,,,14,14,15,-0.69,3.5,3.3,3.6,-0.17,4.0,3.8,4.2,1.47,,7,6,8,0.30,,,,,,,,,,6,3,9,7,6,8,16,15,16,-0.23,35,32,39,0.17,7.9,-0.44,27,25,30,-0.42,68,-0.33,19,18,20,1.36,8,47,17,10,25,-0.29,197,294.6,-0.07,19,17,21,-0.93,,,,,,,23,12,41,17,11,27,19,17,21,4370,8,7,9,-1.16,42,63,1592:1,-0.02,18,27,3709:1,0.50,79,118,845:1,0.04,3928,-0.48,,,,2079,3959,38,0.45,33,31,,39,38,49,-1.18,34,31,34,46,49,,88,0.21,11576,16140,72,67,76,-0.77,1105,31938,3.5,0.50,12,8,15,-1.28,9,,3,20,16,114874,28706,4.0,-0.16,3643,16978,21,16,27,-0.52,82,12.3,0.80,119,182,-0.35,247,74,65,83,-0.80,285,137,525,,,,,,,,,,76,66,85,9.6,1.21,No,-0.79,12,10,14,9,8,11,2,1,3,1,1,2,0.30,84,82,86,0.98,,,,,,,,,,71,55,86,79,76,81,30657,33,30,36,1.07
20017,Kansas,Chase,,,,,0.00,,,,,,,,,,,,,,,,16,15,16,-0.12,3.5,3.3,3.7,-0.03,3.6,3.4,3.8,-0.12,,,,,0.00,,,,,,,,,,,,,,,,15,14,16,-0.65,35,26,44,0.00,5.4,2.37,25,17,32,-1.13,68,-0.36,16,16,17,-0.29,3,13,23,9,39,0.03,5,186.4,-0.72,,,,0.00,,,,,,,,,,,,,,,,197,10,9,12,-0.45,,,,0.00,0,0,2629:0,1.58,,,,0.00,2063,-1.64,,,,,,53,-1.35,,,,,,37,0.07,,,,,,,85,0.79,346,542,64,50,77,0.04,39,1484,2.6,-0.61,13,9,17,-1.04,,,,7,20,86737,19988,4.3,0.48,184,617,30,15,44,0.53,0,0.0,2.16,4,150,-0.58,15,112,63,185,0.63,,,,,,,,,,,,,,,,8.6,0.33,Yes,1.26,10,5,14,9,4,15,1,0,4,0,0,2,-0.38,72,65,79,-1.66,,,,,,,,,,,,,,,,1113,29,21,36,0.67
