FIPS,State,County,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,% Fair or Poor Health,95% CI - Low,95% CI - High,Z-Score,Average Number of Physically Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Average Number of Mentally Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Unreliable,% Low Birthweight,95% CI - Low,95% CI - High,Z-Score,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low,95% CI - High,Z-Score,% Adults with Obesity,95% CI - Low,95% CI - High,Z-Score,Food Environment Index,Z-Score,% Physically Inactive,95% CI - Low,95% CI - High,Z-Score,% With Access to Exercise Opportunities,Z-Score,% Excessive Drinking,95% CI - Low,95% CI - High,Z-Score,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low,95% CI - High,Z-Score,# Chlamydia Cases,Chlamydia Rate,Z-Score,Teen Birth Rate,95% CI - Low,95% CI - High,Z-Score,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Z-Score,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score,# Dentists,Dentist Rate,Dentist Ratio,Z-Score,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score,Preventable Hospitalization Rate,Z-Score,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Z-Score,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),Cohort Size,High School Graduation Rate,Z-Score,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Z-Score,# Unemployed,Labor Force,% Unemployed,Z-Score,% Children in Poverty,95% CI - Low,95% CI - High,Z-Score,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score,# Single-Parent Households,# Households,% Single-Parent Households,95% CI - Low,95% CI - High,Z-Score,# Associations,Social Association Rate,Z-Score,Annual Average Violent Crimes,Violent Crime Rate,Z-Score,# Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,Z-Score,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score,Presence of Water Violation,Z-Score,% Severe Housing Problems,95% CI - Low,95% CI - High,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score,% Drive Alone to Work,95% CI - Low,95% CI - High,Z-Score,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low,95% CI - High,Z-Score
21000,Kentucky,,74299,9718,9615,9821,,,,,,,,,,,,,,,,,24,22,25,,5.1,4.7,5.4,,5.0,4.7,5.4,,,9,9,9,,,,,,,,,,,,,,,,,25,23,26,,34,,,,7.0,,29,,,,71,,17,16,19,,984,3773,26,25,27,,19320,433.7,,34,33,34,,,,,,,,,,,,,,,,,231153,6,6,7,,2924,66,1523:1,,2896,65,1543:1,,10092,226,443:1,,5949,,,,,,,40,,,,,,,45,,,,,,,48061,90,,696741,1129116,62,61,62,,89319,2061631,4.3,,22,21,23,,,,,,,98222,19325,5.1,,338761,996958,34,33,35,,4762,10.7,,9824,222,,20706,93,92,95,,,,,,,,,,,,,,,,,10.7,,,,14,14,14,,,,,,,,,,,82,82,82,,,,,,,,,,,,,,,,,1929677,30,30,30,
21001,Kentucky,Adair,320,10222,8458,11986,-0.21,,,,,,,,,,,,,,,,23,22,24,-0.01,5.0,4.8,5.2,0.00,5.1,4.9,5.4,0.45,,8,7,10,-0.47,,,,,,,29,15,43,,,,8,7,9,23,22,23,0.12,41,33,49,1.33,7.4,-0.04,33,26,40,0.30,60,-0.18,16,15,17,0.07,5,27,19,9,30,-0.69,53,272.0,-0.18,25,20,29,-1.40,,,,,,,,,,,,,,,,980,7,6,8,0.01,7,36,2784:1,0.34,3,16,6405:1,0.87,40,208,480:1,-0.18,6794,0.06,,,,,,35,0.23,,,26,,36,27,1.66,,,25,,27,186,97,-0.82,2188,4323,51,43,58,0.19,367,7246,5.1,-0.09,35,24,46,0.90,,,,28,29,73694,15461,4.8,-0.28,783,3723,21,13,29,-1.64,9,4.6,0.98,8,40,-0.74,90,94,75,115,-0.37,,,,,,,,,,,,,,,,10.4,-0.29,No,-0.69,12,10,15,10,7,12,3,1,5,1,0,1,-0.40,84,82,86,0.38,,,,,,,,,,,,,,,,7882,27,22,31,-0.85
21003,Kentucky,Allen,385,10941,9280,12602,0.11,,,,,,,,,,,,,,,,22,21,23,-0.27,4.9,4.7,5.1,-0.25,5.0,4.7,5.2,-0.01,,10,9,12,1.00,,,,,,,,,,,,,,,,22,21,23,-0.04,38,30,45,0.53,8.0,-0.95,39,32,48,1.63,37,0.71,16,15,17,0.12,10,25,40,30,50,1.04,53,253.2,-0.29,36,30,42,-0.46,,,,,,,,,,,,,,,,1212,7,6,8,0.38,3,14,6978:1,1.20,6,28,3520:1,0.37,12,57,1760:1,0.40,6192,-0.18,,,,,,31,0.84,,,,,,40,0.11,,,21,,40,225,92,0.91,2529,5020,50,43,58,0.21,336,8969,3.7,-0.96,25,17,32,-0.24,,,,,,82714,18468,4.5,-0.65,1495,4971,30,22,38,-0.31,8,3.8,1.15,21,102,0.08,98,94,77,115,-0.33,,,,,,,,,,,,,,,,10.6,-0.04,No,-0.69,13,10,15,8,6,11,2,1,3,3,2,5,-0.22,79,74,84,-1.17,,,,,,,,,,,,,,,,8428,40,35,46,0.37
21005,Kentucky,Anderson,388,10588,8989,12187,-0.05,,,,,,,,,,,,,,,,18,18,19,-1.28,4.4,4.2,4.6,-1.23,4.5,4.2,4.7,-1.27,,8,6,9,-0.99,,,,,,,,,,,,,,,,19,18,20,-1.16,37,28,46,0.39,8.0,-0.95,35,26,44,0.60,76,-0.78,17,17,18,0.92,6,21,29,17,41,0.12,76,337.1,0.22,35,30,40,-0.54,,,,,,,,,,,,,,,,1005,5,4,6,-1.51,6,27,3757:1,0.71,10,44,2266:1,-0.24,15,66,1511:1,0.36,5161,-0.60,,,,,,39,-0.39,,,73,,38,45,-0.48,,,40,,46,267,99,-1.29,3205,5507,58,49,67,-0.59,431,11951,3.6,-1.05,14,10,19,-1.36,,,79,41,17,100656,25009,4.0,-1.22,1319,5267,25,16,34,-1.05,21,9.3,0.00,20,89,-0.10,91,82,66,100,-0.88,,,,,,,,,,,,,,,,10.9,0.35,No,-0.69,10,7,13,9,6,12,1,0,2,0,0,1,-1.16,88,85,91,1.53,,,,,,,,,,,,,,,,10324,42,36,47,0.48
21007,Kentucky,Ballard,155,8964,6671,11257,-0.77,,,,,,,,,,,,,,,,21,20,22,-0.53,4.7,4.5,4.9,-0.55,4.8,4.6,5.0,-0.42,,9,6,11,-0.13,,,,,,,,,,,,,,,,20,20,21,-0.67,36,28,45,0.27,7.7,-0.49,39,31,47,1.46,48,0.28,15,14,16,-0.31,5,15,33,19,47,0.50,27,335.9,0.22,40,31,51,-0.15,,,,,,,,,,,,,,,,404,6,5,7,-0.34,,,,0.00,2,25,3990:1,0.50,1,13,7979:1,0.57,5732,-0.37,,,26675,,5098,44,-1.17,,,,,,49,-0.96,,,22,,50,115,92,0.72,1072,1776,60,50,71,-0.81,248,3583,6.9,1.14,24,17,32,-0.26,,,15,8,28,98553,18462,5.3,0.44,657,1687,39,27,50,1.01,11,13.7,-0.91,6,66,-0.39,51,126,94,165,1.04,,,,,,,,,,,,,,,,11.1,0.60,No,-0.69,10,8,13,8,5,11,1,0,3,1,0,2,-1.07,89,86,92,1.95,,,,,,,,,,,,,,,,3297,34,27,41,-0.18
21009,Kentucky,Barren,749,8467,7549,9386,-0.99,,,,,,,,,,,,,,,,24,23,25,0.40,5.3,5.1,5.5,0.48,5.0,4.8,5.3,0.17,,8,7,9,-0.82,,,,,,,9,4,14,7,3,11,8,7,9,22,21,23,0.04,34,28,40,-0.36,7.5,-0.19,38,32,44,1.27,66,-0.42,15,14,16,-0.36,10,46,22,14,30,-0.43,158,360.7,0.37,47,42,51,0.42,,,,,,,42,26,65,48,28,77,47,43,52,2497,7,6,8,0.29,38,87,1153:1,-1.69,15,34,2945:1,0.16,67,152,659:1,0.03,5138,-0.60,,,,,,39,-0.39,,,43,,39,48,-0.84,,,44,20,48,408,95,-0.23,5231,10263,51,46,56,0.15,848,19141,4.4,-0.51,27,19,35,0.00,,,32,64,35,73584,17787,4.1,-1.08,3418,10173,34,27,41,0.21,28,6.4,0.61,54,124,0.37,191,87,75,100,-0.64,,,,,,,,,,,,,,,,10.8,0.22,No,-0.69,14,12,16,12,10,14,2,1,3,2,1,2,0.27,81,79,83,-0.47,,,,,,,,,,,,,,,,18095,26,22,30,-0.91
21011,Kentucky,Bath,257,12221,9963,14479,0.68,,,,,,,,,,,,,,,,25,24,26,0.56,5.3,5.0,5.5,0.45,5.2,5.0,5.5,0.69,,8,6,9,-0.81,,,,,,,,,,,,,,,,23,22,24,0.26,42,34,50,1.56,7.6,-0.34,37,30,45,1.12,40,0.61,15,14,15,-0.51,5,13,38,23,52,0.92,30,242.4,-0.36,51,42,59,0.72,,,,,,,,,,,,,,,,739,7,6,8,0.54,1,8,12378:1,1.45,1,8,12383:1,1.16,36,291,344:1,-0.50,5485,-0.47,,,,,,31,0.84,,,,,,41,0.00,,,53,,40,152,91,0.94,1262,2866,44,35,53,0.86,313,4648,6.7,1.02,33,22,44,0.70,,,,11,27,80429,17843,4.5,-0.61,1064,3095,34,24,44,0.33,5,4.0,1.10,4,29,-0.88,73,119,93,149,0.73,,,,,,,,,,,,,,,,10.0,-0.81,Yes,1.44,14,11,18,12,9,16,2,0,3,3,1,5,0.41,82,79,85,-0.35,,,,,,,,,,,,,,,,4545,35,27,42,-0.13
21013,Kentucky,Bell,708,13367,11857,14877,1.18,,,,,,,,,,,,,,,,29,28,30,1.67,6.2,5.9,6.4,2.17,5.6,5.4,5.9,1.66,,10,9,12,1.28,,,,,,,27,14,40,,,,10,9,12,28,27,29,1.94,37,31,44,0.50,5.6,2.71,38,31,44,1.23,84,-1.12,13,12,14,-1.52,8,33,24,15,34,-0.23,73,271.4,-0.18,63,57,70,1.78,,,,,,,,,,,,,,,,1409,7,6,8,0.05,12,45,2241:1,-0.01,15,56,1771:1,-0.72,5,19,5314:1,0.55,9217,1.02,,,7234,,9184,27,1.46,,,53,,27,38,0.35,,,31,,38,317,96,-0.49,2715,6603,41,35,47,1.16,540,8513,6.3,0.76,44,31,56,1.84,,,73,75,46,54480,10168,5.4,0.46,2105,5795,36,29,44,0.62,27,10.0,-0.15,47,170,0.97,175,129,110,148,1.18,,,,,,,,,,,,,,,,9.7,-1.19,Yes,1.44,20,17,22,17,14,20,3,1,4,1,0,2,2.21,76,72,81,-1.93,,,,,,,,,,,,,,,,7433,30,25,36,-0.52
21015,Kentucky,Boone,1433,6677,6174,7180,-1.78,,,,,,,,,,5901,3819,8710,6841,6296,7386,16,16,17,-1.86,4.1,4.0,4.3,-1.68,4.3,4.2,4.6,-1.54,,7,7,8,-1.44,,,,6,4,9,11,9,14,7,5,9,7,7,7,18,17,18,-1.71,36,31,40,0.13,8.3,-1.41,25,21,29,-1.48,85,-1.13,20,20,21,2.48,14,62,23,16,30,-0.37,358,273.9,-0.17,20,18,21,-1.82,,,,,,,21,13,32,44,34,57,19,17,20,4801,4,4,5,-2.59,83,63,1575:1,-0.76,88,67,1495:1,-1.13,141,107,933:1,0.21,5015,-0.65,,2712,5800,1519,5049,45,-1.32,,39,44,27,45,54,-1.55,,54,36,42,54,1437,96,-0.31,25169,34469,73,69,77,-2.10,2379,70741,3.4,-1.21,9,6,12,-1.99,,2,38,27,8,134120,34686,3.9,-1.42,8508,33948,25,21,29,-1.05,91,7.0,0.49,169,132,0.48,440,68,62,75,-1.47,,,,,,,48,24,86,44,23,77,72,65,79,12.0,1.75,No,-0.69,12,10,13,10,9,12,1,0,1,1,0,1,-0.62,84,82,85,0.28,,,,79,66,93,76,71,81,72,64,80,83,83,84,64903,32,30,34,-0.36
21017,Kentucky,Bourbon,338,9869,8267,11471,-0.37,,,,,,,,,,,,,,,,21,20,22,-0.52,4.7,4.5,4.9,-0.67,4.7,4.5,4.9,-0.69,,8,7,10,-0.39,,,,,,,16,8,24,,,,8,7,10,20,20,21,-0.69,30,21,40,-1.16,7.4,-0.04,31,22,42,-0.12,72,-0.65,15,15,16,-0.16,6,30,20,11,30,-0.57,61,304.6,0.02,30,24,35,-0.99,,,,,,,,,,,,,,,,1311,8,7,9,1.49,15,75,1335:1,-1.21,14,69,1442:1,-1.22,25,124,807:1,0.14,5675,-0.39,,,7474,,5620,44,-1.17,,,54,,44,51,-1.19,,,42,64,52,276,93,0.44,2775,4662,60,52,67,-0.72,387,9704,4.0,-0.80,24,17,31,-0.29,,,60,48,19,97333,22090,4.4,-0.74,1729,4531,38,30,46,0.89,20,10.0,-0.14,26,127,0.41,96,96,78,117,-0.27,,,,,,,,,,,,,,,,10.5,-0.17,Yes,1.44,14,11,17,13,10,16,1,1,2,0,0,1,0.27,80,77,83,-0.86,,,,,,,,,,,,,,,,9276,36,30,41,-0.04
