FIPS,State,County,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,% Fair or Poor Health,95% CI - Low,95% CI - High,Z-Score,Average Number of Physically Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Average Number of Mentally Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Unreliable,% Low Birthweight,95% CI - Low,95% CI - High,Z-Score,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low,95% CI - High,Z-Score,% Adults with Obesity,95% CI - Low,95% CI - High,Z-Score,Food Environment Index,Z-Score,% Physically Inactive,95% CI - Low,95% CI - High,Z-Score,% With Access to Exercise Opportunities,Z-Score,% Excessive Drinking,95% CI - Low,95% CI - High,Z-Score,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low,95% CI - High,Z-Score,# Chlamydia Cases,Chlamydia Rate,Z-Score,Teen Birth Rate,95% CI - Low,95% CI - High,Z-Score,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Z-Score,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score,# Dentists,Dentist Rate,Dentist Ratio,Z-Score,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score,Preventable Hospitalization Rate,Z-Score,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Z-Score,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),Cohort Size,High School Graduation Rate,Z-Score,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Z-Score,# Unemployed,Labor Force,% Unemployed,Z-Score,% Children in Poverty,95% CI - Low,95% CI - High,Z-Score,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score,# Single-Parent Households,# Households,% Single-Parent Households,95% CI - Low,95% CI - High,Z-Score,# Associations,Social Association Rate,Z-Score,Annual Average Violent Crimes,Violent Crime Rate,Z-Score,# Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,Z-Score,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score,Presence of Water Violation,Z-Score,% Severe Housing Problems,95% CI - Low,95% CI - High,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score,% Drive Alone to Work,95% CI - Low,95% CI - High,Z-Score,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low,95% CI - High,Z-Score
24000,Maryland,,70250,7211,7133,7289,,,,,,,,,,,,,,,,,15,14,16,,3.4,3.2,3.6,,3.8,3.5,4.0,,,9,9,9,,,,,,,,,,,,,,,,,14,13,15,,31,,,,9.0,,22,,,,93,,17,16,18,,734,2543,29,28,30,,33416,552.1,,17,17,18,,,,,,,,,,,,,,,,,353922,7,7,7,,5306,88,1141:1,,4676,77,1292:1,,15614,258,387:1,,4550,,,,,,,41,,,,,,,50,,,,,,,63238,88,,1108863,1594352,70,69,70,,125484,3197137,3.9,,12,11,13,,,,,,,157000,34542,4.5,,442565,1332474,33,33,34,,5444,9.0,,27531,459,,22766,76,75,77,,,,,,,,,,,,,,,,,9.6,,,,16,16,17,,,,,,,,,,,74,74,74,,,,,,,,,,,,,,,,,3021967,50,49,50,
24001,Maryland,Allegany,1130,9202,8382,10022,0.73,,,,,,,7450,5189,10361,,,,9951,9008,10893,17,16,17,1.04,4.2,4.0,4.3,1.99,4.7,4.5,4.9,1.61,,9,8,9,0.18,,,,,,,11,7,16,,,,8,8,9,16,15,17,0.55,37,34,41,0.67,7.2,1.35,29,26,32,0.84,82,-0.13,16,16,17,-0.37,13,32,41,32,49,1.22,279,389.6,-0.19,24,22,26,0.73,,,,,,,15,10,20,,,,26,23,29,2988,6,5,7,-0.42,38,53,1885:1,0.41,53,75,1339:1,-0.21,215,303,330:1,-0.72,4853,0.53,,,2251,,4916,48,-1.45,,57,42,55,48,43,1.32,,46,37,36,43,604,89,0.08,9081,16944,54,50,57,1.00,1764,31984,5.5,0.95,21,15,27,0.93,,23,40,36,21,86760,18403,4.7,0.68,4493,12367,36,32,41,0.28,123,17.2,-2.22,225,311,-0.17,356,99,89,109,0.83,,,,,,,32,15,59,,,,108,97,119,9.0,-1.10,No,-0.69,15,13,16,14,12,15,1,0,1,1,0,1,-0.34,83,82,84,0.70,,,,,,,59,51,66,,,,86,84,88,28187,21,19,23,-1.96
24003,Maryland,Anne Arundel,6299,6809,6567,7052,-0.46,,,,3486,2631,4341,7880,7278,8482,3784,3143,4424,7097,6793,7401,12,12,12,-0.67,3.2,3.1,3.3,-0.27,3.7,3.6,3.8,-0.56,,8,7,8,-0.37,,,,9,8,10,12,12,13,7,6,8,6,6,7,14,13,14,-0.25,29,28,31,-0.80,8.9,-0.58,21,19,22,-1.05,92,-0.78,19,19,20,1.84,74,216,34,31,38,0.42,2235,389.9,-0.19,14,13,15,-0.47,,,,4,3,7,22,20,23,35,32,39,9,9,10,26654,6,5,6,-0.59,398,69,1440:1,-0.03,386,67,1492:1,0.07,1091,189,528:1,0.41,4625,0.25,,2985,6241,4016,4440,41,0.30,38,31,41,33,41,53,-0.76,40,56,41,44,55,5745,89,0.12,114680,154863,74,72,76,-0.95,10343,309603,3.3,-0.83,10,7,12,-0.72,11,4,15,12,5,172417,46476,3.7,-0.98,32814,126377,26,24,28,-0.69,476,8.3,0.52,2551,453,0.34,2130,75,72,78,-0.18,,,,20,13,29,58,51,65,32,25,40,87,83,92,10.6,1.09,No,-0.69,13,13,14,12,11,13,2,1,2,0,0,1,-0.66,80,79,81,0.21,,,,74,71,78,82,80,84,71,67,75,82,82,83,299590,47,46,49,0.27
24005,Maryland,Baltimore,10845,8091,7866,8316,0.17,,,,3417,2776,4057,9402,8965,9839,3913,3275,4551,8282,7977,8587,14,14,14,-0.04,3.2,3.1,3.3,-0.38,3.8,3.7,4.0,-0.17,,9,9,9,0.49,8,4,12,8,8,9,12,12,13,7,7,8,7,7,7,13,13,14,-0.38,31,29,33,-0.51,8.4,-0.01,24,22,25,-0.39,96,-1.09,17,17,18,0.29,90,345,26,23,29,-0.60,4479,538.0,0.43,14,14,15,-0.45,17,9,30,4,3,6,19,18,20,40,37,44,9,9,10,41553,6,6,7,-0.28,843,101,988:1,-0.90,619,75,1338:1,-0.21,2532,306,327:1,-0.75,5172,0.92,14098,2562,6791,4141,4784,45,-0.70,42,34,45,36,46,53,-0.76,49,53,43,48,56,8039,89,0.04,151228,215100,70,69,72,-0.59,18202,450366,4.0,-0.26,13,10,16,-0.24,18,9,15,21,7,139753,33025,4.2,-0.12,60452,176388,34,33,36,0.08,703,8.4,0.48,4245,511,0.55,3931,95,92,98,0.65,,,,22,17,29,78,73,83,34,27,42,116,112,121,10.9,1.50,Yes,1.38,16,15,16,14,14,15,2,1,2,1,0,1,-0.02,79,79,80,0.15,,,,75,73,77,71,70,73,64,61,67,84,83,84,411402,47,46,48,0.25
24009,Maryland,Calvert,976,7017,6349,7685,-0.36,,,,,,,8857,6769,10945,,,,6881,6150,7612,12,11,12,-0.82,3.1,2.9,3.2,-0.69,3.6,3.4,3.7,-0.70,,7,6,7,-0.98,,,,10,5,15,12,10,15,7,4,10,6,5,7,14,14,15,0.02,32,29,35,-0.23,9.1,-0.80,21,19,24,-0.85,61,1.34,18,17,18,0.81,14,48,29,22,37,-0.22,264,288.5,-0.61,11,10,12,-0.86,,,,,,,21,16,26,11,6,18,9,8,11,3170,4,3,5,-1.46,48,52,1906:1,0.43,47,51,1958:1,0.65,169,184,544:1,0.47,4408,-0.01,,,5091,4351,4306,39,0.80,,20,45,29,39,53,-0.76,,52,40,51,55,1283,95,-0.93,14587,20621,71,66,75,-0.64,1739,49121,3.5,-0.67,7,4,9,-1.14,,7,2,4,5,176486,51749,3.4,-1.48,5866,21169,28,23,32,-0.53,59,6.4,1.10,137,150,-0.75,349,77,69,85,-0.11,,,,,,,78,57,103,,,,80,71,90,9.3,-0.69,No,-0.69,13,11,15,12,10,13,1,1,2,0,0,0,-0.78,82,80,83,0.51,,,,,,,80,73,87,61,32,91,81,80,82,45920,61,58,64,1.45
24011,Maryland,Caroline,508,9122,7901,10343,0.69,,,,,,,9146,6504,12503,,,,9555,8038,11072,17,17,18,1.27,3.8,3.7,4.0,1.18,4.4,4.2,4.5,0.91,,8,7,9,-0.39,,,,,,,13,10,16,5,3,7,7,6,8,19,18,19,1.40,40,37,44,1.32,8.4,-0.01,31,28,34,1.21,48,2.30,16,16,17,-0.29,13,46,28,21,36,-0.33,102,307.3,-0.53,23,19,26,0.57,,,,,,,31,22,43,46,30,67,18,15,23,2326,8,7,10,1.01,12,36,2766:1,0.87,16,48,2082:1,0.76,15,45,2220:1,1.86,4914,0.61,,,3639,,5241,44,-0.45,,,49,,43,48,0.28,,41,42,35,49,396,82,1.18,3463,7907,44,39,48,1.93,688,18028,3.8,-0.44,20,13,26,0.73,,,27,43,17,108933,25421,4.3,-0.03,2971,7702,39,32,45,0.49,33,9.9,0.02,84,259,-0.36,154,94,79,108,0.61,,,,,,,62,35,103,,,,103,86,121,9.4,-0.55,Yes,1.38,20,17,22,19,16,21,2,1,3,1,0,2,1.09,84,82,86,0.91,,,,,,,84,74,94,,,,81,78,85,15710,50,46,54,0.53
24013,Maryland,Carroll,1932,6692,6227,7157,-0.52,,,,,,,7714,5403,10679,,,,6896,6393,7400,11,10,11,-1.30,3.0,2.8,3.1,-0.90,3.5,3.3,3.6,-1.00,,6,6,7,-1.26,,,,9,6,12,12,9,15,5,4,7,6,6,7,13,12,13,-0.60,33,30,36,-0.09,9.4,-1.14,25,23,28,0.03,87,-0.41,17,16,17,-0.03,18,84,21,16,27,-1.18,372,221.7,-0.89,9,8,9,-1.15,,,,,,,17,12,25,22,16,30,8,7,9,6332,5,4,5,-1.16,79,47,2124:1,0.57,100,59,1684:1,0.35,362,215,465:1,0.16,4066,-0.43,,,5845,2359,4037,44,-0.45,,39,49,43,44,55,-1.18,,52,46,54,55,2044,98,-1.43,26609,37473,71,68,74,-0.66,3062,94339,3.2,-0.91,6,4,8,-1.21,,7,8,25,5,162670,41853,3.9,-0.69,7380,36723,20,18,22,-1.24,164,9.8,0.07,314,188,-0.61,705,84,78,90,0.20,,,,,,,72,45,108,,,,88,82,95,10.5,0.95,Yes,1.38,11,10,12,10,9,11,1,0,1,1,1,1,-1.31,85,84,86,1.02,,,,77,71,83,75,68,82,71,63,78,81,80,83,86481,58,56,60,1.16
24015,Maryland,Cecil,1597,9241,8555,9926,0.75,,,,,,,11865,8999,14730,,,,9260,8532,9989,14,14,15,0.19,3.6,3.4,3.7,0.52,4.4,4.2,4.6,0.94,,8,7,8,-0.38,,,,10,5,15,13,10,16,10,7,13,7,6,8,17,16,18,0.84,33,30,36,-0.17,8.5,-0.12,28,26,31,0.69,81,-0.04,18,17,18,0.75,28,108,26,21,31,-0.62,326,317.3,-0.49,21,19,23,0.33,,,,,,,32,25,41,17,11,27,20,18,22,4856,6,5,6,-0.58,42,41,2446:1,0.74,42,41,2448:1,1.03,210,204,490:1,0.26,4970,0.67,,,4515,3763,5029,40,0.55,,53,47,41,39,49,0.07,,40,39,39,49,1173,91,-0.23,14092,25074,56,52,60,0.75,2317,52632,4.4,0.04,13,8,17,-0.27,,18,28,33,8,128505,31762,4.0,-0.43,6845,23346,29,26,33,-0.38,68,6.6,1.04,436,427,0.25,517,101,92,109,0.91,,,,,,,105,75,144,45,22,83,105,96,115,10.7,1.22,Yes,1.38,15,13,16,13,11,15,2,1,2,0,0,1,-0.36,83,82,85,0.73,,,,75,60,90,85,75,96,70,40,100,82,80,83,49743,45,43,48,0.11
24017,Maryland,Charles,1774,7351,6849,7854,-0.19,,,,,,,7015,6317,7714,3948,2602,5744,8346,7492,9199,14,14,14,0.06,3.2,3.1,3.3,-0.37,3.7,3.6,3.8,-0.49,,10,9,10,0.88,,,,11,9,14,12,11,13,6,5,8,7,6,8,14,14,15,-0.09,36,34,39,0.54,8.3,0.10,26,24,28,0.12,77,0.23,16,16,17,-0.51,36,108,33,28,38,0.30,1009,631.8,0.82,15,14,17,-0.31,,,,,,,17,15,19,27,20,35,12,10,14,6964,5,4,6,-0.92,63,39,2535:1,0.78,117,72,1380:1,-0.13,252,156,641:1,0.75,5108,0.84,,1126,5968,1574,4896,37,1.31,,17,40,25,36,45,0.90,,40,37,41,50,2053,95,-0.95,27412,40716,67,64,71,-0.31,3299,85104,3.9,-0.39,9,6,12,-0.76,,3,10,4,6,162643,43732,3.7,-0.97,12503,38141,33,29,36,-0.05,90,5.6,1.35,557,357,0.00,517,65,60,71,-0.58,,,,,,,47,40,54,40,24,64,93,82,103,9.3,-0.69,No,-0.69,15,14,17,14,13,15,1,1,2,1,0,1,-0.17,81,80,83,0.45,,,,71,60,83,80,76,84,78,57,98,83,82,84,79715,65,63,68,1.79
24019,Maryland,Dorchester,553,9920,8578,11262,1.09,,,,,,,14054,11153,16954,,,,9088,7419,10756,18,17,18,1.50,3.7,3.6,3.8,0.81,4.4,4.3,4.5,0.96,,10,9,11,1.29,,,,,,,16,14,19,5,3,8,7,6,8,18,18,19,1.25,39,36,43,1.16,7.6,0.90,34,31,37,1.85,68,0.91,15,14,15,-1.62,7,24,29,18,40,-0.22,184,572.1,0.57,37,32,42,2.32,,,,,,,60,49,71,52,31,84,22,17,28,1838,7,6,8,0.40,14,44,2297:1,0.67,23,72,1391:1,-0.11,77,241,416:1,-0.10,4938,0.63,,,6067,,4539,46,-0.95,,,44,,46,50,-0.14,,54,41,41,52,291,83,1.04,3856,7327,53,47,58,1.09,799,15347,5.2,0.69,27,18,36,1.73,,,38,47,17,99888,21192,4.7,0.68,3239,6759,48,40,56,1.37,30,9.3,0.21,148,456,0.36,128,79,66,93,0.00,,,,,,,73,51,102,,,,88,71,108,9.4,-0.55,No,-0.69,18,16,21,17,15,20,1,0,2,1,0,1,0.69,77,74,80,-0.17,,,,,,,70,60,80,49,33,64,83,79,87,14848,41,37,45,-0.26
