FIPS,State,County,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,% Fair or Poor Health,95% CI - Low,95% CI - High,Z-Score,Average Number of Physically Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Average Number of Mentally Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Unreliable,% Low Birthweight,95% CI - Low,95% CI - High,Z-Score,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low,95% CI - High,Z-Score,% Adults with Obesity,95% CI - Low,95% CI - High,Z-Score,Food Environment Index,Z-Score,% Physically Inactive,95% CI - Low,95% CI - High,Z-Score,% With Access to Exercise Opportunities,Z-Score,% Excessive Drinking,95% CI - Low,95% CI - High,Z-Score,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low,95% CI - High,Z-Score,# Chlamydia Cases,Chlamydia Rate,Z-Score,Teen Birth Rate,95% CI - Low,95% CI - High,Z-Score,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Z-Score,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score,# Dentists,Dentist Rate,Dentist Ratio,Z-Score,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score,Preventable Hospitalization Rate,Z-Score,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Z-Score,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),Cohort Size,High School Graduation Rate,Z-Score,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Z-Score,# Unemployed,Labor Force,% Unemployed,Z-Score,% Children in Poverty,95% CI - Low,95% CI - High,Z-Score,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score,# Single-Parent Households,# Households,% Single-Parent Households,95% CI - Low,95% CI - High,Z-Score,# Associations,Social Association Rate,Z-Score,Annual Average Violent Crimes,Violent Crime Rate,Z-Score,# Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,Z-Score,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score,Presence of Water Violation,Z-Score,% Severe Housing Problems,95% CI - Low,95% CI - High,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score,% Drive Alone to Work,95% CI - Low,95% CI - High,Z-Score,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low,95% CI - High,Z-Score
26000,Michigan,,131680,7626,7562,7689,,,,,,,,,,,,,,,,,17,16,18,,4.3,4.1,4.5,,4.4,4.2,4.6,,,8,8,9,,,,,,,,,,,,,,,,,19,18,20,,32,,,,7.1,,23,,,,85,,20,19,21,,1432,4938,29,28,30,,50595,507.9,,20,20,20,,,,,,,,,,,,,,,,,496654,6,6,6,,7800,78,1277:1,,7436,74,1344:1,,26794,268,373:1,,5203,,,,,,,44,,,,,,,46,,,,,,,122244,81,,1642947,2416149,68,68,68,,203231,4902081,4.1,,19,19,20,,,,,,,108581,23192,4.7,,739020,2170360,34,34,34,,9863,9.9,,43960,443,,37429,75,75,76,,,,,,,,,,,,,,,,,8.4,,,,15,15,15,,,,,,,,,,,82,82,83,,,,,,,,,,,,,,,,,4504994,33,33,34,
26001,Michigan,Alcona,224,9814,6784,12843,1.35,,,,,,,,,,,,,,,,15,14,15,-0.27,4.0,3.8,4.2,-0.24,4.4,4.2,4.6,0.22,,8,5,10,0.36,,,,,,,,,,,,,,,,16,15,17,-0.85,35,26,46,0.36,8.0,-0.43,22,14,31,-0.75,72,0.27,16,15,16,-1.98,3,5,60,38,75,1.71,15,144.9,-1.05,23,15,32,-0.03,,,,,,,,,,,,,,,,577,9,7,10,1.49,6,58,1725:1,0.05,1,10,10362:1,1.67,6,58,1727:1,1.23,2588,-1.36,,,,,,45,0.07,,,,,,28,1.38,,,,,,56,95,-1.36,792,1447,55,48,61,0.69,252,3830,6.6,0.99,32,23,40,1.81,,,,,,75178,18392,4.1,-0.23,439,1318,33,24,42,0.20,13,12.6,-0.42,13,120,-1.07,53,102,77,134,1.60,,,,,,,,,,,,,,,,7.5,-0.76,No,-0.60,12,10,13,10,9,12,1,1,2,0,0,1,-0.99,81,78,83,-0.06,,,,,,,,,,,,,,,,3301,36,31,40,0.64
26003,Michigan,Alger,112,5457,3647,7267,-1.34,,,,,,,,,,,,,,,,15,15,16,0.11,4.1,4.0,4.3,0.17,4.2,4.0,4.4,-0.60,,7,5,10,0.12,,,,,,,,,,,,,,,,18,17,18,0.02,26,18,35,-1.89,6.9,1.42,26,17,36,0.27,94,-1.19,19,18,19,-0.18,0,5,0,0,32,-2.16,15,164.5,-0.93,16,10,24,-0.86,,,,,,,,,,,,,,,,453,8,6,9,0.56,7,77,1303:1,-0.53,4,44,2274:1,0.41,6,66,1516:1,1.15,1506,-2.31,,,,,,47,-0.44,40,,,,48,36,0.52,32,,,,36,77,79,1.54,740,1929,38,30,46,2.45,254,3243,7.8,1.84,19,13,24,-0.24,,,,41,14,83682,20471,4.1,-0.23,403,1387,29,19,39,-0.52,10,11.0,0.10,20,207,-0.52,38,82,58,113,0.26,,,,,,,,,,,,,,,,6.4,-1.34,No,-0.60,12,9,14,10,8,13,1,0,2,1,0,1,-0.86,69,63,75,-3.00,,,,,,,,,,,,,,,,3057,25,19,31,-0.43
26005,Michigan,Allegan,1371,6181,5666,6695,-0.89,,,,,,,,,,4868,3260,6992,6066,5523,6608,14,14,15,-0.58,3.9,3.7,4.1,-0.61,4.2,4.0,4.4,-0.39,,7,6,7,-0.69,,,,,,,11,6,16,6,5,8,7,6,7,16,16,17,-0.72,34,29,39,0.02,8.9,-1.95,20,17,25,-1.07,68,0.48,19,18,20,0.04,21,73,29,23,35,-0.30,417,358.1,0.25,21,20,23,-0.18,,,,,,,34,21,52,40,33,48,19,17,21,5312,5,5,6,-1.15,27,23,4313:1,1.12,36,31,3259:1,0.90,103,88,1139:1,0.93,3553,-0.51,,,3263,760,3527,43,0.57,,,46,42,43,43,-0.23,45,37,19,35,44,1359,87,0.07,15699,27258,58,55,60,0.38,2033,62239,3.3,-1.25,14,11,16,-1.00,21,,20,26,12,105532,28057,3.8,-0.97,6646,28201,24,21,27,-1.44,121,10.4,0.29,280,246,-0.27,366,63,57,70,-0.99,,,,,,,,,,50,31,76,63,56,70,11.0,1.08,Yes,1.66,12,11,13,10,9,11,2,2,3,1,0,1,-0.78,86,85,87,1.47,,,,48,41,55,77,65,89,68,52,83,85,84,86,53997,34,32,36,0.46
26007,Michigan,Alpena,443,7179,5985,8372,-0.28,,,,,,,,,,,,,,,,15,14,15,-0.30,4.1,3.9,4.3,0.07,4.3,4.1,4.5,-0.17,,7,6,8,-0.32,,,,,,,,,,,,,,,,17,17,18,-0.12,34,26,42,0.04,8.1,-0.60,25,18,32,-0.05,75,0.05,19,18,20,0.04,3,9,33,15,51,-0.01,65,228.4,-0.54,23,19,27,-0.02,,,,,,,,,,,,,,,,1331,6,5,7,-0.60,21,74,1355:1,-0.44,26,92,1091:1,-1.33,84,296,338:1,-1.09,3818,-0.28,,,,,,44,0.32,,,,,,45,-0.44,,,,62,45,348,80,1.41,4005,5963,67,61,73,-0.65,684,13459,5.1,-0.02,23,17,29,0.40,39,,,30,17,86032,18609,4.6,0.98,1834,5262,35,29,40,0.46,40,14.1,-0.92,88,304,0.11,119,83,68,98,0.32,,,,,,,,,,,,,,,,7.5,-0.76,No,-0.60,12,10,14,11,9,13,1,0,1,1,0,1,-0.79,85,83,87,1.06,,,,,,,,,,,,,,,,12279,13,11,15,-1.67
26009,Michigan,Antrim,316,6080,4805,7355,-0.95,,,,,,,,,,,,,,,,14,13,15,-0.69,4.0,3.8,4.2,-0.31,4.3,4.1,4.5,-0.06,,6,5,7,-1.05,,,,,,,,,,,,,,,,16,16,17,-0.66,32,24,40,-0.38,8.5,-1.27,29,22,37,1.11,67,0.53,18,17,19,-0.54,5,17,29,16,43,-0.26,53,227.5,-0.55,21,17,25,-0.30,,,,,,,,,,,,,,,,1378,8,7,9,0.95,14,60,1664:1,-0.02,8,34,2921:1,0.77,8,34,2921:1,1.46,4161,0.02,,,,,,41,1.08,,,,,,43,-0.23,47,,,18,43,245,93,-0.98,2443,4174,59,54,63,0.28,568,10111,5.6,0.34,19,13,25,-0.21,,,,23,18,98457,24569,4.0,-0.41,1291,4285,30,24,37,-0.34,24,10.3,0.32,28,118,-1.09,90,77,62,95,-0.05,,,,,,,,,,,,,,,,7.4,-0.81,No,-0.60,14,12,16,11,10,13,2,1,3,0,0,1,0.02,76,73,78,-1.35,,,,,,,,,,,,,,,,9585,35,32,38,0.57
26011,Michigan,Arenac,276,8499,6688,10309,0.54,,,,,,,,,,,,,,,,16,15,16,0.34,4.3,4.1,4.5,0.79,4.4,4.2,4.7,0.44,,8,6,9,0.31,,,,,,,,,,,,,,,,18,18,19,0.51,36,26,45,0.54,6.9,1.42,31,22,41,1.46,70,0.38,18,17,18,-0.77,3,14,21,8,37,-0.78,34,226.0,-0.56,27,21,34,0.57,,,,,,,,,,,,,,,,907,8,7,9,0.93,5,33,3009:1,0.81,7,47,2149:1,0.32,30,199,501:1,-0.15,5876,1.53,,,,,,50,-1.19,,,,,,39,0.20,,,,42,39,152,90,-0.51,1506,2995,50,46,55,1.17,425,5974,7.1,1.35,24,17,31,0.64,10,,,47,28,77131,19095,4.0,-0.34,951,2709,35,29,41,0.50,12,8.0,1.08,38,256,-0.20,68,90,70,114,0.77,,,,,,,,,,,,,,,,8.3,-0.34,No,-0.60,12,10,13,10,9,12,1,1,2,0,0,1,-0.91,84,83,84,0.72,,,,,,,,,,,,,,,,5624,37,33,40,0.74
26013,Michigan,Baraga,153,10471,7601,13342,1.75,,,,,,,,,,,,,,,,16,16,17,0.52,4.2,4.1,4.4,0.47,4.4,4.2,4.6,0.30,,7,5,9,-0.46,13,7,19,,,,,,,,,,5,3,7,19,19,20,0.99,36,24,48,0.61,7.4,0.58,24,15,36,-0.15,26,3.00,19,19,20,0.12,3,4,75,57,86,2.67,13,154.0,-1.00,23,17,32,0.08,36,20,60,,,,,,,,,,20,12,29,460,8,7,9,0.86,9,107,938:1,-1.45,6,72,1387:1,-0.62,11,132,756:1,0.50,1394,-2.41,,,,,,43,0.57,20,,,,45,28,1.38,7,,,,30,90,87,0.14,784,1994,39,34,45,2.35,194,3176,6.1,0.67,21,14,28,0.15,44,,,32,20,84283,18102,4.7,1.05,547,1464,37,29,46,0.88,8,9.5,0.59,16,333,0.30,37,87,61,120,0.59,,,,,,,,,,,,,,,,6.0,-1.55,No,-0.60,14,11,17,11,9,14,2,0,4,1,0,2,-0.04,83,78,88,0.67,88,78,98,,,,,,,,,,81,75,86,2738,19,16,23,-1.01
26015,Michigan,Barry,762,6022,5333,6711,-0.99,,,,,,,,,,,,,,,,13,12,13,-1.35,3.7,3.5,3.9,-1.21,4.2,4.0,4.4,-0.45,,7,6,7,-0.73,,,,,,,,,,7,3,11,6,6,7,16,15,17,-0.88,37,32,43,0.94,8.8,-1.78,27,22,33,0.64,57,1.22,20,20,21,0.82,6,42,14,7,23,-1.24,134,221.2,-0.59,18,16,21,-0.57,,,,,,,,,,24,13,40,18,16,21,2639,5,5,6,-1.22,20,33,3029:1,0.81,17,28,3597:1,1.01,66,108,927:1,0.74,4701,0.50,,,,12330,4635,46,-0.19,,,,,,45,-0.44,,,,37,45,698,87,0.09,7650,13350,57,53,62,0.41,1079,31664,3.4,-1.16,11,7,14,-1.44,,59,,13,10,103239,29370,3.5,-1.53,3441,13411,26,21,30,-1.09,64,10.6,0.23,99,171,-0.75,200,67,57,76,-0.77,,,,,,,,,,,,,,,,11.2,1.19,Yes,1.66,11,10,13,9,8,11,2,1,3,1,0,2,-1.09,85,83,87,1.10,,,,,,,,,,60,52,68,80,77,84,27698,47,43,50,1.73
26017,Michigan,Bay,1579,7743,7122,8365,0.07,,,,,,,14198,9188,20958,7067,4834,9977,7697,7041,8352,15,14,15,-0.41,4.0,3.9,4.3,-0.10,4.2,4.0,4.4,-0.73,,7,7,8,-0.05,,,,,,,12,8,16,7,5,10,7,7,8,18,17,19,0.13,36,31,41,0.61,7.7,0.07,26,21,30,0.19,86,-0.65,20,19,21,0.43,18,51,35,28,42,0.12,408,391.4,0.45,21,20,24,-0.17,,,,,,,36,24,52,29,22,39,20,18,22,5064,6,5,7,-0.64,43,41,2424:1,0.56,71,68,1464:1,-0.48,259,249,401:1,-0.64,6890,2.42,,,12075,7972,6836,46,-0.19,53,50,43,36,46,49,-0.87,55,68,35,46,49,1027,88,-0.10,16368,24689,66,63,70,-0.56,2410,50352,4.8,-0.22,25,21,29,0.75,,25,71,45,20,91446,21400,4.3,0.19,8560,21374,40,36,44,1.33,107,10.3,0.33,348,328,0.26,392,75,67,82,-0.23,,,,,,,99,51,173,44,23,76,77,69,84,9.5,0.29,No,-0.60,13,11,14,11,10,13,1,1,1,1,0,1,-0.58,86,85,88,1.44,,,,,,,84,71,97,70,61,79,86,84,87,45854,24,22,26,-0.54
