FIPS,State,County,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,% Fair or Poor Health,95% CI - Low,95% CI - High,Z-Score,Average Number of Physically Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Average Number of Mentally Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Unreliable,% Low Birthweight,95% CI - Low,95% CI - High,Z-Score,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low,95% CI - High,Z-Score,% Adults with Obesity,95% CI - Low,95% CI - High,Z-Score,Food Environment Index,Z-Score,% Physically Inactive,95% CI - Low,95% CI - High,Z-Score,% With Access to Exercise Opportunities,Z-Score,% Excessive Drinking,95% CI - Low,95% CI - High,Z-Score,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low,95% CI - High,Z-Score,# Chlamydia Cases,Chlamydia Rate,Z-Score,Teen Birth Rate,95% CI - Low,95% CI - High,Z-Score,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Z-Score,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score,# Dentists,Dentist Rate,Dentist Ratio,Z-Score,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score,Preventable Hospitalization Rate,Z-Score,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Z-Score,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),Cohort Size,High School Graduation Rate,Z-Score,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Z-Score,# Unemployed,Labor Force,% Unemployed,Z-Score,% Children in Poverty,95% CI - Low,95% CI - High,Z-Score,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score,# Single-Parent Households,# Households,% Single-Parent Households,95% CI - Low,95% CI - High,Z-Score,# Associations,Social Association Rate,Z-Score,Annual Average Violent Crimes,Violent Crime Rate,Z-Score,# Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,Z-Score,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score,Presence of Water Violation,Z-Score,% Severe Housing Problems,95% CI - Low,95% CI - High,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score,% Drive Alone to Work,95% CI - Low,95% CI - High,Z-Score,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low,95% CI - High,Z-Score
27000,Minnesota,,51060,5279,5209,5348,,,,,,,,,,,,,,,,,12,11,13,,2.9,2.8,3.1,,3.1,2.9,3.2,,,7,7,7,,,,,,,,,,,,,,,,,15,14,15,,28,,,,8.8,,20,,,,87,,22,21,23,,571,1903,30,29,31,,23539,422.1,,14,14,14,,,,,,,,,,,,,,,,,235543,5,5,5,,4988,89,1118:1,,4025,72,1394:1,,14112,251,398:1,,6015,,,,,,,46,,,,,,,50,,,,,,,67148,83,,1078178,1438512,75,74,75,,89340,3070229,2.9,,12,11,12,,,,,,,128766,29819,4.3,,355766,1276758,28,27,28,,7261,13.0,,12950,236,,17920,65,64,66,,,,,,,,,,,,,,,,,6.9,,,,13,13,14,,,,,,,,,,,78,78,78,,,,,,,,,,,,,,,,,2879806,31,31,31,
27001,Minnesota,Aitkin,278,10288,7884,12692,2.02,,,,,,,,,,,,,,,,14,14,15,1.04,3.5,3.3,3.7,1.63,3.5,3.3,3.7,1.27,,6,5,8,0.19,,,,,,,,,,,,,,,,15,15,16,0.10,30,25,34,-0.57,7.7,1.00,29,24,34,1.21,50,1.21,19,18,19,-1.19,5,24,21,11,33,-0.55,23,145.3,-0.88,14,10,20,-0.39,,,,,,,,,,,,,,,,694,7,6,8,0.54,13,82,1218:1,-0.35,5,31,3180:1,1.07,7,44,2272:1,0.95,8597,1.38,,,,,,50,-0.43,,,,,,30,1.32,,,,,,137,89,-0.36,1512,2493,61,55,66,1.02,402,7162,5.6,2.03,20,14,26,1.54,32,,,3,18,85305,20938,4.1,0.03,1004,2626,38,31,45,1.51,26,16.4,0.26,18,112,-0.13,97,123,100,150,2.47,,,,,,,,,,,,,,,,6.1,-1.20,No,-0.42,15,14,17,12,10,13,2,1,4,2,1,2,1.39,80,78,82,0.41,,,,,,,,,,,,,,,,6114,35,32,37,0.71
27003,Minnesota,Anoka,3129,5129,4856,5402,-0.50,11524,7594,16766,3525,2529,4782,7015,5805,8225,4669,3527,6063,4971,4676,5265,12,12,12,-0.39,3.1,3.0,3.3,0.39,3.1,3.0,3.3,-0.11,,6,6,7,0.20,8,4,11,8,6,9,8,7,9,7,6,8,6,6,6,15,14,15,-0.24,30,29,32,-0.32,8.7,-0.55,20,18,21,-1.22,95,-1.58,21,21,22,0.17,29,92,32,26,37,-0.02,1238,352.3,0.77,11,10,12,-0.78,16,9,28,12,9,16,23,20,27,24,20,28,8,8,9,13881,5,4,5,-0.88,180,51,1952:1,0.48,223,63,1587:1,-0.56,571,161,620:1,-0.19,7191,0.57,1391,3896,5578,2095,7234,42,0.83,32,24,28,39,43,48,-0.33,36,47,30,41,49,4333,83,0.52,67036,91765,73,71,75,-0.71,5432,196586,2.8,-0.77,7,5,9,-1.29,9,7,24,13,5,135014,39466,3.4,-1.57,22653,83032,27,26,29,-0.10,239,6.8,1.68,438,127,0.02,959,55,52,59,-0.89,,,,21,13,33,44,32,58,37,24,53,59,55,63,7.9,1.02,Yes,2.37,12,11,12,10,9,10,2,2,2,0,0,1,-0.01,83,82,83,1.03,65,56,75,79,74,84,73,67,79,63,58,68,83,82,84,186870,44,42,45,1.56
27005,Minnesota,Becker,411,6589,5558,7619,0.22,18537,13118,25443,,,,,,,,,,5464,4481,6446,13,12,13,0.03,2.9,2.7,3.0,-0.54,3.2,3.0,3.3,0.12,,7,6,7,0.45,10,7,13,,,,,,,,,,5,5,6,17,16,17,0.85,30,27,34,-0.43,7.8,0.84,27,24,30,0.68,65,0.33,21,20,21,-0.09,13,26,50,41,58,0.90,89,261.0,0.04,21,18,24,0.34,45,33,61,,,,,,,,,,16,13,20,1843,7,6,8,0.70,28,82,1218:1,-0.35,20,58,1719:1,-0.31,70,204,491:1,-0.60,6913,0.41,6477,,,,6908,49,-0.27,19,,,,55,48,-0.33,18,,,,52,353,88,-0.23,4784,7273,66,62,70,0.31,661,18591,3.6,0.01,16,11,21,0.58,36,,22,23,12,103667,25790,4.0,-0.10,2210,8236,27,23,30,-0.17,60,17.6,0.08,25,75,-0.50,138,82,68,95,0.42,160,102,241,,,,,,,,,,75,61,89,6.8,-0.34,Yes,2.37,13,12,15,11,10,13,2,1,2,1,1,1,0.63,79,78,81,0.20,79,75,83,,,,,,,,,,79,77,81,16044,26,24,27,-0.17
27007,Minnesota,Beltrami,537,8714,7673,9755,1.25,20916,17495,24338,,,,,,,,,,4966,4104,5828,15,15,16,1.64,3.8,3.7,3.9,2.63,3.6,3.5,3.8,1.99,,6,6,7,0.22,7,6,8,,,,,,,,,,5,5,6,19,19,20,2.31,34,30,37,0.60,7.7,1.00,23,20,26,-0.37,80,-0.62,24,23,24,1.46,9,24,38,27,48,0.28,200,430.0,1.39,33,30,36,1.67,93,82,104,,,,,,,36,19,63,12,10,14,3351,9,8,10,2.20,37,80,1257:1,-0.28,34,73,1378:1,-1.05,167,356,281:1,-2.09,5772,-0.25,4462,,,,5813,45,0.36,31,,,,49,45,-0.05,30,,27,,47,610,65,3.02,7178,10628,68,63,72,0.06,988,24088,4.1,0.54,24,17,30,2.33,39,2,49,42,13,93720,20772,4.5,1.11,5345,11463,47,41,52,2.74,54,11.6,0.97,118,257,1.29,180,78,67,89,0.24,156,123,194,,,,,,,,,,57,46,69,6.6,-0.58,No,-0.42,15,13,17,12,10,13,2,2,3,1,0,1,1.12,75,73,77,-0.97,74,65,82,,,,,,,53,39,67,78,76,80,20687,18,16,19,-0.93
27009,Minnesota,Benton,378,5952,5121,6784,-0.10,,,,,,,,,,,,,,,,13,12,13,0.11,3.3,3.1,3.4,0.88,3.3,3.1,3.4,0.42,,6,6,7,0.18,,,,,,,10,6,13,,,,6,5,7,17,16,18,0.96,30,26,35,-0.32,8.2,0.22,22,18,26,-0.66,74,-0.26,23,22,23,0.97,8,22,36,25,47,0.22,152,380.6,0.99,14,12,17,-0.39,,,,,,,33,17,58,38,19,67,13,10,15,1559,5,4,5,-0.89,8,20,4992:1,1.31,15,37,2703:1,0.78,6,15,6758:1,1.24,6977,0.44,,,,,,47,0.04,,,,,,44,0.04,,,31,,44,466,89,-0.31,8202,11489,71,67,76,-0.48,757,21666,3.5,-0.05,12,9,15,-0.26,,68,22,53,11,102209,24936,4.1,0.09,3020,9767,31,26,36,0.43,47,11.8,0.94,57,142,0.16,145,73,61,84,-0.03,,,,,,,,,,,,,,,,6.8,-0.34,No,-0.42,14,12,17,12,10,15,2,1,3,0,0,1,1.09,83,82,84,1.06,,,,,,,,,,,,,,,,20354,25,23,27,-0.21
27011,Minnesota,Big Stone,,,,,0.00,,,,,,,,,,,,,,,,13,12,13,0.15,3.0,2.9,3.2,-0.03,3.1,2.9,3.3,-0.14,,7,4,9,0.49,,,,,,,,,,,,,,,,15,14,15,-0.20,35,27,43,0.79,7.7,1.00,26,19,35,0.47,70,-0.01,19,18,20,-1.05,1,2,50,10,77,0.90,7,139.3,-0.93,15,8,26,-0.29,,,,,,,,,,,,,,,,221,6,5,7,0.08,7,139,718:1,-1.87,1,20,4989:1,1.65,1,20,4989:1,1.19,7839,0.94,,,,,,56,-1.38,,,,,,43,0.13,,,,,,65,88,-0.18,573,934,61,52,70,0.93,96,2517,3.8,0.26,15,10,21,0.49,,,,,,95500,21038,4.5,1.17,248,1033,24,13,35,-0.58,14,27.9,-1.43,2,30,-0.94,23,91,58,137,0.89,,,,,,,,,,,,,,,,5.9,-1.45,No,-0.42,11,9,14,9,7,12,0,0,2,2,1,3,-0.14,78,74,81,-0.29,,,,,,,,,,,,,,,,2377,23,19,28,-0.39
27013,Minnesota,Blue Earth,555,5371,4714,6028,-0.38,,,,,,,,,,,,,,,,14,13,14,0.69,3.3,3.2,3.5,0.95,3.4,3.2,3.6,0.95,,7,6,7,0.56,,,,12,7,17,10,7,13,7,3,10,6,5,7,16,15,17,0.51,33,30,37,0.49,7.1,1.93,20,17,23,-1.11,83,-0.85,25,24,26,2.22,6,30,20,11,30,-0.59,406,606.2,2.79,8,6,9,-1.15,,,,,,,13,8,21,21,12,35,7,6,8,2487,5,4,5,-0.92,67,100,1000:1,-0.83,60,89,1124:1,-1.89,196,291,344:1,-1.45,7615,0.81,,,,,,49,-0.27,,,,,,58,-1.24,,52,30,44,58,813,89,-0.30,12202,15931,77,73,80,-1.20,1011,40277,2.5,-1.02,11,7,14,-0.51,52,,54,30,7,107613,24512,4.4,0.81,4044,12933,31,27,35,0.48,88,13.1,0.74,132,200,0.73,176,53,45,61,-1.00,,,,,,,,,,,,,,,,8.0,1.15,No,-0.42,15,14,17,14,12,15,1,1,1,1,1,2,1.39,82,80,84,0.87,,,,70,59,81,79,70,89,74,69,78,84,82,86,36246,15,14,16,-1.17
27015,Minnesota,Brown,240,5543,4393,6694,-0.30,,,,,,,,,,,,,,,,11,11,12,-0.73,2.8,2.6,2.9,-0.98,2.9,2.8,3.1,-1.07,,6,5,7,-0.36,,,,,,,,,,,,,,,,13,12,13,-1.22,33,28,38,0.30,8.7,-0.55,24,19,29,-0.13,82,-0.73,21,20,22,0.04,2,15,13,3,29,-0.92,54,214.3,-0.33,16,13,20,-0.18,,,,,,,,,,58,34,92,14,11,18,828,4,4,5,-1.07,30,119,840:1,-1.33,15,60,1674:1,-0.39,54,215,465:1,-0.71,4638,-0.91,,,,18750,4360,57,-1.54,,,,,,48,-0.33,,,,21,48,320,85,0.15,3930,5363,73,67,79,-0.74,488,14535,3.4,-0.19,10,7,14,-0.62,,,,33,8,99885,26598,3.8,-0.75,1511,5459,28,23,33,-0.04,48,19.1,-0.13,19,73,-0.51,90,71,57,88,-0.09,,,,,,,,,,,,,,,,7.5,0.53,No,-0.42,10,8,12,8,7,10,1,0,2,1,0,1,-0.82,81,79,83,0.53,,,,,,,,,,72,59,85,82,80,85,13462,14,12,16,-1.26
27017,Minnesota,Carlton,429,6375,5413,7338,0.11,17234,11709,24462,,,,,,,,,,5783,4806,6760,12,12,12,-0.29,3.0,2.9,3.2,0.03,3.2,3.1,3.3,0.11,,6,5,7,-0.13,9,5,12,,,,,,,,,,6,5,7,20,19,20,2.39,30,27,34,-0.32,8.2,0.22,21,18,25,-0.85,73,-0.19,22,21,23,0.63,9,22,41,30,51,0.45,108,304.2,0.39,19,16,22,0.12,60,42,83,,,,,,,,,,14,12,18,1483,5,4,6,-0.39,23,65,1543:1,0.12,19,53,1886:1,-0.04,52,145,689:1,-0.03,7024,0.47,7456,,,,6797,38,1.47,24,,,,40,52,-0.69,50,,,,52,457,89,-0.34,6016,8739,69,64,74,-0.12,729,17655,4.1,0.57,11,8,14,-0.49,54,,27,18,11,105933,27466,3.9,-0.50,2513,8005,31,26,37,0.50,49,13.8,0.64,61,172,0.45,137,77,64,90,0.18,160,95,254,,,,,,,,,,74,61,87,6.6,-0.58,No,-0.42,14,12,15,11,10,13,2,2,3,1,1,2,0.72,83,81,85,1.17,81,74,89,,,,,,,,,,81,79,84,16413,32,29,34,0.45
27019,Minnesota,Carver,568,3593,3158,4028,-1.25,,,,,,,,,,,,,,,,9,9,10,-1.99,2.4,2.3,2.6,-2.05,2.8,2.6,2.9,-1.68,,6,5,6,-0.25,,,,8,5,11,8,4,11,3,2,5,6,5,6,12,11,12,-1.65,24,21,27,-2.09,9.5,-1.80,16,13,19,-2.25,96,-1.65,24,24,25,1.95,8,26,31,20,41,-0.05,204,199.8,-0.45,5,4,6,-1.42,,,,,,,,,,21,14,29,4,3,5,2884,3,3,4,-1.87,85,83,1201:1,-0.38,49,47,2113:1,0.25,166,160,624:1,-0.18,7697,0.86,,,,,,41,0.99,,25,,29,42,53,-0.78,,60,34,34,53,1352,94,-0.99,21622,25305,85,82,89,-2.44,1422,57859,2.5,-1.07,4,3,5,-2.12,,7,16,14,2,179997,46522,3.9,-0.47,4145,27230,15,13,18,-1.87,106,10.4,1.15,61,62,-0.63,213,42,37,48,-1.52,,,,,,,,,,,,,,,,7.5,0.53,No,-0.42,10,9,11,9,7,10,1,1,1,1,0,1,-0.74,82,81,83,0.89,,,,69,61,78,77,65,90,69,57,81,81,79,82,55433,40,38,42,1.19
27021,Minnesota,Cass,495,10443,8859,12027,2.10,32369,25176,39562,,,,,,,,,,6754,5425,8082,15,15,16,1.69,3.4,3.3,3.6,1.45,3.6,3.4,3.8,1.86,,7,6,8,1.05,10,8,12,,,,,,,,,,6,4,7,16,16,17,0.78,31,27,35,-0.22,8.2,0.22,28,24,32,0.90,72,-0.14,17,17,18,-1.84,17,32,53,45,60,1.06,105,357.7,0.81,37,32,42,2.09,103,84,122,,,,,,,,,,20,16,25,1793,8,7,9,1.71,12,41,2446:1,0.75,20,68,1476:1,-0.80,25,85,1181:1,0.56,6775,0.33,8336,,,,6267,46,0.20,26,,,,50,36,0.77,26,,,,37,338,68,2.58,3449,5382,64,60,68,0.54,731,14333,5.1,1.53,20,14,26,1.59,48,11,,29,16,93804,22969,4.1,0.06,2401,6011,40,36,44,1.76,60,20.4,-0.33,68,236,1.08,158,109,92,126,1.77,276,205,364,,,,,,,,,,87,71,104,6.6,-0.58,No,-0.42,14,13,15,12,11,13,2,2,3,1,1,1,1.02,77,75,79,-0.39,69,61,78,,,,,,,,,,75,72,78,12060,29,27,31,0.13
27023,Minnesota,Chippewa,131,5340,3875,6804,-0.39,,,,,,,,,,,,,,,,13,13,14,0.42,3.1,3.0,3.3,0.35,3.3,3.1,3.4,0.37,,5,3,6,-1.44,,,,,,,,,,8,4,12,4,3,5,15,15,16,0.23,34,28,41,0.63,8.8,-0.71,27,21,33,0.61,65,0.30,20,19,21,-0.39,3,12,25,10,42,-0.34,24,200.3,-0.44,29,23,37,1.25,,,,,,,,,,100,59,158,20,15,28,582,6,5,7,0.26,10,83,1198:1,-0.38,5,42,2385:1,0.53,8,67,1491:1,0.73,3663,-1.47,,,,,,44,0.52,,,,,,49,-0.42,,,,,,251,76,1.37,1637,2627,62,54,71,0.79,220,6887,3.2,-0.35,13,8,18,-0.04,,18,9,11,14,104106,25064,4.2,0.23,640,2716,24,16,31,-0.64,36,30.1,-1.75,11,91,-0.34,52,86,64,113,0.65,,,,,,,,,,,,,,,,6.5,-0.71,No,-0.42,10,7,13,9,6,11,1,0,2,1,0,2,-0.80,78,73,82,-0.24,,,,,,,,,,53,38,69,81,76,85,6060,16,13,19,-1.10
27025,Minnesota,Chisago,560,4893,4239,5546,-0.61,,,,,,,,,,,,,,,,11,10,11,-0.99,2.6,2.5,2.8,-1.48,3.0,2.8,3.1,-0.94,,7,6,8,0.84,,,,,,,,,,,,,,,,15,14,15,-0.19,29,25,34,-0.71,9.2,-1.33,24,20,28,-0.19,79,-0.56,25,24,26,2.31,9,33,27,18,37,-0.23,128,231.4,-0.19,13,11,15,-0.60,,,,,,,,,,,,,,,,1919,4,4,5,-1.17,24,43,2305:1,0.69,23,41,2431:1,0.57,64,114,874:1,0.27,6564,0.21,,,,,,40,1.15,,,,,,47,-0.24,,,21,46,47,662,84,0.38,8896,13612,65,61,70,0.37,997,29662,3.4,-0.18,7,5,9,-1.29,,,,6,5,129326,39604,3.3,-1.95,2817,12566,22,19,26,-0.81,55,9.9,1.21,37,68,-0.56,170,62,53,71,-0.55,,,,,,,,,,,,,,,,7.4,0.41,Yes,2.37,11,9,12,9,8,11,1,1,2,0,0,1,-0.42,82,80,84,0.79,,,,,,,,,,,,,,,,28232,56,52,59,2.72
27027,Minnesota,Clay,552,5389,4777,6001,-0.37,,,,,,,,,,,,,,,,12,12,12,-0.36,2.9,2.8,3.0,-0.50,3.2,3.0,3.3,0.03,,7,6,7,0.80,8,4,12,,,,10,7,13,12,8,15,6,6,7,15,15,16,0.26,28,24,32,-0.95,8.7,-0.55,20,17,23,-1.19,87,-1.07,25,24,26,2.03,5,16,31,18,45,-0.03,232,365.0,0.87,10,9,12,-0.86,62,37,98,,,,17,9,29,34,23,47,7,6,9,2531,5,4,6,-0.71,14,22,4541:1,1.26,35,55,1827:1,-0.13,149,233,429:1,-0.89,7273,0.62,1459,,,2801,7163,56,-1.38,,,,55,56,52,-0.69,42,49,32,52,52,740,78,1.13,12735,16336,78,73,83,-1.39,1025,35791,2.9,-0.67,13,10,17,0.00,32,81,62,21,8,114595,25739,4.5,0.96,3312,14996,22,18,26,-0.86,70,11.0,1.06,84,135,0.10,193,61,53,70,-0.58,,,,,,,,,,,,,,,,7.0,-0.09,No,-0.42,14,12,15,12,10,14,2,1,2,1,1,2,0.71,80,78,81,0.26,,,,,,,58,38,78,,,,76,73,79,33831,18,16,20,-0.89
