FIPS,State,County,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,% Fair or Poor Health,95% CI - Low,95% CI - High,Z-Score,Average Number of Physically Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Average Number of Mentally Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Unreliable,% Low Birthweight,95% CI - Low,95% CI - High,Z-Score,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low,95% CI - High,Z-Score,% Adults with Obesity,95% CI - Low,95% CI - High,Z-Score,Food Environment Index,Z-Score,% Physically Inactive,95% CI - Low,95% CI - High,Z-Score,% With Access to Exercise Opportunities,Z-Score,% Excessive Drinking,95% CI - Low,95% CI - High,Z-Score,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low,95% CI - High,Z-Score,# Chlamydia Cases,Chlamydia Rate,Z-Score,Teen Birth Rate,95% CI - Low,95% CI - High,Z-Score,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Z-Score,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score,# Dentists,Dentist Rate,Dentist Ratio,Z-Score,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score,Preventable Hospitalization Rate,Z-Score,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Z-Score,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),Cohort Size,High School Graduation Rate,Z-Score,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Z-Score,# Unemployed,Labor Force,% Unemployed,Z-Score,% Children in Poverty,95% CI - Low,95% CI - High,Z-Score,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score,# Single-Parent Households,# Households,% Single-Parent Households,95% CI - Low,95% CI - High,Z-Score,# Associations,Social Association Rate,Z-Score,Annual Average Violent Crimes,Violent Crime Rate,Z-Score,# Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,Z-Score,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score,Presence of Water Violation,Z-Score,% Severe Housing Problems,95% CI - Low,95% CI - High,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score,% Drive Alone to Work,95% CI - Low,95% CI - High,Z-Score,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low,95% CI - High,Z-Score
28000,Mississippi,,50885,10383,10250,10515,,,,,,,,,,,,,,,,,24,22,26,,4.8,4.5,5.2,,5.0,4.6,5.5,,,12,11,12,,,,,,,,,,,,,,,,,22,20,24,,37,,,,4.0,,32,,,,54,,14,12,15,,663,3320,20,19,21,,21149,708.7,,36,36,37,,,,,,,,,,,,,,,,,352306,14,14,15,,1580,53,1889:1,,1408,47,2121:1,,4752,159,628:1,,6085,,,,,,,39,,,,,,,41,,,,,,,33913,83,,453595,759677,60,59,60,,60737,1275732,4.8,,28,27,29,,,,,,,90485,17049,5.3,,311752,712975,44,43,45,,3779,12.7,,8361,279,,12838,86,84,87,,,,,,,,,,,,,,,,,9.9,,,,16,15,16,,,,,,,,,,,85,85,86,,,,,,,,,,,,,,,,,1215697,32,31,32,
28001,Mississippi,Adams,655,12506,11003,14009,0.49,,,,,,,16047,13748,18347,,,,10843,8487,13200,27,27,28,0.42,4.9,4.7,5.1,0.23,4.8,4.6,4.9,0.19,,13,12,15,0.39,,,,,,,15,14,17,,,,9,7,11,22,22,23,0.66,35,30,41,-0.60,4.9,0.67,32,27,38,-0.40,69,-1.23,12,12,13,-0.57,6,25,24,14,35,0.33,262,845.1,0.34,50,44,56,0.66,,,,,,,55,48,62,,,,38,29,49,3419,15,13,17,-0.23,29,94,1069:1,-2.10,14,45,2228:1,-0.59,30,96,1040:1,0.10,6949,0.36,,,7966,,6158,44,-1.24,,,41,,46,45,-0.75,,,37,50,52,219,80,0.60,3374,8083,42,35,48,1.11,696,11202,6.2,0.43,40,28,52,0.79,,66,70,58,25,66516,10663,6.2,1.17,4367,6581,66,60,73,1.41,44,14.2,-0.76,97,304,0.35,178,114,97,131,0.84,,,,,,,109,88,134,,,,147,118,182,9.0,-2.07,No,-0.37,13,10,15,12,9,14,2,1,4,0,0,1,-0.79,88,86,91,0.90,,,,,,,91,88,94,,,,85,82,88,10199,15,11,18,-1.86
28003,Mississippi,Alcorn,751,11918,10586,13250,0.22,,,,,,,16237,12361,20945,,,,11412,9958,12866,22,22,23,-0.53,4.6,4.4,4.8,-0.25,4.6,4.4,4.8,-0.25,,11,10,13,-0.35,,,,,,,18,15,22,11,7,16,10,9,11,19,18,20,-0.46,35,29,42,-0.60,7.5,-1.05,35,29,41,0.25,31,0.49,15,14,16,0.83,8,40,20,12,29,0.01,143,384.3,-1.01,45,40,50,0.27,,,,,,,60,48,75,135,86,203,40,35,45,4302,14,12,16,-0.55,13,35,2862:1,0.24,18,49,2051:1,-0.80,107,290,345:1,-1.29,7291,0.59,,,8451,,7154,34,0.54,,,32,,34,42,-0.42,,27,35,22,42,398,88,-1.07,5318,9075,59,52,65,-0.52,667,16123,4.1,-0.91,23,16,30,-0.95,,,28,18,14,79114,17434,4.5,-0.86,2543,8582,30,23,36,-1.17,41,11.0,0.14,,,0.00,187,100,86,115,0.22,,,,,,,118,79,171,,,,99,83,114,10.0,0.28,No,-0.37,13,11,16,10,7,12,2,1,3,2,1,3,-0.59,87,84,91,0.60,,,,,,,82,68,96,,,,92,90,94,14465,23,20,27,-1.09
28005,Mississippi,Amite,250,9703,7662,11743,-0.78,,,,,,,11036,7735,14337,,,,9184,6444,11923,25,24,25,-0.09,4.7,4.5,4.8,-0.19,4.6,4.4,4.8,-0.36,,12,10,14,-0.04,,,,,,,15,12,19,,,,8,6,11,19,18,19,-0.58,40,33,48,0.34,6.3,-0.25,37,30,44,0.63,27,0.70,12,11,12,-0.76,6,25,24,14,35,0.33,57,457.9,-0.80,38,31,48,-0.29,,,,,,,38,27,52,,,,39,29,53,1746,18,16,21,1.64,3,24,4149:1,0.68,3,24,4109:1,0.50,1,8,12326:1,0.73,5385,-0.65,,,6171,,4833,33,0.72,,,35,,32,24,1.56,,,17,,27,,,0.00,1116,2719,41,31,51,1.18,270,4470,6.0,0.32,33,23,43,0.02,,,48,,18,75009,13388,5.6,0.41,1037,2592,40,29,51,-0.44,18,14.5,-0.84,,,0.00,57,91,69,118,-0.20,,,,,,,75,45,117,,,,105,74,144,9.0,-2.07,No,-0.37,12,8,15,9,6,13,2,0,3,1,0,2,-1.16,84,78,90,-0.32,,,,,,,,,,,,,,,,4290,54,43,66,1.62
28007,Mississippi,Attala,348,11154,9273,13035,-0.12,,,,,,,12979,10023,15936,,,,10011,7522,12500,24,23,25,-0.21,4.4,4.3,4.6,-0.66,4.5,4.4,4.7,-0.54,,14,12,15,0.55,,,,,,,18,15,20,,,,9,7,12,19,19,20,-0.34,37,31,45,-0.19,5.9,0.01,30,24,38,-0.72,33,0.41,12,12,13,-0.45,2,20,10,2,23,-0.80,139,752.3,0.07,44,38,51,0.17,,,,,,,55,45,65,,,,34,27,44,2149,14,13,16,-0.52,9,49,2053:1,-0.31,6,33,3061:1,0.06,5,27,3673:1,0.60,5626,-0.49,,,5174,,5886,40,-0.53,,,34,,42,47,-0.97,,,36,,52,240,83,0.07,2035,4119,49,42,57,0.37,393,6927,5.7,0.08,33,23,43,-0.01,,,53,,10,79878,13654,5.9,0.70,2060,4710,44,36,52,-0.18,24,13.0,-0.42,,,0.00,88,94,75,115,-0.09,,,,,,,69,46,100,,,,117,90,151,9.9,0.05,No,-0.37,17,13,20,12,9,16,3,2,5,2,0,3,0.38,79,77,81,-1.63,,,,,,,79,71,86,,,,86,82,89,6517,31,25,37,-0.41
28009,Mississippi,Benton,182,12917,9937,15898,0.68,,,,,,,14043,9332,20297,,,,12820,8997,16644,22,21,22,-0.70,4.4,4.2,4.6,-0.68,4.4,4.3,4.6,-0.76,,12,10,15,-0.09,,,,,,,17,13,22,,,,9,7,12,18,18,19,-0.71,40,28,52,0.34,5.5,0.28,25,16,36,-1.80,80,-1.72,14,13,14,0.21,3,19,16,5,30,-0.33,25,300.8,-1.26,52,42,64,0.85,,,,,,,42,29,59,,,,62,47,80,1038,16,13,18,0.11,,,,0.00,2,24,4136:1,0.51,3,36,2757:1,0.53,5764,-0.40,,,5747,,5543,35,0.36,,,42,,33,41,-0.31,,,31,,44,115,78,1.14,793,1996,40,28,51,1.31,171,3078,5.6,0.01,33,22,43,0.01,,,39,,8,75276,14286,5.3,0.01,620,1800,34,19,50,-0.83,7,8.4,0.87,,,0.00,55,133,100,173,1.73,,,,,,,128,77,200,,,,143,100,198,9.7,-0.42,Yes,2.67,12,8,16,11,6,15,1,0,3,1,0,2,-1.01,90,84,95,1.29,,,,,,,,,,,,,,,,2878,45,34,56,0.80
28011,Mississippi,Bolivar,722,12420,11070,13769,0.45,,,,,,,14557,12748,16366,,,,8521,6542,10501,28,27,29,0.55,5.3,5.1,5.5,0.87,5.1,4.9,5.3,1.17,,13,12,14,0.41,,,,,,,15,14,16,,,,9,8,11,25,24,26,1.55,39,33,45,0.18,3.4,1.67,33,28,38,-0.17,39,0.15,12,11,12,-0.74,5,38,13,6,22,-0.54,256,801.4,0.21,43,39,48,0.11,,,,,,,55,49,61,,,,20,15,26,3929,16,14,18,0.13,16,50,1997:1,-0.36,13,41,2410:1,-0.41,18,57,1741:1,0.38,8374,1.29,,,9942,9807,7591,33,0.72,,,32,,35,41,-0.31,,58,33,31,49,422,82,0.13,4859,8195,59,53,66,-0.59,764,12472,6.1,0.37,39,28,50,0.64,,,55,16,28,69374,10307,6.7,1.76,5062,8067,63,56,70,1.16,48,15.0,-1.00,,,0.00,124,76,63,89,-0.90,,,,,,,72,57,90,,,,86,63,115,10.3,0.99,No,-0.37,20,17,23,17,14,19,3,2,4,1,0,1,1.24,83,81,86,-0.40,,,,,,,84,80,88,,,,83,79,87,10590,24,20,28,-1.04
28013,Mississippi,Calhoun,265,10057,8120,11993,-0.62,,,,,,,13453,9654,18251,,,,9090,6742,11438,25,25,26,0.02,5.0,4.9,5.2,0.44,4.8,4.6,5.0,0.25,,12,10,14,0.00,,,,,,,17,13,21,,,,11,9,13,20,19,21,-0.16,38,31,47,0.01,6.9,-0.65,39,32,47,1.11,38,0.19,13,13,14,-0.06,4,20,20,9,33,0.01,74,510.6,-0.64,38,32,45,-0.31,,,,,,,39,28,52,112,69,174,31,23,40,2191,19,16,21,1.86,2,14,7246:1,1.09,3,21,4812:1,0.69,1,7,14436:1,0.74,4297,-1.35,,,4393,,4126,33,0.72,,,37,,32,41,-0.31,,,33,,43,184,88,-1.00,1521,3320,46,38,53,0.72,257,5976,4.3,-0.80,34,25,43,0.15,,,49,69,28,74108,14480,5.1,-0.17,1464,3465,42,34,50,-0.28,22,15.2,-1.04,,,0.00,74,101,80,127,0.26,,,,,,,92,55,143,,,,113,85,148,9.9,0.05,No,-0.37,14,11,17,12,9,14,3,2,4,0,0,1,-0.51,89,86,93,1.20,,,,,,,89,83,96,,,,89,85,94,5248,38,33,44,0.22
28015,Mississippi,Carroll,171,9995,7421,12569,-0.65,,,,,,,12664,8346,18426,,,,8234,5331,11137,19,18,20,-1.20,4.0,3.8,4.1,-1.46,4.2,4.0,4.3,-1.56,,12,10,15,-0.01,,,,,,,17,12,22,,,,10,7,13,16,15,16,-1.66,34,26,43,-0.78,6.0,-0.05,41,33,50,1.51,21,0.96,14,14,15,0.54,3,23,13,4,25,-0.55,54,532.6,-0.58,39,30,49,-0.27,,,,,,,44,30,62,,,,37,26,51,1207,16,14,18,0.38,2,20,5070:1,0.85,2,20,4956:1,0.72,,,,0.00,5650,-0.47,,,8966,,4276,43,-1.06,,,47,,41,40,-0.20,,,29,,44,80,83,0.07,1181,2024,58,42,74,-0.50,196,3593,5.5,-0.06,24,16,32,-0.89,,,32,,8,94285,18483,5.1,-0.19,553,1966,28,17,39,-1.27,7,6.9,1.30,,,0.00,39,77,55,105,-0.87,,,,,,,88,49,146,,,,73,47,109,9.6,-0.66,No,-0.37,15,10,21,12,7,18,2,0,5,1,0,2,-0.12,90,84,96,1.35,,,,,,,,,,,,,,,,3407,38,27,49,0.20
28017,Mississippi,Chickasaw,321,11033,9275,12791,-0.18,,,,,,,12446,9710,15181,,,,10466,8009,12924,25,25,26,0.07,4.9,4.8,5.1,0.28,4.8,4.6,5.0,0.25,,13,12,15,0.37,,,,,,,16,13,18,12,6,19,10,8,13,21,20,21,0.16,45,37,54,1.44,6.9,-0.65,32,24,40,-0.44,23,0.88,12,12,13,-0.50,4,23,17,7,30,-0.20,164,956.5,0.66,52,44,59,0.81,,,,,,,52,42,64,82,48,131,48,38,60,2374,17,15,20,1.04,9,52,1905:1,-0.46,6,35,2862:1,-0.06,4,23,4293:1,0.62,5655,-0.47,,,7703,,4801,38,-0.17,,,37,,40,40,-0.20,,,30,,44,203,84,-0.30,1784,4157,43,34,51,1.00,349,7036,5.0,-0.38,27,17,37,-0.57,,,43,,23,78480,14903,5.3,0.01,1907,4293,44,33,56,-0.13,17,9.9,0.45,,,0.00,82,95,76,118,-0.02,,,,,,,66,42,97,,,,129,97,167,10.1,0.52,No,-0.37,16,12,19,13,10,17,3,1,4,0,0,1,0.03,85,81,89,-0.07,,,,,,,86,78,95,,,,81,75,87,6644,32,26,38,-0.29
