FIPS,State,County,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,% Fair or Poor Health,95% CI - Low,95% CI - High,Z-Score,Average Number of Physically Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Average Number of Mentally Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Unreliable,% Low Birthweight,95% CI - Low,95% CI - High,Z-Score,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low,95% CI - High,Z-Score,% Adults with Obesity,95% CI - Low,95% CI - High,Z-Score,Food Environment Index,Z-Score,% Physically Inactive,95% CI - Low,95% CI - High,Z-Score,% With Access to Exercise Opportunities,Z-Score,% Excessive Drinking,95% CI - Low,95% CI - High,Z-Score,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low,95% CI - High,Z-Score,# Chlamydia Cases,Chlamydia Rate,Z-Score,Teen Birth Rate,95% CI - Low,95% CI - High,Z-Score,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Z-Score,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score,# Dentists,Dentist Rate,Dentist Ratio,Z-Score,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score,Preventable Hospitalization Rate,Z-Score,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Z-Score,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),Cohort Size,High School Graduation Rate,Z-Score,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Z-Score,# Unemployed,Labor Force,% Unemployed,Z-Score,% Children in Poverty,95% CI - Low,95% CI - High,Z-Score,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score,# Single-Parent Households,# Households,% Single-Parent Households,95% CI - Low,95% CI - High,Z-Score,# Associations,Social Association Rate,Z-Score,Annual Average Violent Crimes,Violent Crime Rate,Z-Score,# Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,Z-Score,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score,Presence of Water Violation,Z-Score,% Severe Housing Problems,95% CI - Low,95% CI - High,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score,% Drive Alone to Work,95% CI - Low,95% CI - High,Z-Score,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low,95% CI - High,Z-Score
29000,Missouri,,85529,8374,8290,8458,,,,,,,,,,,,,,,,,18,17,19,,4.2,3.9,4.4,,4.4,4.1,4.7,,,8,8,8,,,,,,,,,,,,,,,,,21,19,22,,32,,,,6.8,,26,,,,77,,20,18,21,,1217,4436,27,27,28,,32683,534.6,,26,26,26,,,,,,,,,,,,,,,,,541217,11,11,11,,4275,70,1430:1,,3560,58,1721:1,,11904,194,515:1,,4800,,,,,,,43,,,,,,,45,,,,,,,65093,91,,1028734,1542544,67,66,67,,97585,3052398,3.2,,18,17,19,,,,,,,105161,22977,4.6,,454529,1365507,33,33,34,,7201,11.8,,29250,481,,26743,88,87,89,,,,,,,,,,,,,,,,,9.7,,,,14,14,14,,,,,,,,,,,82,82,82,,,,,,,,,,,,,,,,,2855663,32,32,32,
29001,Missouri,Adair,310,8412,7000,9824,-0.28,,,,,,,,,,,,,,,,21,21,22,0.52,4.8,4.6,5.0,0.44,4.8,4.6,5.1,0.89,,8,7,10,0.29,,,,,,,11,5,17,,,,8,7,10,21,20,22,0.03,28,21,35,-1.25,6.6,0.90,32,25,39,0.54,78,-1.15,19,18,20,0.79,2,13,15,3,32,-0.98,123,484.7,0.85,11,9,13,-1.78,,,,,,,,,,,,,,,,2008,11,9,12,-0.92,26,102,976:1,-2.14,18,71,1408:1,-1.71,48,189,528:1,-0.90,2032,-2.04,,,,,,42,-0.28,,,,,,52,-1.42,,,27,,52,235,92,0.25,3108,4758,65,58,73,-1.14,375,10672,3.5,0.06,20,13,27,-0.36,,,,,,84459,12984,6.5,4.28,1322,4479,30,22,37,-0.19,30,11.8,0.10,63,248,-0.16,94,74,60,91,-0.72,,,,,,,,,,,,,,,,9.5,-0.59,No,0.00,18,15,21,17,14,20,1,0,1,1,1,2,1.84,78,75,81,-0.46,,,,,,,,,,,,,,,,10650,14,11,17,-1.74
29003,Missouri,Andrew,205,6468,4967,7969,-1.33,,,,,,,,,,,,,,,,16,16,17,-1.33,4.1,3.9,4.3,-1.23,4.2,4.0,4.4,-1.23,,7,5,8,-0.87,,,,,,,,,,,,,,,,18,17,19,-1.12,32,25,40,-0.30,8.5,-1.47,22,15,29,-1.72,64,-0.45,19,18,20,0.74,3,20,15,5,28,-1.02,44,250.6,-0.40,21,16,26,-0.98,,,,,,,,,,,,,,,,1334,9,8,11,-1.39,2,11,8778:1,1.20,4,23,4402:1,0.64,4,23,4402:1,0.94,4186,-0.51,,,,,,44,-0.61,,,,,,49,-1.09,,,,,,228,93,-0.04,2529,4003,63,56,71,-0.92,258,9685,2.7,-1.03,11,7,15,-1.49,,,12,5,9,106863,25165,4.2,-0.11,957,3905,25,16,33,-0.87,14,8.0,1.13,32,184,-0.43,54,62,47,81,-1.33,,,,,,,,,,,,,,,,9.9,0.02,No,0.00,11,8,14,9,6,11,1,0,3,1,0,2,-0.65,88,85,90,1.76,,,,,,,,,,,,,,,,8268,25,21,29,-0.74
29005,Missouri,Atchison,83,7886,5197,11474,-0.56,,,,,,,,,,,,,,,,17,17,18,-0.94,4.2,4.0,4.4,-1.11,4.3,4.1,4.5,-0.98,x,5,,,-2.20,,,,,,,,,,,,,,,,18,17,19,-1.28,39,30,49,1.37,8.0,-0.85,24,17,33,-1.23,76,-1.06,17,16,18,-0.30,2,6,33,11,55,0.73,5,94.8,-1.22,17,10,28,-1.26,,,,,,,,,,,,,,,,472,12,10,14,-0.40,2,38,2638:1,0.23,2,39,2586:1,-0.13,3,58,1724:1,0.55,7195,1.64,,,,,,42,-0.28,,,,,,45,-0.65,,,,,,48,96,-0.69,685,1113,62,52,71,-0.75,69,2771,2.5,-1.26,16,11,21,-0.88,,,,,,88971,23011,3.9,-0.85,225,1000,23,16,29,-1.14,15,28.4,-3.00,6,103,-0.79,21,79,49,121,-0.44,,,,,,,,,,,,,,,,9.2,-1.06,No,0.00,9,6,11,8,5,11,0,0,2,0,0,1,-1.48,80,76,84,0.07,,,,,,,,,,,,,,,,2624,22,18,27,-0.98
29007,Missouri,Audrain,389,8793,7423,10164,-0.07,,,,,,,,,,,,,,,,19,19,20,-0.21,4.6,4.4,4.8,-0.03,4.6,4.4,4.9,0.29,,9,8,10,0.91,,,,,,,18,12,24,,,,9,7,10,21,20,21,0.10,35,26,45,0.45,7.5,-0.22,32,23,40,0.51,73,-0.88,17,17,18,-0.01,5,27,19,9,30,-0.68,167,651.3,1.74,34,29,39,0.18,,,,,,,52,32,78,,,,33,28,39,2348,12,11,14,-0.28,13,51,1972:1,-0.24,9,35,2830:1,0.03,49,192,520:1,-0.93,3828,-0.76,,,4735,,3641,50,-1.59,,,56,,49,30,1.00,,,31,,30,231,87,1.69,2973,6457,46,40,52,0.84,334,10804,3.1,-0.48,26,17,34,0.39,,,12,47,19,80025,22586,3.5,-1.48,1893,5677,33,26,41,0.33,28,10.9,0.34,48,183,-0.44,84,65,52,81,-1.17,,,,,,,,,,,,,,,,10.0,0.18,No,0.00,10,8,12,9,6,11,2,1,2,1,1,2,-0.96,82,79,85,0.41,,,,,,,,,,,,,,,,10599,28,24,33,-0.40
29009,Missouri,Barry,641,9525,8325,10725,0.32,,,,,,,,,,,,,,,,21,21,22,0.50,4.7,4.5,4.9,0.22,4.6,4.4,4.8,0.17,,8,7,9,-0.23,,,,,,,,,,6,4,8,8,7,9,22,21,22,0.53,38,30,47,1.16,7.8,-0.60,28,21,36,-0.29,49,0.30,16,15,17,-0.91,15,41,37,29,44,1.05,65,182.2,-0.76,40,35,44,0.70,,,,,,,,,,39,27,54,41,36,46,4898,17,15,20,1.67,23,64,1551:1,-0.74,12,33,2991:1,0.12,24,67,1495:1,0.45,3740,-0.83,,,,1808,3791,40,0.05,,,,24,41,35,0.45,,54,,21,36,287,96,-0.78,3526,7491,47,41,53,0.74,463,15592,3.0,-0.64,27,19,35,0.57,,,,50,28,80094,19076,4.2,-0.20,2641,7990,33,24,42,0.29,52,14.6,-0.64,94,242,-0.18,167,93,79,108,0.27,,,,,,,,,,,,,,,,9.8,-0.13,No,0.00,14,11,16,11,8,13,3,2,4,1,0,2,0.32,80,76,85,0.05,,,,,,,,,,72,64,80,81,77,85,14385,28,23,32,-0.45
29011,Missouri,Barton,182,7563,5795,9330,-0.74,,,,,,,,,,,,,,,,21,20,22,0.32,4.7,4.5,5.0,0.26,4.7,4.4,4.9,0.36,,8,6,10,0.16,,,,,,,,,,,,,,,,20,20,21,-0.03,26,17,36,-1.72,6.9,0.52,30,21,41,0.20,35,1.01,17,16,18,-0.39,1,5,20,2,48,-0.54,21,177.2,-0.79,37,30,44,0.45,,,,,,,,,,,,,,,,1353,14,12,16,0.50,4,34,2963:1,0.38,1,8,11798:1,1.34,8,68,1475:1,0.44,6222,0.94,,,,,,38,0.38,,,,,,36,0.34,,,,,,158,87,1.60,1324,2524,52,43,61,0.19,160,5181,3.1,-0.48,24,16,32,0.17,35,,,77,25,90908,18942,4.8,0.96,949,2842,33,23,44,0.34,14,11.8,0.10,34,283,0.00,38,64,45,88,-1.23,,,,,,,,,,,,,,,,9.3,-0.90,No,0.00,12,8,15,9,6,12,2,1,4,1,0,3,-0.38,84,81,87,0.88,,,,,,,,,,,,,,,,5174,35,28,41,0.16
29013,Missouri,Bates,261,9028,7314,10742,0.05,,,,,,,,,,,,,,,,20,19,20,-0.17,4.4,4.2,4.6,-0.55,4.4,4.2,4.7,-0.40,,7,6,8,-0.58,,,,,,,,,,,,,,,,20,19,21,-0.27,37,28,44,0.78,8.2,-1.09,27,21,34,-0.43,37,0.92,19,18,20,0.69,2,15,13,3,29,-1.18,40,244.9,-0.43,33,27,39,0.13,,,,,,,,,,,,,,,,1663,13,11,15,-0.09,4,24,4084:1,0.72,7,43,2331:1,-0.34,9,55,1813:1,0.58,6578,1.20,,,,,,38,0.38,,,,,,30,1.00,,,,,,185,95,-0.36,1830,3652,50,43,57,0.43,303,7960,3.8,0.44,20,14,27,-0.31,,,,44,17,94783,22742,4.2,-0.26,1181,3853,31,23,38,-0.03,19,11.6,0.15,77,473,0.83,85,104,83,128,0.79,,,,,,,,,,,,,,,,9.4,-0.75,No,0.00,11,9,13,8,6,11,2,1,3,1,1,2,-0.73,75,72,78,-1.12,,,,,,,,,,,,,,,,7477,47,42,52,1.29
29015,Missouri,Benton,412,10032,8070,11995,0.60,,,,,,,,,,,,,,,,20,20,21,0.12,4.7,4.5,4.9,0.27,4.6,4.3,4.8,0.01,,8,6,10,0.01,,,,,,,,,,,,,,,,20,19,20,-0.48,34,25,42,0.07,7.7,-0.47,32,23,41,0.51,31,1.19,15,14,15,-1.56,4,17,24,11,38,-0.20,51,267.4,-0.31,34,27,40,0.17,,,,,,,,,,,,,,,,1944,15,13,17,0.69,5,26,3815:1,0.66,6,31,3213:1,0.23,13,67,1483:1,0.44,4536,-0.26,,,,,,41,-0.11,,,,,,37,0.23,,,,,,170,90,0.88,1659,3181,52,44,60,0.22,323,7143,4.5,1.37,34,25,43,1.47,,,,17,31,74286,17094,4.3,0.08,943,3301,29,19,38,-0.32,27,14.2,-0.53,82,435,0.66,116,123,100,145,1.75,,,,,,,,,,,,,,,,9.4,-0.75,No,0.00,15,13,18,13,10,15,2,1,3,2,1,3,0.90,76,71,80,-0.96,,,,,,,,,,,,,,,,6426,38,32,44,0.48
29017,Missouri,Bollinger,224,9664,7710,11618,0.40,,,,,,,,,,,,,,,,21,20,22,0.26,4.9,4.6,5.1,0.55,4.6,4.4,4.9,0.25,,7,5,9,-0.54,,,,,,,,,,,,,,,,21,20,22,0.11,32,24,42,-0.19,7.1,0.28,33,24,42,0.74,26,1.44,17,16,18,-0.33,6,16,38,24,50,1.13,20,162.5,-0.86,33,26,41,0.09,,,,,,,,,,,,,,,,1388,14,12,16,0.45,1,8,12306:1,1.32,3,25,4056:1,0.55,5,41,2434:1,0.73,4980,0.06,,,,,,41,-0.11,,,,,,39,0.01,,,,,,142,96,-0.67,1197,2702,44,36,52,1.02,198,5498,3.6,0.18,22,15,29,-0.10,,,,,,79522,18478,4.3,0.00,569,2702,21,12,30,-1.34,9,7.3,1.30,54,438,0.67,55,90,68,117,0.10,,,,,,,,,,,,,,,,10.5,0.95,No,0.00,13,10,16,10,7,13,2,1,4,2,1,2,0.00,69,64,73,-2.52,,,,,,,,,,,,,,,,4808,49,42,57,1.53
