FIPS,State,County,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,% Fair or Poor Health,95% CI - Low,95% CI - High,Z-Score,Average Number of Physically Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Average Number of Mentally Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Unreliable,% Low Birthweight,95% CI - Low,95% CI - High,Z-Score,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low,95% CI - High,Z-Score,% Adults with Obesity,95% CI - Low,95% CI - High,Z-Score,Food Environment Index,Z-Score,% Physically Inactive,95% CI - Low,95% CI - High,Z-Score,% With Access to Exercise Opportunities,Z-Score,% Excessive Drinking,95% CI - Low,95% CI - High,Z-Score,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low,95% CI - High,Z-Score,# Chlamydia Cases,Chlamydia Rate,Z-Score,Teen Birth Rate,95% CI - Low,95% CI - High,Z-Score,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Z-Score,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score,# Dentists,Dentist Rate,Dentist Ratio,Z-Score,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score,Preventable Hospitalization Rate,Z-Score,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Z-Score,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),Cohort Size,High School Graduation Rate,Z-Score,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Z-Score,# Unemployed,Labor Force,% Unemployed,Z-Score,% Children in Poverty,95% CI - Low,95% CI - High,Z-Score,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score,# Single-Parent Households,# Households,% Single-Parent Households,95% CI - Low,95% CI - High,Z-Score,# Associations,Social Association Rate,Z-Score,Annual Average Violent Crimes,Violent Crime Rate,Z-Score,# Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,Z-Score,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score,Presence of Water Violation,Z-Score,% Severe Housing Problems,95% CI - Low,95% CI - High,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score,% Drive Alone to Work,95% CI - Low,95% CI - High,Z-Score,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low,95% CI - High,Z-Score
30000,Montana,,13077,7232,7040,7425,,,,,,,,,,,,,,,,,15,13,16,,3.8,3.5,4.1,,3.7,3.4,4.0,,,7,7,8,,,,,,,,,,,,,,,,,17,16,19,,26,,,,7.3,,22,,,,75,,21,19,22,,439,974,45,44,46,,4560,434.1,,24,24,25,,,,,,,,,,,,,,,,,87780,10,10,11,,842,80,1248:1,,765,72,1389:1,,3195,301,332:1,,3142,,,,,,,42,,,,,,,42,,,,,,,,86,,171389,252868,68,67,69,,19659,528250,3.7,,16,15,18,,,,,,,102171,22744,4.5,,59924,223717,27,26,28,,1499,14.3,,3577,346,,4766,91,89,94,,,,,,,,,,,,,,,,,6.0,,,,15,14,15,,,,,,,,,,,76,75,76,,,,,,,,,,,,,,,,,499849,16,15,16,
30001,Montana,Beaverhead,94,5051,3269,7456,-0.89,,,,,,,,,,,,,,,,14,13,15,-0.23,3.6,3.4,3.8,-0.32,3.5,3.3,3.7,-0.53,,8,6,10,0.19,,,,,,,,,,,,,,,,15,14,15,-0.59,27,21,34,-0.50,7.6,-0.31,22,16,28,-0.75,80,-0.85,23,22,25,1.27,3,12,25,10,42,-0.93,48,508.8,0.20,13,9,19,-0.87,,,,,,,,,,,,,,,,817,12,10,13,-0.15,13,138,726:1,-2.24,6,64,1567:1,-0.48,19,202,495:1,-0.08,911,-1.90,,,,,,48,-1.26,,,,,,56,-1.88,,,,,,,89,-0.21,1276,1847,69,58,81,-0.76,158,5043,3.1,-0.58,17,11,23,-0.35,,,,,,91030,18500,4.9,0.92,245,1648,15,7,23,-0.91,10,10.6,-0.03,10,107,-1.09,43,92,66,124,-0.52,,,,,,,,,,,,,,,,7.3,0.72,Yes,1.62,15,11,19,13,9,16,1,0,3,1,0,1,0.46,72,68,75,0.16,,,,,,,,,,,,,,,,4559,14,10,18,-0.77
30003,Montana,Big Horn,278,20451,17439,23463,2.93,,,,,,,,,,,,,,,,23,22,23,2.37,5.3,5.1,5.5,2.55,4.6,4.5,4.8,2.17,,8,6,9,0.04,7,6,9,,,,,,,,,,9,5,12,29,28,30,2.74,38,33,43,1.78,4.7,2.09,25,21,29,0.07,59,0.05,20,19,21,-0.42,34,58,59,53,63,0.75,198,1482.0,2.60,83,74,93,3.00,98,85,110,,,,,,,72,44,111,30,18,49,2187,19,17,22,2.33,9,67,1484:1,-0.18,6,45,2223:1,0.13,11,82,1213:1,0.82,5786,1.87,8588,,,,3647,25,2.01,9,,,,41,40,-0.50,33,,,36,45,,75,1.76,1535,3102,49,43,56,1.26,489,5098,9.6,3.00,34,23,45,2.04,36,,,27,11,97525,20786,4.7,0.59,1795,4412,41,32,49,1.56,8,6.0,0.70,71,533,1.86,125,188,155,221,3.00,242,195,288,,,,,,,,,,115,72,174,6.0,-0.28,No,-0.60,22,18,26,9,6,12,13,10,16,1,0,2,2.42,68,65,72,-0.28,75,68,83,,,,,,,,,,65,57,73,4694,29,24,34,0.74
30005,Montana,Blaine,98,12509,9423,16282,0.96,,,,,,,,,,,,,,,,23,22,24,2.51,4.9,4.8,5.1,1.97,4.5,4.3,4.7,1.80,,8,6,10,0.56,9,7,11,,,,,,,,,,7,3,10,26,25,27,2.07,39,35,43,2.02,5.6,1.35,27,24,31,0.59,39,0.96,20,19,21,-0.43,7,10,70,59,78,1.32,49,730.5,0.75,49,39,61,1.14,,,,,,,,,,,,,,,,961,17,15,20,1.70,4,60,1677:1,0.04,4,59,1702:1,-0.32,8,118,851:1,0.56,4070,0.54,5014,,,,3878,28,1.58,7,,,,38,18,1.39,8,,,,21,,81,0.90,978,1568,62,54,71,-0.07,98,2291,4.3,0.18,27,18,36,1.04,57,,,38,22,73023,17059,4.3,-0.02,606,2004,30,23,38,0.56,6,8.9,0.23,8,133,-0.91,39,117,83,160,0.41,164,108,239,,,,,,,,,,70,35,126,5.7,-0.52,Yes,1.62,15,11,18,9,7,12,5,3,7,1,0,2,0.37,74,69,78,0.40,74,69,79,,,,,,,,,,72,65,80,2481,23,17,28,0.13
30007,Montana,Broadwater,,,,,0.00,,,,,,,,,,,,,,,,13,12,14,-0.50,3.5,3.3,3.6,-0.52,3.5,3.3,3.7,-0.56,x,3,,,-3.00,,,,,,,,,,,,,,,,15,15,16,-0.43,34,25,44,0.98,8.3,-0.89,22,14,31,-0.65,60,0.04,21,20,22,0.13,5,12,42,26,56,-0.10,8,134.8,-0.73,22,15,33,-0.36,,,,,,,,,,,,,,,,509,11,10,13,-0.28,2,34,2968:1,0.80,2,33,3043:1,0.52,5,82,1217:1,0.82,2954,-0.32,,,,,,35,0.58,,,,,,41,-0.59,,,,,,,91,-0.40,578,1119,52,38,66,1.04,104,2628,4.0,-0.03,16,10,21,-0.57,,,,,,108036,30735,3.5,-1.15,147,1141,13,5,21,-1.10,5,8.4,0.31,25,438,1.20,23,79,50,118,-0.99,,,,,,,,,,,,,,,,6.0,-0.28,No,-0.60,10,6,14,8,4,12,1,0,4,1,0,3,-0.78,80,75,84,1.24,,,,,,,,,,,,,,,,2576,44,33,55,2.28
30009,Montana,Carbon,148,6990,4758,9223,-0.41,,,,,,,,,,,,,,,,12,12,13,-0.75,3.4,3.2,3.6,-0.61,3.3,3.2,3.5,-0.91,,6,4,9,-0.84,,,,,,,,,,,,,,,,14,14,15,-0.64,28,22,33,-0.34,8.0,-0.64,22,17,27,-0.82,45,0.68,21,20,22,0.23,6,19,32,19,44,-0.60,34,317.9,-0.27,11,7,17,-0.98,,,,,,,,,,,,,,,,939,12,10,13,-0.14,5,47,2139:1,0.42,6,56,1786:1,-0.23,8,75,1339:1,0.88,3928,0.43,,,,,,45,-0.84,,,,,,46,-1.02,,,,,,,93,-0.64,1372,2099,65,56,74,-0.37,193,5487,3.5,-0.32,15,11,20,-0.61,,,,1,16,102213,25314,4.0,-0.38,520,1901,27,19,36,0.28,9,8.4,0.31,25,234,-0.21,59,112,85,144,0.23,,,,,,,,,,,,,,,,5.4,-0.75,No,-0.60,13,10,16,11,8,14,1,0,3,1,0,2,-0.05,64,60,68,-0.87,,,,,,,,,,,,,,,,5151,40,34,45,1.86
30011,Montana,Carter,,,,,,,,,,,,,,,,,,,,,12,11,13,,3.3,3.1,3.5,,3.5,3.3,3.7,,,,,,,,,,,,,,,,,,,,,,14,14,15,,34,25,43,,5.5,,25,17,35,,22,,21,20,22,,1,3,33,4,64,,,,,,,,,,,,,,,,,,,,,,,,115,13,11,15,,0,0,1222:0,,0,0,1238:0,,,,,,4058,,,,,,,43,,,,,,,15,,,,,,,,78,,158,255,62,45,79,,17,672,2.5,,20,13,27,,,,,,,96250,17326,5.6,,26,255,10,1,19,,0,0.0,,0,0,,,,,,,,,,,,,,,,,,,,,,5.2,,No,,9,4,15,9,1,17,1,0,5,1,0,4,,52,44,60,,,,,,,,,,,,,,,,,638,39,24,54,
30013,Montana,Cascade,1125,7299,6651,7946,-0.33,15462,11741,19989,,,,,,,,,,6941,6256,7626,16,16,17,0.41,4.0,3.8,4.1,0.31,3.8,3.7,4.0,0.21,,8,7,9,0.32,9,7,12,11,6,17,13,8,18,9,7,12,8,7,8,17,16,17,-0.07,27,25,30,-0.38,7.6,-0.31,25,22,27,-0.08,83,-1.02,19,19,20,-0.75,26,50,52,46,58,0.42,431,527.8,0.24,34,31,37,0.27,79,63,98,,,,34,18,58,38,27,52,30,27,33,6557,10,9,11,-0.67,56,69,1458:1,-0.22,70,86,1166:1,-1.19,267,327,306:1,-1.03,3455,0.07,5328,,,2051,3358,52,-1.83,37,43,,50,53,47,-1.10,39,48,35,39,47,,81,0.88,13280,20140,66,62,70,-0.43,1362,37848,3.6,-0.27,16,11,21,-0.49,44,18,,22,12,96939,21995,4.4,0.17,5473,18159,30,26,34,0.55,104,12.7,-0.37,200,241,-0.16,375,92,82,101,-0.53,121,78,180,,,,,,,68,35,118,93,83,103,5.8,-0.44,Yes,1.62,13,11,14,10,9,12,2,1,3,1,1,1,-0.15,80,78,81,1.26,54,42,66,,,,,,,70,58,81,82,80,83,38688,9,8,10,-1.26
30015,Montana,Chouteau,84,6912,4629,9927,-0.43,,,,,,,,,,,,,,,,17,17,18,0.73,4.3,4.2,4.5,0.96,4.1,3.9,4.3,0.86,,10,6,13,1.51,,,,,,,,,,,,,,,,19,19,20,0.54,29,22,37,-0.05,5.0,1.84,29,23,37,1.14,37,1.07,20,19,20,-0.66,7,17,41,28,53,-0.12,8,138.8,-0.72,,,,0.00,,,,,,,,,,,,,,,,677,15,13,17,0.89,1,17,5765:1,1.28,1,17,5745:1,1.03,4,70,1436:1,0.92,3438,0.05,,,,,,45,-0.84,,,,,,26,0.70,,,,,,,85,0.34,861,1248,69,61,77,-0.75,75,2481,3.0,-0.65,25,18,32,0.83,61,,,,9,81368,20293,4.0,-0.42,335,1377,24,18,31,-0.01,7,12.1,-0.28,,,0.00,37,128,90,176,0.81,194,97,347,,,,,,,,,,117,76,171,5.7,-0.52,No,-0.60,9,7,11,6,4,9,3,1,4,1,0,2,-1.14,62,57,66,-1.21,,,,,,,,,,,,,,,,2492,29,22,35,0.74
30017,Montana,Custer,152,5894,4308,7481,-0.68,,,,,,,,,,,,,,,,12,12,13,-0.74,3.3,3.2,3.5,-0.75,3.6,3.4,3.8,-0.26,,8,6,9,0.05,,,,,,,,,,,,,,,,15,15,16,-0.45,33,28,38,0.74,7.1,0.11,27,22,32,0.42,72,-0.52,23,22,24,1.01,1,4,25,2,54,-0.93,38,324.2,-0.26,35,28,43,0.35,,,,,,,,,,,,,,,,828,9,8,10,-1.02,11,94,1066:1,-0.96,6,52,1931:1,-0.09,42,363,276:1,-1.29,2795,-0.44,,,,,,37,0.30,,,,,,37,-0.24,23,,,,38,,93,-0.65,2017,2851,71,63,79,-0.93,188,6068,3.1,-0.60,16,10,22,-0.46,,,,8,9,104434,25276,4.1,-0.24,618,2525,24,17,32,0.01,8,6.8,0.57,26,210,-0.38,58,98,74,126,-0.31,,,,,,,,,,,,,,,,5.7,-0.52,No,-0.60,11,8,14,9,6,12,1,1,2,2,0,3,-0.66,78,76,81,1.06,,,,,,,,,,,,,,,,6401,7,5,9,-1.45
