FIPS,State,County,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,% Fair or Poor Health,95% CI - Low,95% CI - High,Z-Score,Average Number of Physically Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Average Number of Mentally Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Unreliable,% Low Birthweight,95% CI - Low,95% CI - High,Z-Score,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low,95% CI - High,Z-Score,% Adults with Obesity,95% CI - Low,95% CI - High,Z-Score,Food Environment Index,Z-Score,% Physically Inactive,95% CI - Low,95% CI - High,Z-Score,% With Access to Exercise Opportunities,Z-Score,% Excessive Drinking,95% CI - Low,95% CI - High,Z-Score,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low,95% CI - High,Z-Score,# Chlamydia Cases,Chlamydia Rate,Z-Score,Teen Birth Rate,95% CI - Low,95% CI - High,Z-Score,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Z-Score,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score,# Dentists,Dentist Rate,Dentist Ratio,Z-Score,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score,Preventable Hospitalization Rate,Z-Score,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Z-Score,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),Cohort Size,High School Graduation Rate,Z-Score,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Z-Score,# Unemployed,Labor Force,% Unemployed,Z-Score,% Children in Poverty,95% CI - Low,95% CI - High,Z-Score,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score,# Single-Parent Households,# Households,% Single-Parent Households,95% CI - Low,95% CI - High,Z-Score,# Associations,Social Association Rate,Z-Score,Annual Average Violent Crimes,Violent Crime Rate,Z-Score,# Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,Z-Score,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score,Presence of Water Violation,Z-Score,% Severe Housing Problems,95% CI - Low,95% CI - High,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score,% Drive Alone to Work,95% CI - Low,95% CI - High,Z-Score,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low,95% CI - High,Z-Score
31000,Nebraska,,19920,6093,5968,6218,,,,,,,,,,,,,,,,,14,14,15,,3.2,3.0,3.4,,3.5,3.3,3.7,,,7,7,7,,,,,,,,,,,,,,,,,15,14,16,,32,,,,8.0,,23,,,,84,,22,21,23,,390,1147,34,33,35,,8595,447.6,,21,21,22,,,,,,,,,,,,,,,,,152068,10,9,10,,1447,75,1327:1,,1481,77,1303:1,,5117,265,377:1,,3590,,,,,,,48,,,,,,,50,,,,,,,23037,89,,350158,487036,72,71,73,,28513,1020205,2.8,,13,12,14,,,,,,,110464,26212,4.2,,131430,466539,28,27,29,,2715,14.1,,5413,286,,5626,59,57,61,,,,,,,,,,,,,,,,,7.5,,,,13,13,13,,,,,,,,,,,82,82,82,,,,,,,,,,,,,,,,,980914,18,18,19,
31001,Nebraska,Adams,417,7241,6143,8340,0.41,,,,,,,,,,,,,,,,16,15,16,0.70,3.4,3.2,3.5,0.77,3.4,3.2,3.5,-0.09,,6,5,7,-0.35,,,,,,,,,,5,3,7,6,5,7,15,14,15,-0.07,37,34,40,0.63,7.7,0.03,26,23,28,-0.58,82,-1.01,19,18,19,-0.84,6,18,33,21,46,0.11,168,530.3,1.47,26,23,30,0.51,,,,,,,,,,74,58,93,19,16,23,2173,9,8,10,-0.73,28,88,1131:1,-0.74,25,79,1260:1,-0.71,123,390,256:1,-2.26,3696,-0.02,,,,1695,3605,51,-0.97,,56,,42,51,59,-1.54,,67,,49,60,387,87,0.79,4908,6936,71,65,77,-0.22,475,16547,2.9,0.46,14,10,19,-0.19,,62,6,26,15,99403,23079,4.3,0.84,1941,7415,26,20,32,0.27,44,13.9,0.41,73,231,0.78,105,66,54,79,-0.52,,,,,,,,,,72,36,129,67,54,82,8.0,0.40,Yes,1.84,10,8,12,9,7,11,1,0,2,1,1,1,0.16,82,80,83,0.58,,,,,,,,,,61,48,73,83,82,85,15554,14,11,16,-0.93
31003,Nebraska,Antelope,70,6363,4157,9323,-0.05,,,,,,,,,,,,,,,,14,13,14,-0.25,3.1,3.0,3.3,-0.12,3.5,3.3,3.6,0.22,,5,3,7,-0.87,,,,,,,,,,,,,,,,14,14,15,-0.29,33,28,38,-0.52,7.9,-0.20,25,21,29,-0.75,50,0.43,19,19,20,-0.42,2,12,17,4,34,-0.68,9,141.5,-0.58,10,6,17,-1.08,,,,,,,,,,,,,,,,531,11,9,13,0.07,3,47,2121:1,0.54,2,32,3168:1,0.72,3,47,2112:1,0.65,4028,0.26,,,,,,48,-0.52,,,,,,31,0.37,,,,,,40,95,-0.38,919,1219,75,66,84,-0.73,85,3574,2.4,-0.81,17,11,22,0.30,,,,20,17,88789,22781,3.9,-0.16,342,1494,23,14,32,-0.14,17,26.7,-1.60,6,98,-0.26,22,69,43,105,-0.41,,,,,,,,,,,,,,,,7.5,0.03,Yes,1.84,10,8,12,7,5,10,1,0,2,2,1,3,-0.07,76,73,79,-0.63,,,,,,,,,,,,,,,,3189,20,17,24,-0.12
31005,Nebraska,Arthur,,,,,,,,,,,,,,,,,,,,,14,13,15,,3.1,3.0,3.3,,3.4,3.2,3.6,,,,,,,,,,,,,,,,,,,,,,15,14,15,,35,24,47,,4.1,,24,16,34,,0,,19,19,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,15,12,18,,0,0,457:0,,0,0,465:0,,0,0,465:0,,,,,,,,,31,,,,,,,46,,,,,,,,,,57,63,90,52,100,,11,219,5.0,,18,11,24,,,,,,,76750,18300,4.2,,7,111,6,0,13,,0,0.0,,0,0,,,,,,,,,,,,,,,,,,,,,,5.3,,No,,14,0,27,13,0,31,2,0,13,2,0,8,,60,52,68,,,,,,,,,,,,,,,,,191,29,16,41,
31007,Nebraska,Banner,,,,,,,,,,,,,,,,,,,,,14,13,15,,3.1,3.0,3.3,,3.5,3.3,3.7,,,,,,,,,,,,,,,,,,,,,,15,14,15,,29,20,39,,4.6,,23,14,33,,4,,19,18,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,10,8,12,,0,0,742:0,,0,0,730:0,,0,0,730:0,,,,,,,,,21,,,,,,,40,,,,,,,,,,110,152,72,55,90,,13,381,3.4,,25,16,34,,,,,,,111143,24083,4.6,,36,154,23,6,41,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,4.6,,No,,12,5,20,10,0,22,1,0,8,3,0,9,,59,50,67,,,,,,,,,,,,,,,,,402,50,30,69,
31009,Nebraska,Blaine,,,,,,,,,,,,,,,,,,,,,12,11,12,,2.8,2.7,3.0,,3.3,3.1,3.5,,,,,,,,,,,,,,,,,,,,,,13,13,14,,35,25,46,,5.1,,33,23,43,,10,,20,19,21,,0,1,0,0,66,,,,,,,,,,,,,,,,,,,,,,,,51,14,11,17,,0,0,482:0,,0,0,476:0,,0,0,476:0,,5005,,,,,,,27,,,,,,,34,,,,,,,11,100,,73,91,80,51,100,,12,262,4.6,,24,16,33,,,,,,,85200,29833,2.9,,6,105,6,0,11,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,5.8,,No,,8,1,14,5,0,18,2,0,9,2,0,9,,61,46,76,,,,,,,,,,,,,,,,,255,36,21,51,
31011,Nebraska,Boone,,,,,0.00,,,,,,,,,,,,,,,,12,11,12,-1.07,2.8,2.6,2.9,-1.35,3.3,3.1,3.5,-0.33,,6,4,9,-0.20,,,,,,,,,,,,,,,,14,13,14,-0.46,33,28,39,-0.30,8.3,-0.66,31,26,36,0.90,48,0.49,22,21,23,0.84,0,2,0,0,51,-1.46,8,149.5,-0.54,15,9,23,-0.66,,,,,,,,,,,,,,,,380,9,8,11,-0.60,8,149,669:1,-2.64,4,76,1310:1,-0.62,1,19,5239:1,0.89,6281,2.15,,,,,,58,-2.01,,,,,,26,0.72,,,,,,71,96,-0.55,822,1038,79,68,91,-1.14,65,2922,2.2,-1.21,13,8,18,-0.47,,,,8,6,103077,29615,3.5,-1.19,158,1240,13,7,19,-1.40,8,14.9,0.25,,,0.00,25,94,61,139,0.72,,,,,,,,,,,,,,,,7.7,0.18,Yes,1.84,9,6,12,7,5,10,2,0,3,0,0,1,-0.31,76,71,82,-0.53,,,,,,,,,,,,,,,,2782,18,14,22,-0.41
31013,Nebraska,Box Butte,141,6182,4420,7943,-0.15,,,,,,,,,,,,,,,,15,15,16,0.52,3.2,3.0,3.3,0.10,3.3,3.1,3.4,-0.54,,7,6,9,0.34,,,,,,,,,,6,3,10,7,6,9,16,15,16,0.43,36,32,41,0.47,7.6,0.15,23,20,27,-1.17,73,-0.62,23,22,23,1.27,3,6,50,28,67,0.90,32,294.0,0.23,34,27,43,1.31,88,42,163,,,,,,,55,35,83,24,17,33,853,10,8,11,-0.38,5,46,2177:1,0.58,7,65,1539:1,-0.28,20,186,539:1,-0.52,2821,-0.75,4652,,,1994,2411,33,1.71,,,,21,35,38,-0.11,40,,,32,38,151,84,1.22,1627,2434,67,57,77,0.21,149,5399,2.8,0.18,19,14,24,0.77,,,,6,8,100219,25198,4.0,0.03,977,2800,35,22,48,1.36,22,20.2,-0.58,25,221,0.71,50,90,67,119,0.54,,,,,,,,,,,,,,,,4.7,-2.03,No,-0.54,10,6,14,8,4,11,2,0,4,2,0,4,0.09,84,80,87,0.96,,,,,,,,,,,,,,,,5217,6,3,8,-1.83
31015,Nebraska,Boyd,,,,,0.00,,,,,,,,,,,,,,,,13,12,14,-0.52,3.0,2.8,3.2,-0.57,3.3,3.1,3.5,-0.59,,,,,0.00,,,,,,,,,,,,,,,,13,13,14,-0.77,36,29,44,0.49,4.9,3.00,31,24,38,0.82,1,2.60,18,17,19,-1.18,0,1,0,0,66,-1.46,5,252.9,0.01,,,,0.00,,,,,,,,,,,,,,,,196,14,12,16,1.24,3,152,659:1,-2.71,1,51,1955:1,0.13,,,,0.00,5423,1.43,,,,,,51,-0.97,,,,,,35,0.10,,,,,,17,100,-1.17,249,355,70,58,82,-0.15,32,1083,3.0,0.68,25,16,34,2.10,,,,,,92600,21000,4.4,1.10,67,452,15,5,25,-1.15,4,20.2,-0.58,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,6.3,-0.85,No,-0.54,10,7,14,9,5,13,0,0,3,2,0,4,0.15,66,61,70,-2.77,,,,,,,,,,,,,,,,996,25,17,33,0.41
31017,Nebraska,Brown,,,,,0.00,,,,,,,,,,,,,,,,15,14,16,0.37,3.5,3.3,3.7,1.30,3.6,3.4,3.8,1.08,x,6,,,-0.70,,,,,,,,,,,,,,,,16,15,16,0.49,39,32,45,1.13,7.8,-0.08,28,22,34,0.01,76,-0.75,18,18,19,-0.96,1,4,25,2,54,-0.28,4,132.7,-0.63,20,10,33,-0.16,,,,,,,,,,,,,,,,269,12,10,14,0.46,3,100,1005:1,-1.09,3,101,991:1,-1.36,1,34,2973:1,0.77,1890,-1.53,,,,,,32,1.86,,,,,,11,1.74,,,,,,37,92,0.04,376,589,64,48,79,0.54,46,1392,3.3,1.59,17,11,23,0.39,,,,,,82563,17753,4.7,1.69,160,599,27,13,40,0.34,7,23.2,-1.05,0,0,-1.03,11,74,37,133,-0.18,,,,,,,,,,,,,,,,5.6,-1.37,No,-0.54,13,8,18,10,5,16,1,0,4,1,0,2,1.22,76,69,82,-0.70,,,,,,,,,,,,,,,,1468,14,7,22,-0.82
