FIPS,State,County,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,% Fair or Poor Health,95% CI - Low,95% CI - High,Z-Score,Average Number of Physically Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Average Number of Mentally Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Unreliable,% Low Birthweight,95% CI - Low,95% CI - High,Z-Score,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low,95% CI - High,Z-Score,% Adults with Obesity,95% CI - Low,95% CI - High,Z-Score,Food Environment Index,Z-Score,% Physically Inactive,95% CI - Low,95% CI - High,Z-Score,% With Access to Exercise Opportunities,Z-Score,% Excessive Drinking,95% CI - Low,95% CI - High,Z-Score,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low,95% CI - High,Z-Score,# Chlamydia Cases,Chlamydia Rate,Z-Score,Teen Birth Rate,95% CI - Low,95% CI - High,Z-Score,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Z-Score,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score,# Dentists,Dentist Rate,Dentist Ratio,Z-Score,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score,Preventable Hospitalization Rate,Z-Score,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Z-Score,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),Cohort Size,High School Graduation Rate,Z-Score,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Z-Score,# Unemployed,Labor Force,% Unemployed,Z-Score,% Children in Poverty,95% CI - Low,95% CI - High,Z-Score,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score,# Single-Parent Households,# Households,% Single-Parent Households,95% CI - Low,95% CI - High,Z-Score,# Associations,Social Association Rate,Z-Score,Annual Average Violent Crimes,Violent Crime Rate,Z-Score,# Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,Z-Score,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score,Presence of Water Violation,Z-Score,% Severe Housing Problems,95% CI - Low,95% CI - High,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score,% Drive Alone to Work,95% CI - Low,95% CI - High,Z-Score,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low,95% CI - High,Z-Score
35000,New Mexico,,27957,8914,8762,9065,,,,,,,,,,,,,,,,,21,19,22,,4.4,4.1,4.7,,4.5,4.1,4.8,,,9,9,9,,,,,,,,,,,,,,,,,17,16,19,,27,,,,4.1,,20,,,,77,,16,15,18,,567,1860,30,29,32,,13560,649.4,,35,35,36,,,,,,,,,,,,,,,,,186717,11,10,12,,1559,75,1339:1,,1409,67,1487:1,,8199,391,256:1,,3094,,,,,,,34,,,,,,,40,,,,,,,25118,71,,316654,527913,60,59,61,,46539,940362,4.9,,25,24,27,,,,,,,99221,19037,5.2,,193239,489553,39,38,41,,1734,8.3,,13539,650,,10999,105,103,107,,,,,,,,,,,,,,,,,5.9,,,,18,17,18,,,,,,,,,,,80,80,81,,,,,,,,,,,,,,,,,880271,26,26,27,
35001,New Mexico,Bernalillo,8403,8174,7921,8426,-0.75,12594,11183,14006,3664,2552,5096,9771,8291,11251,8563,8211,8914,7303,6886,7719,18,18,19,-0.90,4.1,4.0,4.2,-0.81,4.6,4.5,4.7,0.24,,9,9,10,0.15,8,7,9,11,10,13,16,14,18,9,9,10,9,8,9,15,15,16,-0.81,23,22,26,-1.07,7.3,-0.95,17,15,19,-1.23,91,-1.16,16,16,17,0.29,124,416,30,27,32,-0.09,4932,728.8,0.86,27,26,28,-0.81,39,34,43,5,3,8,24,19,29,33,32,34,12,11,13,54170,10,9,10,-0.50,698,103,970:1,-1.57,578,85,1174:1,-0.83,3107,458,218:1,-0.01,2420,-0.72,2820,690,3815,2668,2271,37,-1.09,25,34,39,35,38,42,-0.69,45,48,30,39,43,7396,68,1.25,127612,187505,68,66,70,-1.37,14850,329380,4.5,-0.52,22,19,25,-0.82,34,8,37,29,13,105712,20897,5.1,0.11,59317,150167,40,38,41,-0.12,537,7.9,0.28,6385,945,2.31,3513,104,100,107,-0.47,118,101,136,40,28,55,104,84,124,95,90,99,117,111,122,6.9,0.92,Yes,0.62,19,18,20,16,16,17,3,3,3,1,1,1,0.61,80,80,81,0.47,74,70,77,77,75,80,73,69,77,83,82,84,81,80,82,313630,25,24,26,0.09
35003,New Mexico,Catron,,,,,0.00,,,,,,,,,,,,,,,,16,16,17,-1.33,4.1,3.9,4.2,-0.93,4.3,4.2,4.5,-0.39,x,8,,,-0.45,,,,,,,,,,,,,,,,14,14,15,-1.11,26,19,32,-0.66,3.2,2.44,20,14,27,-0.66,74,-0.25,14,14,15,-0.83,6,8,75,64,83,3.00,,,0.00,,,,0.00,,,,,,,,,,,,,,,,214,10,8,12,-0.34,3,84,1196:1,-0.90,0,0,3578:0,1.80,2,56,1789:1,1.02,2616,-0.55,,,,,,30,0.25,,,,41,29,25,1.27,,,,31,24,,85,-1.17,212,349,61,33,88,-0.65,72,1117,6.4,0.67,40,26,54,1.28,,,,10,45,61531,24195,2.5,-2.72,228,468,49,24,73,0.83,3,8.4,0.19,6,158,-1.42,31,175,119,249,1.78,,,,,,,,,,,,,,,,4.3,-1.74,No,-1.57,8,3,14,6,1,12,2,0,5,0,0,1,-1.39,56,41,70,-3.00,,,,,,,,,,,,,,,,814,25,6,43,0.07
35005,New Mexico,Chaves,1011,9997,9114,10880,-0.02,,,,,,,,,,9597,8470,10725,9999,8528,11469,23,23,24,0.22,4.7,4.5,4.8,0.17,4.6,4.4,4.7,0.23,,8,7,9,-0.64,,,,,,,,,,8,7,9,9,7,10,17,17,18,0.11,34,29,39,0.98,6.8,-0.53,26,22,31,0.49,71,-0.12,16,15,16,-0.02,17,54,31,24,39,0.03,320,493.3,-0.22,48,44,51,0.57,,,,,,,,,,52,48,56,39,33,45,6252,12,10,13,0.36,44,68,1474:1,-0.36,33,51,1960:1,0.22,81,125,799:1,0.84,4418,1.00,9042,,4082,4660,4263,32,-0.13,,23,45,34,32,42,-0.69,29,38,38,39,43,872,67,1.39,8183,15730,52,47,57,0.20,1319,27137,4.9,-0.31,24,16,32,-0.60,65,,40,34,16,86480,17711,4.9,-0.09,6964,17263,40,34,46,-0.03,60,9.2,0.02,408,622,0.78,331,101,90,112,-0.54,,,,,,,177,85,326,81,68,95,130,110,149,7.4,1.43,No,-1.57,16,14,18,12,10,14,4,3,5,1,1,2,0.07,83,81,85,0.81,,,,,,,,,,84,82,87,81,78,83,26337,19,16,22,-0.45
35006,New Mexico,Cibola,430,10721,9342,12101,0.27,14361,11794,16928,,,,,,,8013,6143,9883,8865,6049,11680,28,27,28,1.27,5.7,5.5,5.8,1.92,5.4,5.2,5.5,2.26,,10,8,11,0.24,9,7,10,,,,,,,11,9,13,10,7,13,23,23,24,2.50,31,27,36,0.38,5.0,0.95,29,26,33,1.05,66,0.13,17,16,17,0.53,16,56,29,22,36,-0.18,244,908.7,1.69,45,40,50,0.38,46,38,54,,,,,,,49,40,59,29,19,44,2542,13,11,14,0.69,14,52,1918:1,0.17,17,64,1573:1,-0.16,89,333,301:1,0.31,3336,0.07,4113,,,2090,3403,27,0.83,12,,,36,35,42,-0.69,42,,39,43,40,337,68,1.20,3569,7258,49,43,55,0.48,561,8927,6.3,0.57,34,24,45,0.59,47,,11,28,12,81787,15269,5.4,0.44,3675,6401,57,48,66,1.72,13,4.8,0.88,148,543,0.41,153,113,95,131,-0.19,122,95,155,,,,,,,93,68,123,138,98,190,5.2,-0.82,Yes,0.62,20,17,22,9,7,11,9,6,11,4,3,5,0.77,76,71,80,-0.25,74,70,79,,,,,,,79,70,88,75,68,83,9283,26,21,31,0.20
35007,New Mexico,Colfax,195,11431,8717,14145,0.56,,,,,,,,,,,,,,,,24,23,24,0.31,4.6,4.5,4.8,0.05,4.7,4.5,4.9,0.57,,14,12,17,2.97,,,,,,,,,,16,13,19,12,9,16,17,16,17,-0.09,28,22,35,-0.16,5.1,0.87,28,22,35,0.86,76,-0.37,14,14,15,-0.64,6,25,24,14,35,-0.51,61,501.1,-0.18,39,31,48,-0.02,,,,,,,,,,53,41,66,22,13,35,793,9,8,11,-0.71,5,41,2435:1,0.55,4,33,3028:1,0.78,112,925,108:1,-1.21,2815,-0.38,,,,3559,2528,33,-0.32,,,,34,33,45,-1.03,,,,49,44,,81,-0.56,1386,2439,57,46,68,-0.27,271,5480,4.9,-0.26,30,20,40,0.11,,,,44,24,81294,14213,5.7,0.85,1148,2280,50,36,65,0.99,19,15.6,-1.22,33,274,-0.87,80,130,103,162,0.35,,,,,,,,,,138,100,187,126,88,173,4.6,-1.44,Yes,0.62,18,13,22,16,11,20,2,0,4,0,0,1,0.38,75,68,82,-0.37,,,,,,,,,,71,61,81,75,67,82,4688,16,11,21,-0.69
35009,New Mexico,Curry,643,9096,8173,10019,-0.38,,,,,,,13180,8827,18928,8852,7454,10250,8826,7540,10111,22,21,23,-0.03,4.4,4.3,4.5,-0.33,4.5,4.3,4.6,-0.06,,8,8,9,-0.49,,,,13,7,18,16,12,19,8,7,9,8,7,9,19,18,20,0.75,30,25,35,0.23,6.0,0.13,30,26,35,1.23,78,-0.50,18,18,19,1.35,8,24,33,22,44,0.16,391,785.0,1.12,61,56,66,1.43,,,,,,,48,33,67,75,68,82,43,36,49,4049,10,8,11,-0.52,24,48,2076:1,0.30,41,83,1206:1,-0.76,288,583,172:1,-0.33,3177,-0.07,,,3603,3617,2855,33,-0.32,,46,36,33,33,40,-0.46,36,46,24,35,43,640,78,-0.15,8861,14394,62,56,67,-0.73,878,21629,4.1,-0.80,26,18,33,-0.43,,14,46,40,20,84900,20058,4.2,-0.82,5206,13250,39,32,46,-0.14,59,11.8,-0.49,207,407,-0.24,221,88,76,100,-0.96,,,,,,,95,53,157,76,60,95,97,80,114,7.1,1.12,Yes,0.62,17,15,19,14,12,16,3,2,4,1,0,1,0.22,84,82,87,1.05,,,,,,,90,82,97,82,78,86,87,84,89,22687,9,7,11,-1.35
35011,New Mexico,De Baca,,,,,0.00,,,,,,,,,,,,,,,,21,21,22,-0.17,4.5,4.3,4.7,-0.17,4.6,4.4,4.7,0.19,,,,,0.00,,,,,,,,,,,,,,,,16,16,17,-0.28,37,26,49,1.62,7.1,-0.78,30,20,41,1.08,85,-0.87,13,13,14,-1.14,4,9,44,26,60,0.96,7,382.7,-0.72,,,,0.00,,,,,,,,,,,,,,,,175,13,11,15,0.96,1,55,1829:1,0.08,2,112,891:1,-1.67,15,842,119:1,-1.00,3143,-0.10,,,,4575,1216,37,-1.09,,,,47,34,13,2.64,,,,17,11,,88,-1.56,193,484,40,16,63,1.40,35,768,4.6,-0.49,36,23,49,0.83,,,,13,16,89583,14754,6.1,1.25,163,544,30,10,49,-1.10,5,27.3,-3.00,4,218,-1.13,14,155,85,259,1.13,,,,,,,,,,,,,,,,5.9,-0.11,Yes,0.62,4,0,8,4,0,11,1,0,5,0,0,3,-2.19,74,63,85,-0.55,,,,,,,,,,,,,,,,742,14,5,22,-0.93
35013,New Mexico,Dona Ana,2187,6812,6404,7220,-1.30,,,,,,,7728,5250,10969,6610,6129,7090,7098,6260,7937,25,25,26,0.66,4.7,4.5,4.8,0.16,4.5,4.4,4.7,0.06,,8,8,8,-0.64,,,,7,4,10,15,11,19,8,8,9,7,6,8,16,16,17,-0.30,28,25,32,-0.10,6.1,0.04,17,15,20,-1.20,78,-0.48,16,16,17,0.24,29,105,28,23,33,-0.25,1561,724.1,0.84,37,36,39,-0.11,,,,,,,22,14,33,43,41,45,16,13,18,20424,12,10,13,0.26,134,62,1609:1,-0.17,134,62,1623:1,-0.10,641,295,339:1,0.41,3781,0.45,,2356,2451,4021,3881,38,-1.28,32,43,49,36,38,40,-0.46,39,36,34,37,41,2949,83,-0.80,31094,50875,61,58,64,-0.69,5470,96769,5.7,0.18,33,27,39,0.48,31,19,9,47,15,86682,16158,5.4,0.45,20148,53662,38,34,41,-0.32,131,6.1,0.64,605,283,-0.83,808,75,70,80,-1.36,,,,,,,70,37,120,61,55,67,113,101,125,7.8,1.84,Yes,0.62,19,17,20,15,13,16,4,3,4,2,1,2,0.55,81,80,82,0.59,68,39,97,60,48,72,77,69,85,83,81,84,79,76,82,88427,22,20,23,-0.21
35015,New Mexico,Eddy,887,10317,9363,11271,0.11,,,,,,,,,,9481,8207,10756,11410,9859,12961,19,19,20,-0.62,4.2,4.0,4.3,-0.72,4.0,3.8,4.1,-1.29,,8,7,9,-0.66,,,,,,,,,,7,7,8,9,7,10,16,15,16,-0.67,35,30,40,1.08,7.1,-0.78,28,24,32,0.73,70,-0.06,19,18,19,1.56,13,67,19,13,26,-0.84,336,589.5,0.22,57,53,61,1.16,,,,,,,,,,65,60,71,45,39,51,4287,9,8,10,-0.83,19,33,3000:1,0.81,17,29,3406:1,0.89,70,121,827:1,0.85,3387,0.11,,,,3256,3515,34,-0.52,,,43,35,33,40,-0.46,33,50,38,38,41,798,75,0.19,7597,14837,51,46,57,0.28,1045,31376,3.3,-1.25,18,12,23,-1.34,51,,,22,18,113093,25254,4.5,-0.55,5654,14913,38,30,45,-0.28,54,9.5,-0.02,323,567,0.52,342,119,107,132,0.02,,,,,,,,,,96,80,113,144,124,164,7.5,1.53,Yes,0.62,13,10,16,8,6,9,5,3,6,1,0,2,-0.50,87,85,89,1.41,,,,,,,,,,87,84,90,86,84,89,25991,17,14,19,-0.66
