FIPS,State,County,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,% Fair or Poor Health,95% CI - Low,95% CI - High,Z-Score,Average Number of Physically Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Average Number of Mentally Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Unreliable,% Low Birthweight,95% CI - Low,95% CI - High,Z-Score,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low,95% CI - High,Z-Score,% Adults with Obesity,95% CI - Low,95% CI - High,Z-Score,Food Environment Index,Z-Score,% Physically Inactive,95% CI - Low,95% CI - High,Z-Score,% With Access to Exercise Opportunities,Z-Score,% Excessive Drinking,95% CI - Low,95% CI - High,Z-Score,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low,95% CI - High,Z-Score,# Chlamydia Cases,Chlamydia Rate,Z-Score,Teen Birth Rate,95% CI - Low,95% CI - High,Z-Score,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Z-Score,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score,# Dentists,Dentist Rate,Dentist Ratio,Z-Score,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score,Preventable Hospitalization Rate,Z-Score,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Z-Score,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),Cohort Size,High School Graduation Rate,Z-Score,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Z-Score,# Unemployed,Labor Force,% Unemployed,Z-Score,% Children in Poverty,95% CI - Low,95% CI - High,Z-Score,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score,# Single-Parent Households,# Households,% Single-Parent Households,95% CI - Low,95% CI - High,Z-Score,# Associations,Social Association Rate,Z-Score,Annual Average Violent Crimes,Violent Crime Rate,Z-Score,# Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,Z-Score,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score,Presence of Water Violation,Z-Score,% Severe Housing Problems,95% CI - Low,95% CI - High,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score,% Drive Alone to Work,95% CI - Low,95% CI - High,Z-Score,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low,95% CI - High,Z-Score
37000,North Carolina,,134245,7668,7606,7730,,,,,,,,,,,,,,,,,18,17,20,,3.9,3.6,4.2,,4.1,3.7,4.4,,,9,9,9,,,,,,,,,,,,,,,,,17,16,19,,31,,,,6.7,,24,,,,74,,17,15,18,,2051,6962,29,29,30,,62876,612.0,,24,24,25,,,,,,,,,,,,,,,,,1063335,13,12,13,,7275,71,1412:1,,5838,56,1779:1,,25365,244,409:1,,4758,,,,,,,46,,,,,,,51,,,,,,,114908,86,,1770735,2638730,67,67,68,,194517,4981845,3.9,,20,19,21,,,,,,,105347,22147,4.8,,797892,2269902,35,35,36,,11812,11.5,,35268,351,,37882,75,74,75,,,,,,,,,,,,,,,,,9.8,,,,16,15,16,,,,,,,,,,,81,81,81,,,,,,,,,,,,,,,,,4660377,33,33,33,
37001,North Carolina,Alamance,2298,8078,7576,8579,-0.45,,,,,,,10646,9369,11923,3768,2882,4841,8091,7446,8736,18,17,19,-0.16,4.1,4.0,4.3,-0.22,4.1,3.9,4.2,-0.62,,9,9,10,0.11,,,,13,9,17,14,13,15,8,7,9,8,8,9,17,17,18,-0.19,32,27,38,-0.23,7.1,0.24,26,21,32,-0.31,80,-0.75,16,16,17,0.29,29,89,33,27,38,0.54,906,557.9,0.20,23,22,25,-0.65,,,,,,,33,29,38,44,39,49,16,14,17,18526,14,13,16,0.16,75,46,2165:1,0.23,81,49,2055:1,-0.22,226,136,736:1,0.29,4721,-0.09,,,5440,1567,4635,40,0.93,,24,40,26,41,52,-0.54,,46,39,27,55,1945,81,0.91,23657,38626,61,58,64,-0.28,2958,80583,3.7,-0.67,20,15,25,-0.62,,6,38,40,14,95744,20379,4.7,0.09,14045,35991,39,35,43,0.19,161,9.9,0.70,602,382,0.75,659,82,76,88,-0.29,,,,,,,75,61,88,24,15,35,97,89,105,10.5,0.92,No,-0.67,16,15,18,14,13,15,3,2,3,1,1,1,0.35,86,84,87,0.88,,,,70,56,85,84,80,87,76,71,81,87,85,88,74286,33,31,35,-0.21
37003,North Carolina,Alexander,605,8855,7660,10049,0.01,,,,,,,,,,,,,,,,16,15,17,-0.79,3.9,3.8,4.1,-0.69,4.1,3.9,4.3,-0.53,,8,7,9,-0.68,,,,,,,13,7,19,,,,8,7,10,17,16,17,-0.45,35,25,45,0.16,8.2,-1.07,31,21,42,0.67,20,2.01,17,16,18,0.64,7,25,28,17,39,0.02,67,179.7,-1.36,30,26,34,0.04,,,,,,,,,,32,19,51,30,25,34,3823,13,12,15,-0.17,9,24,4143:1,0.94,9,24,4150:1,0.71,16,43,2335:1,1.02,5729,0.59,,,12081,10025,5381,47,-0.37,,,41,45,47,42,1.23,,,36,24,43,403,85,0.19,4063,9163,44,38,50,1.57,570,18023,3.2,-1.21,20,14,25,-0.65,,22,58,72,18,88673,19355,4.6,-0.13,2232,7540,30,22,37,-0.82,63,16.9,-1.31,72,193,-0.50,150,80,67,93,-0.40,,,,,,,,,,,,,,,,10.1,0.47,No,-0.67,14,11,17,10,7,12,3,2,5,2,1,3,-0.51,86,82,89,0.92,,,,,,,,,,,,,,,,15828,35,31,40,0.04
37005,North Carolina,Alleghany,189,8240,6063,10417,-0.35,,,,,,,,,,,,,,,,19,18,20,0.16,4.4,4.2,4.6,0.59,4.4,4.2,4.6,0.62,,9,7,11,-0.18,,,,,,,,,,,,,,,,17,17,18,-0.13,26,18,37,-1.33,8.0,-0.83,26,17,36,-0.38,27,1.72,14,14,15,-0.68,2,7,29,9,50,0.09,27,244.8,-1.09,43,34,53,1.42,,,,,,,,,,72,41,118,40,31,51,1451,18,16,21,2.03,12,109,919:1,-1.79,2,18,5581:1,0.95,25,224,446:1,-0.41,5181,0.22,,,,6616,5105,44,0.18,,,,,,53,-0.72,,,,28,53,100,92,-1.13,924,2145,43,34,52,1.71,194,4305,4.5,0.20,30,21,39,0.74,,,38,89,28,74014,16655,4.4,-0.39,775,1927,40,27,53,0.31,14,12.7,-0.10,14,140,-0.85,59,108,82,139,1.24,,,,,,,,,,,,,,,,8.7,-1.10,Yes,1.48,13,10,16,12,9,15,1,0,3,0,0,1,-0.94,81,76,86,-0.35,,,,,,,,,,,,,,,,4404,29,23,35,-0.64
37007,North Carolina,Anson,511,11388,9863,12913,1.50,,,,,,,13530,11179,15882,,,,9404,7437,11371,23,22,23,1.36,4.6,4.4,4.7,0.97,4.4,4.2,4.5,0.62,,12,11,14,2.12,,,,,,,15,13,17,,,,9,7,12,20,20,21,1.35,39,27,50,0.79,6.5,0.95,31,21,44,0.61,6,2.66,14,14,15,-0.70,9,22,41,30,51,1.47,166,664.2,0.64,37,32,43,0.83,,,,,,,48,40,56,,,,21,15,28,2374,13,11,15,-0.32,12,48,2083:1,0.17,5,20,4975:1,0.87,26,105,957:1,0.53,5927,0.72,,,6591,,5594,39,1.11,,,39,,40,45,0.70,,,38,,50,282,84,0.46,3140,6774,46,40,53,1.35,465,10407,4.5,0.16,32,21,42,0.97,,,48,29,8,80850,16083,5.0,0.71,2021,4887,41,33,49,0.44,25,10.0,0.67,92,428,1.06,120,95,78,112,0.46,,,,,,,82,61,108,,,,110,84,141,10.2,0.58,Yes,1.48,16,13,19,11,9,14,3,2,5,1,0,2,0.10,87,86,88,1.35,,,,,,,82,77,86,,,,89,72,100,10201,44,37,51,1.00
37009,North Carolina,Ashe,404,7387,6022,8753,-0.85,,,,,,,,,,,,,,,,16,15,16,-0.83,4.1,3.9,4.3,-0.17,4.1,3.9,4.3,-0.46,,8,7,9,-0.80,,,,,,,,,,7,3,11,8,7,10,17,16,17,-0.36,26,19,34,-1.28,8.1,-0.95,31,23,41,0.67,59,0.21,15,15,16,-0.14,4,18,22,10,36,-0.62,41,152.1,-1.47,29,24,34,-0.03,,,,,,,,,,50,30,79,28,23,33,3155,16,14,18,0.88,12,45,2246:1,0.29,10,37,2711:1,0.23,45,166,602:1,0.05,3937,-0.61,,,18750,,3894,44,0.18,,,,,,52,-0.54,,,31,33,52,220,87,-0.13,3504,5863,60,51,68,-0.12,458,12750,3.6,-0.76,26,19,34,0.25,,,,42,25,80641,17853,4.5,-0.25,1597,4766,34,25,42,-0.40,28,10.4,0.56,22,81,-1.24,99,73,60,89,-0.82,,,,,,,,,,,,,,,,8.5,-1.32,No,-0.67,12,9,15,11,9,14,1,0,1,0,0,0,-1.32,77,72,82,-1.48,,,,,,,,,,,,,,,,12134,40,34,46,0.56
37011,North Carolina,Avery,283,7901,6339,9462,-0.55,,,,,,,,,,,,,,,,17,16,17,-0.57,4.1,3.9,4.3,-0.27,4.1,3.9,4.4,-0.32,,10,8,12,0.29,,,,,,,,,,,,,,,,17,17,18,-0.04,27,18,37,-1.20,8.4,-1.30,29,20,40,0.25,100,-1.66,17,16,18,0.68,2,10,20,5,39,-0.87,34,193.9,-1.30,22,18,28,-0.75,,,,,,,,,,,,,,,,2279,20,18,22,2.79,5,29,3507:1,0.80,5,29,3501:1,0.54,74,423,237:1,-1.99,3948,-0.60,,,,,,35,1.86,,,,,,47,0.35,,,,,,166,94,-1.51,2479,4505,55,48,62,0.40,278,7639,3.6,-0.71,25,17,34,0.14,,,,23,17,76120,17406,4.4,-0.52,955,2627,36,24,48,-0.10,32,18.2,-1.70,30,174,-0.62,75,85,67,107,-0.10,,,,,,,,,,,,,,,,8.5,-1.32,No,-0.67,13,10,17,10,7,13,3,1,4,1,0,1,-0.89,77,71,83,-1.56,,,,,,,,,,,,,,,,6578,31,25,37,-0.37
37013,North Carolina,Beaufort,923,10202,9067,11336,0.80,,,,,,,12662,10195,15129,,,,9950,8536,11365,19,18,20,0.16,4.3,4.1,4.4,0.18,4.3,4.1,4.4,0.10,,10,9,11,0.48,,,,,,,15,13,18,4,3,6,8,7,10,18,17,18,0.11,39,31,47,0.90,7.3,0.00,30,23,38,0.40,53,0.50,14,13,15,-0.88,7,36,19,11,29,-0.93,255,541.5,0.14,30,26,33,0.05,,,,,,,45,37,53,43,31,57,20,16,23,4972,14,12,16,0.07,24,51,1962:1,0.08,18,38,2616:1,0.18,63,134,747:1,0.30,3973,-0.58,,,5920,,3318,53,-1.49,,,50,47,54,53,-0.72,,36,39,40,56,585,83,0.61,5618,9619,58,53,64,0.03,900,19739,4.6,0.26,28,19,36,0.42,,,47,37,10,90933,16982,5.4,1.33,4020,9731,41,34,49,0.43,59,12.5,-0.05,140,298,0.20,256,108,95,121,1.26,,,,,,,72,52,97,,,,130,113,148,9.2,-0.54,No,-0.67,15,13,17,13,11,16,1,0,2,1,0,1,-0.25,87,84,89,1.27,,,,,,,85,79,90,83,66,99,86,83,89,18718,33,29,37,-0.17
37015,North Carolina,Bertie,380,11007,9124,12890,1.27,,,,,,,11942,9476,14408,,,,9256,6346,12166,23,22,23,1.31,4.5,4.3,4.7,0.76,4.3,4.1,4.5,0.26,,12,11,14,2.09,,,,,,,15,12,17,,,,7,5,10,20,19,21,1.22,43,36,51,1.56,6.3,1.19,31,24,39,0.65,33,1.42,13,12,13,-1.51,11,39,28,20,37,0.05,153,795.9,1.19,34,28,40,0.47,,,,,,,40,33,48,,,,16,9,26,1823,13,11,15,-0.25,3,16,6408:1,1.22,2,11,9513:1,1.23,9,47,2114:1,0.99,5517,0.45,,,5689,,5633,51,-1.12,,,55,,47,41,1.41,,,36,,46,201,84,0.38,2220,4667,48,40,55,1.22,387,7832,4.9,0.66,32,21,43,1.04,,,48,29,11,70090,13888,5.0,0.75,1955,3498,56,46,66,1.99,49,25.5,-3.00,34,169,-0.66,99,101,82,122,0.82,,,,,,,82,61,109,,,,136,100,181,9.1,-0.65,No,-0.67,19,15,23,17,13,21,1,0,2,1,0,2,1.28,82,79,85,-0.09,,,,,,,73,67,79,,,,83,75,91,7357,30,24,35,-0.54
37017,North Carolina,Bladen,668,11128,9712,12544,1.34,,,,,,,15316,12344,18288,,,,9525,7798,11252,21,20,21,0.73,4.6,4.5,4.8,1.07,4.4,4.3,4.6,0.80,,10,9,11,0.63,,,,,,,16,14,19,7,4,9,7,5,8,19,18,19,0.62,44,34,54,1.62,6.8,0.59,30,21,40,0.44,36,1.27,14,13,14,-1.14,13,49,27,19,34,-0.14,166,495.8,-0.05,35,31,39,0.58,39,19,72,,,,33,27,41,45,32,62,33,27,39,4353,17,15,19,1.32,7,21,4783:1,1.05,13,39,2553:1,0.14,23,69,1443:1,0.81,6824,1.32,,,6722,,6684,40,0.93,,,42,,39,30,3.37,,,28,19,31,390,90,-0.65,3908,7751,50,43,57,0.91,759,14418,5.3,1.00,44,37,51,2.70,21,,54,50,22,69817,13784,5.1,0.79,3418,7015,49,40,57,1.23,41,12.2,0.03,78,224,-0.29,188,111,95,127,1.44,,,,,,,96,73,125,91,47,159,121,99,143,10.0,0.36,No,-0.67,21,18,25,20,16,23,2,1,3,1,0,2,2.21,86,82,90,0.95,,,,,,,79,74,83,70,61,79,89,84,94,12477,36,31,42,0.17
