FIPS,State,County,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,% Fair or Poor Health,95% CI - Low,95% CI - High,Z-Score,Average Number of Physically Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Average Number of Mentally Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Unreliable,% Low Birthweight,95% CI - Low,95% CI - High,Z-Score,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low,95% CI - High,Z-Score,% Adults with Obesity,95% CI - Low,95% CI - High,Z-Score,Food Environment Index,Z-Score,% Physically Inactive,95% CI - Low,95% CI - High,Z-Score,% With Access to Exercise Opportunities,Z-Score,% Excessive Drinking,95% CI - Low,95% CI - High,Z-Score,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low,95% CI - High,Z-Score,# Chlamydia Cases,Chlamydia Rate,Z-Score,Teen Birth Rate,95% CI - Low,95% CI - High,Z-Score,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Z-Score,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score,# Dentists,Dentist Rate,Dentist Ratio,Z-Score,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score,Preventable Hospitalization Rate,Z-Score,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Z-Score,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),Cohort Size,High School Graduation Rate,Z-Score,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Z-Score,# Unemployed,Labor Force,% Unemployed,Z-Score,% Children in Poverty,95% CI - Low,95% CI - High,Z-Score,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score,# Single-Parent Households,# Households,% Single-Parent Households,95% CI - Low,95% CI - High,Z-Score,# Associations,Social Association Rate,Z-Score,Annual Average Violent Crimes,Violent Crime Rate,Z-Score,# Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,Z-Score,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score,Presence of Water Violation,Z-Score,% Severe Housing Problems,95% CI - Low,95% CI - High,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score,% Drive Alone to Work,95% CI - Low,95% CI - High,Z-Score,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low,95% CI - High,Z-Score
38000,North Dakota,,7642,6565,6357,6773,,,,,,,,,,,,,,,,,15,14,16,,3.3,3.0,3.5,,3.5,3.2,3.7,,,6,6,7,,,,,,,,,,,,,,,,,18,17,20,,33,,,,9.0,,24,,,,74,,24,23,26,,259,600,43,41,45,,3278,433.9,,21,21,22,,,,,,,,,,,,,,,,,53542,9,8,9,,579,77,1305:1,,495,65,1536:1,,1426,188,533:1,,4551,,,,,,,52,,,,,,,49,,,,,,,7670,85,,146458,199407,73,72,75,,10546,404302,2.6,,11,10,12,,,,,,,118973,26920,4.4,,46980,171480,27,26,29,,1220,16.2,,1932,258,,2642,70,67,73,,,,,,,,,,,,,,,,,5.4,,,,11,11,12,,,,,,,,,,,82,81,82,,,,,,,,,,,,,,,,,398937,14,13,14,
38001,North Dakota,Adams,,,,,0.00,,,,,,,,,,,,,,,,13,13,14,-0.29,2.8,2.6,3.0,-0.32,3.2,3.0,3.3,-0.16,,,,,0.00,,,,,,,,,,,,,,,,15,14,16,-0.45,30,23,38,-0.87,8.9,-0.41,27,19,36,-0.16,42,0.62,20,19,20,-0.92,0,3,0,0,42,-2.03,4,172.6,-0.62,,,,0.00,,,,,,,,,,,,,,,,170,10,8,12,-0.16,10,431,232:1,-3.00,1,44,2294:1,0.17,2,87,1147:1,0.25,2843,-1.14,,,,,,47,0.33,,,,,,52,-0.82,,,,,,,,0.00,341,469,73,59,86,-0.44,22,1065,2.1,-0.64,13,8,18,-0.11,,16,,,4,112156,19370,5.8,1.43,61,502,12,4,20,-0.90,0,0.0,1.78,2,64,-0.66,,,,,0.00,,,,,,,,,,,,,,,,4.8,-1.29,No,-0.34,7,3,11,7,3,12,0,0,2,0,0,1,-0.46,72,67,78,-0.61,,,,,,,,,,,,,,,,1206,12,7,17,-0.96
38003,North Dakota,Barnes,130,7128,5228,9027,-0.40,,,,,,,,,,,,,,,,12,12,13,-0.56,2.7,2.5,2.8,-0.53,3.2,3.0,3.3,-0.15,,6,4,8,-0.37,,,,,,,,,,,,,,,,16,15,16,-0.31,36,30,42,0.64,8.8,-0.29,23,19,28,-1.19,64,-0.36,22,21,22,0.00,4,13,31,16,46,-0.56,29,270.2,-0.38,13,9,18,-0.74,,,,,,,,,,,,,,,,637,8,7,9,-0.82,10,93,1073:1,-0.37,9,85,1171:1,-0.84,9,85,1171:1,0.26,3996,-0.49,,,,,,60,-1.17,,,,,,58,-1.29,,,,,,91,88,-0.90,1519,2217,69,59,78,0.07,142,5279,2.7,-0.15,13,8,17,-0.12,,,,30,9,110690,22857,4.8,0.41,341,2055,17,11,22,-0.56,21,19.6,-0.30,20,181,0.63,40,73,52,100,-0.73,,,,,,,,,,,,,,,,5.7,0.38,No,-0.34,8,6,11,7,4,9,0,0,1,1,0,2,-0.22,78,75,80,0.29,,,,,,,,,,,,,,,,5670,21,17,25,0.08
38005,North Dakota,Benson,123,15907,12227,19586,1.82,,,,,,,,,,,,,,,,24,24,25,2.41,4.5,4.3,4.6,2.54,4.7,4.5,4.9,3.00,,6,5,8,-0.19,,,,,,,,,,,,,,,,30,29,31,2.55,38,30,47,1.17,6.6,2.28,32,25,41,0.95,63,-0.31,20,19,20,-0.88,8,14,57,45,67,0.69,91,1312.0,2.20,91,77,106,3.00,119,99,139,,,,,,,,,,19,9,35,797,14,12,16,0.95,,,,0.00,1,14,6962:1,0.88,4,57,1741:1,0.50,5720,0.49,4795,,,,4911,46,0.44,21,,,,57,44,-0.19,51,,,,40,,,0.00,801,1449,55,,,1.67,89,2300,3.9,0.76,40,29,52,3.00,63,,,58,19,88553,14670,6.0,1.70,1462,2363,62,54,69,2.95,5,7.2,1.01,2,29,-1.04,51,149,111,196,1.93,220,158,299,,,,,,,,,,70,33,128,5.6,0.19,No,-0.34,17,15,19,8,5,10,9,7,11,1,0,2,2.06,74,70,78,-0.32,81,71,91,,,,,,,,,,70,62,78,2273,25,21,29,0.52
38007,North Dakota,Billings,,,,,,,,,,,,,,,,,,,,,12,12,13,,2.6,2.5,2.8,,2.8,2.7,3.0,,,,,,,,,,,,,,,,,,,,,,15,14,16,,30,20,40,,7.4,,29,19,41,,67,,22,21,23,,0,3,0,0,42,,,,,,,,,,,,,,,,,,,,,,,,101,13,11,16,,0,0,940:0,,0,0,919:0,,0,0,919:0,,,,,,,,,50,,,,,,,37,,,,,,,,,,173,253,68,53,84,,12,428,2.8,,12,7,16,,,,,,,153750,37857,4.1,,21,219,10,0,19,,0,0.0,,1,54,,,,,,,,,,,,,,,,,,,,,,4.9,,No,,10,3,16,10,1,19,0,0,5,2,0,6,,69,56,81,,,,,,,,,,,,,,,,,489,45,29,60,
38009,North Dakota,Bottineau,103,10261,7010,13512,0.39,,,,,,,,,,,,,,,,15,14,15,0.09,2.9,2.7,3.0,-0.20,3.1,2.9,3.3,-0.27,x,5,3,7,-1.25,,,,,,,,,,,,,,,,16,15,16,-0.30,34,28,39,0.07,8.5,0.06,29,24,34,0.20,56,-0.03,21,20,22,-0.41,6,10,60,46,71,0.83,8,122.5,-0.74,15,9,23,-0.66,,,,,,,,,,,,,,,,506,10,9,12,-0.04,2,31,3265:1,0.50,2,31,3206:1,0.47,1,16,6411:1,0.85,4124,-0.41,,,,,,54,-0.48,50,,,,54,37,0.36,29,,,,36,,,0.00,973,1316,74,62,86,-0.59,100,2992,3.3,0.36,15,10,20,0.26,62,,,37,12,113750,25640,4.4,-0.03,248,1329,19,11,26,-0.40,16,24.5,-0.82,6,82,-0.46,30,91,62,130,-0.10,,,,,,,,,,,,,,,,5.7,0.38,Yes,2.90,8,5,10,7,5,9,1,0,2,0,0,1,-0.34,76,72,81,0.09,,,,,,,,,,,,,,,,3206,21,16,25,0.04
38011,North Dakota,Bowman,,,,,0.00,,,,,,,,,,,,,,,,12,11,12,-0.67,2.6,2.5,2.8,-0.62,3.0,2.8,3.1,-0.58,x,6,,,-0.14,,,,,,,,,,,,,,,,14,13,14,-0.68,23,17,31,-2.70,9.5,-1.11,32,25,39,0.97,74,-0.82,21,20,22,-0.11,0,2,0,0,51,-2.03,5,157.9,-0.65,32,20,49,0.26,,,,,,,,,,,,,,,,298,12,10,14,0.39,,,,0.00,5,163,615:1,-2.72,,,,0.00,2827,-1.15,,,,,,45,0.56,,,,,,16,2.00,,,,,,,,0.00,526,700,75,62,88,-0.74,31,1647,1.9,-0.78,10,6,13,-0.55,,,,7,6,120266,28000,4.3,-0.18,135,767,18,7,28,-0.48,5,15.8,0.10,4,108,-0.18,,,,,0.00,,,,,,,,,,,,,,,,5.1,-0.73,No,-0.34,6,3,9,5,1,8,2,0,3,0,0,1,-0.77,79,74,84,0.43,,,,,,,,,,,,,,,,1680,16,11,21,-0.48
38013,North Dakota,Burke,,,,,0.00,,,,,,,,,,,,,,,,13,12,13,-0.41,2.8,2.6,3.0,-0.36,3.1,3.0,3.3,-0.17,x,6,,,-0.64,,,,,,,,,,,,,,,,16,16,17,-0.18,38,29,47,1.11,6.9,1.93,27,20,35,-0.18,44,0.52,22,21,23,0.02,1,5,20,2,48,-1.08,,,0.00,37,20,63,0.54,,,,,,,,,,,,,,,,205,12,10,14,0.46,,,,0.00,0,0,2100:0,1.23,,,,0.00,2171,-1.52,,,,,,50,-0.02,,,,,,31,0.83,,,,,,,,0.00,410,526,78,69,87,-1.08,26,1078,2.4,-0.37,10,7,14,-0.49,,,,,,129150,27750,4.7,0.20,154,669,23,12,34,-0.06,6,28.2,-1.21,2,63,-0.66,,,,,0.00,,,,,,,,,,,,,,,,5.2,-0.55,No,-0.34,7,3,11,5,2,9,3,0,6,0,0,2,-0.53,74,68,79,-0.34,,,,,,,,,,,,,,,,1037,33,25,41,1.50
38015,North Dakota,Burleigh,883,5676,5126,6226,-0.76,16027,11896,21130,,,,,,,,,,5201,4646,5756,12,12,12,-0.56,2.8,2.7,2.9,-0.31,2.9,2.8,3.0,-0.70,,6,6,7,0.02,7,6,9,,,,8,5,12,7,4,10,6,6,7,16,15,16,-0.34,31,29,33,-0.74,9.2,-0.76,21,19,22,-1.71,85,-1.34,20,20,21,-0.59,11,26,42,32,52,-0.02,424,446.2,0.06,20,18,22,-0.36,81,66,97,,,,29,15,53,43,27,64,15,13,16,5061,7,6,7,-1.28,100,105,950:1,-0.54,77,81,1237:1,-0.73,244,256,390:1,-1.17,4454,-0.23,13748,,,,4167,54,-0.48,40,,,45,54,57,-1.21,53,54,14,43,57,898,88,-0.83,19631,25433,77,73,81,-0.99,1297,49251,2.6,-0.20,7,5,10,-0.96,50,,38,4,5,126620,30681,4.1,-0.37,6039,21288,28,25,32,0.35,156,16.4,0.04,230,250,1.39,283,60,53,67,-1.18,87,51,139,,,,,,,,,,59,52,66,5.6,0.19,Yes,2.90,10,9,12,8,7,9,2,1,3,1,0,1,0.28,86,84,87,1.56,84,78,91,,,,,,,75,65,84,87,85,89,50473,9,8,11,-1.28
38017,North Dakota,Cass,1434,5497,5120,5874,-0.81,20839,14819,28488,,,,7030,5165,9348,7471,4880,10946,5156,4772,5541,13,13,14,-0.21,3.0,2.9,3.1,0.05,3.1,3.0,3.2,-0.24,,7,6,7,0.08,7,4,10,8,7,10,9,7,10,6,4,8,6,6,7,16,16,17,-0.20,31,29,33,-0.61,8.9,-0.41,19,18,21,-2.06,87,-1.40,25,25,26,1.76,13,35,37,28,46,-0.26,853,479.8,0.14,14,13,15,-0.69,44,29,63,22,14,32,34,27,43,48,37,63,10,9,11,10809,7,6,8,-1.10,180,101,988:1,-0.48,141,78,1287:1,-0.66,505,278,359:1,-1.36,4782,-0.04,3678,2393,8018,7122,4671,57,-0.82,34,31,21,55,58,57,-1.21,46,52,26,50,57,1613,86,-0.37,42167,52454,80,77,84,-1.38,2315,100944,2.3,-0.46,9,7,11,-0.67,22,18,45,19,5,118542,27092,4.4,-0.10,10437,38439,27,24,30,0.26,192,10.8,0.63,524,309,2.04,449,51,47,56,-1.50,178,110,272,,,,22,10,40,48,24,86,52,47,57,6.8,2.42,Yes,2.90,13,12,14,11,10,12,2,1,2,1,1,2,0.96,83,82,84,1.21,74,61,87,61,51,70,80,74,86,69,61,77,85,84,86,100445,8,7,9,-1.46
