FIPS,State,County,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,% Fair or Poor Health,95% CI - Low,95% CI - High,Z-Score,Average Number of Physically Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Average Number of Mentally Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Unreliable,% Low Birthweight,95% CI - Low,95% CI - High,Z-Score,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low,95% CI - High,Z-Score,% Adults with Obesity,95% CI - Low,95% CI - High,Z-Score,Food Environment Index,Z-Score,% Physically Inactive,95% CI - Low,95% CI - High,Z-Score,% With Access to Exercise Opportunities,Z-Score,% Excessive Drinking,95% CI - Low,95% CI - High,Z-Score,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low,95% CI - High,Z-Score,# Chlamydia Cases,Chlamydia Rate,Z-Score,Teen Birth Rate,95% CI - Low,95% CI - High,Z-Score,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Z-Score,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score,# Dentists,Dentist Rate,Dentist Ratio,Z-Score,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score,Preventable Hospitalization Rate,Z-Score,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Z-Score,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),Cohort Size,High School Graduation Rate,Z-Score,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Z-Score,# Unemployed,Labor Force,% Unemployed,Z-Score,% Children in Poverty,95% CI - Low,95% CI - High,Z-Score,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score,# Single-Parent Households,# Households,% Single-Parent Households,95% CI - Low,95% CI - High,Z-Score,# Associations,Social Association Rate,Z-Score,Annual Average Violent Crimes,Violent Crime Rate,Z-Score,# Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,Z-Score,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score,Presence of Water Violation,Z-Score,% Severe Housing Problems,95% CI - Low,95% CI - High,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score,% Drive Alone to Work,95% CI - Low,95% CI - High,Z-Score,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low,95% CI - High,Z-Score
39000,Ohio,,167344,8606,8544,8669,,,,,,,,,,,,,,,,,18,17,19,,3.9,3.7,4.1,,4.6,4.3,4.9,,,9,8,9,,,,,,,,,,,,,,,,,21,20,22,,32,,,,6.7,,26,,,,84,,20,19,21,,1798,5495,33,32,33,,61389,526.6,,24,24,24,,,,,,,,,,,,,,,,,671470,7,7,7,,8886,76,1312:1,,7263,62,1609:1,,28567,244,409:1,,5168,,,,,,,43,,,,,,,49,,,,,,,136746,85,,1895683,2899034,65,65,66,,263349,5754940,4.6,,19,18,20,,,,,,,107280,22643,4.7,,931731,2588828,36,36,36,,13014,11.2,,33954,293,,50374,87,86,87,,,,,,,,,,,,,,,,,11.5,,,,14,14,14,,,,,,,,,,,83,83,83,,,,,,,,,,,,,,,,,5442764,31,30,31,
39001,Ohio,Adams,561,12223,10690,13756,1.94,,,,,,,,,,,,,,,,22,21,23,2.21,4.9,4.7,5.2,2.41,4.8,4.6,5.1,1.40,,9,8,10,1.16,,,,,,,,,,,,,,,,24,23,25,2.73,32,25,40,-0.57,7.1,0.84,37,30,44,1.91,42,1.37,16,15,17,-1.47,9,24,38,27,48,0.81,60,216.4,-0.72,40,35,45,1.49,,,,,,,,,,,,,,,,2045,9,8,10,0.83,12,43,2311:1,0.27,9,32,3080:1,0.58,40,144,693:1,0.23,7509,1.80,,,,,,32,2.27,,,,,,41,1.56,,,,,,360,92,0.04,2603,6302,41,35,48,1.66,767,10851,7.1,2.13,29,21,37,1.70,,,,11,29,83337,14832,5.6,2.17,2770,6825,41,31,50,1.06,23,8.3,1.18,24,86,-0.56,169,121,103,139,1.94,,,,,,,,,,,,,,,,10.4,-1.72,No,-0.72,16,13,19,13,10,16,1,0,2,2,1,3,1.60,79,74,83,-1.18,,,,,,,,,,,,,,,,9983,51,45,57,1.81
39003,Ohio,Allen,1497,9037,8350,9725,0.21,,,,,,,12222,10137,14306,,,,8666,7921,9412,17,16,17,-0.28,4.1,4.0,4.3,0.10,4.4,4.2,4.6,0.03,,9,9,10,1.42,,,,,,,15,13,17,9,5,12,8,8,9,20,20,21,0.53,34,30,39,-0.09,7.5,0.22,28,24,31,-0.36,76,-0.42,17,16,17,-1.01,17,54,31,24,39,0.13,606,587.2,1.57,30,28,33,0.45,,,,,,,58,51,66,36,25,50,25,22,27,6172,8,7,9,0.17,68,66,1518:1,-0.61,61,59,1683:1,-0.95,222,216,462:1,-0.40,6380,0.97,,,10210,,6041,42,-0.19,,27,41,40,42,47,0.11,,49,31,36,49,1241,85,2.27,15380,24828,62,59,65,-0.41,2147,47855,4.5,-0.32,19,13,24,0.11,,,55,26,13,92663,20627,4.5,0.31,9835,23970,41,38,45,1.12,169,16.4,-1.29,407,395,1.82,364,70,63,77,-0.75,,,,,,,86,66,110,,,,70,62,78,12.2,1.13,No,-0.72,14,12,15,11,10,13,1,1,2,1,1,2,0.52,86,84,88,0.43,,,,,,,76,69,82,81,72,91,88,87,90,47374,18,16,19,-1.62
39005,Ohio,Ashland,724,7483,6611,8355,-0.64,,,,,,,,,,,,,,,,17,16,18,-0.15,4.1,3.9,4.3,0.02,4.5,4.2,4.7,0.24,,6,5,7,-1.42,,,,,,,,,,,,,,,,19,18,20,-0.19,33,26,42,-0.28,8.2,-0.85,33,25,40,0.91,60,0.40,19,18,20,0.54,12,36,33,25,42,0.34,138,257.3,-0.46,21,18,23,-0.63,,,,,,,,,,,,,,,,3439,8,7,9,0.43,26,48,2063:1,0.07,24,45,2239:1,-0.11,119,221,452:1,-0.44,4998,-0.05,,6622,,,5014,45,-0.92,,,,,,47,0.11,,35,33,42,48,505,94,-0.52,6218,11458,54,50,59,0.36,1191,26004,4.6,-0.23,13,8,17,-0.83,,,16,33,19,94046,25503,3.7,-1.02,3011,11727,26,21,30,-0.85,102,19.0,-2.09,54,103,-0.43,162,61,51,70,-1.25,,,,,,,,,,,,,,,,11.3,-0.30,No,-0.72,14,11,16,11,9,13,2,1,3,2,2,3,0.54,84,82,85,0.00,,,,,,,,,,,,,,,,24699,31,28,33,-0.26
39007,Ohio,Ashtabula,1744,10013,9262,10763,0.74,,,,,,,10706,7538,14757,,,,10241,9433,11050,17,16,17,-0.16,4.2,4.0,4.4,0.26,4.6,4.3,4.8,0.56,,8,8,9,0.42,,,,,,,20,15,25,11,8,14,8,7,8,21,20,22,1.12,38,32,43,0.89,6.9,1.15,34,29,39,1.19,73,-0.28,17,16,18,-0.85,32,82,39,34,44,0.99,299,305.7,-0.16,33,30,35,0.67,,,,,,,40,27,56,44,34,57,31,29,34,6358,8,7,9,0.46,35,36,2794:1,0.57,37,38,2635:1,0.27,148,152,659:1,0.16,6681,1.19,,,9475,5648,6676,39,0.55,,35,42,32,39,46,0.35,,47,38,39,47,1082,88,1.34,10405,22414,46,43,49,1.15,2330,44247,5.3,0.42,24,18,30,0.92,,29,29,51,28,85870,18055,4.8,0.75,8021,21622,37,32,42,0.62,120,12.3,-0.03,82,135,-0.18,481,98,89,107,0.71,,,,,,,71,40,117,64,34,110,101,92,111,11.0,-0.77,Yes,1.38,15,14,16,13,11,14,2,1,2,2,1,2,1.06,85,83,87,0.19,,,,,,,74,56,91,85,78,92,83,81,85,38918,35,33,38,0.22
39009,Ohio,Athens,713,7014,6210,7819,-0.89,,,,,,,,,,,,,,,,21,20,21,1.49,4.7,4.5,4.9,1.64,4.9,4.7,5.1,1.67,,9,8,9,0.75,,,,,,,,,,,,,,,,20,19,21,0.45,33,29,38,-0.25,5.8,2.84,27,23,31,-0.57,83,-0.80,20,19,21,1.29,8,37,22,13,31,-0.98,533,800.3,2.88,9,8,10,-1.93,,,,,,,,,,,,,,,,4490,9,8,11,0.95,50,75,1332:1,-0.97,15,23,4388:1,1.13,343,521,192:1,-3.03,3544,-1.12,,,,,,40,0.30,,,44,,40,47,0.11,,53,42,26,47,538,92,0.16,9648,14656,66,61,71,-0.80,1600,27741,5.8,0.90,27,21,33,1.35,,21,61,64,29,86527,12311,7.0,4.50,3496,9618,36,31,42,0.52,61,9.2,0.92,72,112,-0.36,192,58,50,67,-1.37,,,,,,,,,,,,,,,,10.5,-1.57,Yes,1.38,22,19,24,20,17,22,2,1,3,1,1,2,3.94,72,70,74,-2.83,,,,67,58,75,77,64,90,,,,71,69,73,27072,23,20,25,-1.10
39011,Ohio,Auglaize,518,6454,5562,7347,-1.19,,,,,,,,,,,,,,,,15,14,15,-1.11,3.7,3.5,3.9,-1.02,4.3,4.1,4.5,-0.39,,7,6,8,-0.28,,,,,,,,,,,,,,,,17,17,18,-0.94,38,33,44,1.08,8.6,-1.47,31,27,36,0.54,78,-0.52,19,18,19,0.19,5,30,17,8,27,-1.54,107,233.7,-0.61,24,21,27,-0.31,,,,,,,,,,,,,,,,2120,6,5,6,-0.81,18,39,2543:1,0.43,16,35,2863:1,0.44,22,48,2082:1,1.06,4843,-0.16,,,,,,41,0.06,,,46,,41,47,0.11,,56,37,56,47,562,97,-1.42,6626,10239,65,60,70,-0.68,810,24540,3.3,-1.44,8,5,11,-1.50,,,78,46,10,107010,27807,3.8,-0.75,2767,10971,25,20,30,-0.91,69,15.1,-0.89,23,58,-0.77,122,53,44,63,-1.64,,,,,,,,,,,,,,,,12.4,1.45,No,-0.72,11,9,12,9,8,11,1,1,2,1,0,2,-0.69,88,87,88,0.85,,,,,,,,,,,,,,,,23059,21,19,23,-1.27
39013,Ohio,Belmont,1123,8289,7491,9087,-0.20,,,,,,,,,,,,,,,,18,17,19,0.37,3.9,3.7,4.0,-0.61,4.5,4.3,4.7,0.23,,8,8,9,0.57,,,,,,,12,7,18,,,,8,8,9,17,17,18,-0.92,35,31,39,0.19,7.7,-0.08,32,29,36,0.74,47,1.07,18,17,19,-0.08,7,35,20,12,30,-1.17,199,292.5,-0.25,31,27,34,0.45,,,,,,,28,15,47,,,,31,28,34,3348,7,6,8,-0.38,25,37,2721:1,0.53,29,43,2328:1,-0.02,129,191,523:1,-0.18,8458,2.50,,,811,,8570,41,0.06,,,27,,41,43,1.08,,41,36,,43,685,89,0.88,9695,16762,58,54,62,0.00,1674,30588,5.5,0.62,18,12,23,-0.05,,,26,43,18,95581,20544,4.7,0.58,4232,12757,33,28,39,0.11,107,15.7,-1.09,81,137,-0.17,282,82,73,92,-0.11,,,,,,,86,47,145,,,,82,72,92,11.2,-0.46,No,-0.72,9,7,10,8,6,9,1,0,1,1,0,1,-1.64,89,88,90,1.18,,,,,,,,,,,,,,,,28529,30,27,32,-0.34
39015,Ohio,Brown,856,10748,9625,11870,1.14,,,,,,,,,,,,,,,,17,17,18,0.06,4.2,4.0,4.4,0.30,4.6,4.3,4.8,0.60,,7,7,8,-0.22,,,,,,,,,,,,,,,,21,20,21,0.75,34,28,41,-0.09,7.7,-0.08,35,29,42,1.44,50,0.93,19,18,19,0.20,7,29,24,14,35,-0.70,125,286.9,-0.28,32,29,36,0.63,,,,,,,,,,,,,,,,2684,8,6,9,0.11,12,28,3631:1,0.89,7,16,6229:1,1.51,31,71,1407:1,0.86,5942,0.65,,,,,,39,0.55,,,,,,49,-0.37,,,35,,49,578,94,-0.38,5443,10243,53,47,59,0.48,1044,19478,5.4,0.51,18,12,24,0.06,,,53,,21,93336,21936,4.3,-0.08,3205,10026,32,27,37,-0.04,25,5.7,1.96,29,67,-0.70,268,122,108,137,2.00,,,,,,,,,,,,,,,,11.0,-0.77,No,-0.72,12,10,14,10,8,12,2,1,2,1,0,1,-0.24,82,80,85,-0.34,,,,,,,,,,,,,,,,19234,57,53,62,2.52
39017,Ohio,Butler,5172,9429,9066,9792,0.42,,,,2890,1905,4205,10650,9390,11910,4494,3404,5822,9767,9359,10175,16,16,17,-0.29,4.0,3.8,4.2,-0.23,4.1,4.0,4.3,-0.78,,8,8,8,0.28,,,,9,7,10,12,11,13,7,6,8,8,7,8,18,18,19,-0.52,32,28,36,-0.55,7.7,-0.08,24,21,28,-1.22,84,-0.86,20,20,21,1.50,44,142,31,27,35,0.08,1482,389.4,0.35,19,18,20,-0.81,,,,3,1,5,27,24,30,44,38,49,17,16,18,21739,7,6,8,-0.22,206,54,1848:1,-0.15,186,49,2056:1,-0.34,870,228,440:1,-0.49,5764,0.52,,2191,7338,613,5751,40,0.30,,31,39,29,41,52,-1.10,,54,41,43,53,4200,90,0.58,58064,90122,64,62,66,-0.66,7977,193092,4.1,-0.65,15,13,18,-0.40,23,15,31,39,13,122800,26892,4.6,0.43,27881,89018,31,29,33,-0.13,320,8.4,1.15,973,270,0.86,1860,98,94,103,0.74,,,,24,14,40,81,68,95,30,19,43,107,102,112,13.0,2.40,No,-0.72,14,13,14,12,11,13,1,1,2,1,0,1,0.52,85,84,86,0.20,,,,71,67,74,79,75,83,74,66,82,85,84,86,179431,37,36,38,0.39
