FIPS,State,County,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,% Fair or Poor Health,95% CI - Low,95% CI - High,Z-Score,Average Number of Physically Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Average Number of Mentally Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Unreliable,% Low Birthweight,95% CI - Low,95% CI - High,Z-Score,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low,95% CI - High,Z-Score,% Adults with Obesity,95% CI - Low,95% CI - High,Z-Score,Food Environment Index,Z-Score,% Physically Inactive,95% CI - Low,95% CI - High,Z-Score,% With Access to Exercise Opportunities,Z-Score,% Excessive Drinking,95% CI - Low,95% CI - High,Z-Score,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low,95% CI - High,Z-Score,# Chlamydia Cases,Chlamydia Rate,Z-Score,Teen Birth Rate,95% CI - Low,95% CI - High,Z-Score,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Z-Score,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score,# Dentists,Dentist Rate,Dentist Ratio,Z-Score,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score,Preventable Hospitalization Rate,Z-Score,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Z-Score,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),Cohort Size,High School Graduation Rate,Z-Score,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Z-Score,# Unemployed,Labor Force,% Unemployed,Z-Score,% Children in Poverty,95% CI - Low,95% CI - High,Z-Score,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score,# Single-Parent Households,# Households,% Single-Parent Households,95% CI - Low,95% CI - High,Z-Score,# Associations,Social Association Rate,Z-Score,Annual Average Violent Crimes,Violent Crime Rate,Z-Score,# Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,Z-Score,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score,Presence of Water Violation,Z-Score,% Severe Housing Problems,95% CI - Low,95% CI - High,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score,% Drive Alone to Work,95% CI - Low,95% CI - High,Z-Score,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low,95% CI - High,Z-Score
40000,Oklahoma,,60388,9225,9118,9331,,,,,,,,,,,,,,,,,21,19,22,,4.5,4.2,4.8,,4.9,4.5,5.2,,,8,8,8,,,,,,,,,,,,,,,,,20,19,22,,34,,,,5.7,,29,,,,71,,14,13,15,,873,3313,26,25,27,,21752,553.4,,36,36,37,,,,,,,,,,,,,,,,,533903,17,16,17,,2432,62,1616:1,,2409,61,1637:1,,15916,404,248:1,,4926,,,,,,,37,,,,,,,48,,,,,,,48437,83,,610570,1023155,60,59,60,,62504,1841876,3.4,,21,21,22,,,,,,,101062,21704,4.7,,322546,947778,34,33,35,,4571,11.6,,16696,428,,18420,94,93,95,,,,,,,,,,,,,,,,,9.4,,,,14,14,14,,,,,,,,,,,82,82,83,,,,,,,,,,,,,,,,,1748344,27,26,27,
40001,Oklahoma,Adair,440,11818,10187,13448,0.75,14011,11521,16502,,,,,,,,,,11261,8666,13856,29,28,29,2.86,5.8,5.6,5.9,3.09,5.5,5.4,5.7,2.61,,7,6,8,-0.60,7,5,8,,,,,,,,,,8,6,10,28,27,28,3.69,48,38,57,3.11,6.8,0.11,25,18,34,-1.45,28,1.28,12,11,12,-1.32,6,19,32,19,44,0.75,119,543.2,0.74,61,54,67,1.78,64,55,73,,,,,,,47,29,71,59,48,71,4473,25,22,27,2.05,8,37,2739:1,0.17,6,27,3680:1,0.65,52,235,425:1,0.30,10860,2.50,11145,,,5166,10464,30,0.69,31,,,,30,48,-0.45,54,,,25,44,287,83,0.28,1882,5356,35,31,39,2.32,340,8151,4.2,0.74,35,26,44,1.80,49,,,42,34,72257,13973,5.2,1.15,2230,5817,38,33,44,0.94,18,8.2,1.08,100,454,1.38,100,91,73,108,-0.86,90,66,120,,,,,,,,,,101,75,133,9.8,0.71,Yes,0.53,15,14,17,10,8,11,6,4,7,2,1,2,1.12,85,84,87,1.00,88,87,90,,,,,,,,,,82,78,87,7984,38,34,42,0.91
40003,Oklahoma,Alfalfa,75,6752,4555,9638,-1.94,,,,,,,,,,,,,,,,17,16,17,-1.36,3.8,3.7,4.0,-1.52,4.0,3.8,4.2,-1.86,,6,4,8,-1.67,,,,,,,,,,,,,,,,17,16,18,-0.92,35,26,44,-0.08,6.5,0.47,29,20,38,-0.71,39,0.71,15,14,15,1.11,4,10,40,23,56,1.62,10,169.3,-1.53,29,19,41,-1.16,,,,,,,,,,,,,,,,690,18,16,20,-0.13,2,34,2954:1,0.33,3,52,1918:1,-0.43,1,17,5754:1,1.19,3927,-0.73,,,,,,35,-0.34,,,,,,33,1.63,,,,,,,,0.00,677,1509,45,38,52,0.98,64,2940,2.2,-1.33,19,12,25,-0.73,,,,,,104778,27481,3.8,-1.50,383,1171,33,22,43,0.02,13,22.0,-1.77,8,136,-0.69,29,99,67,143,-0.45,,,,,,,,,,,,,,,,8.4,-0.73,Yes,0.53,5,4,7,4,2,7,1,0,2,1,0,2,-2.15,79,75,83,-0.78,,,,,,,,,,,,,,,,2164,28,22,33,-0.18
40005,Oklahoma,Atoka,283,9953,8196,11710,-0.24,,,,,,,,,,,,,,,,22,21,23,0.57,4.8,4.6,5.0,0.74,4.9,4.7,5.1,0.70,,9,7,11,1.27,7,4,11,,,,,,,,,,9,7,12,21,20,22,0.78,41,31,51,1.35,5.9,1.20,30,22,40,-0.30,36,0.88,13,12,13,-0.42,8,30,27,17,37,0.24,75,540.1,0.72,51,42,59,0.87,45,30,64,,,,,,,,,,51,41,63,2152,21,18,23,0.75,2,14,6944:1,1.46,3,22,4613:1,0.89,162,1171,85:1,-3.00,9618,1.92,10286,,,,9387,27,1.30,35,,,,26,39,0.80,36,,20,,39,165,80,0.86,1525,3480,44,39,48,1.12,211,5121,4.1,0.69,28,19,36,0.71,33,,70,11,27,79717,17250,4.6,0.08,1156,3131,37,30,44,0.71,17,12.2,0.25,15,105,-0.89,74,107,84,134,-0.11,101,50,181,,,,,,,,,,109,83,142,9.5,0.40,Yes,0.53,12,10,15,10,8,12,2,1,3,1,0,2,0.13,81,78,84,-0.33,84,73,95,,,,,,,,,,79,75,82,4642,35,31,39,0.64
40007,Oklahoma,Beaver,65,8081,5178,12024,-1.23,,,,,,,,,,,,,,,,20,19,20,-0.35,4.1,3.9,4.2,-0.93,4.3,4.1,4.4,-1.07,,8,5,11,0.25,,,,,,,,,,9,4,14,8,5,11,15,15,16,-1.52,36,28,45,0.24,7.7,-0.98,28,20,36,-0.87,2,2.70,13,12,13,-0.44,4,19,21,10,35,-0.35,14,263.4,-0.96,25,17,36,-1.45,,,,,,,,,,31,16,53,25,15,38,865,20,18,23,0.63,1,19,5315:1,1.21,1,19,5319:1,1.01,,,,0.00,4848,-0.30,,,,,,32,0.28,,,,,,38,0.94,,,,36,38,,,0.00,621,1226,51,43,59,0.18,60,2958,2.0,-1.49,17,11,23,-0.96,,,,10,20,92625,23089,4.0,-1.11,354,1355,26,18,34,-1.07,12,22.6,-1.88,3,55,-1.21,36,134,94,185,1.12,,,,,,,,,,,,,,,,7.0,-2.18,No,-1.87,8,6,11,7,4,10,1,0,3,0,0,1,-1.18,79,75,83,-0.81,,,,,,,,,,81,66,95,74,67,81,2369,24,19,29,-0.53
40009,Oklahoma,Beckham,408,11328,9775,12882,0.49,,,,,,,,,,,,,,,,19,18,19,-0.72,4.1,4.0,4.3,-0.78,4.3,4.1,4.5,-1.04,,9,8,10,1.10,,,,,,,,,,8,5,11,9,8,10,18,17,19,-0.46,35,27,43,-0.08,7.8,-1.11,29,22,36,-0.62,65,-0.69,15,14,15,1.03,4,33,12,5,22,-1.27,114,523.1,0.62,59,52,67,1.67,49,23,90,,,,87,46,148,59,43,79,59,51,68,2982,18,15,20,-0.33,16,73,1362:1,-1.98,10,46,2171:1,-0.16,66,304,329:1,0.02,4263,-0.57,4962,,,,4314,28,1.09,26,,,20,28,50,-0.72,49,,,48,50,272,86,-0.52,3273,6308,52,44,60,0.01,296,11352,2.6,-0.89,21,14,29,-0.30,,,,39,11,98419,21299,4.6,0.08,1284,5634,23,15,31,-1.62,39,17.9,-0.92,43,177,-0.42,141,124,104,145,0.68,,,,,,,,,,67,33,120,141,116,166,7.8,-1.35,No,-1.87,8,5,10,6,3,9,2,1,3,0,0,1,-1.37,84,81,88,0.73,,,,,,,,,,81,65,97,84,82,86,8991,17,12,22,-1.27
40011,Oklahoma,Blaine,202,12898,10229,15567,1.32,,,,,,,,,,,,,,,,20,19,21,-0.19,4.5,4.3,4.6,0.04,4.5,4.3,4.7,-0.33,,7,6,9,-0.26,,,,,,,,,,,,,,,,18,18,19,-0.33,34,27,42,-0.26,6.7,0.23,32,24,39,0.02,58,-0.31,12,12,13,-0.88,4,25,16,7,28,-0.87,28,294.8,-0.77,51,41,61,0.91,45,25,76,,,,,,,62,39,95,46,35,59,1313,17,15,19,-0.45,3,32,3166:1,0.46,6,63,1581:1,-0.91,36,380,263:1,-0.29,3810,-0.78,5834,,,,3631,30,0.69,15,,40,,31,44,0.11,40,,35,,45,,,0.00,1080,2535,43,36,49,1.29,90,4428,2.0,-1.48,23,16,31,0.03,65,,,20,10,96828,21239,4.6,-0.05,711,2010,35,24,47,0.46,21,22.1,-1.79,13,133,-0.71,66,136,106,174,1.24,,,,,,,,,,,,,,,,8.4,-0.73,Yes,0.53,8,6,10,6,3,8,2,0,3,1,0,1,-1.28,88,83,92,1.63,,,,,,,,,,,,,,,,3544,23,18,27,-0.70
40013,Oklahoma,Bryan,817,10094,9055,11133,-0.17,12525,9648,15403,,,,,,,,,,10039,8808,11269,20,19,20,-0.35,4.5,4.4,4.7,0.15,4.8,4.6,5.0,0.46,,8,7,9,0.03,6,5,8,,,,11,5,18,8,5,11,8,7,9,20,20,21,0.51,33,28,40,-0.48,7.0,-0.13,32,27,38,0.06,44,0.43,14,13,14,0.28,22,76,29,23,35,0.47,289,623.9,1.23,46,42,50,0.41,58,48,68,,,,,,,46,32,65,43,38,48,7287,20,18,22,0.36,19,41,2438:1,-0.09,18,38,2622:1,0.18,403,854,117:1,-2.23,9131,1.69,8776,,8348,5269,9241,35,-0.34,40,,22,21,34,49,-0.59,44,,34,47,49,494,84,-0.03,6579,11579,57,53,61,-0.67,658,21001,3.1,-0.34,22,16,28,-0.19,21,,76,26,21,88064,19001,4.6,0.10,3423,10631,32,28,36,-0.07,46,9.9,0.72,92,206,-0.23,234,102,89,116,-0.32,89,61,126,,,,,,,,,,113,97,129,9.9,0.81,No,-1.87,15,14,17,12,10,13,3,2,4,2,1,2,1.11,82,80,84,-0.04,78,73,84,,,,,,,81,74,89,82,80,84,18875,20,18,22,-0.97
40015,Oklahoma,Caddo,590,12417,10964,13870,1.06,22053,18062,26045,,,,,,,,,,10460,8679,12240,22,22,23,0.65,4.7,4.6,4.8,0.56,4.9,4.7,5.0,0.74,,8,7,9,0.41,8,6,10,,,,,,,8,5,10,8,7,10,20,20,21,0.56,44,37,50,2.12,6.5,0.47,34,28,40,0.45,53,-0.07,12,12,13,-0.74,13,48,27,20,35,0.28,141,483.3,0.37,47,42,53,0.57,57,47,68,,,,,,,42,31,57,43,36,50,4554,20,18,22,0.61,5,17,5835:1,1.30,5,17,5795:1,1.08,13,45,2229:1,1.07,5880,0.18,6523,,,2191,5922,31,0.48,17,,27,21,35,44,0.11,35,,34,32,47,512,85,-0.23,3302,7225,46,42,50,0.86,435,12201,3.6,0.11,26,18,34,0.41,43,,44,29,18,88044,18895,4.7,0.15,2952,7355,40,35,45,1.24,40,13.7,-0.06,76,259,0.11,187,128,109,146,0.84,165,125,213,,,,,,,67,35,117,130,107,154,8.9,-0.22,Yes,0.53,11,10,13,8,6,9,3,2,4,1,1,2,-0.25,82,81,83,-0.01,75,68,83,,,,,,,70,59,80,85,83,88,11156,32,29,35,0.29
40017,Oklahoma,Canadian,1541,6497,6029,6964,-2.07,11268,8750,14285,,,,7107,4861,10033,4456,3250,5962,6573,6033,7113,15,14,15,-2.15,3.8,3.6,3.9,-1.62,4.0,3.8,4.2,-1.88,,7,7,7,-0.78,7,5,8,6,3,8,11,8,14,5,3,6,7,7,8,15,14,15,-1.92,35,31,39,-0.06,8.1,-1.47,27,24,30,-1.01,84,-1.72,15,15,16,1.62,25,85,29,24,35,0.52,509,363.8,-0.35,23,21,24,-1.70,27,21,35,,,,36,26,48,27,22,33,22,20,24,15360,13,11,14,-2.00,55,39,2544:1,0.01,64,44,2257:1,-0.09,294,204,491:1,0.43,3578,-0.89,4987,,538,2101,3575,42,-1.77,29,44,29,30,42,50,-0.72,39,54,31,35,51,1786,93,-1.99,26385,39775,66,63,69,-1.97,2003,72033,2.8,-0.71,9,6,12,-2.23,17,3,15,28,8,123506,34243,3.6,-1.91,8556,35742,24,21,27,-1.43,96,6.9,1.35,573,432,1.24,481,70,64,77,-1.79,89,61,127,,,,53,28,90,27,16,44,77,70,85,9.7,0.61,Yes,0.53,11,10,12,8,7,9,2,2,3,1,1,2,-0.39,85,84,87,0.97,82,72,91,68,59,77,70,57,83,77,72,81,83,81,85,67524,33,31,35,0.45
