FIPS,State,County,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,% Fair or Poor Health,95% CI - Low,95% CI - High,Z-Score,Average Number of Physically Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Average Number of Mentally Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Unreliable,% Low Birthweight,95% CI - Low,95% CI - High,Z-Score,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low,95% CI - High,Z-Score,% Adults with Obesity,95% CI - Low,95% CI - High,Z-Score,Food Environment Index,Z-Score,% Physically Inactive,95% CI - Low,95% CI - High,Z-Score,% With Access to Exercise Opportunities,Z-Score,% Excessive Drinking,95% CI - Low,95% CI - High,Z-Score,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low,95% CI - High,Z-Score,# Chlamydia Cases,Chlamydia Rate,Z-Score,Teen Birth Rate,95% CI - Low,95% CI - High,Z-Score,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Z-Score,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score,# Dentists,Dentist Rate,Dentist Ratio,Z-Score,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score,Preventable Hospitalization Rate,Z-Score,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Z-Score,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),Cohort Size,High School Graduation Rate,Z-Score,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Z-Score,# Unemployed,Labor Force,% Unemployed,Z-Score,% Children in Poverty,95% CI - Low,95% CI - High,Z-Score,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score,# Single-Parent Households,# Households,% Single-Parent Households,95% CI - Low,95% CI - High,Z-Score,# Associations,Social Association Rate,Z-Score,Annual Average Violent Crimes,Violent Crime Rate,Z-Score,# Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,Z-Score,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score,Presence of Water Violation,Z-Score,% Severe Housing Problems,95% CI - Low,95% CI - High,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score,% Drive Alone to Work,95% CI - Low,95% CI - High,Z-Score,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low,95% CI - High,Z-Score
41000,Oregon,,46659,5953,5869,6037,,,,,,,,,,,,,,,,,17,15,18,,4.2,3.9,4.5,,4.8,4.5,5.1,,,6,6,7,,,,,,,,,,,,,,,,,16,15,17,,29,,,,7.9,,17,,,,88,,19,17,20,,695,2246,31,30,32,,18634,449.8,,18,18,19,,,,,,,,,,,,,,,,,277244,8,8,9,,3896,94,1063:1,,3344,80,1253:1,,21859,522,192:1,,2944,,,,,,,41,,,,,,,43,,,,,,,45844,77,,772589,1110222,70,69,70,,87365,2104519,4.2,,16,15,17,,,,,,,115091,25267,4.6,,256934,856855,30,29,31,,4214,10.2,,10027,249,,15039,74,72,75,,,,,,,,,,,,,,,,,7.9,,,,19,19,20,,,,,,,,,,,72,71,72,,,,,,,,,,,,,,,,,1895393,29,29,30,
41001,Oregon,Baker,243,8173,6223,10122,0.78,,,,,,,,,,,,,,,,15,14,15,-0.30,4.0,3.8,4.2,-0.22,4.5,4.2,4.7,-0.20,,7,5,8,-0.01,,,,,,,,,,,,,,,,15,14,16,-0.23,31,23,40,-0.17,6.4,1.38,22,16,29,0.06,73,0.56,19,18,19,0.11,8,30,27,17,37,-0.37,49,305.2,-0.56,28,22,35,0.63,,,,,,,,,,,,,,,,939,8,7,10,-0.47,14,87,1147:1,-0.34,8,50,2001:1,0.57,103,644,155:1,-1.05,926,-2.53,,,,,,39,-0.13,,,,61,38,35,0.37,27,,,37,35,342,74,0.53,2006,3486,58,50,65,0.40,383,6976,5.5,0.67,23,15,31,0.84,24,,,46,22,89645,20217,4.4,0.21,696,3087,23,15,30,-1.74,28,17.4,-1.54,43,264,0.69,105,131,106,156,1.53,,,,,,,,,,,,,,,,6.8,-0.90,Yes,0.85,14,12,17,11,8,13,2,1,4,2,1,3,-1.47,71,66,76,-0.86,,,,,,,,,,,,,,,,5914,14,10,17,-0.92
41003,Oregon,Benton,624,4132,3613,4652,-1.92,,,,,,,,,,,,,,,,14,13,14,-0.92,4.0,3.8,4.1,-0.22,4.3,4.1,4.4,-0.88,,5,5,6,-1.07,,,,5,3,7,,,,6,5,8,5,5,6,13,13,14,-1.45,25,21,29,-1.49,7.3,0.17,13,10,16,-1.85,90,-0.97,21,20,22,1.73,12,38,32,23,40,0.17,456,501.4,0.99,5,4,6,-2.17,,,,,,,,,,13,9,18,5,4,6,4890,7,6,8,-1.41,104,114,875:1,-1.03,64,69,1439:1,-0.22,825,896,112:1,-2.31,1715,-1.46,,,,,,41,-0.58,,50,,42,41,54,-1.81,59,53,36,50,54,750,85,-1.03,17362,20682,84,79,89,-2.72,1535,48345,3.2,-1.71,12,8,16,-1.43,7,32,19,30,8,120577,20737,5.8,3.41,3514,14599,24,19,29,-1.46,111,12.2,-0.21,113,128,-0.63,243,54,48,61,-1.40,,,,,,,,,,,,,,,,8.3,0.54,No,-1.14,22,21,24,19,17,21,2,2,3,2,1,2,1.86,66,63,68,-2.04,,,,56,49,63,,,,62,54,71,68,66,70,42286,19,17,21,-0.45
41005,Oregon,Clackamas,4080,5148,4894,5402,-1.24,,,,2670,1975,3530,5907,3956,8484,3841,3120,4562,5381,5091,5670,12,11,12,-1.80,3.5,3.4,3.7,-1.53,4.1,3.9,4.2,-1.46,,6,6,6,-0.67,9,5,13,8,6,9,9,6,12,6,6,7,6,5,6,13,13,14,-1.51,29,26,31,-0.70,8.5,-1.44,16,14,18,-1.18,91,-1.06,20,19,21,0.95,65,178,37,33,40,0.72,1434,347.5,-0.23,11,10,12,-1.46,12,6,22,3,1,5,17,11,25,25,23,29,9,8,10,21574,6,6,7,-1.74,370,90,1115:1,-0.40,332,80,1253:1,-0.64,1291,310,322:1,0.62,2601,-0.25,,1583,3137,1964,2593,43,-1.03,38,38,16,32,43,46,-0.90,43,48,37,38,46,5245,82,-0.69,74695,101695,73,71,75,-1.48,8248,218998,3.8,-1.10,8,6,10,-2.26,24,15,20,21,8,144413,34301,4.2,-0.31,20605,87763,23,22,25,-1.57,373,9.0,0.60,621,160,-0.32,1283,63,60,67,-1.07,,,,26,17,38,59,34,96,26,19,35,69,65,73,9.2,1.40,Yes,0.85,16,16,17,14,13,14,2,2,3,1,1,1,-0.65,76,75,77,0.32,53,30,75,74,70,78,76,68,83,65,62,68,76,75,77,198626,46,45,47,2.08
41007,Oregon,Clatsop,576,7566,6573,8558,0.38,,,,,,,,,,,,,,,,15,14,15,-0.37,3.9,3.7,4.1,-0.42,4.3,4.1,4.5,-0.87,,6,5,7,-0.38,,,,,,,,,,5,3,7,6,5,7,15,15,16,-0.20,30,24,36,-0.46,7.8,-0.50,22,17,28,0.17,93,-1.26,19,19,20,0.53,11,43,26,18,34,-0.49,162,413.5,0.29,21,18,25,-0.23,,,,,,,,,,26,17,39,21,18,25,2673,9,7,10,-0.06,26,66,1507:1,0.19,29,73,1371:1,-0.36,115,289,346:1,0.72,3597,1.10,,,,,,41,-0.58,,32,,33,42,42,-0.44,26,53,,33,42,413,69,1.32,5949,9069,66,60,71,-0.55,795,19344,4.1,-0.75,16,10,22,-0.57,,29,,10,8,103600,24782,4.2,-0.38,1945,7409,26,21,32,-1.05,52,13.3,-0.48,57,163,-0.29,174,90,77,104,-0.03,,,,,,,,,,,,,,,,6.3,-1.37,Yes,0.85,18,15,20,15,12,17,2,1,3,2,1,3,-0.07,73,70,75,-0.49,,,,,,,,,,55,45,65,75,72,77,17451,20,17,23,-0.31
41009,Oregon,Columbia,680,6472,5668,7275,-0.36,,,,,,,,,,,,,,,,14,13,14,-0.93,3.6,3.4,3.8,-1.25,4.1,3.9,4.3,-1.30,,6,5,7,-0.38,,,,,,,,,,8,4,12,6,5,7,15,14,16,-0.18,31,25,37,-0.23,8.1,-0.90,22,17,27,0.04,78,0.13,20,19,20,0.66,8,27,30,19,40,-0.04,186,359.2,-0.14,18,16,21,-0.58,,,,,,,,,,19,11,31,18,16,21,2949,7,6,8,-1.27,17,33,3046:1,1.04,28,53,1871:1,0.43,187,357,280:1,0.38,3654,1.18,,,,,,44,-1.25,62,75,,19,44,36,0.25,35,31,,29,37,658,81,-0.51,6637,11801,56,52,61,0.55,1239,24387,5.1,0.25,13,9,17,-1.18,,,,28,14,108108,26605,4.1,-0.65,3545,10978,32,27,38,0.09,36,7.0,1.13,65,133,-0.58,197,78,67,88,-0.51,,,,,,,,,,,,,,,,7.3,-0.42,Yes,0.85,15,13,18,13,11,15,2,1,3,1,1,2,-1.14,79,76,81,0.93,,,,,,,,,,,,,,,,21092,60,55,64,3.33
41011,Oregon,Coos,1210,8531,7702,9361,1.02,,,,,,,,,,,,,,,,16,16,17,0.45,4.3,4.1,4.5,0.67,4.6,4.4,4.8,0.24,,6,6,7,-0.33,9,5,13,12,5,19,,,,7,4,9,6,5,7,17,16,17,0.89,39,33,44,1.53,7.5,-0.10,27,22,33,1.23,77,0.22,17,16,18,-1.02,21,48,44,37,50,1.51,174,272.4,-0.82,27,24,30,0.45,33,18,54,,,,,,,28,20,38,26,23,29,4222,9,8,10,0.10,52,81,1229:1,-0.19,49,76,1314:1,-0.49,254,394,254:1,0.20,4350,2.12,1860,,,2926,4376,41,-0.58,42,45,,43,41,46,-0.90,52,46,18,41,46,953,57,2.93,7414,13147,56,51,62,0.54,1433,26460,5.4,0.59,24,17,32,1.13,35,,,36,25,84733,17912,4.7,0.90,3938,11625,34,27,40,0.38,80,12.5,-0.29,103,170,-0.22,358,113,101,124,0.83,,,,,,,,,,64,34,109,121,108,134,8.0,0.25,Yes,0.85,18,16,20,15,13,17,3,2,4,2,1,3,0.17,77,75,79,0.54,79,62,95,,,,,,,74,60,89,78,76,80,24365,18,15,20,-0.53
41013,Oregon,Crook,348,7372,5997,8747,0.25,,,,,,,,,,,,,,,,16,15,17,0.28,4.2,4.0,4.4,0.46,4.8,4.5,5.0,0.88,,7,5,8,-0.10,,,,,,,,,,10,6,14,6,5,7,17,16,17,0.87,33,25,41,0.27,7.3,0.17,27,20,35,1.14,75,0.37,18,18,19,-0.05,9,19,47,36,58,1.91,90,389.2,0.10,28,23,33,0.56,,,,,,,,,,35,22,54,27,21,33,1470,9,7,10,-0.27,6,26,3854:1,1.21,10,42,2387:1,0.90,106,444,225:1,-0.05,2519,-0.37,,,,,,38,0.09,39,,,29,39,41,-0.32,20,36,,42,41,244,72,0.80,2659,4836,55,46,64,0.70,566,9464,6.0,1.17,20,13,26,0.21,,,,39,20,86280,23026,3.7,-1.38,1557,4431,35,26,44,0.62,26,11.2,0.04,74,346,1.48,111,99,81,117,0.31,,,,,,,,,,,,,,,,7.8,0.06,No,-1.14,20,16,24,17,13,20,4,2,6,2,1,3,1.00,76,72,81,0.38,,,,,,,,,,,,,,,,8363,34,28,41,1.01
41015,Oregon,Curry,439,7424,5871,8978,0.28,,,,,,,,,,,,,,,,16,15,17,0.29,4.2,4.0,4.4,0.54,4.6,4.4,4.8,0.25,,6,5,7,-0.49,,,,,,,,,,,,,,,,15,14,16,-0.24,34,27,42,0.56,7.6,-0.23,24,17,30,0.52,92,-1.12,15,15,16,-1.88,4,10,40,23,56,1.10,29,127.9,-1.97,23,18,29,-0.01,,,,,,,,,,,,,,,,1385,9,8,11,0.21,15,66,1511:1,0.19,14,61,1630:1,0.11,91,399,251:1,0.18,2528,-0.35,,,,,,30,1.87,35,38,,29,30,34,0.48,34,23,,32,34,192,70,1.06,2187,4087,54,44,63,0.88,549,8948,6.1,1.33,22,14,30,0.75,,,,38,11,93415,19192,4.9,1.21,1132,3257,35,20,50,0.55,21,9.3,0.54,23,108,-0.82,152,134,113,156,1.67,,,,,,,,,,,,,,,,8.0,0.25,Yes,0.85,18,14,22,14,11,18,2,1,4,3,1,4,-0.01,77,71,83,0.56,,,,,,,,,,,,,,,,7294,17,12,23,-0.59
41017,Oregon,Deschutes,1753,4859,4478,5240,-1.44,,,,,,,,,,3878,2817,5206,4928,4518,5338,13,13,13,-1.21,3.6,3.4,3.7,-1.42,4.2,4.0,4.4,-1.19,,7,6,7,0.05,,,,10,6,14,,,,7,6,8,7,6,7,14,13,14,-1.25,23,20,26,-1.93,8.0,-0.77,14,12,17,-1.58,90,-0.98,21,20,22,1.51,26,87,30,24,35,-0.01,673,360.1,-0.13,15,13,16,-1.03,28,15,48,,,,34,19,57,24,20,29,12,11,13,11542,8,7,9,-0.83,199,106,939:1,-0.83,157,82,1223:1,-0.72,872,454,220:1,-0.10,2198,-0.80,2740,,1937,360,2201,45,-1.47,36,44,36,37,45,52,-1.58,37,45,38,46,52,2114,79,-0.24,33811,46920,72,68,76,-1.32,4020,95367,4.2,-0.64,12,8,15,-1.51,,11,36,21,12,114585,28456,4.0,-0.73,9865,37347,26,23,30,-1.02,193,10.3,0.27,294,169,-0.24,669,74,68,79,-0.66,,,,,,,,,,24,14,38,79,73,85,8.3,0.54,Yes,0.85,20,18,22,18,16,19,2,2,3,1,1,1,0.82,74,73,76,-0.06,,,,65,48,81,,,,75,69,81,75,74,76,86069,18,17,20,-0.48
