FIPS,State,County,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,% Fair or Poor Health,95% CI - Low,95% CI - High,Z-Score,Average Number of Physically Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Average Number of Mentally Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Unreliable,% Low Birthweight,95% CI - Low,95% CI - High,Z-Score,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low,95% CI - High,Z-Score,% Adults with Obesity,95% CI - Low,95% CI - High,Z-Score,Food Environment Index,Z-Score,% Physically Inactive,95% CI - Low,95% CI - High,Z-Score,% With Access to Exercise Opportunities,Z-Score,% Excessive Drinking,95% CI - Low,95% CI - High,Z-Score,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low,95% CI - High,Z-Score,# Chlamydia Cases,Chlamydia Rate,Z-Score,Teen Birth Rate,95% CI - Low,95% CI - High,Z-Score,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Z-Score,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score,# Dentists,Dentist Rate,Dentist Ratio,Z-Score,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score,Preventable Hospitalization Rate,Z-Score,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Z-Score,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),Cohort Size,High School Graduation Rate,Z-Score,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Z-Score,# Unemployed,Labor Force,% Unemployed,Z-Score,% Children in Poverty,95% CI - Low,95% CI - High,Z-Score,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score,# Single-Parent Households,# Households,% Single-Parent Households,95% CI - Low,95% CI - High,Z-Score,# Associations,Social Association Rate,Z-Score,Annual Average Violent Crimes,Violent Crime Rate,Z-Score,# Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,Z-Score,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score,Presence of Water Violation,Z-Score,% Severe Housing Problems,95% CI - Low,95% CI - High,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score,% Drive Alone to Work,95% CI - Low,95% CI - High,Z-Score,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low,95% CI - High,Z-Score
42000,Pennsylvania,,165530,7573,7516,7629,,,,,,,,,,,,,,,,,18,16,19,,4.2,3.9,4.4,,4.4,4.1,4.7,,,8,8,8,,,,,,,,,,,,,,,,,19,17,20,,30,,,,8.2,,23,,,,84,,19,18,21,,1583,5910,27,26,27,,56447,440.8,,18,18,18,,,,,,,,,,,,,,,,,674739,7,6,7,,10353,81,1237:1,,8836,69,1449:1,,26450,207,484:1,,4655,,,,,,,45,,,,,,,51,,,,,,,135964,87,,2054924,3162970,65,65,65,,275788,6424425,4.3,,17,16,17,,,,,,,117096,24513,4.8,,892680,2644935,34,33,34,,15690,12.3,,40306,315,,54745,86,85,86,,,,,,,,,,,,,,,,,10.6,,,,15,15,15,,,,,,,,,,,76,76,76,,,,,,,,,,,,,,,,,6032013,37,37,37,
42001,Pennsylvania,Adams,1210,6519,5899,7139,-0.86,,,,,,,,,,,,,,,,15,15,16,-0.44,3.9,3.7,4.1,-0.11,4.4,4.2,4.6,0.08,,8,7,8,0.20,,,,,,,14,9,20,5,4,6,8,7,9,16,16,17,-1.08,36,29,43,0.72,8.9,-1.76,27,21,34,0.34,61,0.88,19,18,20,-0.38,13,56,23,16,31,-0.60,182,177.8,-0.52,18,16,19,-0.33,,,,,,,29,18,43,37,30,46,15,14,17,5938,7,7,8,0.56,56,55,1827:1,0.22,36,35,2856:1,0.81,85,83,1210:1,0.64,4144,-0.67,,,,1764,4174,47,-0.39,,,38,26,47,56,-1.19,,35,51,36,56,1045,91,-0.36,12610,21997,57,54,60,-0.03,1805,55121,3.3,-1.81,11,8,15,-1.17,,,45,35,9,113731,30259,3.8,-1.24,5510,20652,27,24,30,-0.65,121,11.8,0.76,136,134,-0.52,364,71,64,78,-0.95,,,,,,,,,,31,16,56,75,67,83,10.6,0.14,Yes,0.58,12,11,13,10,9,11,2,1,2,1,0,1,-0.21,83,81,84,0.49,,,,,,,,,,77,72,82,80,79,82,49205,40,38,41,0.52
42003,Pennsylvania,Allegheny,16701,7960,7774,8147,0.19,,,,2980,2399,3561,14121,13452,14791,3725,2849,4785,7128,6934,7322,13,12,13,-2.08,3.2,3.1,3.4,-2.71,3.8,3.7,4.0,-2.17,,8,8,8,0.45,,,,8,8,9,14,13,14,7,6,8,6,6,7,17,17,17,-0.59,28,26,30,-1.05,7.7,0.95,21,19,23,-1.07,92,-1.29,22,22,23,1.89,78,320,24,22,27,-0.43,5223,427.0,0.87,13,13,14,-0.93,,,,4,3,5,40,38,42,14,11,17,7,7,7,47297,5,4,5,-1.52,1336,109,915:1,-0.67,1173,96,1039:1,-1.98,3955,325,308:1,-1.92,5178,0.54,,2277,7907,3091,4793,39,1.32,,30,33,42,40,48,-0.02,,44,35,46,50,11380,91,-0.24,259530,326920,79,78,80,-2.20,26059,645169,4.0,-0.69,15,13,17,-0.44,12,12,43,25,9,118866,22983,5.2,1.86,74729,229132,33,31,34,0.23,1485,12.1,0.68,4856,395,1.48,6106,100,97,102,0.82,,,,20,15,26,123,115,130,29,20,40,100,97,103,13.3,2.91,Yes,0.58,14,13,14,13,12,13,1,1,1,1,1,1,0.37,71,71,72,-1.81,63,51,75,53,50,56,54,52,56,61,57,65,77,76,77,613550,39,38,40,0.49
42005,Pennsylvania,Armstrong,1110,9745,8784,10706,1.49,,,,,,,,,,,,,,,,16,16,17,0.17,4.0,3.8,4.2,0.04,4.5,4.3,4.8,0.69,,7,6,8,-0.49,,,,,,,,,,,,,,,,19,18,20,0.49,42,35,50,2.30,8.2,-0.18,31,24,38,1.33,79,-0.36,19,19,20,-0.24,18,51,35,28,42,1.13,125,190.4,-0.45,24,21,26,0.53,,,,,,,,,,,,,,,,2941,6,5,6,-0.82,29,44,2264:1,0.40,20,31,3263:1,1.01,68,104,960:1,0.41,4689,-0.03,,,,,,41,0.89,,,,,,41,1.00,,,32,,41,657,89,0.26,8113,14453,56,53,60,0.09,1615,32148,5.0,0.74,14,8,19,-0.71,,,16,7,18,94582,21731,4.4,0.06,3897,12759,31,27,34,-0.08,129,19.7,-1.27,72,108,-0.72,384,116,104,127,1.82,,,,,,,,,,,,,,,,11.9,1.48,Yes,0.58,10,9,11,9,8,10,1,1,1,2,1,2,-1.00,83,82,85,0.64,,,,,,,,,,,,,,,,29108,44,41,47,0.98
42007,Pennsylvania,Beaver,2692,8891,8344,9439,0.87,,,,,,,15345,12797,17892,,,,8463,7894,9031,15,14,16,-0.67,3.8,3.6,4.0,-0.52,4.2,4.1,4.5,-0.49,,8,7,8,-0.06,,,,,,,12,10,14,7,3,10,7,7,8,19,18,20,0.80,33,28,38,0.15,7.5,1.41,27,23,32,0.46,84,-0.76,20,19,21,0.46,12,59,20,14,28,-1.01,483,290.7,0.11,19,18,21,-0.09,,,,,,,40,33,47,26,16,39,16,15,18,6375,5,4,6,-1.47,71,43,2340:1,0.42,88,53,1872:1,-0.02,164,100,1005:1,0.46,4814,0.12,,,6172,6781,4714,39,1.32,,,31,,40,45,0.42,,31,33,46,46,3750,70,5.00,25858,37997,68,65,71,-1.08,3823,84057,4.5,0.05,16,13,20,-0.20,,23,58,18,11,105378,23959,4.4,0.16,10880,32244,34,30,37,0.40,241,14.5,0.06,437,265,0.49,767,92,85,98,0.33,,,,,,,106,82,136,,,,91,84,98,11.0,0.55,Yes,0.58,11,10,11,9,8,10,1,1,1,1,1,1,-0.85,82,81,83,0.35,,,,,,,66,58,75,60,44,76,81,80,82,79670,36,35,38,0.19
42009,Pennsylvania,Bedford,687,7622,6646,8598,-0.06,,,,,,,,,,,,,,,,16,15,16,-0.31,3.9,3.7,4.1,-0.11,4.4,4.2,4.7,0.31,,5,5,6,-1.99,,,,,,,,,,,,,,,,17,17,18,-0.30,30,24,38,-0.53,8.4,-0.63,25,18,33,0.02,62,0.76,18,17,19,-1.27,9,51,18,11,25,-1.40,62,127.9,-0.79,21,18,24,0.10,,,,,,,,,,,,,,,,2578,7,6,8,0.12,12,25,4040:1,0.71,22,46,2190:1,0.33,62,129,777:1,0.15,4175,-0.63,,,,,,45,0.04,,,,,,37,1.59,,,,54,37,583,92,-0.46,4940,10214,48,45,52,0.85,1066,23661,4.5,-0.01,15,10,20,-0.44,,,,18,17,88221,21303,4.1,-0.40,2438,9677,25,21,30,-0.87,95,19.6,-1.25,38,80,-0.93,235,97,85,109,0.65,,,,,,,,,,,,,,,,10.6,0.14,Yes,0.58,12,10,13,9,8,11,2,1,2,1,1,2,-0.45,81,79,83,0.20,,,,,,,,,,,,,,,,21280,35,33,37,0.07
42011,Pennsylvania,Berks,4682,6695,6401,6989,-0.73,,,,,,,8788,7299,10278,6730,6133,7326,6664,6299,7028,18,18,19,1.41,4.3,4.1,4.5,1.41,4.3,4.1,4.5,-0.17,,8,8,8,0.57,,,,10,7,12,13,11,14,9,9,10,7,7,7,17,16,17,-0.85,36,31,42,0.91,8.7,-1.31,26,21,31,0.12,86,-0.85,19,19,20,-0.31,49,196,25,21,29,-0.34,1885,451.1,1.00,23,22,24,0.45,,,,,,,26,22,29,60,57,63,9,8,10,25410,8,7,8,0.58,262,63,1595:1,0.09,231,55,1819:1,-0.09,584,139,719:1,0.05,4386,-0.38,,,7433,7241,4228,44,0.25,,37,36,35,44,53,-0.75,,52,38,38,54,5169,87,0.82,57684,98852,58,57,60,-0.13,8842,212528,4.2,-0.51,17,14,20,-0.08,49,12,29,40,8,114612,26242,4.4,0.09,34077,93116,37,34,39,0.82,483,11.6,0.83,1243,300,0.75,1451,70,66,73,-1.04,,,,,,,75,59,94,44,38,51,77,73,82,10.0,-0.47,Yes,0.58,15,15,16,14,13,14,2,1,2,1,1,1,0.98,80,79,81,-0.07,49,38,61,71,64,78,67,62,72,64,61,66,83,83,83,199061,32,31,33,-0.21
42013,Pennsylvania,Blair,1882,8290,7680,8900,0.43,,,,,,,,,,,,,,,,16,16,17,0.28,4.1,3.9,4.3,0.53,4.5,4.3,4.7,0.61,,7,6,8,-0.56,,,,,,,6,3,9,13,7,20,7,6,8,19,18,19,0.38,31,26,37,-0.41,7.7,0.95,26,21,31,0.12,75,-0.12,20,19,21,0.38,18,79,23,17,29,-0.66,359,290.8,0.11,24,22,26,0.63,,,,,,,27,19,39,29,16,48,24,22,26,5557,6,5,7,-0.80,104,84,1187:1,-0.26,76,62,1612:1,-0.42,294,240,417:1,-1.02,5953,1.45,,,11006,,5918,39,1.32,,42,35,55,39,43,0.71,,65,29,42,43,1420,90,-0.14,16598,29141,57,54,60,0.01,2505,59555,4.2,-0.45,19,14,25,0.40,,,49,33,18,92276,20280,4.6,0.49,8567,25176,34,31,37,0.44,224,18.1,-0.88,282,224,0.17,525,84,77,92,-0.12,,,,,,,77,38,138,,,,85,78,93,11.2,0.76,Yes,0.58,13,12,14,12,11,13,1,1,1,1,1,1,0.15,83,81,84,0.54,,,,,,,,,,65,53,78,85,84,86,55652,20,19,21,-1.46
42015,Pennsylvania,Bradford,857,7496,6662,8331,-0.15,,,,,,,,,,,,,,,,16,15,17,0.04,4.0,3.8,4.2,0.14,4.4,4.2,4.6,0.22,,7,6,8,-0.73,,,,,,,,,,,,,,,,18,17,19,0.17,38,32,44,1.17,8.3,-0.41,32,26,38,1.65,60,0.90,19,18,20,-0.45,16,56,29,22,36,0.17,99,162.7,-0.60,29,26,32,1.30,,,,,,,,,,,,,,,,3759,8,7,9,0.87,56,92,1087:1,-0.39,32,53,1901:1,0.01,41,67,1484:1,0.80,5428,0.83,,,,,,48,-0.61,,,,,,45,0.42,,53,45,38,45,646,91,-0.31,6623,13009,51,47,54,0.60,1259,28864,4.4,-0.22,17,12,22,-0.04,,23,11,54,16,95565,23365,4.1,-0.52,4376,13471,32,28,37,0.21,83,13.6,0.29,112,181,-0.16,271,89,78,99,0.14,,,,,,,,,,,,,,,,9.0,-1.50,Yes,0.58,11,10,12,9,8,10,2,1,2,1,1,2,-0.65,81,80,83,0.24,,,,,,,,,,,,,,,,26261,32,30,34,-0.25
42017,Pennsylvania,Bucks,6966,6388,6147,6629,-0.96,,,,2307,1677,2938,7793,6649,8937,4209,3438,4980,6722,6447,6997,12,12,13,-2.32,3.3,3.1,3.4,-2.58,3.6,3.5,3.8,-3.01,,8,7,8,0.14,,,,9,8,11,11,10,12,8,7,9,7,7,8,14,14,15,-2.23,27,23,31,-1.33,8.8,-1.54,18,15,21,-1.78,89,-1.10,18,18,19,-1.22,79,257,31,28,34,0.48,1434,228.2,-0.24,7,7,7,-1.85,,,,,,,15,13,18,23,20,26,5,5,6,27022,5,5,6,-1.21,537,85,1170:1,-0.28,523,83,1201:1,-1.38,1528,243,411:1,-1.06,4495,-0.26,,3130,6807,4191,4468,47,-0.39,,39,39,46,48,57,-1.34,,59,43,50,58,7093,94,-0.91,104678,142222,74,72,75,-1.63,12783,341069,3.7,-1.12,7,5,8,-2.05,6,5,16,21,5,164279,37568,4.4,0.10,28318,129401,22,20,23,-1.36,488,7.8,1.81,603,96,-0.81,2396,76,73,79,-0.62,,,,17,11,25,53,41,66,32,24,42,83,80,87,10.1,-0.37,Yes,0.58,15,14,15,14,13,14,1,1,1,1,0,1,0.78,82,81,82,0.37,,,,72,70,75,75,72,79,73,69,76,83,82,83,324560,43,43,44,0.92
