FIPS,State,County,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,% Fair or Poor Health,95% CI - Low,95% CI - High,Z-Score,Average Number of Physically Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Average Number of Mentally Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Unreliable,% Low Birthweight,95% CI - Low,95% CI - High,Z-Score,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low,95% CI - High,Z-Score,% Adults with Obesity,95% CI - Low,95% CI - High,Z-Score,Food Environment Index,Z-Score,% Physically Inactive,95% CI - Low,95% CI - High,Z-Score,% With Access to Exercise Opportunities,Z-Score,% Excessive Drinking,95% CI - Low,95% CI - High,Z-Score,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low,95% CI - High,Z-Score,# Chlamydia Cases,Chlamydia Rate,Z-Score,Teen Birth Rate,95% CI - Low,95% CI - High,Z-Score,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Z-Score,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score,# Dentists,Dentist Rate,Dentist Ratio,Z-Score,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score,Preventable Hospitalization Rate,Z-Score,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Z-Score,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),Cohort Size,High School Graduation Rate,Z-Score,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Z-Score,# Unemployed,Labor Force,% Unemployed,Z-Score,% Children in Poverty,95% CI - Low,95% CI - High,Z-Score,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score,# Single-Parent Households,# Households,% Single-Parent Households,95% CI - Low,95% CI - High,Z-Score,# Associations,Social Association Rate,Z-Score,Annual Average Violent Crimes,Violent Crime Rate,Z-Score,# Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,Z-Score,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score,Presence of Water Violation,Z-Score,% Severe Housing Problems,95% CI - Low,95% CI - High,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score,% Drive Alone to Work,95% CI - Low,95% CI - High,Z-Score,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low,95% CI - High,Z-Score
46000,South Dakota,,9845,7225,7015,7435,,,,,,,,,,,,,,,,,13,12,15,,3.5,3.1,3.8,,3.2,2.8,3.6,,,6,6,7,,,,,,,,,,,,,,,,,19,17,21,,32,,,,6.5,,21,,,,74,,19,17,21,,237,645,37,35,39,,4437,510.2,,26,25,27,,,,,,,,,,,,,,,,,76049,11,10,11,,658,76,1322:1,,526,60,1677:1,,1601,181,551:1,,4803,,,,,,,49,,,,,,,47,,,,,,,9088,86,,145843,213892,68,67,69,,13860,459462,3.0,,16,15,17,,,,,,,103665,25261,4.1,,65362,209497,31,30,32,,1451,16.7,,3204,373,,3486,81,78,83,,,,,,,,,,,,,,,,,5.6,,,,12,12,12,,,,,,,,,,,80,80,81,,,,,,,,,,,,,,,,,436525,15,14,15,
46003,South Dakota,Aurora,,,,,0.00,,,,,,,,,,,,,,,,10,9,10,-0.72,2.6,2.5,2.8,-0.80,2.7,2.5,2.8,-0.79,x,6,,,-0.30,,,,,,,,,,,,,,,,12,12,13,-0.72,37,26,48,0.62,7.1,-0.17,19,12,28,-1.27,58,-0.23,19,18,20,0.56,1,7,14,1,39,-0.77,4,146.1,-0.70,,,,0.00,,,,,,,,,,,,,,,,321,15,13,18,0.49,1,37,2738:1,0.71,0,0,2801:0,1.20,2,71,1401:1,0.52,4502,-0.30,,,,,,51,-0.43,,,,,,39,-0.19,,,,,,25,84,0.57,452,609,74,65,84,-1.06,45,1557,2.9,-0.50,14,9,19,-0.53,,,,6,8,98738,28517,3.5,-0.83,127,672,19,12,26,-0.70,4,14.6,-0.03,1,18,-0.86,10,73,35,134,-0.61,,,,,,,,,,,,,,,,6.2,0.26,No,-0.59,5,3,7,4,1,7,1,0,3,1,0,2,-1.05,71,66,77,-0.53,,,,,,,,,,,,,,,,1430,27,21,34,0.63
46005,South Dakota,Beadle,211,7652,6193,9111,-0.39,,,,,,,,,,,,,,,,13,12,13,-0.16,3.2,3.0,3.3,-0.20,3.1,2.9,3.2,-0.15,,7,6,9,0.85,,,,13,9,16,,,,6,4,9,6,5,8,16,15,16,-0.25,36,30,43,0.42,7.6,-0.41,19,14,25,-1.12,68,-0.61,17,16,18,-0.50,5,8,63,47,74,0.96,57,313.9,-0.37,58,50,66,1.02,,,,75,52,105,,,,128,98,165,43,35,51,1979,13,12,15,0.04,11,61,1651:1,-0.01,10,53,1888:1,-0.05,54,286,350:1,-1.12,7637,1.21,,,,,,50,-0.34,,,,,,53,-1.11,24,27,,22,54,207,73,1.79,2467,4598,54,45,62,0.81,247,9519,2.6,-0.71,18,12,24,-0.16,53,48,,66,19,90435,27043,3.3,-0.94,1558,4798,32,25,40,0.13,34,18.7,-0.60,48,258,0.64,64,70,54,89,-0.67,,,,,,,,,,,,,,,,6.2,0.26,No,-0.59,13,9,16,8,5,10,5,2,7,1,0,2,0.09,80,76,85,0.85,,,,,,,,,,,,,,,,9184,10,6,13,-1.08
46007,South Dakota,Bennett,69,17810,12724,24252,1.18,,,,,,,,,,,,,,,,21,20,21,1.14,4.6,4.4,4.7,1.36,4.0,3.8,4.2,1.30,,6,4,8,-0.32,,,,,,,,,,,,,,,,27,26,27,1.35,42,36,47,1.53,2.0,2.30,23,19,27,-0.41,4,1.74,16,15,16,-1.31,0,4,0,0,36,-1.29,30,868.6,0.73,69,54,88,1.48,,,,,,,,,,,,,,,,633,22,19,25,1.93,,,,0.00,2,58,1734:1,-0.16,1,29,3468:1,0.85,7283,1.04,10791,,,,6153,29,1.50,18,,,,38,7,1.93,5,,,,6,40,68,2.40,328,761,43,35,51,1.77,48,1074,4.5,0.61,45,29,60,2.06,58,,,66,4,79022,22143,3.6,-0.73,827,1205,69,50,87,2.36,4,11.6,0.39,16,451,1.85,24,139,89,207,0.76,,,,,,,,,,,,,,,,4.8,-1.07,No,-0.59,23,17,29,10,5,15,14,9,19,1,0,2,1.58,66,61,70,-1.39,63,40,87,,,,,,,,,,73,64,82,1175,21,13,29,0.04
46009,South Dakota,Bon Homme,74,5758,3856,8270,-0.68,,,,,,,,,,,,,,,,12,11,12,-0.36,2.9,2.8,3.1,-0.45,2.9,2.7,3.0,-0.49,x,5,3,7,-1.07,,,,,,,,,,,,,,,,15,15,16,-0.29,40,29,50,1.15,8.5,-0.84,27,20,37,0.57,67,-0.56,20,20,21,1.54,1,6,17,1,43,-0.69,9,128.9,-0.73,8,4,15,-1.03,,,,,,,,,,,,,,,,474,11,10,13,-0.51,4,57,1746:1,0.09,3,43,2327:1,0.19,1,14,6980:1,0.96,5757,0.30,,,,,,59,-1.13,,,,,,33,0.21,,,,,,71,97,-0.90,842,1721,49,43,55,1.24,73,2878,2.5,-0.75,19,13,26,-0.09,,,,85,16,95875,23231,4.1,-0.20,333,1299,26,16,35,-0.29,15,21.5,-0.98,1,14,-0.89,28,80,53,116,-0.46,,,,,,,,,,,,,,,,7.3,1.30,No,-0.59,8,5,10,3,1,6,2,0,3,4,2,6,-0.65,72,68,76,-0.45,,,,,,,,,,,,,,,,2857,26,21,30,0.49
46011,South Dakota,Brookings,203,4638,3747,5529,-0.86,,,,,,,,,,,,,,,,11,10,11,-0.59,3.1,2.9,3.2,-0.33,2.9,2.7,3.0,-0.45,,5,4,6,-0.84,,,,10,5,16,,,,6,3,10,5,4,6,13,13,14,-0.56,28,26,31,-0.91,6.9,-0.07,15,13,17,-2.12,84,-1.18,20,19,22,1.57,6,16,38,24,50,0.06,121,353.2,-0.29,7,6,9,-1.07,,,,,,,,,,63,39,98,5,4,7,2419,9,7,10,-1.00,20,58,1713:1,0.05,15,43,2349:1,0.20,43,122,819:1,0.13,4325,-0.39,,,,,,52,-0.51,,,,,,59,-1.51,,73,,,59,333,88,0.12,6151,7937,77,71,84,-1.36,538,19019,2.8,-0.54,9,6,12,-0.93,98,,26,50,5,105072,23510,4.5,0.13,1213,6912,18,12,23,-0.79,56,16.3,-0.27,39,114,-0.26,86,50,40,62,-1.07,,,,,,,,,,,,,,,,6.9,0.92,No,-0.59,13,11,16,12,9,15,1,0,2,2,0,3,0.19,77,74,80,0.34,,,,,,,,,,61,36,86,79,77,81,18934,11,9,13,-0.95
46013,South Dakota,Brown,391,5187,4404,5970,-0.77,,,,,,,,,,,,,,,,12,11,12,-0.35,3.1,3.0,3.3,-0.25,2.9,2.7,3.0,-0.44,,6,5,7,-0.13,6,3,10,9,5,14,,,,,,,6,5,7,14,14,15,-0.42,32,29,34,-0.35,7.9,-0.55,21,19,23,-0.75,79,-1.02,18,17,19,-0.05,3,11,27,11,45,-0.31,175,446.7,-0.10,18,15,21,-0.64,37,22,58,,,,,,,52,26,93,16,13,18,3402,11,9,12,-0.60,25,64,1567:1,-0.11,22,56,1787:1,-0.12,139,354,283:1,-1.64,4918,-0.10,11351,25000,,,4821,61,-1.30,28,,,,62,52,-1.05,44,,31,23,52,391,90,-0.13,6641,9445,70,65,76,-0.71,591,20891,2.8,-0.54,11,8,15,-0.75,76,24,18,,9,103077,24790,4.2,-0.17,2732,9230,30,23,36,-0.04,64,16.3,-0.27,116,312,0.98,129,66,55,78,-0.74,,,,,,,,,,,,,,,,5.9,-0.02,No,-0.59,11,9,14,10,7,12,1,1,2,0,0,1,-0.12,82,80,85,1.13,,,,,,,,,,,,,,,,20469,9,7,11,-1.14
46015,South Dakota,Brule,64,6936,4645,9961,-0.50,,,,,,,,,,,,,,,,12,11,13,-0.33,3.1,3.0,3.3,-0.28,3.1,2.9,3.2,-0.17,,5,3,7,-0.89,,,,,,,,,,,,,,,,16,15,17,-0.20,29,22,38,-0.77,7.4,-0.31,25,18,34,0.07,63,-0.42,17,17,18,-0.25,0,1,0,0,66,-1.29,27,508.3,0.02,28,20,39,-0.22,62,36,101,,,,,,,,,,20,12,31,770,18,16,20,1.09,8,151,664:1,-2.70,2,38,2615:1,0.30,6,115,872:1,0.19,2679,-1.18,,,,,,54,-0.69,36,,,,55,42,-0.39,31,,,,43,79,85,0.48,718,1089,66,54,78,-0.31,69,2536,2.7,-0.62,22,16,28,0.18,20,,,20,25,95250,23262,4.1,-0.23,366,1293,28,18,38,-0.12,8,15.1,-0.09,21,662,3.00,23,87,55,131,-0.31,,,,,,,,,,,,,,,,6.0,0.07,No,-0.59,11,7,14,6,3,9,3,0,5,3,1,5,-0.22,72,68,76,-0.44,,,,,,,,,,,,,,,,2724,11,7,15,-0.93
46017,South Dakota,Buffalo,59,29138,21000,39387,2.94,,,,,,,,,,,,,,,,30,29,31,2.70,5.8,5.5,6.0,2.68,4.8,4.6,5.1,2.63,,9,6,12,1.87,,,,,,,,,,,,,,,,36,35,37,2.71,48,38,58,2.66,0.0,3.00,24,17,33,-0.21,0,1.89,17,16,18,-0.42,1,2,50,10,77,0.51,32,1600.8,2.18,81,59,108,1.98,,,,,,,,,,,,,,,,345,19,16,22,1.40,0,0,1999:0,1.80,4,196,509:1,-3.00,5,246,407:1,-0.81,2713,-1.17,,,,,,26,1.77,19,,,,42,37,-0.05,40,,,,26,,,0.00,156,455,34,24,44,2.57,42,709,5.9,1.63,51,37,66,2.62,45,,,,7,66353,11017,6.0,1.61,519,769,67,55,80,2.29,0,0.0,2.01,,,0.00,23,224,142,337,2.52,,,,,,,,,,,,,,,,5.8,-0.12,No,-0.59,25,18,32,14,6,23,14,7,21,2,1,2,1.89,75,68,83,0.06,,,,,,,,,,,,,,,,646,17,9,25,-0.35
46019,South Dakota,Butte,123,6733,4754,8712,-0.53,,,,,,,,,,,,,,,,13,12,13,-0.18,3.3,3.1,3.4,-0.11,3.1,3.0,3.3,-0.04,,7,6,9,0.74,,,,,,,,,,,,,,,,16,15,17,-0.21,32,26,38,-0.26,7.9,-0.55,22,17,27,-0.64,72,-0.76,16,16,17,-0.95,5,8,63,47,74,0.96,41,405.7,-0.19,33,26,42,-0.01,,,,,,,,,,,,,,,,898,11,10,13,-0.48,2,20,5054:1,1.21,6,59,1704:1,-0.18,4,39,2556:1,0.77,2418,-1.31,,,,,,40,0.54,55,,,,39,32,0.28,39,,,25,32,111,94,-0.51,1091,2209,49,38,61,1.20,165,5050,3.3,-0.23,19,12,25,-0.11,75,,,11,5,88440,18656,4.7,0.39,754,2306,33,20,45,0.15,10,9.9,0.63,16,155,-0.01,33,65,44,91,-0.78,,,,,,,,,,,,,,,,5.1,-0.78,No,-0.59,12,8,16,10,6,14,1,0,2,1,0,3,-0.05,72,69,76,-0.36,,,,,,,,,,,,,,,,4841,23,17,29,0.22
