FIPS,State,County,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,% Fair or Poor Health,95% CI - Low,95% CI - High,Z-Score,Average Number of Physically Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Average Number of Mentally Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Unreliable,% Low Birthweight,95% CI - Low,95% CI - High,Z-Score,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low,95% CI - High,Z-Score,% Adults with Obesity,95% CI - Low,95% CI - High,Z-Score,Food Environment Index,Z-Score,% Physically Inactive,95% CI - Low,95% CI - High,Z-Score,% With Access to Exercise Opportunities,Z-Score,% Excessive Drinking,95% CI - Low,95% CI - High,Z-Score,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low,95% CI - High,Z-Score,# Chlamydia Cases,Chlamydia Rate,Z-Score,Teen Birth Rate,95% CI - Low,95% CI - High,Z-Score,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Z-Score,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score,# Dentists,Dentist Rate,Dentist Ratio,Z-Score,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score,Preventable Hospitalization Rate,Z-Score,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Z-Score,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),Cohort Size,High School Graduation Rate,Z-Score,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Z-Score,# Unemployed,Labor Force,% Unemployed,Z-Score,% Children in Poverty,95% CI - Low,95% CI - High,Z-Score,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score,# Single-Parent Households,# Households,% Single-Parent Households,95% CI - Low,95% CI - High,Z-Score,# Associations,Social Association Rate,Z-Score,Annual Average Violent Crimes,Violent Crime Rate,Z-Score,# Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,Z-Score,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score,Presence of Water Violation,Z-Score,% Severe Housing Problems,95% CI - Low,95% CI - High,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score,% Drive Alone to Work,95% CI - Low,95% CI - High,Z-Score,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low,95% CI - High,Z-Score
47000,Tennessee,,106691,9285,9202,9368,,,,,,,,,,,,,,,,,20,18,21,,4.2,4.0,4.5,,4.4,4.0,4.7,,,9,9,9,,,,,,,,,,,,,,,,,23,21,24,,33,,,,6.4,,27,,,,70,,14,13,16,,1264,5027,25,24,26,,35087,522.4,,31,31,31,,,,,,,,,,,,,,,,,621332,11,11,12,,4812,72,1396:1,,3648,54,1856:1,,10280,152,659:1,,5320,,,,,,,41,,,,,,,49,,,,,,,71587,90,,1051836,1731187,61,60,61,,113266,3244928,3.5,,22,21,23,,,,,,,101453,21282,4.8,,525144,1486677,35,35,36,,7617,11.3,,40973,621,,29478,89,88,90,,,,,,,,,,,,,,,,,10.0,,,,15,14,15,,,,,,,,,,,83,83,84,,,,,,,,,,,,,,,,,3003226,35,34,35,
47001,Tennessee,Anderson,1369,10009,9172,10846,-0.19,,,,,,,11583,7757,16635,,,,10272,9375,11170,19,18,20,-0.88,4.3,4.1,4.5,-0.63,4.7,4.5,4.9,-0.16,,9,8,10,-0.09,,,,,,,11,7,16,,,,9,8,10,21,20,22,-0.69,33,26,41,-0.20,7.5,0.29,26,20,33,-0.85,66,-0.67,14,14,15,0.34,15,57,26,19,34,-0.09,294,385.5,0.04,34,31,37,-0.20,,,,,,,32,22,45,25,14,42,35,32,39,6218,10,9,12,-0.97,41,54,1860:1,-0.26,53,69,1443:1,-1.85,70,92,1093:1,-0.20,4916,-0.58,,,5116,,4950,48,-1.64,,52,63,62,48,56,-1.58,,71,50,56,56,859,92,0.15,10238,17800,58,53,62,-0.85,1288,34283,3.8,-0.38,22,15,28,-0.33,,18,22,38,20,99106,21053,4.7,0.24,5614,15668,36,31,41,0.40,114,14.9,-1.35,251,401,0.05,402,106,95,116,0.33,,,,,,,98,57,156,,,,109,98,120,10.3,0.55,No,-0.50,13,12,15,12,10,13,1,1,2,1,1,1,-0.05,87,86,88,0.85,,,,87,77,97,87,83,90,80,63,96,90,89,92,32206,36,32,39,-0.30
47003,Tennessee,Bedford,859,10294,9268,11319,-0.03,,,,,,,12221,8844,16461,6844,4583,9829,10426,9226,11626,22,21,23,0.23,4.6,4.4,4.8,0.16,4.8,4.6,5.0,-0.02,,9,8,10,-0.09,,,,,,,14,11,18,6,4,7,9,8,10,23,22,23,0.17,34,26,42,-0.04,7.9,-0.33,32,25,40,0.35,49,0.16,16,15,16,1.46,17,42,40,33,48,1.32,204,424.0,0.24,42,38,46,0.57,,,,,,,32,22,47,50,40,61,42,37,47,5801,14,13,16,1.69,17,35,2830:1,0.36,13,27,3772:1,0.48,33,67,1486:1,0.12,5695,-0.12,,,5596,13851,5537,44,-0.88,,,55,31,44,44,0.40,,,34,33,45,571,91,0.45,5031,12185,41,36,46,0.72,772,20592,3.7,-0.39,23,16,29,-0.19,,,28,24,20,90048,23218,3.9,-1.35,4406,12145,36,30,43,0.46,39,8.1,0.46,200,425,0.17,199,83,72,95,-0.73,,,,,,,51,24,93,38,19,69,95,81,109,10.5,0.95,Yes,1.99,15,12,17,12,10,14,3,2,5,0,0,1,0.68,80,77,83,-1.32,,,,,,,84,71,98,64,54,74,80,76,84,21250,35,31,38,-0.39
47005,Tennessee,Benton,428,14479,12233,16726,2.33,,,,,,,,,,,,,,,,23,22,24,0.74,5.0,4.8,5.2,1.25,5.1,4.8,5.3,1.04,,9,7,10,-0.18,,,,,,,,,,,,,,,,24,23,25,0.64,35,26,44,0.18,7.4,0.45,29,22,38,-0.13,48,0.22,12,12,13,-1.15,7,24,29,18,40,0.20,49,306.5,-0.35,46,39,54,1.05,,,,,,,,,,,,,,,,1489,12,10,14,0.40,3,19,5329:1,0.92,3,19,5395:1,0.91,7,43,2312:1,0.44,5854,-0.02,,,9855,,5800,34,1.03,,,,,,47,-0.10,,,34,50,47,166,96,-0.77,1548,3276,47,39,55,0.14,336,6848,4.9,1.13,30,20,40,0.96,,,,,,70582,14542,4.9,0.52,1071,3078,35,25,45,0.25,20,12.5,-0.71,25,152,-1.15,130,162,134,189,2.98,,,,,,,,,,,,,,,,10.0,-0.06,No,-0.50,16,13,19,13,10,16,3,1,5,2,0,3,1.39,87,82,93,1.03,,,,,,,,,,,,,,,,5448,28,23,33,-1.00
47007,Tennessee,Bledsoe,229,8126,6427,9824,-1.25,,,,,,,,,,,,,,,,23,22,23,0.46,4.7,4.5,4.9,0.30,4.8,4.5,5.0,-0.04,,7,5,9,-1.83,,,,,,,,,,,,,,,,25,24,26,1.13,33,24,42,-0.24,7.9,-0.33,26,18,35,-0.79,24,1.43,15,14,15,0.52,4,10,40,23,56,1.27,142,964.9,2.95,42,34,51,0.58,,,,,,,,,,,,,,,,1422,15,13,17,2.13,1,7,14717:1,1.33,3,20,4918:1,0.82,4,27,3689:1,0.65,5664,-0.14,,,,,,40,-0.11,,,,,,39,1.22,,,,,,124,85,1.79,1539,4045,38,30,46,1.03,250,4303,5.8,2.31,35,25,45,1.75,,,,49,24,90457,16823,5.4,1.53,612,2304,27,18,35,-0.90,6,4.1,1.53,24,173,-1.05,66,91,70,116,-0.38,,,,,,,,,,,,,,,,9.4,-1.26,No,-0.50,17,12,21,11,8,15,4,1,6,2,0,4,1.66,77,73,80,-2.42,,,,,,,,,,,,,,,,5603,53,43,62,1.27
47009,Tennessee,Blount,2049,8842,8235,9448,-0.85,,,,,,,8219,5545,11733,,,,9159,8504,9814,20,19,21,-0.60,4.3,4.1,4.5,-0.79,4.5,4.3,4.8,-0.77,,8,7,9,-0.83,,,,,,,11,7,15,5,3,7,8,7,9,21,21,22,-0.50,33,27,40,-0.20,7.7,-0.02,25,19,31,-1.11,68,-0.75,15,14,16,0.80,32,109,29,24,34,0.22,427,328.6,-0.24,28,27,31,-0.80,,,,,,,31,22,44,35,25,48,28,26,31,10561,10,9,12,-0.99,90,69,1444:1,-0.79,76,58,1728:1,-1.23,163,124,806:1,-0.63,5193,-0.42,,,4600,,5217,46,-1.26,,41,54,45,46,54,-1.25,,52,46,43,54,1330,94,-0.44,17744,30155,59,55,62,-0.97,2009,62275,3.2,-1.08,14,9,18,-1.67,,14,29,35,14,102565,24415,4.2,-0.73,7123,26310,27,23,31,-0.83,137,10.5,-0.18,449,354,-0.18,546,85,78,92,-0.67,,,,,,,48,23,88,,,,89,82,97,10.1,0.15,No,-0.50,13,11,14,11,10,13,1,1,2,1,0,1,-0.16,87,85,88,0.79,,,,,,,89,84,95,85,69,100,87,86,88,59126,35,33,38,-0.31
47011,Tennessee,Bradley,1599,8125,7525,8726,-1.25,,,,,,,8516,6084,11597,,,,8435,7771,9099,22,21,22,0.07,4.6,4.4,4.7,-0.04,4.7,4.5,4.9,-0.24,,9,8,9,-0.28,,,,,,,12,9,15,7,5,9,9,8,9,22,21,23,-0.27,38,33,43,0.90,7.3,0.61,33,28,37,0.49,77,-1.19,14,13,14,-0.04,18,65,28,21,34,0.05,394,373.2,-0.02,31,29,34,-0.49,,,,,,,30,22,40,45,36,56,31,29,33,11377,13,12,15,1.01,57,54,1852:1,-0.27,49,46,2178:1,-0.58,100,94,1067:1,-0.23,5610,-0.17,,,8859,5318,5491,43,-0.69,,16,46,36,43,45,0.23,,37,39,34,45,1186,91,0.45,14870,26099,57,53,61,-0.79,1803,50258,3.6,-0.60,21,16,26,-0.49,,4,14,45,22,92993,21734,4.3,-0.58,7398,23023,32,27,37,-0.12,147,13.9,-1.08,576,554,0.79,404,77,70,85,-1.03,,,,,,,66,39,105,38,20,67,82,74,90,10.7,1.35,No,-0.50,15,13,17,12,10,14,3,2,3,1,1,2,0.86,82,80,84,-0.65,,,,,,,77,69,86,82,73,92,83,82,85,46836,27,24,29,-1.11
47013,Tennessee,Campbell,997,13905,12558,15253,2.01,,,,,,,,,,,,,,,,22,21,22,0.07,4.7,4.5,5.0,0.44,5.0,4.7,5.3,0.79,,10,9,11,1.34,,,,,,,,,,,,,,,,24,23,25,0.76,33,25,41,-0.24,7.1,0.92,30,22,38,-0.07,65,-0.62,13,12,14,-0.59,11,50,22,15,30,-0.51,111,280.0,-0.49,47,42,52,1.12,,,,,,,,,,,,,,,,3847,12,11,14,0.42,19,48,2087:1,-0.06,12,30,3299:1,0.27,20,51,1979:1,0.34,7669,1.06,,,,,,43,-0.69,,,,,,42,0.73,,,,,,460,94,-0.25,3902,9318,42,36,47,0.66,702,14752,4.8,0.93,28,18,37,0.61,,,,42,27,78901,15326,5.1,1.09,2920,7941,37,31,43,0.53,41,10.3,-0.13,167,419,0.14,229,115,100,130,0.78,,,,,,,,,,,,,,,,9.7,-0.66,Yes,1.99,13,11,15,12,10,14,1,0,1,1,0,1,-0.28,83,79,86,-0.46,,,,,,,,,,,,,,,,14949,38,34,43,-0.05
47015,Tennessee,Cannon,289,11229,9239,13219,0.50,,,,,,,,,,,,,,,,20,19,20,-0.66,4.4,4.2,4.6,-0.40,4.8,4.6,5.0,0.04,,9,8,11,0.42,,,,,,,,,,,,,,,,22,21,23,-0.07,37,27,48,0.70,8.4,-1.11,28,19,40,-0.35,21,1.56,15,14,15,0.58,6,16,38,24,50,1.03,49,344.7,-0.16,37,30,45,0.06,,,,,,,,,,,,,,,,1381,12,10,14,0.13,3,21,4739:1,0.84,4,28,3616:1,0.42,2,14,7231:1,0.83,7375,0.89,,,,,,43,-0.69,,,,,,45,0.23,,,50,,45,137,93,0.00,1366,3446,40,32,47,0.88,201,6368,3.2,-1.17,22,15,29,-0.31,,,,11,27,86270,20881,4.1,-0.87,879,2967,30,20,39,-0.47,12,8.4,0.37,25,177,-1.03,98,139,113,170,1.92,,,,,,,,,,,,,,,,9.7,-0.66,No,-0.50,11,8,15,8,5,11,2,1,4,1,0,2,-0.91,86,84,89,0.62,,,,,,,,,,,,,,,,6224,60,52,69,1.97
47017,Tennessee,Carroll,584,10179,8852,11506,-0.10,,,,,,,,,,,,,,,,21,20,22,-0.14,4.5,4.3,4.7,-0.25,4.8,4.5,5.0,-0.06,,7,6,9,-1.32,,,,,,,12,7,17,12,5,18,7,6,8,23,22,24,0.27,30,23,37,-0.83,7.6,0.14,32,25,39,0.41,24,1.41,13,12,14,-0.78,6,26,23,13,34,-0.41,136,488.2,0.56,31,26,35,-0.57,,,,,,,26,17,39,58,32,95,30,26,35,2295,11,9,12,-0.60,14,50,1990:1,-0.14,7,25,4003:1,0.56,14,50,2001:1,0.35,6181,0.17,,,6569,6202,6131,39,0.08,,,34,,39,52,-0.92,,,44,,53,314,96,-0.95,3189,6238,51,45,58,-0.23,591,11940,4.9,1.18,28,20,35,0.56,,,35,34,21,79836,16981,4.7,0.23,2166,5934,37,27,46,0.49,33,11.8,-0.53,72,254,-0.66,136,97,81,113,-0.09,,,,,,,85,45,146,,,,102,84,120,10.2,0.35,No,-0.50,14,12,17,12,10,15,2,1,3,1,0,1,0.39,87,86,87,0.80,,,,,,,,,,,,,,,,10635,32,28,37,-0.59
