FIPS,State,County,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,% Fair or Poor Health,95% CI - Low,95% CI - High,Z-Score,Average Number of Physically Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Average Number of Mentally Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Unreliable,% Low Birthweight,95% CI - Low,95% CI - High,Z-Score,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low,95% CI - High,Z-Score,% Adults with Obesity,95% CI - Low,95% CI - High,Z-Score,Food Environment Index,Z-Score,% Physically Inactive,95% CI - Low,95% CI - High,Z-Score,% With Access to Exercise Opportunities,Z-Score,% Excessive Drinking,95% CI - Low,95% CI - High,Z-Score,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low,95% CI - High,Z-Score,# Chlamydia Cases,Chlamydia Rate,Z-Score,Teen Birth Rate,95% CI - Low,95% CI - High,Z-Score,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Z-Score,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score,# Dentists,Dentist Rate,Dentist Ratio,Z-Score,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score,Preventable Hospitalization Rate,Z-Score,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Z-Score,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),Cohort Size,High School Graduation Rate,Z-Score,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Z-Score,# Unemployed,Labor Force,% Unemployed,Z-Score,% Children in Poverty,95% CI - Low,95% CI - High,Z-Score,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score,# Single-Parent Households,# Households,% Single-Parent Households,95% CI - Low,95% CI - High,Z-Score,# Associations,Social Association Rate,Z-Score,Annual Average Violent Crimes,Violent Crime Rate,Z-Score,# Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,Z-Score,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score,Presence of Water Violation,Z-Score,% Severe Housing Problems,95% CI - Low,95% CI - High,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score,% Drive Alone to Work,95% CI - Low,95% CI - High,Z-Score,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low,95% CI - High,Z-Score
48000,Texas,,297317,6651,6618,6684,,,,,,,,,,,,,,,,,21,19,22,,3.7,3.4,4.0,,3.8,3.5,4.1,,,8,8,8,,,,,,,,,,,,,,,,,16,14,17,,30,,,,6.0,,24,,,,81,,20,18,21,,4917,18289,27,27,27,,151533,535.4,,34,34,35,,,,,,,,,,,,,,,,,4704625,19,19,20,,17239,61,1642:1,,16544,58,1735:1,,32674,114,878:1,,5011,,,,,,,37,,,,,,,44,,,,,,,,95,,4828676,7861879,61,61,62,,533882,13848097,3.9,,21,21,22,,,,,,,120934,24998,4.8,,2371830,7236743,33,32,33,,21579,7.6,,115228,420,,78815,57,56,57,,,,,,,,,,,,,,,,,8.8,,,,18,18,18,,,,,,,,,,,81,80,81,,,,,,,,,,,,,,,,,12842820,38,38,38,
48001,Texas,Anderson,1130,10927,9999,11855,1.40,,,,,,,13774,11176,16371,12464,10287,14641,10399,9186,11613,20,19,20,-0.20,3.9,3.7,4.0,-0.22,4.0,3.8,4.1,-0.38,,7,7,8,-0.58,,,,,,,11,9,13,5,4,6,7,6,8,17,17,18,1.56,37,27,47,0.96,5.9,1.07,23,16,32,-0.93,26,1.39,19,19,20,0.73,13,54,24,17,32,0.05,219,379.3,-0.11,46,42,51,0.29,,,,,,,41,32,52,57,47,67,44,38,49,7161,20,18,22,-0.42,20,35,2887:1,0.31,23,40,2524:1,-0.36,25,43,2322:1,0.30,5229,-0.04,,,6774,3979,4978,36,-0.47,,,36,25,37,43,-0.67,,50,35,34,45,,97,-0.59,7402,18726,40,36,43,1.05,728,23561,3.1,-0.65,23,15,30,-0.21,77,,35,26,14,82461,19270,4.3,-0.60,3629,11168,32,26,39,0.09,58,10.0,0.22,241,417,0.95,238,82,72,93,0.25,,,,,,,62,44,84,59,40,84,96,81,111,9.9,0.87,Yes,0.86,14,12,17,9,7,11,5,3,6,1,0,1,0.05,86,84,89,1.07,,,,,,,81,72,89,85,75,94,88,87,90,18980,26,22,30,-0.34
48003,Texas,Andrews,180,7138,5774,8501,-0.74,,,,,,,,,,6376,4776,8340,8135,5754,10515,20,19,21,-0.17,3.6,3.5,3.8,-0.71,3.7,3.6,3.9,-1.30,,6,5,7,-1.35,,,,,,,,,,6,5,8,6,5,8,13,13,14,-1.02,35,25,47,0.65,8.1,-1.03,26,16,38,-0.22,94,-1.57,20,19,21,1.21,21,51,41,34,48,1.43,65,366.8,-0.14,65,58,73,1.57,,,,,,,,,,77,67,87,44,34,57,3486,22,20,24,0.19,9,51,1969:1,-0.34,4,22,4532:1,0.49,3,17,6043:1,0.82,5664,0.24,,,,6598,5443,26,1.11,,,,29,25,24,1.27,,,36,19,26,,96,-0.42,2001,4873,41,33,49,0.91,225,9382,2.4,-1.20,14,9,19,-1.33,,,,17,4,132125,30987,4.3,-0.62,1150,5519,21,11,31,-1.27,13,7.3,0.73,90,494,1.43,76,85,67,107,0.37,,,,,,,,,,80,57,109,93,64,130,7.3,-1.07,Yes,0.86,16,12,21,7,4,10,8,4,12,1,0,3,0.54,79,76,81,-0.37,,,,,,,,,,74,67,81,86,81,91,8184,31,24,37,0.03
48005,Texas,Angelina,1375,8914,8221,9607,0.27,,,,,,,14229,11995,16463,5305,4199,6411,8833,7917,9749,21,20,21,0.04,4.1,4.0,4.2,0.29,4.3,4.2,4.5,1.02,,9,8,10,0.75,,,,10,5,16,15,13,17,9,7,10,8,7,8,16,15,16,0.56,41,37,45,1.77,6.2,0.79,35,31,38,1.52,65,-0.31,16,15,16,-1.20,20,90,22,17,28,-0.10,420,478.3,0.12,42,39,45,-0.04,,,,,,,43,37,50,44,38,49,41,37,45,15499,22,20,24,0.09,52,59,1689:1,-0.68,42,48,2074:1,-0.78,117,134,744:1,-1.49,4638,-0.42,,,6217,3380,4564,41,-1.26,,39,40,42,41,48,-1.18,,52,37,47,49,,92,0.19,11837,21780,54,50,59,-0.35,1589,36211,4.4,0.38,27,20,33,0.33,46,8,47,27,18,88122,19834,4.4,-0.36,8663,22462,39,33,44,0.80,99,11.3,-0.01,275,312,0.30,301,69,61,76,-0.40,,,,,,,85,65,110,32,22,46,79,68,90,9.8,0.80,Yes,0.86,17,15,19,12,11,14,5,4,6,2,1,2,0.83,81,78,83,0.02,,,,,,,73,68,78,80,75,85,85,83,87,35176,16,14,18,-1.09
48007,Texas,Aransas,492,8770,7435,10105,0.18,,,,,,,,,,5775,4087,7926,10263,8344,12182,21,20,21,-0.03,4.1,4.0,4.3,0.35,4.3,4.1,4.4,0.72,,9,8,11,0.92,,,,,,,,,,8,6,10,10,8,12,14,14,15,-0.55,41,30,53,1.73,5.8,1.17,36,25,49,1.90,81,-0.99,16,15,16,-1.12,1,21,5,0,17,-1.51,122,477.1,0.11,40,34,46,-0.13,,,,,,,,,,51,42,63,33,26,41,4078,22,20,25,0.25,9,35,2841:1,0.29,7,29,3399:1,0.13,19,80,1252:1,-0.42,3318,-1.28,,,,3524,3116,41,-1.26,,35,,32,42,42,-0.57,,46,,34,43,,89,0.84,2170,4493,48,37,60,0.22,589,10314,5.7,1.42,35,23,46,1.38,,,,25,26,102962,19557,5.3,0.81,1669,4653,36,21,51,0.48,13,5.1,1.15,121,477,1.32,123,98,81,115,0.97,,,,,,,,,,53,31,84,122,99,146,9.3,0.42,Yes,0.86,14,11,17,11,8,14,3,1,4,0,0,1,-0.10,79,74,83,-0.41,,,,,,,,,,74,64,85,81,76,85,9765,29,22,36,-0.12
48009,Texas,Archer,125,8253,5884,10623,-0.11,,,,,,,,,,,,,,,,14,13,15,-1.39,3.4,3.2,3.6,-1.29,3.8,3.6,4.0,-0.91,,8,6,10,-0.06,,,,,,,,,,,,,,,,14,13,15,-0.61,27,18,37,-0.90,7.6,-0.55,19,12,29,-1.75,23,1.56,19,18,20,0.74,6,12,50,36,62,2.14,18,204.3,-0.51,23,17,31,-1.29,,,,,,,,,,,,,,,,1341,19,17,21,-0.57,,,,0.00,,,,0.00,,,,0.00,4758,-0.34,,,,,,38,-0.78,,,,,,46,-0.98,,,,,,,99,-1.06,1104,1857,59,51,68,-0.83,129,4184,3.1,-0.65,14,10,18,-1.29,,,,15,14,116886,26571,4.4,-0.43,446,1888,24,15,32,-0.95,8,9.1,0.40,11,202,-0.38,38,87,61,119,0.44,,,,,,,,,,,,,,,,8.5,-0.17,No,-1.16,9,6,13,7,4,10,2,1,4,0,0,1,-1.22,83,81,86,0.51,,,,,,,,,,,,,,,,4325,18,14,22,-0.93
48011,Texas,Armstrong,,,,,0.00,,,,,,,,,,,,,,,,12,12,13,-1.71,3.1,2.9,3.2,-2.02,3.6,3.4,3.8,-1.86,x,9,,,0.42,,,,,,,,,,,,,,,,12,11,12,-2.12,29,19,43,-0.42,6.5,0.50,23,13,37,-0.91,3,2.43,20,19,21,1.06,0,3,0,0,42,-1.89,115,6120.3,3.00,29,15,53,-0.88,,,,,,,,,,,,,,,,254,18,15,20,-0.91,0,0,1879:0,1.70,0,0,1892:0,1.56,,,,0.00,5488,0.13,,,,,,29,0.63,,,,,,26,1.07,,,,,,,100,-1.16,296,403,73,58,89,-2.15,26,926,2.8,-0.87,15,10,20,-1.16,,,,,,124750,34021,3.7,-1.47,100,396,25,8,42,-0.76,5,26.6,-2.89,3,153,-0.68,11,115,58,206,1.77,,,,,,,,,,,,,,,,6.8,-1.44,No,-1.16,10,5,15,8,1,15,1,0,6,0,0,3,-1.08,68,60,75,-2.45,,,,,,,,,,,,,,,,948,48,37,60,1.38
48013,Texas,Atascosa,611,7754,6886,8621,-0.39,,,,,,,,,,7406,6367,8444,8337,6680,9993,24,23,24,0.61,4.0,3.9,4.2,0.20,4.0,3.8,4.2,-0.26,,8,7,9,-0.06,,,,,,,,,,8,7,9,7,6,9,14,14,15,-0.39,37,26,48,1.00,8.3,-1.22,32,22,44,1.00,41,0.74,18,17,18,-0.18,11,59,19,12,26,-0.39,401,818.7,0.90,47,43,51,0.34,,,,,,,,,,53,48,58,34,28,41,7924,19,17,21,-0.56,8,16,6123:1,1.04,21,42,2396:1,-0.47,20,40,2516:1,0.37,5400,0.07,,,,5654,5161,29,0.63,,,,27,31,36,0.05,,,31,33,38,,93,0.17,5117,12378,41,36,47,0.88,800,21247,3.8,-0.12,24,16,31,-0.04,,,,26,13,105098,23811,4.4,-0.41,4995,13486,37,30,44,0.62,34,6.9,0.80,109,222,-0.25,163,67,56,77,-0.49,,,,,,,,,,57,46,70,85,66,107,9.6,0.65,No,-1.16,14,11,16,7,5,9,6,5,8,2,1,3,-0.08,78,75,81,-0.47,,,,,,,,,,77,73,81,81,76,87,19554,51,45,56,1.55
48015,Texas,Austin,379,7371,6199,8544,-0.60,,,,,,,,,,5258,3572,7463,8342,6637,10046,17,17,18,-0.73,3.6,3.5,3.7,-0.84,3.9,3.8,4.1,-0.55,,8,7,9,-0.09,,,,,,,13,9,18,7,6,9,7,6,9,14,13,14,-0.94,32,24,41,0.00,7.6,-0.55,29,21,39,0.40,26,1.38,19,19,20,0.83,3,30,10,3,20,-1.09,74,248.4,-0.41,30,26,34,-0.87,,,,,,,57,41,76,39,31,47,18,14,23,4882,20,18,22,-0.26,6,20,4964:1,0.89,12,40,2499:1,-0.38,10,33,2999:1,0.49,4223,-0.69,,,8178,2654,3872,38,-0.78,,,24,25,39,40,-0.36,,,30,34,40,,97,-0.59,4033,6614,61,54,68,-0.97,509,14015,3.6,-0.22,17,11,23,-0.95,,,30,29,4,117074,25103,4.7,-0.05,1796,7060,25,19,32,-0.73,37,12.4,-0.23,70,238,-0.16,106,72,58,85,-0.26,,,,,,,,,,33,18,56,94,75,116,10.2,1.10,Yes,0.86,15,11,18,10,7,13,4,2,6,1,0,2,0.08,84,81,87,0.56,,,,,,,80,47,100,84,74,94,83,79,87,13594,42,37,47,0.87
48017,Texas,Bailey,76,9062,6610,12125,0.35,,,,,,,,,,,,,,,,27,26,28,1.28,4.5,4.4,4.6,1.20,4.3,4.1,4.4,0.84,,7,6,9,-0.46,,,,,,,,,,8,6,11,5,2,7,16,16,17,0.82,31,19,47,-0.04,8.3,-1.22,25,14,38,-0.61,82,-1.06,16,16,17,-0.91,2,5,40,15,62,1.33,28,395.6,-0.07,63,51,74,1.40,,,,,,,,,,63,51,78,49,29,79,1623,27,24,30,1.50,3,42,2359:1,0.00,3,43,2342:1,-0.51,2,28,3514:1,0.59,5380,0.06,,,,4360,4889,33,0.00,,,,20,39,41,-0.47,,,,37,42,,100,-1.16,832,1866,45,32,58,0.57,116,2655,4.4,0.36,26,17,35,0.25,,,,17,35,91974,25580,3.6,-1.57,747,2024,37,17,57,0.61,5,7.1,0.78,12,160,-0.63,28,79,53,114,0.09,,,,,,,,,,58,31,99,123,69,203,6.8,-1.44,No,-1.16,14,9,20,5,1,10,9,4,13,1,0,3,0.07,66,54,77,-2.84,,,,,,,,,,65,58,71,76,59,94,3080,26,14,39,-0.32
