FIPS,State,County,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,% Fair or Poor Health,95% CI - Low,95% CI - High,Z-Score,Average Number of Physically Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Average Number of Mentally Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Unreliable,% Low Birthweight,95% CI - Low,95% CI - High,Z-Score,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low,95% CI - High,Z-Score,% Adults with Obesity,95% CI - Low,95% CI - High,Z-Score,Food Environment Index,Z-Score,% Physically Inactive,95% CI - Low,95% CI - High,Z-Score,% With Access to Exercise Opportunities,Z-Score,% Excessive Drinking,95% CI - Low,95% CI - High,Z-Score,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low,95% CI - High,Z-Score,# Chlamydia Cases,Chlamydia Rate,Z-Score,Teen Birth Rate,95% CI - Low,95% CI - High,Z-Score,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Z-Score,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score,# Dentists,Dentist Rate,Dentist Ratio,Z-Score,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score,Preventable Hospitalization Rate,Z-Score,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Z-Score,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),Cohort Size,High School Graduation Rate,Z-Score,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Z-Score,# Unemployed,Labor Force,% Unemployed,Z-Score,% Children in Poverty,95% CI - Low,95% CI - High,Z-Score,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score,# Single-Parent Households,# Households,% Single-Parent Households,95% CI - Low,95% CI - High,Z-Score,# Associations,Social Association Rate,Z-Score,Annual Average Violent Crimes,Violent Crime Rate,Z-Score,# Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,Z-Score,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score,Presence of Water Violation,Z-Score,% Severe Housing Problems,95% CI - Low,95% CI - High,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score,% Drive Alone to Work,95% CI - Low,95% CI - High,Z-Score,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low,95% CI - High,Z-Score
51000,Virginia,,94324,6411,6349,6472,,,,,,,,,,,,,,,,,16,15,17,,3.5,3.3,3.7,,3.8,3.6,4.1,,,8,8,8,,,,,,,,,,,,,,,,,16,15,18,,30,,,,8.9,,23,,,,82,,17,16,19,,1169,3876,30,29,31,,42374,500.3,,18,17,18,,,,,,,,,,,,,,,,,709136,10,10,10,,6420,76,1319:1,,5845,69,1457:1,,14897,175,572:1,,4461,,,,,,,44,,,,,,,50,,,,,,,97828,92,,1602127,2266739,71,70,71,,128585,4331384,3.0,,14,13,15,,,,,,,142587,29713,4.8,,549621,1848560,30,29,30,,9639,11.4,,17321,207,,26439,63,62,64,,,,,,,,,,,,,,,,,8.9,,,,15,15,15,,,,,,,,,,,77,77,77,,,,,,,,,,,,,,,,,4152433,40,40,40,
51001,Virginia,Accomack,600,9630,8297,10964,0.39,,,,,,,12332,9561,15102,,,,9162,7367,10957,20,20,21,1.03,4.2,4.0,4.3,1.03,4.2,4.0,4.3,0.56,,10,9,11,0.59,,,,,,,15,13,18,6,4,8,7,6,9,18,18,19,0.53,36,31,42,0.65,7.9,0.05,36,31,41,1.78,37,1.18,15,15,16,-0.80,12,33,36,27,45,0.62,211,648.3,0.62,31,27,36,0.58,,,,,,,42,34,53,52,38,72,19,14,24,4110,17,15,19,2.32,16,49,2034:1,0.25,15,46,2161:1,0.20,33,102,982:1,0.29,4264,-0.45,,,5300,,4060,42,0.39,,,45,35,42,44,0.68,,,41,44,45,383,86,1.28,3121,6916,45,39,52,1.31,639,16762,3.8,0.55,27,18,36,0.91,,,36,77,12,84337,20271,4.2,-0.43,3133,6821,46,37,55,1.02,35,10.8,0.30,74,226,0.22,143,87,73,102,0.29,,,,,,,86,61,117,,,,91,73,111,8.7,-0.59,No,-0.58,15,13,18,12,10,15,2,1,3,1,1,2,0.17,78,74,82,-0.33,,,,,,,76,66,85,64,48,81,82,79,84,13640,26,22,31,-0.92
51003,Virginia,Albemarle,846,4277,3823,4730,-1.50,,,,,,,7191,5437,8944,,,,4052,3542,4563,13,12,13,-1.20,3.1,3.0,3.3,-1.24,3.5,3.4,3.7,-1.18,,6,6,7,-0.99,,,,8,6,11,11,8,13,7,5,9,6,5,6,14,13,14,-1.26,21,18,25,-2.02,8.7,-0.64,18,14,21,-1.72,77,-0.37,21,20,21,1.78,23,62,37,31,43,0.67,333,309.2,-0.50,6,5,7,-1.38,,,,,,,12,9,17,18,13,24,4,4,5,8233,10,9,11,-0.58,161,149,669:1,-1.83,107,98,1016:1,-0.89,149,137,730:1,0.12,3717,-0.90,,,7247,,3372,50,-1.13,,50,52,33,50,59,-1.61,,47,46,43,60,1130,93,-0.27,19984,25901,77,73,81,-1.49,1495,55903,2.7,-0.93,10,7,12,-1.14,19,18,28,26,7,153457,33584,4.6,0.13,5347,21477,25,20,29,-0.75,110,10.2,0.40,106,100,-0.72,303,57,50,63,-1.01,,,,,,,42,27,64,,,,63,56,71,8.5,-1.06,No,-0.58,13,12,14,12,11,14,1,0,1,1,0,1,-0.37,77,75,78,-0.52,,,,60,52,68,71,65,78,64,56,71,77,75,79,51211,22,20,24,-1.21
51005,Virginia,Alleghany,304,8809,7004,10614,0.10,,,,,,,,,,,,,,,,16,15,17,-0.18,3.9,3.7,4.1,0.35,4.1,3.9,4.3,0.29,,7,6,9,-0.51,,,,,,,,,,,,,,,,17,16,18,-0.03,36,28,43,0.54,8.0,-0.04,28,21,35,0.18,100,-1.24,16,15,17,-0.43,5,17,29,16,43,0.12,32,211.6,-0.83,28,22,34,0.33,,,,,,,,,,,,,,,,1121,10,8,11,-0.62,7,46,2160:1,0.31,4,27,3728:1,0.61,4,27,3728:1,0.64,7221,1.98,,,,,,46,-0.37,,,,,,45,0.52,,,43,,46,204,94,-0.47,1559,3153,49,42,57,0.94,261,6948,3.8,0.48,21,15,28,0.21,,,37,,28,94211,17364,5.4,1.32,986,2857,35,25,44,0.05,25,16.5,-0.71,31,196,-0.01,62,80,62,103,0.00,,,,,,,,,,,,,,,,8.7,-0.59,No,-0.58,12,9,15,10,8,13,1,0,2,1,0,2,-0.65,87,83,90,0.88,,,,,,,,,,,,,,,,5960,32,26,38,-0.51
51007,Virginia,Amelia,246,10422,8307,12536,0.66,,,,,,,,,,,,,,,,16,15,16,-0.36,3.6,3.5,3.8,-0.19,3.9,3.7,4.0,-0.23,,7,5,9,-0.73,,,,,,,14,8,19,,,,6,5,8,17,17,18,0.15,41,33,50,1.50,8.1,-0.12,28,22,35,0.27,8,2.32,17,16,17,-0.24,8,18,44,32,55,1.19,36,276.5,-0.61,18,13,24,-0.43,,,,,,,23,13,39,,,,17,12,25,1426,14,12,16,1.00,1,8,13020:1,1.11,4,31,3253:1,0.53,8,61,1627:1,0.48,4610,-0.16,,,6291,,3892,39,0.96,,,42,,38,48,0.07,,,39,,50,134,90,0.28,1269,2561,50,38,61,0.93,201,6240,3.2,-0.22,13,9,18,-0.72,,,51,88,10,119042,24289,4.9,0.59,794,2777,29,14,44,-0.44,13,10.0,0.44,15,117,-0.59,75,116,91,145,1.51,,,,,,,70,34,129,,,,131,101,168,8.9,-0.12,No,-0.58,12,8,17,11,6,15,2,0,4,0,0,1,-0.52,85,79,91,0.62,,,,,,,,,,,,,,,,6174,70,59,80,2.06
51009,Virginia,Amherst,466,7514,6353,8676,-0.36,,,,,,,7677,5347,10677,,,,7621,6251,8990,16,16,17,-0.20,3.6,3.5,3.8,-0.16,4.0,3.8,4.1,0.00,,8,7,9,-0.46,,,,,,,11,8,14,,,,7,6,8,17,16,17,-0.03,35,27,44,0.46,8.0,-0.04,30,23,38,0.57,54,0.55,17,16,17,-0.29,5,29,17,8,28,-0.74,115,364.0,-0.32,23,19,26,-0.08,,,,,,,27,19,36,,,,22,18,26,2986,12,11,14,0.46,7,22,4513:1,0.81,7,22,4524:1,0.71,5,16,6333:1,0.70,5247,0.36,,,6490,,5079,34,1.92,,,39,,33,51,-0.39,,,47,,52,311,93,-0.38,4150,6943,60,53,66,0.03,488,14984,3.3,-0.17,19,12,25,-0.09,,,17,21,20,96993,23868,4.1,-0.56,1910,6155,31,24,38,-0.24,43,13.6,-0.20,43,133,-0.47,106,67,54,79,-0.59,,,,,,,61,37,95,,,,70,56,87,9.1,0.35,Yes,1.71,13,10,15,10,8,13,2,1,3,1,0,1,-0.42,83,79,87,0.37,,,,,,,84,75,93,,,,82,79,86,14355,29,26,33,-0.72
51011,Virginia,Appomattox,243,8718,6840,10596,0.06,,,,,,,14060,9617,19848,,,,7416,5370,9462,17,16,17,-0.05,3.8,3.6,4.0,0.18,4.0,3.8,4.2,0.12,,9,7,10,-0.02,,,,,,,16,11,20,,,,7,5,9,17,17,18,0.06,47,36,60,2.55,8.5,-0.47,37,27,48,1.85,55,0.51,17,16,17,-0.25,4,11,36,20,52,0.62,72,459.2,-0.01,27,21,33,0.24,,,,,,,22,13,35,,,,28,21,36,1467,12,10,13,0.22,2,13,7841:1,1.00,2,13,7921:1,0.91,2,13,7921:1,0.71,4541,-0.22,,,7464,,4097,37,1.35,,,39,,37,52,-0.54,,,41,,54,194,94,-0.52,2160,3587,60,52,69,-0.01,258,7083,3.6,0.33,19,14,25,0.01,,,31,48,14,101648,22067,4.6,0.19,986,3344,29,22,37,-0.37,26,16.6,-0.72,18,114,-0.61,62,80,61,102,-0.03,,,,,,,76,39,133,,,,80,59,106,9.0,0.11,No,-0.58,12,9,15,11,8,14,1,0,2,0,0,1,-0.49,80,75,84,-0.12,,,,,,,,,,,,,,,,6870,51,43,59,0.80
51013,Virginia,Arlington,1077,2789,2560,3019,-2.02,,,,1967,1445,2616,5198,4214,6183,2563,1996,3129,2576,2296,2857,11,11,12,-1.66,2.8,2.7,2.9,-2.04,3.2,3.1,3.3,-2.11,,7,6,7,-0.86,,,,7,6,8,10,8,11,6,5,7,7,6,7,12,12,13,-1.85,20,17,23,-2.22,9.3,-1.16,13,11,16,-2.50,100,-1.24,22,21,23,2.52,5,21,24,12,36,-0.28,1013,431.1,-0.10,10,9,11,-1.05,,,,4,2,7,8,6,12,29,25,33,3,2,4,16033,8,7,9,-1.58,188,80,1250:1,-0.39,154,65,1542:1,-0.19,424,179,560:1,-0.07,2717,-1.72,,2189,5670,2220,2197,40,0.77,,34,29,32,44,51,-0.39,,55,37,43,53,1568,92,-0.16,87743,97129,90,88,92,-2.65,3028,151720,2.0,-1.82,7,5,10,-1.41,14,8,24,14,2,211975,54162,3.9,-0.77,8060,40428,20,17,23,-1.17,330,14.0,-0.27,345,149,-0.35,350,30,27,33,-2.15,,,,17,11,26,36,26,50,15,10,22,35,31,39,9.7,1.75,No,-0.58,16,15,17,13,12,14,3,2,3,0,0,0,0.29,52,51,53,-3.99,,,,59,55,63,60,57,63,56,52,59,56,55,57,146937,45,42,47,0.33
51015,Virginia,Augusta,911,5801,5168,6434,-0.96,,,,,,,,,,,,,,,,14,14,15,-0.77,3.5,3.4,3.7,-0.45,4.1,3.9,4.3,0.25,,6,5,7,-1.17,,,,,,,11,5,17,,,,6,5,7,16,15,16,-0.46,34,29,38,0.16,8.9,-0.81,26,22,31,-0.07,51,0.66,16,16,17,-0.43,24,67,36,30,42,0.58,174,231.6,-0.76,19,16,21,-0.39,,,,,,,,,,,,,,,,6374,11,10,13,-0.06,37,49,2031:1,0.25,23,30,3281:1,0.53,51,68,1480:1,0.45,4305,-0.41,,,839,7398,4327,50,-1.13,,,46,58,51,54,-0.85,,45,51,42,54,792,95,-0.75,8813,17199,51,47,56,0.78,993,36922,2.7,-0.91,12,8,16,-0.83,,,7,43,11,105706,26646,4.0,-0.70,3170,14446,22,18,26,-1.00,102,13.6,-0.19,93,125,-0.53,268,72,63,80,-0.38,,,,,,,,,,,,,,,,8.9,-0.12,No,-0.58,10,8,12,9,7,10,1,0,1,1,0,1,-1.13,85,84,87,0.72,,,,,,,77,68,86,69,59,80,84,82,86,34745,32,29,35,-0.51
51017,Virginia,Bath,,,,,0.00,,,,,,,,,,,,,,,,17,16,17,-0.05,3.8,3.6,4.0,0.22,4.1,3.9,4.3,0.36,x,5,,,-1.49,,,,,,,,,,,,,,,,17,16,18,0.04,25,17,35,-1.26,8.3,-0.29,21,12,31,-1.12,100,-1.24,16,15,16,-0.68,1,4,25,2,54,-0.19,12,279.3,-0.60,29,18,44,0.43,,,,,,,,,,,,,,,,336,11,9,13,-0.20,1,23,4297:1,0.78,2,47,2146:1,0.20,1,23,4292:1,0.66,7214,1.98,,,12121,,7069,46,-0.37,,,53,,45,30,2.81,,,33,,30,47,94,-0.47,681,1087,63,45,81,-0.22,63,2502,2.5,-1.14,15,10,20,-0.53,,,,,,71766,23723,3.0,-2.00,165,680,24,3,46,-0.81,6,14.0,-0.26,5,111,-0.63,22,100,62,151,0.82,,,,,,,,,,,,,,,,8.0,-2.23,No,-0.58,12,4,19,6,1,11,1,0,3,6,0,12,-0.70,84,74,93,0.45,,,,,,,,,,,,,,,,2074,35,21,48,-0.35
