FIPS,State,County,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,% Fair or Poor Health,95% CI - Low,95% CI - High,Z-Score,Average Number of Physically Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Average Number of Mentally Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Unreliable,% Low Birthweight,95% CI - Low,95% CI - High,Z-Score,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low,95% CI - High,Z-Score,% Adults with Obesity,95% CI - Low,95% CI - High,Z-Score,Food Environment Index,Z-Score,% Physically Inactive,95% CI - Low,95% CI - High,Z-Score,% With Access to Exercise Opportunities,Z-Score,% Excessive Drinking,95% CI - Low,95% CI - High,Z-Score,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low,95% CI - High,Z-Score,# Chlamydia Cases,Chlamydia Rate,Z-Score,Teen Birth Rate,95% CI - Low,95% CI - High,Z-Score,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Z-Score,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score,# Dentists,Dentist Rate,Dentist Ratio,Z-Score,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score,Preventable Hospitalization Rate,Z-Score,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Z-Score,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),Cohort Size,High School Graduation Rate,Z-Score,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Z-Score,# Unemployed,Labor Force,% Unemployed,Z-Score,% Children in Poverty,95% CI - Low,95% CI - High,Z-Score,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score,# Single-Parent Households,# Households,% Single-Parent Households,95% CI - Low,95% CI - High,Z-Score,# Associations,Social Association Rate,Z-Score,Annual Average Violent Crimes,Violent Crime Rate,Z-Score,# Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,Z-Score,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score,Presence of Water Violation,Z-Score,% Severe Housing Problems,95% CI - Low,95% CI - High,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score,% Drive Alone to Work,95% CI - Low,95% CI - High,Z-Score,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low,95% CI - High,Z-Score
53000,Washington,,74525,5594,5533,5654,,,,,,,,,,,,,,,,,16,15,16,,3.9,3.7,4.1,,4.1,3.9,4.3,,,6,6,6,,,,,,,,,,,,,,,,,13,13,14,,28,,,,8.1,,17,,,,86,,17,17,18,,852,2658,32,31,33,,32231,435.2,,18,18,18,,,,,,,,,,,,,,,,,438678,7,7,7,,6258,85,1183:1,,6148,82,1226:1,,28085,373,268:1,,2969,,,,,,,39,,,,,,,46,,,,,,,77159,79,,1444417,2042551,71,70,71,,170797,3793095,4.5,,13,12,13,,,,,,,134514,30369,4.4,,452504,1617503,28,27,29,,6408,8.7,,21080,294,,23988,66,65,67,,,,,,,,,,,,,,,,,7.4,,,,17,17,18,,,,,,,,,,,72,72,72,,,,,,,,,,,,,,,,,3485339,37,36,37,
53001,Washington,Adams,176,5818,4663,6973,-0.42,,,,,,,,,,3989,2850,5431,8481,5592,11371,23,23,24,2.51,4.3,4.2,4.5,0.92,4.1,4.0,4.3,-0.43,,7,6,8,0.86,,,,,,,,,,7,6,9,6,4,8,14,14,15,0.16,37,31,43,1.42,8.6,-1.23,24,20,29,0.89,62,0.68,16,15,17,-0.86,2,41,5,1,13,-1.68,92,471.6,0.68,50,44,56,2.60,,,,,,,,,,62,55,70,17,11,26,2134,13,11,15,1.84,9,46,2167:1,0.78,22,111,898:1,-2.26,34,172,581:1,1.00,1313,-1.67,,,,1595,1216,36,0.59,,,,31,36,36,0.32,,,,25,37,332,77,1.34,1490,4638,32,27,37,2.36,511,9479,5.4,-0.18,20,15,26,0.81,71,,54,42,6,91711,21446,4.3,-0.08,2557,6794,38,29,46,1.20,24,12.3,-0.95,48,248,0.66,50,52,38,68,-1.30,,,,,,,,,,33,20,51,86,57,123,9.3,1.23,No,-1.12,22,18,26,11,8,14,13,9,17,1,0,1,1.76,72,69,76,-0.41,,,,,,,,,,71,64,79,77,73,81,7670,24,18,29,-0.47
53003,Washington,Asotin,317,7107,5747,8468,0.42,,,,,,,,,,,,,,,,15,15,16,-0.35,3.9,3.8,4.1,-0.18,4.5,4.3,4.7,0.87,,6,5,7,-0.18,,,,,,,,,,,,,,,,14,14,15,0.18,32,28,37,0.24,7.9,-0.45,22,19,26,0.47,98,-1.40,17,17,18,-0.29,3,6,50,28,67,0.80,76,337.3,-0.14,29,24,35,0.64,,,,,,,,,,,,,,,,1121,7,5,8,-0.80,19,84,1186:1,-0.66,14,62,1615:1,-0.04,80,354,283:1,-0.62,2857,0.12,18798,,,6849,2747,48,-1.78,,,,31,48,47,-0.80,43,,,30,47,288,78,1.00,3037,4904,62,54,69,-0.06,442,10153,4.4,-0.94,21,14,27,0.85,,,,62,13,96669,22539,4.3,-0.06,1681,4599,37,28,45,1.04,19,8.4,0.38,47,211,0.23,90,81,65,99,0.04,,,,,,,,,,,,,,,,8.6,0.71,No,-1.12,13,10,16,11,8,13,2,1,3,1,0,1,-1.25,83,80,86,1.38,,,,,,,,,,,,,,,,9428,7,5,9,-1.96
53005,Washington,Benton,1896,5676,5303,6049,-0.51,,,,,,,,,,4750,4021,5478,5875,5417,6332,16,16,17,-0.07,3.9,3.7,4.0,-0.36,4.1,4.0,4.3,-0.57,,7,6,7,0.20,11,5,18,7,5,9,9,6,12,6,6,7,6,6,7,13,13,14,-0.60,31,28,34,-0.02,8.3,-0.89,17,14,19,-0.89,77,-0.22,18,18,19,0.32,25,73,34,28,40,-0.07,919,463.7,0.64,25,24,27,0.24,,,,6,3,12,27,18,39,41,37,44,18,17,20,12783,8,7,9,-0.33,135,68,1468:1,-0.05,141,70,1432:1,-0.40,524,260,385:1,0.22,4336,1.82,2914,3166,3245,4520,4343,44,-0.99,26,35,40,37,45,50,-1.11,45,55,39,41,51,2803,77,1.32,33082,50064,66,63,69,-0.40,5160,99084,5.2,-0.31,14,10,17,-0.69,10,4,17,35,11,123177,28358,4.3,0.04,14976,51692,29,26,32,-0.10,175,8.8,0.24,371,195,0.05,599,62,57,67,-0.83,,,,45,25,74,53,26,98,35,28,44,70,64,76,9.2,1.16,Yes,0.87,15,14,16,11,10,12,4,3,5,1,0,1,-0.76,81,80,82,1.10,,,,77,70,84,79,65,92,79,76,81,82,81,83,85156,21,20,23,-0.72
53007,Washington,Chelan,755,5089,4498,5680,-0.89,,,,,,,,,,2900,2146,3834,5898,5063,6733,17,17,18,0.31,3.8,3.7,4.0,-0.48,4.4,4.2,4.5,0.39,,6,5,7,-0.26,,,,,,,,,,7,6,8,6,5,7,13,13,14,-0.61,27,23,31,-1.05,8.4,-1.01,18,15,22,-0.51,85,-0.68,19,19,20,0.95,10,30,33,24,43,-0.12,269,351.5,-0.06,25,23,27,0.22,,,,,,,,,,39,35,44,14,12,17,5703,9,8,11,0.39,90,118,850:1,-1.92,61,79,1263:1,-0.82,292,379,264:1,-0.85,2102,-0.75,,,,293,2137,42,-0.60,,50,,39,42,33,0.62,30,34,25,25,34,971,81,0.38,9183,17813,52,47,56,0.78,2063,45580,4.5,-0.81,15,10,19,-0.41,,21,,21,11,107594,25407,4.2,-0.15,4930,17811,28,22,34,-0.29,112,14.6,-1.74,112,148,-0.48,260,68,60,77,-0.52,,,,,,,,,,33,23,46,83,72,94,6.9,-0.57,No,-1.12,16,14,18,12,10,14,3,2,4,1,1,2,-0.27,77,75,79,0.39,,,,,,,,,,74,68,79,80,79,80,33989,16,14,19,-1.17
53009,Washington,Clallam,1127,6981,6243,7719,0.34,14949,11059,19763,,,,,,,,,,6561,5758,7364,16,16,17,-0.03,4.2,4.0,4.4,0.61,4.4,4.2,4.6,0.61,,6,5,7,-0.38,9,7,12,,,,,,,5,3,8,5,5,6,14,14,15,0.02,29,25,33,-0.43,7.2,0.34,20,17,24,0.05,77,-0.20,16,15,16,-0.99,10,32,31,22,41,-0.23,197,261.0,-0.62,24,21,27,0.13,49,36,66,,,,,,,23,15,33,22,19,25,4663,9,8,10,0.25,74,98,1020:1,-1.18,71,93,1081:1,-1.42,256,334,300:1,-0.44,1915,-0.97,3271,,,,1891,37,0.39,29,35,37,33,37,50,-1.11,39,52,33,42,50,711,81,0.50,9258,15165,61,57,66,0.01,1790,28030,6.4,0.56,21,15,26,0.85,25,,68,40,25,96409,21814,4.4,0.17,4753,12589,38,32,43,1.22,73,9.7,-0.04,206,280,1.01,394,106,95,116,1.21,129,84,189,,,,,,,57,30,97,111,99,122,5.8,-1.39,Yes,0.87,16,15,18,14,12,15,2,1,3,1,1,1,-0.22,78,76,80,0.55,80,74,86,,,,,,,80,69,91,78,77,80,28367,22,19,25,-0.62
53011,Washington,Clark,4567,5455,5216,5694,-0.66,,,,4322,3455,5189,7638,5967,9309,4018,3358,4677,5556,5284,5829,14,13,14,-0.90,3.4,3.3,3.6,-1.58,3.9,3.8,4.1,-1.24,,6,6,6,-0.17,9,6,12,8,7,9,9,7,11,7,6,7,6,6,6,14,14,14,-0.01,31,29,33,-0.12,8.1,-0.67,17,16,19,-0.71,93,-1.10,19,18,19,0.43,47,140,34,29,38,-0.10,1864,392.7,0.20,17,16,18,-0.54,18,11,28,10,8,13,19,15,24,31,28,34,15,14,16,28101,7,6,8,-0.60,335,71,1417:1,-0.14,343,71,1405:1,-0.46,1637,340,294:1,-0.50,3715,1.11,8531,2485,4203,3638,3687,46,-1.39,33,43,37,40,46,44,-0.50,42,47,31,35,45,6269,84,-0.14,83538,122605,68,,,-0.56,11123,230353,4.8,-0.59,11,8,13,-1.32,8,15,10,19,10,129370,33389,3.9,-0.77,28052,113373,25,23,26,-0.73,340,7.2,0.81,1011,220,0.34,1551,66,63,70,-0.61,70,39,116,38,28,49,61,44,84,30,23,38,73,69,77,8.3,0.48,No,-1.12,16,15,17,13,12,13,3,3,3,1,1,1,-0.31,79,78,80,0.69,74,61,88,73,71,75,76,69,83,72,69,75,79,78,79,216960,36,34,37,0.58
53013,Washington,Columbia,76,9048,5671,13699,1.68,,,,,,,,,,,,,,,,18,17,18,0.46,4.2,4.0,4.4,0.52,4.5,4.3,4.7,0.75,,9,6,13,2.87,,,,,,,,,,,,,,,,14,14,15,0.18,35,30,41,1.03,7.3,0.22,27,22,32,1.59,39,1.97,16,15,17,-0.90,3,3,100,,,3.00,9,222.4,-0.85,13,7,24,-0.89,,,,,,,,,,,,,,,,183,6,5,7,-0.87,3,74,1349:1,-0.28,3,74,1353:1,-0.58,12,296,338:1,-0.10,1538,-1.41,,,,,,30,1.77,,,,,,20,1.94,,,,,,42,83,-0.07,704,820,86,72,99,-2.00,100,1789,5.6,-0.03,19,13,25,0.51,,,,33,6,102364,19636,5.2,1.53,133,786,17,8,26,-1.91,6,14.8,-1.81,2,38,-1.73,24,120,77,179,1.88,,,,,,,,,,,,,,,,7.1,-0.42,No,-1.12,14,10,19,11,6,16,2,0,5,1,0,2,-0.80,62,53,70,-2.21,,,,,,,,,,,,,,,,1745,37,27,47,0.73
53015,Washington,Cowlitz,1683,8521,7874,9169,1.34,,,,,,,,,,6034,4349,8156,8753,8022,9483,19,18,19,0.80,4.1,4.0,4.3,0.42,4.7,4.5,4.9,1.50,,6,6,7,-0.12,,,,10,6,15,,,,7,5,8,6,6,7,18,17,18,2.29,35,31,38,0.89,7.3,0.22,23,20,26,0.62,74,0.00,18,17,19,0.12,14,44,32,24,40,-0.20,485,453.7,0.57,28,26,30,0.51,21,11,38,,,,34,19,57,37,31,44,25,23,28,5662,7,6,8,-0.76,70,65,1527:1,0.05,64,59,1703:1,0.10,442,406,247:1,-1.08,3483,0.84,4215,,7519,3036,3453,47,-1.59,43,45,,21,47,45,-0.60,44,36,19,31,45,1277,81,0.45,14473,24650,59,55,63,0.20,2729,45923,5.9,0.23,18,13,22,0.20,65,,15,36,18,100714,22384,4.5,0.30,8737,23816,37,33,41,1.06,102,9.5,0.00,268,259,0.78,452,86,78,94,0.29,104,50,190,,,,,,,45,28,69,92,83,100,6.9,-0.57,Yes,0.87,17,15,18,14,13,16,2,2,3,1,1,2,-0.04,80,78,82,0.89,,,,75,60,90,,,,71,61,81,82,81,84,42614,30,27,32,0.07
53017,Washington,Douglas,360,4237,3556,4918,-1.45,,,,,,,,,,,,,,,,18,17,19,0.62,4.0,3.9,4.2,0.09,4.2,4.0,4.4,-0.23,,6,5,6,-0.70,,,,,,,,,,5,4,6,6,5,7,14,13,14,-0.31,32,27,39,0.34,7.5,0.00,19,15,23,-0.39,77,-0.21,19,18,20,0.71,6,17,35,22,48,-0.01,157,374.3,0.08,26,23,29,0.33,,,,,,,,,,38,33,44,17,14,21,3869,11,10,13,1.25,8,19,5243:1,1.80,22,51,1950:1,0.44,24,56,1788:1,2.04,3011,0.29,5669,,,3561,2972,45,-1.19,50,39,,26,46,38,0.11,39,37,,27,39,586,85,-0.51,5037,9908,51,46,56,0.84,1151,21603,5.3,-0.22,15,11,20,-0.32,,,19,29,11,108019,28713,3.8,-0.97,3902,10775,36,30,42,0.99,25,6.0,1.23,40,99,-1.04,114,55,45,65,-1.14,,,,,,,,,,28,16,44,69,55,84,7.5,-0.12,No,-1.12,18,15,21,10,8,12,7,6,9,1,1,2,0.32,82,80,84,1.16,,,,,,,,,,72,64,80,85,81,88,18693,16,13,18,-1.22
