FIPS,State,County,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,% Fair or Poor Health,95% CI - Low,95% CI - High,Z-Score,Average Number of Physically Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Average Number of Mentally Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Unreliable,% Low Birthweight,95% CI - Low,95% CI - High,Z-Score,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low,95% CI - High,Z-Score,% Adults with Obesity,95% CI - Low,95% CI - High,Z-Score,Food Environment Index,Z-Score,% Physically Inactive,95% CI - Low,95% CI - High,Z-Score,% With Access to Exercise Opportunities,Z-Score,% Excessive Drinking,95% CI - Low,95% CI - High,Z-Score,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low,95% CI - High,Z-Score,# Chlamydia Cases,Chlamydia Rate,Z-Score,Teen Birth Rate,95% CI - Low,95% CI - High,Z-Score,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Z-Score,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score,# Dentists,Dentist Rate,Dentist Ratio,Z-Score,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score,Preventable Hospitalization Rate,Z-Score,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Z-Score,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),Cohort Size,High School Graduation Rate,Z-Score,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Z-Score,# Unemployed,Labor Force,% Unemployed,Z-Score,% Children in Poverty,95% CI - Low,95% CI - High,Z-Score,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score,# Single-Parent Households,# Households,% Single-Parent Households,95% CI - Low,95% CI - High,Z-Score,# Associations,Social Association Rate,Z-Score,Annual Average Violent Crimes,Violent Crime Rate,Z-Score,# Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,Z-Score,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score,Presence of Water Violation,Z-Score,% Severe Housing Problems,95% CI - Low,95% CI - High,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score,% Drive Alone to Work,95% CI - Low,95% CI - High,Z-Score,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low,95% CI - High,Z-Score
55000,Wisconsin,,63747,6366,6289,6442,,,,,,,,,,,,,,,,,17,15,18,,3.9,3.5,4.2,,4.0,3.7,4.3,,,7,7,7,,,,,,,,,,,,,,,,,16,15,17,,31,,,,8.8,,21,,,,85,,24,23,26,,1043,2880,36,35,37,,27740,478.6,,17,17,17,,,,,,,,,,,,,,,,,303172,6,6,7,,4562,79,1270:1,,3975,68,1463:1,,11822,203,492:1,,3940,,,,,,,50,,,,,,,52,,,,,,,65775,89,,986395,1424248,69,69,70,,94006,3133301,3.0,,14,13,15,,,,,,,110535,25995,4.3,,401706,1273668,32,31,32,,6715,11.6,,17197,298,,23123,80,79,81,,,,,,,,,,,,,,,,,8.6,,,,14,14,15,,,,,,,,,,,81,81,81,,,,,,,,,,,,,,,,,2920388,27,27,27,
55001,Wisconsin,Adams,368,8351,6823,9880,0.96,,,,,,,,,,,,,,,,14,14,15,0.44,3.6,3.4,3.8,0.33,3.8,3.6,4.0,0.36,,9,7,10,2.09,,,,,,,,,,,,,,,,16,16,17,0.14,30,23,39,-0.56,8.5,-0.15,26,19,35,0.95,53,1.20,22,21,22,-1.82,8,15,53,41,64,1.30,47,235.3,-0.37,24,19,31,0.90,,,,,,,,,,,,,,,,1019,8,7,9,0.35,2,10,9987:1,1.58,2,10,10174:1,1.91,10,49,2035:1,1.09,3481,-0.17,,,,,,44,0.84,,,,,,33,1.84,,,,30,33,131,92,0.02,1844,3847,48,44,52,1.92,387,8209,4.7,1.90,24,17,30,1.43,,,51,25,26,81388,20527,4.0,-0.16,1005,2944,34,27,41,0.65,12,6.0,1.81,38,188,0.38,123,122,101,144,1.88,,,,,,,,,,,,,,,,8.8,0.15,No,-0.97,14,12,15,12,10,13,1,1,2,2,1,2,0.31,80,78,81,-0.41,,,,,,,,,,,,,,,,7355,41,38,45,1.48
55003,Wisconsin,Ashland,237,8287,6534,10039,0.93,23347,15514,33743,,,,,,,,,,6261,4655,7866,16,16,17,1.50,3.8,3.7,4.0,0.93,4.2,4.0,4.4,1.64,,6,4,7,-0.94,5,2,8,,,,,,,,,,6,4,7,19,18,19,1.01,34,28,40,0.29,7.4,1.95,21,16,26,-0.55,64,0.49,25,24,26,-0.09,1,12,8,0,27,-2.36,57,367.7,0.41,21,17,26,0.51,43,28,65,,,,,,,,,,17,13,23,949,8,7,9,0.38,25,161,620:1,-2.78,11,71,1418:1,-0.45,49,314,318:1,-2.17,2808,-0.80,,,,,,45,0.68,23,,,,48,54,-0.72,52,,,,54,205,89,0.61,2266,3324,68,61,76,-0.48,338,7910,4.3,1.30,23,17,29,1.34,36,,,22,12,81510,18951,4.3,0.80,1130,3467,33,27,38,0.45,18,11.6,0.06,42,262,0.96,80,102,81,126,0.91,214,131,330,,,,,,,,,,89,68,115,6.3,-1.66,Yes,1.02,12,10,14,9,8,11,2,1,3,1,1,2,-0.54,74,70,77,-2.21,65,57,73,,,,,,,,,,76,73,78,7177,15,13,17,-1.64
55005,Wisconsin,Barron,570,6454,5567,7342,-0.07,,,,,,,,,,,,,,,,14,13,15,0.36,3.7,3.5,3.9,0.58,3.8,3.6,4.0,0.48,,6,5,6,-0.78,14,6,23,,,,,,,,,,6,5,6,17,16,17,0.19,41,34,48,2.07,8.6,-0.34,23,17,29,0.15,74,-0.15,23,22,24,-0.81,2,27,7,1,18,-2.43,110,243.1,-0.33,19,16,22,0.30,,,,,,,,,,,,,,,,2804,8,7,9,0.41,50,110,905:1,-1.32,29,64,1557:1,-0.21,36,80,1255:1,0.72,3841,0.17,2757,,,,3794,50,-0.10,,,,,,47,0.14,36,38,37,36,47,556,91,0.22,5721,9932,58,54,62,0.78,848,25058,3.4,0.11,15,11,20,0.09,70,,3,17,17,91976,23316,3.9,-0.22,3131,9660,32,27,38,0.43,78,17.2,-1.70,19,46,-0.75,189,83,71,95,0.05,,,,,,,,,,,,,,,,7.2,-1.01,Yes,1.02,12,10,13,10,9,11,2,1,2,1,0,1,-0.58,81,79,83,-0.04,71,55,86,,,,,,,,,,82,81,84,21688,20,18,21,-1.07
55007,Wisconsin,Bayfield,219,6712,4930,8495,0.07,,,,,,,,,,,,,,,,14,13,14,0.30,3.7,3.5,3.8,0.50,3.8,3.7,4.0,0.58,,5,4,7,-1.27,,,,,,,,,,,,,,,,16,15,17,-0.01,30,24,35,-0.68,8.0,0.81,23,19,29,0.20,61,0.68,22,21,23,-1.57,9,23,39,28,50,0.15,31,206.6,-0.54,18,14,24,0.20,38,23,61,,,,,,,,,,12,8,18,992,9,8,10,0.98,5,33,3002:1,0.91,5,33,3008:1,1.00,35,233,430:1,-1.16,1953,-1.60,,,,,,50,-0.10,51,,,,50,50,-0.23,61,,,,49,139,94,-0.64,1862,2567,73,67,78,-0.99,373,7612,4.9,2.15,23,17,29,1.31,36,,5,26,17,93606,23362,4.0,-0.04,720,2593,28,22,33,-0.16,21,14.0,-0.69,32,209,0.55,80,107,85,133,1.16,151,78,263,,,,,,,,,,104,80,132,6.2,-1.73,Yes,1.02,13,12,15,10,9,11,2,1,2,2,1,3,0.10,78,75,80,-1.00,72,63,81,,,,,,,,,,76,71,80,6863,31,28,34,0.27
55009,Wisconsin,Brown,2519,5695,5365,6024,-0.49,12771,9877,15666,6644,4846,8890,13355,10556,16667,3734,2888,4751,5361,5005,5717,12,12,13,-0.43,3.2,3.0,3.3,-0.87,3.6,3.4,3.7,-0.31,,7,7,7,0.36,7,6,9,8,7,9,12,10,14,7,6,8,6,6,7,15,14,15,-0.45,33,29,37,0.07,8.5,-0.15,20,16,23,-0.86,92,-1.26,27,26,28,1.08,42,85,49,45,54,0.98,1205,459.8,0.96,19,18,20,0.28,59,48,72,28,22,36,61,51,71,45,40,50,11,10,12,15839,7,6,8,0.04,187,71,1401:1,-0.19,201,76,1310:1,-0.68,514,195,512:1,-0.70,2724,-0.88,3858,1611,4321,963,2662,51,-0.26,24,26,20,43,52,54,-0.72,55,53,38,39,54,3243,90,0.43,47626,68075,70,,,-0.69,3925,143673,2.7,-0.77,11,8,13,-0.68,51,13,47,29,6,109287,27235,4.0,-0.03,18858,62036,30,28,33,0.18,230,8.8,0.94,625,250,0.87,832,64,60,68,-0.87,118,84,160,25,13,45,55,34,83,19,12,29,69,64,74,9.1,0.37,No,-0.97,14,13,14,11,10,12,3,2,3,1,1,1,0.31,84,83,85,0.93,85,81,90,76,70,83,81,75,88,69,63,74,87,86,87,134549,15,14,16,-1.63
55011,Wisconsin,Buffalo,150,5872,4201,7543,-0.39,,,,,,,,,,,,,,,,13,12,13,-0.29,3.4,3.2,3.6,-0.21,3.6,3.4,3.8,-0.07,,6,5,8,-0.09,,,,,,,,,,,,,,,,16,15,16,-0.22,25,18,35,-1.73,8.4,0.04,26,17,36,0.79,67,0.32,24,23,25,-0.36,4,13,31,16,46,-0.53,35,265.8,-0.19,10,6,14,-0.86,,,,,,,,,,,,,,,,712,7,6,8,-0.09,2,15,6584:1,1.43,16,122,820:1,-2.46,2,15,6563:1,1.51,3931,0.25,,,,,,54,-0.72,,,,,,51,-0.35,,,,,,140,97,-1.37,1736,2786,62,57,67,0.22,229,6652,3.4,0.18,13,8,17,-0.38,,,42,7,10,98654,25145,3.9,-0.28,630,2715,23,18,28,-0.74,11,8.4,1.07,7,55,-0.68,42,64,46,86,-0.87,,,,,,,,,,,,,,,,8.2,-0.29,No,-0.97,14,12,16,11,9,14,1,0,2,2,1,3,0.39,78,77,80,-0.83,,,,,,,,,,,,,,,,6685,40,37,44,1.37
55013,Wisconsin,Burnett,261,8596,6576,10615,1.10,,,,,,,,,,,,,,,,14,13,15,0.35,3.7,3.5,3.9,0.55,3.8,3.6,4.0,0.46,,4,3,5,-2.48,,,,,,,,,,,,,,,,16,15,17,0.00,35,26,46,0.59,8.4,0.04,28,20,38,1.57,70,0.15,21,20,22,-2.02,11,19,58,48,66,1.67,15,97.7,-1.19,22,17,28,0.62,,,,,,,,,,,,,,,,915,8,7,9,0.62,2,13,7676:1,1.49,5,32,3078:1,1.03,22,143,700:1,-0.06,4924,1.18,,,,,,40,1.46,19,,,,41,34,1.72,24,,,,34,271,83,2.18,1633,2642,62,57,67,0.28,339,7332,4.6,1.77,20,13,26,0.75,57,,,18,18,87750,21774,4.0,0.02,998,2631,38,32,43,1.13,28,18.2,-2.01,35,227,0.69,68,89,69,113,0.31,267,128,491,,,,,,,,,,81,62,105,6.7,-1.37,No,-0.97,16,14,18,14,13,16,1,1,2,1,1,1,1.49,79,77,81,-0.61,59,50,68,,,,,,,,,,78,76,80,6447,37,33,40,0.92
55015,Wisconsin,Calumet,403,4588,3879,5297,-1.09,,,,,,,,,,,,,,,,11,10,11,-1.09,3.0,2.8,3.2,-1.34,3.3,3.2,3.5,-0.98,,7,6,7,0.17,,,,10,5,15,,,,7,4,10,6,6,7,14,14,15,-0.77,27,20,35,-1.33,9.1,-1.29,19,14,25,-1.00,79,-0.45,27,26,28,1.42,6,17,35,22,48,-0.16,126,251.7,-0.28,9,7,11,-0.91,,,,,,,,,,43,29,63,7,5,8,1874,4,4,5,-1.37,6,12,8345:1,1.52,15,30,3344:1,1.13,13,26,3858:1,1.38,2148,-1.42,,,,,,51,-0.26,,,,,,49,-0.11,,,,,,268,96,-1.06,8966,11961,75,71,79,-1.28,715,27919,2.6,-1.00,6,4,8,-1.39,,,40,18,7,122439,33611,3.6,-1.08,2352,12146,19,16,23,-1.22,36,7.2,1.44,61,121,-0.15,146,59,49,68,-1.12,,,,,,,,,,,,,,,,9.7,0.80,Yes,1.02,9,8,11,8,7,9,1,1,2,1,1,2,-1.80,87,85,88,1.71,,,,,,,,,,78,68,89,83,80,86,27248,23,21,25,-0.71
55017,Wisconsin,Chippewa,672,5969,5242,6696,-0.34,,,,,,,,,,,,,,,,13,13,14,0.06,3.4,3.3,3.6,-0.11,3.5,3.3,3.7,-0.39,,6,6,7,-0.22,,,,,,,,,,,,,,,,15,15,16,-0.28,28,22,34,-1.10,8.5,-0.15,21,16,26,-0.58,64,0.49,26,25,27,0.40,14,38,37,28,45,-0.04,174,272.7,-0.15,15,12,17,-0.27,,,,,,,,,,,,,,,,2858,6,5,7,-0.72,54,85,1182:1,-0.57,35,55,1832:1,0.17,58,90,1106:1,0.59,4708,0.98,,,,,,56,-1.03,,,,,,53,-0.59,,53,,,53,668,90,0.51,10124,15573,65,61,69,-0.10,1103,33580,3.3,-0.03,15,11,19,0.01,,31,5,51,15,102257,25797,4.0,-0.17,3962,14349,28,24,32,-0.18,72,11.3,0.16,80,125,-0.12,231,73,63,82,-0.46,,,,,,,,,,,,,,,,7.9,-0.50,No,-0.97,11,10,12,9,8,11,2,1,2,1,0,1,-0.93,82,81,84,0.36,,,,,,,,,,,,,,,,31234,26,24,28,-0.35
