FIPS,% Adults with Obesity,% Physically Inactive,% With Access to Exercise Opportunities,Primary Care Physicians Rate,High School Graduation Rate,% Unemployed,County and State,Median Income,State,County
33001,29,23,87.0,64.0,88.0,2.5,"Belknap County, New Hampshire",68368, New Hampshire,Belknap County
33003,27,22,81.0,92.0,94.0,2.5,"Carroll County, New Hampshire",61116, New Hampshire,Carroll County
33005,30,19,75.0,68.0,89.0,2.5,"Cheshire County, New Hampshire",63057, New Hampshire,Cheshire County
33007,34,26,74.0,114.0,92.0,3.2,"Coos County, New Hampshire",45696, New Hampshire,Coos County
33009,24,19,90.0,197.0,95.0,2.1,"Grafton County, New Hampshire",63153, New Hampshire,Grafton County
33011,28,23,92.0,88.0,88.0,2.6,"Hillsborough County, New Hampshire",78655, New Hampshire,Hillsborough County
33013,28,20,93.0,111.0,88.0,2.2,"Merrimack County, New Hampshire",72478, New Hampshire,Merrimack County
33015,27,19,88.0,76.0,93.0,2.8,"Rockingham County, New Hampshire",90429, New Hampshire,Rockingham County
33017,30,24,89.0,64.0,86.0,2.3,"Strafford County, New Hampshire",70650, New Hampshire,Strafford County
33019,33,27,78.0,74.0,84.0,2.1,"Sullivan County, New Hampshire",60780, New Hampshire,Sullivan County
22001,38,35,43.0,37.0,91.0,5.4,"Acadia Parish, Louisiana",41177, Louisiana,Acadia Parish
22003,37,41,73.0,20.0,92.0,5.6,"Allen Parish, Louisiana",41009, Louisiana,Allen Parish
22005,33,31,73.0,40.0,88.0,4.1,"Ascension Parish, Louisiana",76589, Louisiana,Ascension Parish
22007,42,34,35.0,13.0,90.0,6.7,"Assumption Parish, Louisiana",44744, Louisiana,Assumption Parish
22009,45,36,24.0,27.0,79.0,5.7,"Avoyelles Parish, Louisiana",38077, Louisiana,Avoyelles Parish
22011,36,28,15.0,41.0,95.0,5.3,"Beauregard Parish, Louisiana",50738, Louisiana,Beauregard Parish
22013,45,26,21.0,15.0,90.0,5.8,"Bienville Parish, Louisiana",30300, Louisiana,Bienville Parish
22015,31,27,76.0,43.0,83.0,4.3,"Bossier Parish, Louisiana",53806, Louisiana,Bossier Parish
22017,40,31,85.0,114.0,74.0,5.5,"Caddo Parish, Louisiana",40866, Louisiana,Caddo Parish
22019,35,30,75.0,77.0,84.0,3.8,"Calcasieu Parish, Louisiana",49452, Louisiana,Calcasieu Parish
22021,40,27,37.0,30.0,90.0,5.7,"Caldwell Parish, Louisiana",32174, Louisiana,Caldwell Parish
22023,35,33,61.0,29.0,91.0,3.5,"Cameron Parish, Louisiana",55000, Louisiana,Cameron Parish
22025,37,40,16.0,10.0,88.0,6.8,"Catahoula Parish, Louisiana",38854, Louisiana,Catahoula Parish
22027,38,35,39.0,38.0,90.0,5.2,"Claiborne Parish, Louisiana",27303, Louisiana,Claiborne Parish
22029,35,39,31.0,30.0,83.0,7.0,"Concordia Parish, Louisiana",31813, Louisiana,Concordia Parish
22031,38,33,44.0,18.0,94.0,5.7,"De Soto Parish, Louisiana",44230, Louisiana,De Soto Parish
22033,32,29,98.0,93.0,71.0,4.3,"East Baton Rouge Parish, Louisiana",52719, Louisiana,East Baton Rouge Parish
22035,40,28,60.0,42.0,98.0,10.3,"East Carroll Parish, Louisiana",21161, Louisiana,East Carroll Parish
22037,35,27,47.0,31.0,86.0,4.7,"East Feliciana Parish, Louisiana",48129, Louisiana,East Feliciana Parish
22039,39,36,56.0,62.0,81.0,5.8,"Evangeline Parish, Louisiana",32180, Louisiana,Evangeline Parish
22041,38,37,38.0,35.0,76.0,7.1,"Franklin Parish, Louisiana",35466, Louisiana,Franklin Parish
22043,47,41,70.0,9.0,84.0,5.9,"Grant Parish, Louisiana",40792, Louisiana,Grant Parish
22045,41,29,63.0,47.0,81.0,5.8,"Iberia Parish, Louisiana",45274, Louisiana,Iberia Parish
22047,38,21,49.0,33.0,86.0,6.2,"Iberville Parish, Louisiana",47797, Louisiana,Iberville Parish
22049,34,29,23.0,19.0,81.0,4.6,"Jackson Parish, Louisiana",38523, Louisiana,Jackson Parish
22051,33,27,98.0,91.0,72.0,4.4,"Jefferson Parish, Louisiana",52558, Louisiana,Jefferson Parish
22053,41,33,45.0,44.0,93.0,4.7,"Jefferson Davis Parish, Louisiana",39653, Louisiana,Jefferson Davis Parish
22055,31,26,86.0,106.0,77.0,4.5,"Lafayette Parish, Louisiana",54726, Louisiana,Lafayette Parish
22057,40,32,60.0,47.0,94.0,4.7,"Lafourche Parish, Louisiana",53089, Louisiana,Lafourche Parish
22059,34,32,57.0,60.0,96.0,4.4,"LaSalle Parish, Louisiana",36868, Louisiana,LaSalle Parish
22061,36,31,47.0,65.0,96.0,5.2,"Lincoln Parish, Louisiana",34154, Louisiana,Lincoln Parish
22063,37,31,78.0,19.0,87.0,4.1,"Livingston Parish, Louisiana",63159, Louisiana,Livingston Parish
22065,41,39,85.0,35.0,40.0,8.3,"Madison Parish, Louisiana",27810, Louisiana,Madison Parish
22067,43,33,74.0,35.0,69.0,8.2,"Morehouse Parish, Louisiana",33333, Louisiana,Morehouse Parish
