FIPS,% Adults with Obesity,% Physically Inactive,% With Access to Exercise Opportunities,Primary Care Physicians Rate,High School Graduation Rate,% Unemployed,County and State,Median Income,State,County
6001,19,15,100.0,110.0,87.0,3.0,"Alameda County, California",92574, California,Alameda County
6005,30,25,76.0,67.0,88.0,4.0,"Amador County, California",61198, California,Amador County
6007,27,22,84.0,61.0,85.0,5.0,"Butte County, California",48443, California,Butte County
6009,31,31,60.0,44.0,90.0,4.0,"Calaveras County, California",58151, California,Calaveras County
6011,41,28,75.0,32.0,89.0,12.9,"Colusa County, California",56704, California,Colusa County
6013,24,16,97.0,103.0,88.0,3.2,"Contra Costa County, California",93712, California,Contra Costa County
6015,34,25,89.0,62.0,81.0,5.5,"Del Norte County, California",45258, California,Del Norte County
6017,23,18,90.0,81.0,89.0,3.6,"El Dorado County, California",80582, California,El Dorado County
6019,31,20,78.0,67.0,81.0,7.5,"Fresno County, California",51261, California,Fresno County
6021,32,19,66.0,18.0,82.0,6.5,"Glenn County, California",47395, California,Glenn County
6023,29,17,85.0,69.0,84.0,3.6,"Humboldt County, California",45528, California,Humboldt County
6025,35,31,69.0,24.0,85.0,18.1,"Imperial County, California",45834, California,Imperial County
6027,28,27,42.0,111.0,40.0,3.9,"Inyo County, California",52874, California,Inyo County
6029,32,22,76.0,49.0,86.0,8.0,"Kern County, California",52479, California,Kern County
6031,29,24,44.0,40.0,80.0,7.7,"Kings County, California",53865, California,Kings County
6033,25,23,66.0,45.0,78.0,5.2,"Lake County, California",42475, California,Lake County
6035,41,37,54.0,32.0,86.0,4.8,"Lassen County, California",56362, California,Lassen County
6037,22,16,98.0,73.0,82.0,4.7,"Los Angeles County, California",64251, California,Los Angeles County
6039,36,28,70.0,44.0,83.0,7.0,"Madera County, California",52884, California,Madera County
6041,17,13,97.0,148.0,87.0,2.4,"Marin County, California",110217, California,Marin County
6043,24,21,49.0,34.0,86.0,5.3,"Mariposa County, California",51199, California,Mariposa County
6045,32,19,72.0,90.0,84.0,3.9,"Mendocino County, California",49233, California,Mendocino County
6047,28,22,70.0,44.0,88.0,8.3,"Merced County, California",50129, California,Merced County
6049,28,25,46.0,68.0,86.0,7.5,"Modoc County, California",45149, California,Modoc County
6051,25,18,92.0,64.0,36.0,3.8,"Mono County, California",63018, California,Mono County
6053,28,20,90.0,60.0,85.0,6.3,"Monterey County, California",66676, California,Monterey County
6055,24,19,90.0,96.0,87.0,2.9,"Napa County, California",84753, California,Napa County
6057,22,14,81.0,70.0,50.0,3.5,"Nevada County, California",63240, California,Nevada County
6059,19,15,100.0,97.0,89.0,2.9,"Orange County, California",85398, California,Orange County
6061,21,15,94.0,124.0,90.0,3.2,"Placer County, California",84357, California,Placer County
6063,27,24,98.0,85.0,81.0,7.5,"Plumas County, California",53270, California,Plumas County
6065,27,21,89.0,43.0,89.0,4.4,"Riverside County, California",63948, California,Riverside County
6067,29,19,97.0,85.0,81.0,3.8,"Sacramento County, California",63902, California,Sacramento County
6069,32,28,66.0,32.0,90.0,5.1,"San Benito County, California",81977, California,San Benito County
6071,29,23,84.0,58.0,83.0,4.0,"San Bernardino County, California",60164, California,San Bernardino County
6073,20,14,97.0,80.0,81.0,3.3,"San Diego County, California",74855, California,San Diego County
6075,18,14,100.0,154.0,71.0,2.4,"San Francisco County, California",104552, California,San Francisco County
6077,33,25,86.0,58.0,82.0,6.0,"San Joaquin County, California",61145, California,San Joaquin County
6079,26,15,88.0,83.0,92.0,2.9,"San Luis Obispo County, California",70699, California,San Luis Obispo County
6081,21,16,100.0,106.0,88.0,2.2,"San Mateo County, California",113776, California,San Mateo County
6083,25,16,92.0,76.0,87.0,3.9,"Santa Barbara County, California",71657, California,Santa Barbara County
6085,19,16,99.0,104.0,85.0,2.6,"Santa Clara County, California",116178, California,Santa Clara County
6087,19,11,94.0,100.0,82.0,4.9,"Santa Cruz County, California",78041, California,Santa Cruz County
6089,24,20,78.0,72.0,87.0,4.9,"Shasta County, California",50905, California,Shasta County
6091,25,29,70.0,33.0,100.0,6.0,"Sierra County, California",48125, California,Sierra County
6093,32,23,72.0,75.0,80.0,6.7,"Siskiyou County, California",44200, California,Siskiyou County
6095,30,23,97.0,81.0,81.0,3.9,"Solano County, California",77609, California,Solano County
6097,22,16,94.0,102.0,81.0,2.7,"Sonoma County, California",76753, California,Sonoma County
6099,31,24,91.0,66.0,84.0,6.4,"Stanislaus County, California",57387, California,Stanislaus County
6101,32,25,67.0,76.0,83.0,7.5,"Sutter County, California",56955, California,Sutter County
6103,28,28,59.0,47.0,88.0,5.7,"Tehama County, California",42899, California,Tehama County
6105,34,24,88.0,24.0,74.0,5.7,"Trinity County, California",38497, California,Trinity County
6107,37,27,60.0,42.0,86.0,9.6,"Tulare County, California",47518, California,Tulare County
6109,33,21,86.0,85.0,86.0,4.6,"Tuolumne County, California",56493, California,Tuolumne County
6111,21,17,98.0,76.0,86.0,3.8,"Ventura County, California",84017, California,Ventura County
6113,24,14,96.0,123.0,87.0,4.2,"Yolo County, California",65923, California,Yolo County
